书名,评分,评价人数,作者,出版社,url
RiverTown:TwoYearsontheYangtze,9.9,(50人评价),作者/译者： Peter Hessler ,出版信息：  Harper Collins / 2010-9-21 / USD 10.99,https://book.douban.com/subject/24763262/
LonelyPlanet国际指南系列：英国（第二版）,9.8,(27人评价),作者/译者： 澳大利亚Lonely Planet公司 ,出版信息：  中国地图出版社 / 2016-12-1 / 148.00元,https://book.douban.com/subject/26945328/
"関口知宏の中国鉄道大紀行〈1〉最長片道ルート36,000kmをゆく春の旅ラサ~桂林",9.7,(49人评价),作者/译者： 関口 知宏 ,出版信息：  徳間書店 / 2007-10 / JPY 1365,https://book.douban.com/subject/2376574/
重走:在公路、河流和驿道上寻找西南联大,9.6,(81人评价),作者/译者： 杨潇 ,出版信息：  上海文艺出版社 / 2021-5 / 98.00元,https://book.douban.com/subject/35436901/
中国自然地理图集:第三版,9.6,(29人评价),作者/译者： 刘明光主编 ,出版信息：  中国地图出版社 / 2010-6 / 68.00元,https://book.douban.com/subject/4842461/
孤岛漂流记,9.6,(37人评价),作者/译者： [新西兰] 汤姆·尼尔 / 李志良 ,出版信息：  湖北科学出版社 / 1987 / 1.65元,https://book.douban.com/subject/1442108/
奔走在日光大道,9.6,(48人评价),作者/译者： 三毛 / 皇冠文化出版有限公司 / 2010,出版信息： 10/18 / NT$320,https://book.douban.com/subject/5350892/
ParisSketchbook,9.6,(77人评价),作者/译者： Mary Kelly、Fabrice Moireau ,"出版信息：  Didier Millet,Csi / 2012-11-16 / USD 30.00",https://book.douban.com/subject/3876718/
登山手册,9.5,(59人评价),作者/译者： 克雷格·康纳利 / 严冬冬 ,出版信息：  人民邮电出版社 / 2010-1 / 58.00元,https://book.douban.com/subject/4253010/
林达作品集（全九册),9.5,(452人评价),作者/译者： 林达 ,出版信息：  生活.读书.新知三联书店 / 2012-5 / 293.50元,https://book.douban.com/subject/10770743/
DEPART:朱一龙首本写真集,9.5,(5929人评价),作者/译者： 朱一龙 ,出版信息：  中国市场出版社 / 2019-1 / CNY 300（预售150）,https://book.douban.com/subject/30445437/
DEPART平装版:朱一龙首部个人写真集,9.5,(1101人评价),作者/译者： 朱一龙 ,出版信息：  中国市场出版社 / 2019-4 / CNY 150,https://book.douban.com/subject/33404221/
南京民国建筑地图,9.4,(185人评价),作者/译者： 刘屹立、徐振欧 ,出版信息：  江苏凤凰科学技术出版社 / 2018-10 / 128.00元,https://book.douban.com/subject/30384766/
徐霞客游记,9.4,(43人评价),作者/译者： 徐霞客 / 朱惠荣、李兴和 ,出版信息：  中华书局 / 2015-5 / 199.00,https://book.douban.com/subject/26417288/
旅之绘本（全8册）,9.4,(39人评价),作者/译者： ,出版信息： [日] 安野光雅 / 新星出版社 / 210.00元,https://book.douban.com/subject/26394875/
西班牙旅行笔记,9.4,(112人评价),作者/译者： 林达 ,出版信息：  生活·读书·新知三联书店 / 2015-11 / 79.00元,https://book.douban.com/subject/26683416/
一座城池，一路风景,9.4,(32人评价),作者/译者： ,出版信息： 王鑫 摄影 文 / 四川大学出版社 / 58.00元,https://book.douban.com/subject/26301865/
坐电车去旅行,9.4,(158人评价),作者/译者： 间濑直方 / 彭懿、周龙梅 ,出版信息：  21世纪出版社 / 2011-9-1 / 18.00元,https://book.douban.com/subject/20384763/
结，起点亦是终点:雅鲁藏布大峡谷穿越纪实,9.4,(616人评价),作者/译者： 杨柳松 ,出版信息：  凤凰出版社 / 2009-10 / 50.00元,https://book.douban.com/subject/4137276/
长歌行,9.4,(22人评价),作者/译者： 林陌 ,出版信息：  四川人民出版社 / 2021-3 / 58.00,https://book.douban.com/subject/35337870/
Portraits,9.4,(63人评价),作者/译者： Steve McCurry ,出版信息：  Phaidon Press / 1999-6-17 / USD 22.95,https://book.douban.com/subject/1386031/
在路上——中国的天主教:中国的天主教,9.3,(634人评价),作者/译者： 吕楠 ,出版信息：  中国图书出版社 / 2008年 / 280元,https://book.douban.com/subject/3024802/
浪漫的逃亡:遊日非流行指南,9.3,(3972人评价),作者/译者： 阿信 ,出版信息：  B'IN MUSIC相信音樂國際股份有限公司 / 2008 / 新台币380元,https://book.douban.com/subject/2376570/
巨匠神工:透視中國經典古建築:透視中國經典古建築,9.3,(50人评价),作者/译者： 李乾朗 ,出版信息：  遠流出版事業股份有限公司 / 20071225 / 2000,https://book.douban.com/subject/2376624/
潘德明徒步.骑自行车周游世界-(上下),9.3,(18人评价),作者/译者： 潘蘅生 ,出版信息：  吉林美术 / 2008-6 / 128.00元,https://book.douban.com/subject/3133282/
為何是你，為何不是你,9.3,(33人评价),作者/译者： 林一峰 ,出版信息：  P.PLUS LIMITED / 2019-1-28 / HK$98,https://book.douban.com/subject/30444656/
阿拉伯菲利克斯:1761—1767年丹麦远征,9.3,(24人评价),作者/译者： [丹麦]托基尔·汉森（Thorkild Hansen） / 李双 ,出版信息：  中国社会科学出版社 / 2021-1 / 99.00元,https://book.douban.com/subject/35034262/
世界地图集,9.3,(128人评价),作者/译者： 范毅、周敏 ,出版信息：  中国地图出版社 / 2006-08-15 / 98.00元,https://book.douban.com/subject/1500117/
撒哈拉的故事,9.3,(56489人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
马来群岛自然考察记:（上下）,9.3,(38人评价),"作者/译者： [英] 阿尔弗雷德·罗素·华莱士 / 金恒鑣 , 王益珍 ",出版信息：  上海文艺出版社 / 2013-8 / 58.00,https://book.douban.com/subject/25728832/
TheAtlasofBeauty:WomenoftheWorldin500Portraits,9.3,(126人评价),作者/译者： Mihaela Noroc ,出版信息：  Penguin Books Ltd / 2017-9-26 / USD 18.95,https://book.douban.com/subject/27052523/
LonelyPlanet孤独星球：中国自驾（2017年版）,9.3,(16人评价),作者/译者： 澳大利亚Lonely Planet公司 ,出版信息：  中国地图出版社 / 2017-12-1 / 158,https://book.douban.com/subject/27617632/
莎莎的石头,9.3,(72人评价),作者/译者： （美）艾伦·贝克尔 ,出版信息：  新星出版社 / 2018-8-1 / 49.80,https://book.douban.com/subject/30303901/
希腊三部曲Ⅰ:追逐阳光之岛,9.2,(454人评价),作者/译者： [英]  杰拉尔德•达雷尔（Gerald Durrell）著 / 唐嘉慧 ,出版信息：  浙江人民出版社 / 2012-11 / 38.90元,https://book.douban.com/subject/20381006/
阿拉·古勒的伊斯坦布尔,9.2,(286人评价),作者/译者： [土耳其] 阿拉·古勒 摄影  [土耳其]奥尔罕·帕慕克 序 / 邓金明 ,出版信息：  世纪文景|上海人民出版社 / 2020-11-30 / 149.00元,https://book.douban.com/subject/35252039/
风景与记忆,9.2,(368人评价),作者/译者： [英] 西蒙·沙玛 / 胡淑陈、冯樨 ,出版信息：  译林出版社 / 2013-10-1 / CNY 78.00,https://book.douban.com/subject/25762288/
柬埔寨双子星:微笑与地雷,9.2,(152人评价),作者/译者： 张志雄 ,出版信息：  香港万里路出版社 / 2020-6 / 87,https://book.douban.com/subject/35157200/
中国景色:中国国家地理十年经典丛书,9.2,(1282人评价),作者/译者： 单之蔷 ,出版信息：  九州出版社 / 2008.12 / 68.00元,https://book.douban.com/subject/3332661/
北京古建筑地图（上册）,9.2,(564人评价),作者/译者： 李路珂 等编著 ,出版信息：  清华大学出版社 / 2009-5 / 79.00元,https://book.douban.com/subject/3730043/
孟火火的第一本书:游魂故乡,9.2,(596人评价),作者/译者： 孟火火 ,出版信息：  九州出版社 / 2015-10-1 / 56.00元,https://book.douban.com/subject/26644958/
梅里雪山自然观察手册,9.2,(50人评价),作者/译者： 徐健、张巍巍 ,出版信息：  中国大百科全书出版社 / 2011-5 / 48.00元,https://book.douban.com/subject/6113825/
赤道环游记:马克.吐温选集,9.2,(70人评价),作者/译者： 马克·吐温 / 张友松 ,出版信息：  江西人民出版社 / 1986年10月第1版 / 4.40元（精）,https://book.douban.com/subject/1991122/
撤哈拉的故事:三毛作品中最膾炙人口的《撤哈拉的故事》，由12篇精采動人的散文結,9.2,(1193人评价),作者/译者： 三毛 ,出版信息：  皇冠叢書 / 1996.9 / 港幣四十五元,https://book.douban.com/subject/1770157/
清凉山上,9.2,(80人评价),作者/译者： 菩提洲 ,出版信息：  海南出版社 / 2016-7 / 48.00元,https://book.douban.com/subject/26805290/
忧郁的热带,9.2,(855人评价),作者/译者： 列维-斯特劳斯 / 王志明 ,出版信息：  生活·读书·新知三联书店 / 2003-01 / 28.00,https://book.douban.com/subject/1035165/
永恒的时光之旅,9.2,(2200人评价),作者/译者： [日] 星野道夫 / 游韵馨 ,出版信息：  广西师范大学出版社 / 2016-1 / 79.00元,https://book.douban.com/subject/26698223/
森林、冰河与鲸,9.2,(293人评价),作者/译者： [日]星野道夫（Michio Hoshino） / 曹逸冰 ,出版信息：  广西师范大学出版社 / 2021-1 / 52.00元,https://book.douban.com/subject/35331766/
另一片天空下:走进历史的全球之旅,9.2,(21人评价),作者/译者： [英]诺曼·戴维斯 / 曾小楚 ,出版信息：  中信出版 / 2020-12 / 248.00元,https://book.douban.com/subject/35062252/
南方快车,9.1,(70人评价),作者/译者： [智利] 路易斯·塞普尔维达 / 吴娴敏 ,出版信息：  人民文学出版社 / 2020-3 / 39.00元,https://book.douban.com/subject/34833854/
旅之绘本（全六册）,9.1,(528人评价),作者/译者： [日] 安野光雅 ,出版信息：  新星出版社 / 2012-4 / 158.00元,https://book.douban.com/subject/10439099/
冒险图鉴,9.1,(77人评价),作者/译者： [日] 里内蓝 著、[日] 松冈达英 绘 / 张杰雄 ,出版信息：  四川人民出版社 / 2019-10 / 70.00元,https://book.douban.com/subject/34856835/
追光之旅：用光作画，拍出你的风光大片,9.1,(89人评价),作者/译者： 凌志军 ,出版信息：  湖南文艺出版社 / 2018-10 / 128,https://book.douban.com/subject/30376348/
DEPARTHardcoverAustralianEdition:澳洲精装硬皮特别版,9.1,(204人评价),作者/译者： 朱一龙 ,出版信息：  Mingbox Pty Limited / 2019-6 / CNY 500,https://book.douban.com/subject/33432514/
