书名,评分,评价人数,作者,出版社,url
守望者:完全版,9.8,(395人评价),作者/译者： [英] 阿兰·摩尔、[英] 戴夫·吉本斯 绘 / 王周凌、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2020-4 / 198.00元,https://book.douban.com/subject/34875846/
海街日记（全7册）,9.6,(953人评价),作者/译者： [日]吉田秋生 / 邓劼 ,出版信息：  浙江文艺出版社 / 2018-10 / 279.00元,https://book.douban.com/subject/30244560/
狐狸的窗户,9.5,(2559人评价),作者/译者： (日)安房直子 文、(日)织茂恭子 绘 / 崔维燕 ,出版信息：  二十一世纪出版社 / 2009-8 / 21.80元,https://book.douban.com/subject/4049269/
丰饶之海,9.5,(95人评价),作者/译者： 三岛由纪夫 / 陈德文 ,出版信息：  人民文学出版社 / 2018 / 190,https://book.douban.com/subject/35022846/
近代能乐集,9.5,(771人评价),作者/译者： [日] 三岛由纪夫 / 玖羽 ,出版信息：  四川人民出版社 / 2019-10 / 42.00元,https://book.douban.com/subject/34820849/
桶川跟踪狂杀人事件,9.3,(2816人评价),作者/译者： [日] 清水洁 / 王华懋 ,出版信息：  后浪丨四川人民出版社 / 2021-2 / 45.00元,https://book.douban.com/subject/35094680/
幻之光,9.3,(114人评价),作者/译者： [日] 宫本辉 / 林青华 ,出版信息：  人民文学出版社 / 2021-1 / 42.00元,https://book.douban.com/subject/34969920/
竹林中,9.3,(1915人评价),作者/译者： [日] 芥川龙之介 ,出版信息：  秦刚 等 / 人民文学出版社 / 2019-4,https://book.douban.com/subject/26893454/
芥川龙之介全集,9.3,(1756人评价),作者/译者： [日] 芥川龙之介 / 郑民钦、魏大海、侯为 ,出版信息：  山东文艺出版社 / 2005-3 / 180.00元 (全5卷),https://book.douban.com/subject/1457542/
钱稻孙译作选,9.3,(12人评价),作者/译者： 蔡春华 编 / 钱稻孙 ,出版信息：  商务印书馆 / 2020-7 / 58.00,https://book.douban.com/subject/35063681/
芥川龙之介精选集,9.3,(933人评价),作者/译者： （日）芥川龙之介 / 高慧勤 ,出版信息：  北京燕山出版社 / 2008-12 / 38.00元,https://book.douban.com/subject/3499317/
少年H,9.3,(697人评价),作者/译者： [日] 妹尾河童 / 张致斌 ,出版信息：  生活·读书·新知三联书店 / 2013-11 / 43.00,https://book.douban.com/subject/24722098/
春雪,9.3,(758人评价),作者/译者： [日] 三岛由纪夫 / 陈德文 ,出版信息：  人民文学出版社 / 2018-9 / 49.00元,https://book.douban.com/subject/26897254/
风与树的歌,9.3,(3096人评价),作者/译者： 彭懿 ,出版信息：  少年儿童出版社 / 2004-03-01 / 17.00元,https://book.douban.com/subject/1270150/
日本现代文学的起源:岩波定本,9.3,(160人评价),作者/译者： [日] 柄谷行人 / 赵京华 ,出版信息：  生活·读书·新知三联书店 / 2019-9 / 42.00元,https://book.douban.com/subject/33391895/
天人五衰:“丰饶之海”之四,9.3,(624人评价),作者/译者： [日] 三岛由纪夫 / 陈德文 ,出版信息：  人民文学出版社 / 2015-11 / 30.00,https://book.douban.com/subject/25937704/
遥远的野玫瑰村:安房直子幻想小说代表作系列,9.3,(2097人评价),作者/译者： 安房直子 / 彭懿 ,出版信息：  少年儿童出版社 / 2004-03 / 17,https://book.douban.com/subject/1310673/
天人五衰:2014修订本,9.3,(1391人评价),作者/译者： 三岛由纪夫 / 文洁若 ,出版信息：  重庆出版社 / 2014-7 / 45.00,https://book.douban.com/subject/25900284/
物哀三书,9.2,(27人评价),作者/译者： [日]太宰治、[日]中岛敦、[日]梶井基次郎 / 张佳东、张齐、凌文桦 ,出版信息：  天地出版社 / 2021-3-1 / 126.00元,https://book.douban.com/subject/35418993/
银河英雄传说,9.2,(5774人评价),作者/译者： [日] 田中芳树 / 蔡美娟 ,出版信息：  西藏人民出版社 / 2004-7-1 / 19.80元,https://book.douban.com/subject/1418999/
寺山修司青春歌集,9.2,(36人评价),作者/译者： [日] 寺山修司 / 吴菲 ,出版信息：  浦睿文化·湖南文艺出版社 / 2021-4 / 58,https://book.douban.com/subject/35336608/
永恒的时光之旅,9.2,(2199人评价),作者/译者： [日] 星野道夫 / 游韵馨 ,出版信息：  广西师范大学出版社 / 2016-1 / 79.00元,https://book.douban.com/subject/26698223/
罗生门,9.2,(766人评价),作者/译者： [日] 芥川龙之介 / 文洁若 等 ,出版信息：  人民文学出版社 / 2015-6 / 29.00元,https://book.douban.com/subject/25897661/
天人五衰,9.2,(308人评价),作者/译者： [日] 三岛由纪夫 / 陈德文 ,出版信息：  人民文学出版社 / 2018-9 / 46.00元,https://book.douban.com/subject/26897248/
地狱变,9.2,(3601人评价),作者/译者： 芥川龙之介 / 楼适夷、文洁若 ,出版信息：  解放军文艺出版社 / 1999年 / 8.00,https://book.douban.com/subject/2062557/
窗边的小豆豆,9.2,(1913人评价),作者/译者： （日）黑柳彻子 / 赵玉皎 ,出版信息：  南海出版公司 / 2018-5 / 39.50元,https://book.douban.com/subject/30203254/
银河英雄传说（全10册）,9.2,(1526人评价),作者/译者： [日] 田中芳树 / 蔡美娟、陈惠莉、郭淑娟 ,出版信息：  南海出版公司 / 2014-10 / 375.00元,https://book.douban.com/subject/25900696/
凉宫春日的直观,9.2,(212人评价),作者/译者： [日] 谷川流 著、[日] 伊东杂音 绘 / 清和月 ,出版信息：  北京工艺美术出版社 / 2020-11 / 38.00元,https://book.douban.com/subject/35229282/
春雪:“丰饶之海”之一,9.2,(1329人评价),作者/译者： [日] 三岛由纪夫 / 陈德文 ,出版信息：  人民文学出版社 / 2015-10 / 33.00,https://book.douban.com/subject/25886360/
丰饶之海（上下）,9.2,(2020人评价),作者/译者： [日] 三岛由纪夫 / 许金龙 等 ,出版信息：  北京燕山出版社 / 2001-1 / 38.00元,https://book.douban.com/subject/1091904/
黄昏海的故事,9.2,(1602人评价),作者/译者： 安房直子 / 彭懿 ,出版信息：  少年儿童出版社 / 2004-03-01 / 17.00元,https://book.douban.com/subject/1152564/
小津安二郎剧本集,9.2,(258人评价),作者/译者： [日] 小津安二郎 / 吴菲 ,出版信息：  雅众文化 | 北京联合出版公司 / 2020-4 / 68.00,https://book.douban.com/subject/34949679/
花葬:日本推理大师经典33,9.1,(208人评价),作者/译者： 連城三紀彥 / 劉姿君 ,出版信息：  獨步文化 / 2012-5-15 / NT399,https://book.douban.com/subject/10572294/
山月记,9.1,(694人评价),作者/译者： [日] 中岛敦 / 代珂 ,出版信息：  江苏凤凰文艺出版社 / 2019-11 / 49.80元,https://book.douban.com/subject/34795345/
白夜行,9.1,(341976人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
壬生义士传,9.1,(181人评价),作者/译者： [日]浅田次郎 / 周晓晴 ,出版信息：  重庆出版社 / 2015-2 / 59.80元,https://book.douban.com/subject/26276896/
"四重奏:坂元裕二腳本書,關於單戀、謊言,還有30多歲的灰階人生",9.1,(102人评价),作者/译者： 坂元裕二 / 王思穎、張佩瑩 ,出版信息：  大家 / 2018-2-7 / NT$420,https://book.douban.com/subject/27613296/
白色巨塔(套装上中下三册),9.1,(420人评价),作者/译者： 山崎丰子 / 侯为 ,出版信息：  青岛出版社 / 2014-8-1 / 169,https://book.douban.com/subject/25981996/
春雪:2014修订版,9.1,(3261人评价),作者/译者： 三岛由纪夫 / 文洁若、李芒 ,出版信息：  重庆出版社 / 2014-3 / 49.00,https://book.douban.com/subject/25769962/
御伽草纸,9.1,(81人评价),作者/译者： [日]太宰治 / 汤家宁 ,出版信息：  拜德雅丨西南师范大学出版社 / 2019-12 / 38.00元,https://book.douban.com/subject/30484724/
金阁寺,9.1,(134人评价),作者/译者： [日]三岛由纪夫 / 陈德文 ,出版信息：  一頁folio | 辽宁人民出版社 / 2021-2 / 38.00,https://book.douban.com/subject/35324326/
潮骚,9.1,(135人评价),作者/译者： [日]三岛由纪夫 / 陈德文 ,出版信息：  一頁folio | 辽宁人民出版社 / 2021-2 / 32.00元,https://book.douban.com/subject/35365849/
OPUS作品,9.1,(9558人评价),作者/译者： [日] 今敏 / Mrs.X ,出版信息：  北京联合出版公司 / 2019-8 / 88.00元（上下册）,https://book.douban.com/subject/30473909/
强风吹拂,9.0,(2474人评价),作者/译者： [日] 三浦紫苑 / 林佩瑾、李建铨、杨正敏 ,出版信息：  广西师范大学出版社 / 2019-10 / 58.00元,https://book.douban.com/subject/33440237/
活了100万次的猫,9.0,(14662人评价),作者/译者： 佐野洋子 / 唐亚明 ,出版信息：  接力出版社 / 2004-10 / 28.00元,https://book.douban.com/subject/1257365/
