书名,评分,评价人数,作者,出版社,url
海街diary9:我出發了,9.9,(28人评价),作者/译者： 吉田秋生 / 許任駒 ,出版信息：  東立出版社有限公司 / 2021-1-8 / NT$ 130,https://book.douban.com/subject/30410282/
黃金神威（19）,9.9,(49人评价),作者/译者： 野田サトル / 赖思宇 ,出版信息：  尖端出版有限公司 / 2020-11 / NTD140,https://book.douban.com/subject/35283435/
竹光侍6,9.8,(404人评价),作者/译者： 作：永福一成、画：松本大洋 ,出版信息：  小学館 / 2009-4-30 / 900円（税込）,https://book.douban.com/subject/3701156/
灌篮高手（全31卷）,9.8,(5427人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-10 / 232.50元,https://book.douban.com/subject/2025999/
女僕咖啡廳(16),9.8,(32人评价),作者/译者： 石黑正數 / 吳勵誠 ,出版信息：  長鴻出版社 / 2020-12 / NT$130,https://book.douban.com/subject/35254320/
竹光侍5,9.8,(408人评价),作者/译者： 原作：永福一成、畫：松本大洋 ,出版信息：  小学館 / 2008-9-30 / 900円（税込）,https://book.douban.com/subject/3233680/
竹光侍7,9.8,(387人评价),作者/译者： 作：永福一成、画：松本大洋 ,出版信息：  小学館 / 2009-10-30 / 900円（税込）,https://book.douban.com/subject/4118228/
灌籃高手完全版1,9.8,(1908人评价),作者/译者： 井上雄彦 / 何宜叡 / 台湾尖端出版社 / 2005,出版信息： 5/25 / NT$.199,https://book.douban.com/subject/2240120/
竹光侍3,9.8,(457人评价),作者/译者： 松本大洋、永福一成 ,出版信息：  小学館 / 2007-10-30 / 900円（税込）,https://book.douban.com/subject/2336651/
精灵宝可梦特别篇24,9.7,(35人评价),作者/译者： 日下秀憲、山本智 / 邹宁 ,出版信息：  吉林美术出版社 / 2013-5-1 / 10.00,https://book.douban.com/subject/25732911/
進擊的巨人30,9.7,(548人评价),作者/译者： 諫山創 / 林志昌 ,出版信息：  東立出版社 / 2020-6-15 / NTD 100.00,https://book.douban.com/subject/35098745/
銀魂10:匹夫不可奪志,9.7,(358人评价),作者/译者： 空知英秋 / 張益豐 ,出版信息：  東立 / 2006-3-23 / 85(元),https://book.douban.com/subject/1922183/
排球少年37:祭典的結束,9.7,(84人评价),作者/译者： 古館春一 ,出版信息：  蔡夢芳 / 東立出版社 / 2019-7-4,https://book.douban.com/subject/34456442/
竹光侍4,9.7,(414人评价),作者/译者： 松本大洋、永福一成 ,出版信息：  小学館 / 2008-3-28 / 900円（税込）,https://book.douban.com/subject/3191048/
龙珠(全42册),9.7,(1867人评价),作者/译者： [日] 鸟山明 / 牟琳 ,出版信息：  中国少年儿童出版社 / 2005-7-1 / 367.6,https://book.douban.com/subject/3048059/
風之谷(04),9.7,(339人评价),作者/译者： 宮崎駿 / 黃慧璘 ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455532/
灌籃高手完全版19,9.7,(392人评价),作者/译者： 井上雄彥 / 何宜叡 / 尖端 / 2006,出版信息： 4/11 / 199新台币,https://book.douban.com/subject/3620420/
四葉妹妹!(5),9.7,(293人评价),作者/译者： 东清彦 ,出版信息：  臺灣角川 / 2006 / NT$120,https://book.douban.com/subject/1939293/
風之谷(02),9.7,(397人评价),作者/译者： 宮崎駿 / 黃慧璘 ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455530/
銀魂11:太陽依然還會升起,9.7,(354人评价),作者/译者： 空知英秋 / 張益豐 ,出版信息：  東立 / 2006年4月21日 / 90(元),https://book.douban.com/subject/3137599/
