书名,评分,评价人数,作者,出版社,url
体国经野之道,9.7,(156人评价),作者/译者： 周振鹤 ,出版信息：  上海人民出版社 / 2019-6 / 68.00元,https://book.douban.com/subject/33950530/
老舍幽默文集,9.6,(91人评价),作者/译者： 老舍 ,出版信息：  湖南人民出版社 / 1983年 / 0.79,https://book.douban.com/subject/2053682/
夜航船,9.6,(33人评价),作者/译者： (明) 张岱 纂、郑凌峰 点校、卿朝晖 审订 ,出版信息：  浙江古籍出版社 / 2020-7 / 128,https://book.douban.com/subject/34830286/
坟,9.6,(6329人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
王小波全集,9.6,(98人评价),作者/译者： 王小波 ,出版信息：  北京联合出版公司 / 2014-5-1 / 311.00元,https://book.douban.com/subject/26351750/
鲁迅全集（2005最新修订版）:全十八卷,9.5,(4704人评价),作者/译者： 鲁迅 / 有2012年第4次印本 ,出版信息：  人民文学出版社 / 2005-11 / 990.00元,https://book.douban.com/subject/1442720/
在峡江的转弯处:陈行甲人生笔记,9.5,(694人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
鲁迅杂文集(全五卷),9.5,(105人评价),作者/译者： 鲁迅 ,出版信息：  春风文艺出版社 / 1997-2-1 / 108.00,https://book.douban.com/subject/1007704/
鲁迅作品集精读本,9.5,(20人评价),作者/译者： ,出版信息： 沈文利 编 / 2009-1 / 29.80元,https://book.douban.com/subject/3207093/
浦江清文录,9.4,(15人评价),作者/译者： 浦江清 ,出版信息：  人民文学出版社 / 1958 / 0.9,https://book.douban.com/subject/2222400/
野草,9.4,(26545人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.20元,https://book.douban.com/subject/1915958/
雅舍小品,9.4,(65人评价),作者/译者： 梁实秋 ,出版信息：  万卷出版公司-万榕书业 / 2015-10 / 32元,https://book.douban.com/subject/26647408/
鲁迅全集(4),9.4,(86人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1981-12 / 37.00,https://book.douban.com/subject/1016785/
寒柳堂集,9.4,(404人评价),作者/译者： 陈寅恪 ,出版信息：  生活·读书·新知三联书店 / 2001-4 / 30.00元,https://book.douban.com/subject/1037121/
鲁迅杂文集:典藏,9.4,(54人评价),作者/译者： 鲁迅 ,出版信息：  万卷出版公司 / 2013-8-1 / 19.9,https://book.douban.com/subject/25824940/
谈修养:让青年人受益一生的处世哲学,9.4,(50人评价),作者/译者： 朱光潜 ,出版信息：  江苏人民出版社 / 2015-6-1 / 19.80元,https://book.douban.com/subject/26389188/
