书名,评分,评价人数,作者,出版社,url
大师和玛格丽特,9.1,(195人评价),作者/译者： 布尔加科夫 / 钱诚 ,出版信息：  外国文学出版社 / 1999-02 / 20.50,https://book.douban.com/subject/2146422/
哭泣的駱駝,9.0,(4376人评价),作者/译者： 三毛 ,出版信息：  皇冠出版社 / 1977-8 / 160 TWD,https://book.douban.com/subject/1361263/
傅山的世界:十七世纪中国书法的嬗变,9.0,(1569人评价),作者/译者： 白谦慎 ,出版信息：  生活·读书·新知三联书店 / 2006-4 / 41.00元,https://book.douban.com/subject/1784790/
80℃第5、6册,8.9,(1361人评价),作者/译者： 姚非拉 ,出版信息：  海南出版社 / 2007-10 / 19.6,https://book.douban.com/subject/2284843/
现代画家（共5册）,8.9,(45人评价),作者/译者： [英] 约翰·罗斯金 / 丁才云 ,出版信息：  广西师范大学出版社 / 2005-8 / 130.00元,https://book.douban.com/subject/1420723/
情人,8.9,(27人评价),作者/译者： [法]杜拉斯 / 王东亮 ,出版信息：  四川人民出版社 / 1985-7 / 0.85,https://book.douban.com/subject/6833978/
廣島之戀,8.9,(30人评价),作者/译者： ,出版信息： 80.00元,https://book.douban.com/subject/1799314/
Hiroshimamonamour,8.9,(24人评价),作者/译者： Marguerite Duras ,出版信息：  Gallimard / 1960-12-26 / EUR 25.40,https://book.douban.com/subject/3597972/
杜拉斯传,8.8,(116人评价),作者/译者： [法] 劳拉·阿德莱尔 / 袁筱一 / 重庆大学出版社,出版信息： 楚尘文化 / 2014-8 / 68.00,https://book.douban.com/subject/25932125/
悠悠此情,8.8,(43人评价),作者/译者： 玛格丽特·杜拉斯、迪迪叶·德库安 / 李玉民、许均 ,出版信息：  北京师范大学出版社 / 1996-03-01 / 16.2,https://book.douban.com/subject/1559331/
二十首情诗与绝望的歌,8.8,(8351人评价),作者/译者： 聂鲁达 / 李宗荣 ,出版信息：  中国社会科学出版社 / 2003-1 / 20.00,https://book.douban.com/subject/1045352/
石之花(01),8.8,(79人评价),作者/译者： 坂口尚 / Blade ,出版信息：  東販 / 2003年8月29日 / 200元,https://book.douban.com/subject/3177616/
我和狗狗的16年,8.7,(1665人评价),作者/译者： 高木直子 / 黄悦生 ,出版信息：  北京联合出版社 / 2013-9-1 / CNY 28.00,https://book.douban.com/subject/25373041/
夜航西飞,8.7,(8161人评价),作者/译者： [英] 柏瑞尔·马卡姆 / 陶立夏 ,出版信息：  人民文学出版社 / 2010-12 / 29.00元,https://book.douban.com/subject/5366382/
劳儿之劫,8.7,(50人评价),作者/译者： [法] 玛格丽特·杜拉斯 ,出版信息：  上海译文出版社 / 2014-5 / 30.00元,https://book.douban.com/subject/25862225/
广岛之恋去年在马里安巴德:外国电影剧本丛刊（19）,8.7,(47人评价),作者/译者： [法] 玛格丽特·杜拉、[法] 阿仑·罗勃-格里叶 / 刘寿康、黄雨石 ,出版信息：  中国电影出版社 / 1982-12 / 0.72,https://book.douban.com/subject/1851976/
微物之神,8.7,(2541人评价),作者/译者： [印度] 阿兰达蒂·洛伊 / 吴美真 ,出版信息：  人民文学出版社 / 2006-4 / 28.00元,https://book.douban.com/subject/1771464/
埃米莉·L,8.6,(60人评价),作者/译者： [法] 玛格丽特·杜拉斯 ,出版信息：  王道乾 / 上海译文出版社 / 25.00元,https://book.douban.com/subject/25861369/
绿眼睛:杜拉斯与电影,8.6,(167人评价),作者/译者： [法] 玛格丽特·杜拉斯 / 陆一琛 ,出版信息：  后浪丨民主与建设出版社 / 2021-1 / 111.00元,https://book.douban.com/subject/35239380/
抵挡太平洋的堤坝,8.6,(89人评价),作者/译者： [法] 玛格丽特·杜拉斯 / 谭立德 ,出版信息：  上海译文出版社 / 2014-5-1 / 40.00,https://book.douban.com/subject/25861376/
L'Amant,8.6,(300人评价),作者/译者： Marguerite Duras ,出版信息：  Editions de Minuit / 1984-05-01 / EUR 10.00,https://book.douban.com/subject/1465705/
あいの、うた:Theendofyouth,8.6,(427人评价),作者/译者： 木原音瀬 ,出版信息：  蒼竜社 / 2005 / 900円（含税）,https://book.douban.com/subject/3015365/
卡车,8.5,(88人评价),作者/译者： [法] 玛格丽特·杜拉斯 ,出版信息：  上海译文出版社 / 2014-5 / 22.00元,https://book.douban.com/subject/25862390/
痛苦,8.5,(80人评价),作者/译者： [法] 玛格丽特·杜拉斯 ,出版信息：  上海译文出版社 / 2014-5 / 30.00元,https://book.douban.com/subject/25862386/
萨德侯爵夫人,8.5,(2510人评价),作者/译者： [日] 三岛由纪夫 / 陈德文 ,出版信息：  上海译文出版社 / 2010年7月 / 13.00元,https://book.douban.com/subject/4617900/
倾城之恋,8.5,(149484人评价),作者/译者： ,出版信息： 花城出版社 / 1997-3-1 / 11.00,https://book.douban.com/subject/1090043/
L'AmantdelaChineduNord,8.5,(52人评价),作者/译者： Marguerite Duras ,出版信息：  Gallimard / 1991-01-01 / EUR 7.30,https://book.douban.com/subject/1872736/
中國北方來的情人:L’amantdelaChineduNor,8.5,(33人评价),作者/译者： 瑪格麗特．莒哈絲 ,出版信息：  葉書雁 / 聯經出版事業股份有限公司 / 20060112,https://book.douban.com/subject/1763159/
玛格丽特·杜拉斯:真相与传奇,8.5,(453人评价),作者/译者： 阿兰·维尔贡德莱 / 胡小跃 ,出版信息：  作家出版社 / 2007.01 / 46.00元,https://book.douban.com/subject/1986386/
知识分子论:知识分子论,8.4,(205人评价),作者/译者： [美]爱德华•W•萨义德 ,出版信息：  生活·读书·新知三联书店 / 2013-4 / 25.00,https://book.douban.com/subject/24379800/
情人（中英法三语版）:中英法三语版,8.4,(399人评价),作者/译者： (法) 杜拉斯 / 王道乾 ,出版信息：  上海译文出版社 / 2014-8 / 55.00元,https://book.douban.com/subject/25918402/
L'AMANT,8.4,(36人评价),作者/译者： ,"出版信息： Marguerite Duras / , France Loisirs, / 1985",https://book.douban.com/subject/2076749/
了不起的盖茨比,8.4,(522人评价),作者/译者： （美）菲茨杰拉德译者：鹿金　王晋华　汤永宽 ,出版信息：  中国书籍出版社 / 2005-5 / 10.00元,https://book.douban.com/subject/1665736/
