书名,评分,评价人数,作者,出版社,url
撒野,8.5,(35454人评价),作者/译者： 巫哲 ,出版信息：  北京联合出版公司 / 2018-10 / 45.00元,https://book.douban.com/subject/30336340/
某某,8.0,(4802人评价),作者/译者： 木苏里 ,出版信息：  江苏凤凰文艺出版社 / 2020-8 / 49.80元,https://book.douban.com/subject/35160284/
伪装学渣,6.5,(9446人评价),作者/译者： 木瓜黄 ,出版信息：  北京时代华文书局 / 2019-6 / 39.80元,https://book.douban.com/subject/34429608/
白日梦我:（人气作者栖见高口碑备受期待之作！无所不能的桀骜校霸VS外刚内柔的,6.3,(4429人评价),作者/译者： 栖见 ,出版信息：  百花洲文艺出版社 / 2019-7 / 69.80元,https://book.douban.com/subject/34454047/
最好的我们,8.7,(62123人评价),作者/译者： 八月长安 ,出版信息：  湖南文艺出版社 / 2013-8-5 / 55,https://book.douban.com/subject/24754316/
偏偏宠爱,6.6,(1814人评价),作者/译者： 藤萝为枝 ,出版信息：  青岛出版社 / 2020-4 / 59.8,https://book.douban.com/subject/35003287/
伪装学渣2,6.7,(3157人评价),作者/译者： 木瓜黄 ,出版信息：  北京时代华文书局 / 2019-9 / 39.80元,https://book.douban.com/subject/34810988/
你好，旧时光:六周年珍藏版,8.5,(12164人评价),作者/译者： 八月长安 ,出版信息：  长江文艺出版社 / 2015-10 / 86,https://book.douban.com/subject/26591331/
撒野3:撒野完结篇,8.8,(2002人评价),作者/译者： 巫哲 ,出版信息：  江苏凤凰文艺出版社 / 2020-5-7 / 49.80元,https://book.douban.com/subject/35058847/
她的小梨窝,6.2,(2848人评价),作者/译者： 唧唧的猫 ,出版信息：  百花洲文艺出版社 / 2018-5 / 36.80元,https://book.douban.com/subject/30205673/
微微一笑很倾城,7.9,(97970人评价),作者/译者： 顾漫 ,出版信息：  江苏文艺出版社 / 2009-8 / 25.00,https://book.douban.com/subject/3879301/
暗格里的秘密,7.1,(1827人评价),作者/译者： 耳东兔子 ,出版信息：  百花洲文艺出版社 / 2019-5 / 59.80元,https://book.douban.com/subject/33423246/
这题超纲了1,7.4,(416人评价),作者/译者： 木瓜黄 ,出版信息：  中国致公出版社 / 2020-9-18 / 42.8,https://book.douban.com/subject/35178444/
他最野了,7.3,(223人评价),作者/译者： 曲小蛐 ,出版信息：  江苏凤凰文艺出版社 / 2021-1 / 68.00（全2册）,https://book.douban.com/subject/35241257/
我喜歡你的信息素下,7.1,(627人评价),作者/译者： 引路星 ,出版信息：  沒譜文化出版社 / 2020-2 / NTD 350,https://book.douban.com/subject/34939309/
轻狂,7.3,(1301人评价),作者/译者： 巫哲 ,出版信息：  印刷工业出版社 / 2019-9-1 / 49.80元,https://book.douban.com/subject/34817562/
此间的少年,8.4,(47649人评价),作者/译者： 江南 ,出版信息：  华文出版社 / 2004-1 / 25.00元,https://book.douban.com/subject/1020459/
等风轻抚你,5.9,(512人评价),作者/译者： 唧唧的猫 ,出版信息：  青岛出版社 / 2020-6 / 59.8,https://book.douban.com/subject/35097041/
会有天使替我爱你,6.6,(49902人评价),作者/译者： 明晓溪 ,出版信息：  新世界出版社 / 2005-5 / 20.00元,https://book.douban.com/subject/1291760/
三重门,7.4,(109733人评价),作者/译者： 韩寒 / NONE、NONE ,出版信息：  作家出版社 / 2000-5 / 16.00,https://book.douban.com/subject/1026425/
他的小仙女,6.9,(496人评价),作者/译者： 磨磨 ,出版信息：  百花洲文艺出版社 / 2018-11-1 / 36.80元,https://book.douban.com/subject/30489250/
这题超纲了2,7.2,(166人评价),作者/译者： 木瓜黄 ,出版信息：  中国致公出版社 / 2020-11 / 42.80元,https://book.douban.com/subject/35243382/
我曾记得那男孩,6.7,(159人评价),作者/译者： 简蔓 ,出版信息：  北方妇女儿童出版社 / 2018-1 / 26.8,https://book.douban.com/subject/30164868/
小清欢,6.0,(1181人评价),作者/译者： 云拿月 ,出版信息：  百花洲文艺出版社 / 2018-3 / 36.00元,https://book.douban.com/subject/28408615/
橘生淮南·暗恋,8.0,(14509人评价),作者/译者： 八月长安 ,出版信息：  吉林出版集团有限责任公司 / 2011-8-30 / 28.80元,https://book.douban.com/subject/6773643/
同级生,6.7,(10472人评价),作者/译者： 东野圭吾 / 王丽丽 ,出版信息：  南海出版公司 / 2012-3 / 28.00元,https://book.douban.com/subject/7047148/
草莓印,6.8,(711人评价),作者/译者： 不止是颗菜 ,出版信息：  百花洲文艺出版社 / 2019-8 / 68.00元,https://book.douban.com/subject/34805210/
那小子真帅,6.5,(23064人评价),作者/译者： [韩] 可爱淘 / 黄黉 ,出版信息：  世界知识出版社 / 2004-1 / 18.80元,https://book.douban.com/subject/1036067/
夏至未至,7.6,(20357人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2010-4 / 26.80元,https://book.douban.com/subject/4818929/
打火机与公主裙·长明灯,8.4,(5838人评价),作者/译者： Twentine ,出版信息：  江苏凤凰文艺出版社 / 2017-8 / 38.00元,https://book.douban.com/subject/27113040/
致我们单纯的小美好,7.0,(3784人评价),作者/译者： 赵乾乾 ,出版信息：  江苏凤凰文艺出版社 / 2015-9 / 48.00元,https://book.douban.com/subject/26598971/
明枪易躲，暗恋难防,6.4,(370人评价),作者/译者： 翘摇 ,出版信息：  江苏凤凰文艺出版社 / 2019-7 / 36.80元,https://book.douban.com/subject/34681491/
陆遥知他意,7.5,(380人评价),作者/译者： 竹已 ,出版信息：  百花洲文艺出版社 / 2017-11 / 34.8,https://book.douban.com/subject/30247574/
同级生,6.3,(285人评价),作者/译者： [日] 东野圭吾 / 王丽丽 ,出版信息：  南海出版公司 / 2020-5 / 58.00,https://book.douban.com/subject/34778577/
此间的少年:十周年纪念版,8.6,(2887人评价),作者/译者： 江南 ,出版信息：  北京联合出版公司 / 2011-12 / 28.00元,https://book.douban.com/subject/6875231/
女生日记:幸福的小窝,8.4,(2857人评价),作者/译者： 杨红樱 ,出版信息：  作家出版社 / 2006-11 / 19.00元,https://book.douban.com/subject/1936204/
阎王:<全集>,7.2,(781人评价),作者/译者： 千江月 ,出版信息：  普天出版社 / 2012-10-29 / NTD 280,https://book.douban.com/subject/27064656/
暗恋·橘生淮南,7.6,(415人评价),作者/译者： 八月长安 ,出版信息：  北京联合出版公司 / 2020-6 / 116.00元,https://book.douban.com/subject/35060086/
終將成為妳(1),8.9,(558人评价),作者/译者： 仲谷鳰 / 張嘉容 ,出版信息：  台灣角川 / 2016-8-29 / NT$130,https://book.douban.com/subject/26864079/
Wonder,8.9,(1677人评价),作者/译者： R. J. Palacio ,出版信息：  Knopf Books for Young Readers / 2012-2-14 / USD 18.99,https://book.douban.com/subject/7952978/
草样年华:北X大的故事,7.1,(31335人评价),作者/译者： 孙睿 ,出版信息：  远方出版社 / 2004-1 / 19.50元,https://book.douban.com/subject/1007334/
可爱多少钱一斤,5.6,(388人评价),作者/译者： 栖见 ,出版信息：  江苏凤凰文艺出版社 / 2018-10 / 55.00元,https://book.douban.com/subject/30378183/
偽裝學渣:上冊,7.2,(1185人评价),作者/译者： 木瓜黃 ,出版信息：  威向 / 2019-5-30 / NTD 380,https://book.douban.com/subject/30415158/
戏精宿舍,8.5,(254人评价),作者/译者： 龙妹（著)、芒果（绘） ,出版信息：  文化发展出版社 / 2020-6-1 / 45,https://book.douban.com/subject/34992733/
狼的诱惑,6.8,(15100人评价),作者/译者： 可爱淘 / 黄黉 ,出版信息：  世界知识出版社 / 2004-08 / 20.0,https://book.douban.com/subject/1026674/
我的青春恋爱喜剧果然有问题01,8.7,(845人评价),作者/译者： [日] 渡航 著、[日] ponkan⑧ 绘 / Dying ,出版信息：  安徽少年儿童出版社 / 2013-6-1 / 22.00元,https://book.douban.com/subject/24530152/
花季雨季,7.3,(19801人评价),作者/译者： 郁秀 ,出版信息：  海天出版社 / 1996-10 / 16.00元,https://book.douban.com/subject/1087758/
終將成為妳(2),9.3,(264人评价),作者/译者： 仲谷鳰 / 張嘉容 ,出版信息：  台灣角川 / 2017-3-16 / 130,https://book.douban.com/subject/27189746/
为你着迷,8.8,(199人评价),作者/译者： ,出版信息： 和山やま / 风间铃 / 东立,https://book.douban.com/subject/35293980/
冰糖炖雪梨,6.9,(1808人评价),作者/译者： 酒小七 ,出版信息：  青岛出版社 / 2019-10 / 59.8,https://book.douban.com/subject/34853897/
終將成為妳(7),9.3,(140人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 / 台灣角川 ,出版信息：  2020-1-31 / NT$130/NK$43,https://book.douban.com/subject/34977002/
終將成為妳(4),9.4,(232人评价),作者/译者： 仲谷鳩 / 雲加 ,出版信息：  台灣角川 / 2018-1-17 / 130 元,https://book.douban.com/subject/30375355/
温柔有九分,8.3,(43人评价),作者/译者： 唧唧的猫 ,出版信息：  魅丽文化 / 2020-11 / 42.8,https://book.douban.com/subject/35239373/
未名湖畔的爱与罚,8.6,(779人评价),作者/译者： ,出版信息： 逆旅主人 / 1900,https://book.douban.com/subject/11632290/
轻狂2,8.5,(199人评价),作者/译者： 巫哲 ,出版信息：  百花文艺出版社 / 2020-8 / 45.00元,https://book.douban.com/subject/35166222/
終將成為妳(6),9.5,(193人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 ,出版信息：  台灣角川 / 2019-5-16 / NT$130,https://book.douban.com/subject/34855033/
忽而今夏,8.1,(5990人评价),作者/译者： 明前雨后 ,出版信息：  江苏文艺出版社 / 2009-11 / 32.00元,https://book.douban.com/subject/4143274/
我都听你的,5.8,(65人评价),作者/译者： 睡芒、魅丽文化 ,出版信息：  广东旅游出版社 / 2020-4 / 38元,https://book.douban.com/subject/35018923/
那些回不去的年少时光（套装上下册）,8.5,(2427人评价),作者/译者： 桐华 ,出版信息：  湖南文艺出版社 / 2013-2-1 / 54.00元,https://book.douban.com/subject/20504749/
山海高中,8.6,(45人评价),作者/译者： 语笑阑珊 ,出版信息：  广东旅游出版社 / 2020-12 / 48.00元,https://book.douban.com/subject/35273124/
終將成為妳(5),9.4,(237人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 ,出版信息：  台灣角川 / 2018-10-8 / NT$130,https://book.douban.com/subject/30462445/
終將成為妳(3),9.2,(257人评价),作者/译者： 仲谷鳰 / 雲加 ,出版信息：  台灣角川 / 2017-7-20 / 130元,https://book.douban.com/subject/27189747/
渺渺无期,7.5,(167人评价),作者/译者： 归渔 ,出版信息：  广东旅游出版社 / 2018-9 / 36.80元,https://book.douban.com/subject/30296649/
如果森林有童话,8.3,(29人评价),作者/译者： 奈奈 ,出版信息：  万卷出版公司 / 2016-12 / 26.80元,https://book.douban.com/subject/27173670/
致所有我曾爱过的男孩,7.3,(241人评价),作者/译者： [美]珍妮·韩（Jenny Han） / 王思宁 ,出版信息：  中国友谊出版公司·磨铁图书 / 2018-9 / 45.00,https://book.douban.com/subject/30284747/
三年十一班,7.7,(30人评价),作者/译者： 夏茗悠 ,出版信息：  江苏凤凰文艺出版社 / 2020-10 / 78.00元,https://book.douban.com/subject/35247658/
冬日最灿烂的阳光:明若晓溪2,6.5,(5720人评价),作者/译者： 明晓溪 ,出版信息：  新世界出版社 / 2004-04 / 18.80元,https://book.douban.com/subject/1038639/
我喜歡你的信息素上,7.2,(1111人评价),作者/译者： 引路星 ,出版信息：  沒譜文化出版社 / 2020-2 / NTD350,https://book.douban.com/subject/34939308/
青春奇妙物语06,8.0,(28人评价),作者/译者： 两色风景 ,出版信息：  中国致公出版社 / 2020-7 / 38,https://book.douban.com/subject/35084800/
无杭,0.0,(56人评价),作者/译者： 江映烛 ,出版信息：  人民日报出版社 / 2021-1-1 / 49,https://book.douban.com/subject/35324331/
三重门,7.2,(244人评价),作者/译者： 韩寒 ,出版信息：  天津人民出版社 / 2013-5-10 / 39.80元,https://book.douban.com/subject/24697636/
19天(1),8.6,(805人评价),作者/译者： old先 ,出版信息：  東立出版社 / 2018-10-19 / NTD 360,https://book.douban.com/subject/30296958/
王子病,8.0,(122人评价),作者/译者： 朱熙 ,出版信息：  湖南文艺出版社 / 2018-9-1 / 36.80元,https://book.douban.com/subject/30299073/
走走停停,8.2,(405人评价),作者/译者： 张牧笛 ,出版信息：  中国少儿出版社 / 2009-1-1 / 18.00元,https://book.douban.com/subject/3423267/
