书名,评分,评价人数,作者,出版社,url
英雄志:西凉风暴,9.8,(312人评价),作者/译者： ,出版信息： 孙晓 / 长江文艺出版社,https://book.douban.com/subject/35241188/
浪跡天涯:（卷四）大西南,9.8,(30人评价),作者/译者： 趙晨光、清朗 ,出版信息：  明日工作室 / 2013-12-5 / NT 280,https://book.douban.com/subject/25769606/
仙篮奇剑传,9.7,(40人评价),作者/译者： 孙幼军 ,出版信息：  中外文化出版公司 / 1992.11 / 8.85,https://book.douban.com/subject/2039438/
大悲咒,9.7,(66人评价),作者/译者： ,出版信息： 奇儒 / 远方出版社 / 1999,https://book.douban.com/subject/3001340/
無限の住人30,9.7,(45人评价),作者/译者： 沙村 広明 ,出版信息：  講談社 / 2013-2-22 / JPY 600,https://book.douban.com/subject/21319165/
無限之住人(Vol.25),9.6,(44人评价),作者/译者： 沙村廣明 ,出版信息：  天下出版有限公司 (HK) / 2009-11-24 / 港币35,https://book.douban.com/subject/4186639/
金庸全集,9.6,(3677人评价),作者/译者： ,出版信息： 金庸 / 生活·读书·新知三联书店 / 1994-5,https://book.douban.com/subject/3532347/
無限之住人(Vol.26),9.5,(57人评价),作者/译者： 沙村廣明 ,出版信息：  天下出版有限公司 (HK) / 2010-09-21 / 港币35,https://book.douban.com/subject/5299855/
浪人劍客(14),9.5,(165人评价),作者/译者： 井上雄彥 / 尖端出版社 / 2002,出版信息： 6/21 / 150元,https://book.douban.com/subject/3114581/
金庸作品集,9.5,(4965人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2006-1 / 683,https://book.douban.com/subject/2218216/
金庸群侠传,9.5,(302人评价),作者/译者： ,出版信息： 河洛工作室 / 1995 / 20.00元,https://book.douban.com/subject/3790213/
天龙八部,9.5,(5136人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2011-11 / 123.00元,https://book.douban.com/subject/6969074/
笑傲江湖,9.4,(72人评价),作者/译者： 金庸 ,出版信息：  山东文艺出版社 / 1994-01 / 22.8,https://book.douban.com/subject/2040054/
浪人劍客(12),9.4,(167人评价),作者/译者： 井上雄彥 / 尖端出版社 / 2001,出版信息： 12/11 / 150元,https://book.douban.com/subject/3114574/
神雕侠侣（套装共4册）:金庸作品集,9.4,(1194人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2013-4 / 96.00元,https://book.douban.com/subject/4835660/
