书名,评分,评价人数,作者,出版社,url
围城,9.2,(27484人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2007-8 / 19.00元,https://book.douban.com/subject/1855364/
霍乱时期的爱情,9.0,(213288人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 杨玲 ,出版信息：  南海出版公司 / 2012-9-1 / 39.50元,https://book.douban.com/subject/10594787/
幻世·剑歌·碧城,9.0,(165人评价),作者/译者： 沧月 ,出版信息：  浙江文艺出版社 / 2017-1 / 36.00,https://book.douban.com/subject/26951685/
我爱摇滚乐,8.9,(3793人评价),作者/译者： ,出版信息： 郑远涛 / 18.00,https://book.douban.com/subject/10601616/
嫌疑人X的献身,8.9,(450180人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2008-9 / 28.00,https://book.douban.com/subject/3211779/
无限学园祭(Ⅱ):史上最欢乐校园大冒险,8.9,(65人评价),作者/译者： 猫逻 ,出版信息：  汕头大学出版社 / 2008-12 / 25.00元,https://book.douban.com/subject/3406373/
天是红河岸,8.8,(19503人评价),作者/译者： 荻原千绘 / 丁梵馨 ,出版信息：  日本小学馆 / 1990 / 37.00,https://book.douban.com/subject/1853785/
杯雪·传杯·秣陵冬,8.8,(2142人评价),作者/译者： 小椴 ,出版信息：  新世界出版社 / 2005-08 / 19.0,https://book.douban.com/subject/1681426/
皮皮鲁逃往雅典娜,8.8,(547人评价),作者/译者： 郑渊洁 ,出版信息：  二十一世纪出版社 / 2006-7 / 13.80元,https://book.douban.com/subject/1854579/
烈火青春Part2,8.8,(426人评价),作者/译者： ,出版信息： 左晴雯 / 1996-8,https://book.douban.com/subject/1786244/
沧海明月·拜月卷,8.8,(999人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-11 / 20.00,https://book.douban.com/subject/3313239/
历史研究（上中下）,8.7,(109人评价),作者/译者： [英]阿诺德·汤因比 / 曹未风 ,出版信息：  上海人民出版社 / 1997-11 / 50.00,https://book.douban.com/subject/1038092/
镜·破军,8.7,(923人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2008-11 / 25.00元,https://book.douban.com/subject/3284424/
杯雪·夜雨打金荷,8.7,(3136人评价),作者/译者： 小椴 ,出版信息：  新世界出版社 / 2005-07 / 16.0,https://book.douban.com/subject/1425636/
鬼吹燈之三·雲南蟲谷,8.7,(93人评价),作者/译者： 天下霸唱 ,出版信息：  英屬維京群島商高寶國際有限公司台灣分公司 / 2007-5-2 / TWD 280,https://book.douban.com/subject/5503194/
镜·双城,8.7,(1011人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2008-11 / 28.00元,https://book.douban.com/subject/3284422/
镜·神寂,8.7,(1208人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2008-11 / 25.00元,https://book.douban.com/subject/3284427/
听雪楼系列典藏版（全三册）,8.7,(5516人评价),作者/译者： 沧月 ,出版信息：  新世界出版社 / 2007-01 / 63.0,https://book.douban.com/subject/2114580/
七夜雪,8.6,(1717人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2009-04 / 25.0,https://book.douban.com/subject/3747034/
镜·龙战,8.6,(1835人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2008-11 / 28.00元,https://book.douban.com/subject/3284425/
金玉王朝第二部礪金下,8.6,(348人评价),作者/译者： ,出版信息： 風弄、王一 / 威向 / 2011-2-15,https://book.douban.com/subject/5401816/
麦琪的礼物:欧·亨利短篇小说经典,8.6,(64896人评价),作者/译者： [美] 欧·亨利 / 张经浩 ,出版信息：  上海社会科学院出版社 / 2003-7 / 25.00元,https://book.douban.com/subject/1051193/
沧海明月·夕影卷,8.6,(860人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-11 / 20.00,https://book.douban.com/subject/3310839/
镜·辟天,8.6,(1104人评价),作者/译者： 沧月 ,出版信息：  万卷出版公司 / 2008-11 / 29.80元,https://book.douban.com/subject/3284426/
沧海明月·承影卷,8.6,(936人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-12 / 25.00,https://book.douban.com/subject/3336964/
烈火青春（1-13）,8.6,(1202人评价),作者/译者： ,出版信息： 左晴雯 / 新疆青少年出版社 / 2002-10,https://book.douban.com/subject/1104808/
镜（全6册）:沧月出道15周年纪念珍藏版,8.5,(808人评价),作者/译者： 沧月 ,出版信息：  北京联合出版公司 / 2016-5 / 249.80元,https://book.douban.com/subject/26792696/
听雪楼沧月系列系列典藉版（全三册）,8.5,(498人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/20405966/
沧海明月·凝碧卷,8.4,(1071人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-12 / 20.00,https://book.douban.com/subject/3336960/
此间的少年,8.4,(47649人评价),作者/译者： 江南 ,出版信息：  华文出版社 / 2004-1 / 25.00元,https://book.douban.com/subject/1020459/
沧海明月·流光卷,8.4,(830人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-12 / 25.00,https://book.douban.com/subject/3336953/
护花铃,8.4,(927人评价),作者/译者： 沧月 ,出版信息：  北方妇女儿童出版社 / 2011-1 / 29.80元,https://book.douban.com/subject/5908888/
大漠荒颜·帝都赋,8.4,(186人评价),作者/译者： 沧月 ,出版信息：  浙江文艺出版社 / 2017-1 / 36.00,https://book.douban.com/subject/26951719/
鬼吹燈Ⅱ之一·黃皮子墳,8.4,(106人评价),作者/译者： 天下霸唱 ,出版信息：  英屬維京群島商高寶國際有限公司台灣分公司 / 2007-11-9 / TWD 280,https://book.douban.com/subject/5504357/
镜·神寂:沧月出道15周年纪念珍藏版,8.4,(148人评价),作者/译者： 沧月 ,出版信息：  北京联合出版公司 / 2016-5 / 39.80元,https://book.douban.com/subject/26786172/
七夜雪:鼎剑阁·沧月十周年珍藏版,8.4,(1937人评价),作者/译者： 沧月 ,出版信息：  时代文艺出版社 / 2011-9-22 / 29.80元,https://book.douban.com/subject/6802392/
琅琊榜,8.4,(2916人评价),作者/译者： 海宴 ,出版信息：  四川文艺出版社 / 2011-9-1 / 64.00元,https://book.douban.com/subject/6827339/
沧海明月·紫微卷:紫微卷,8.4,(666人评价),作者/译者： 沧月 ,出版信息：  ２１世纪出版社 / 2008-12 / 20.00,https://book.douban.com/subject/3424992/
镜·归虚1,8.4,(3043人评价),作者/译者： 沧月 ,出版信息：  新世界 / 2007-5 / 25.00元,https://book.douban.com/subject/2137491/
沧海Ⅵ,8.4,(3590人评价),作者/译者： 凤歌 ,出版信息：  重庆出版社 / 2008-03 / 20.00元,https://book.douban.com/subject/3014601/
沧海Ⅰ,8.3,(6220人评价),作者/译者： 凤歌 ,出版信息：  重庆出版社 / 2006-12 / 20.0,https://book.douban.com/subject/1961970/
镜·双城2:漫画版,8.3,(26人评价),作者/译者： 沧月(原著)、幽·灵(漫画)、喵小灰(脚本) ,出版信息：  长江文艺出版社 / 2013-10 / 14.80元,https://book.douban.com/subject/25964134/
镜·龙战（上）,8.3,(4078人评价),作者/译者： 沧月 ,出版信息：  世界知识出版社 / 2006-1 / 20.00元,https://book.douban.com/subject/1467382/
镜·辟天2,8.3,(2303人评价),作者/译者： 沧月 ,出版信息：  新世界出版社 / 2007-3 / 25.00元,https://book.douban.com/subject/2052100/
镜·龙战（下）,8.3,(3914人评价),作者/译者： 沧月 ,出版信息：  世界知识出版社 / 2006-2 / 20.00元,https://book.douban.com/subject/1476533/
花镜,8.3,(57人评价),作者/译者： 沧月 ,出版信息：  天津人民出版社 / 2013-4-1 / CNY 35.00,https://book.douban.com/subject/24746247/
江山不夜:蓬莱卷,8.3,(1381人评价),作者/译者： 沈璎璎 ,出版信息：  安徽人民出版社 / 2013-9 / 32.80元,https://book.douban.com/subject/24877322/
云中歌3,8.3,(15322人评价),作者/译者： 桐华 ,出版信息：  作家出版社 / 2008-4 / 24.80元,https://book.douban.com/subject/3065343/
合掌人生,8.2,(88人评价),作者/译者： ,出版信息： 星云大师 / 2011-1 / 38.00元,https://book.douban.com/subject/5411655/
镜·辟天1,8.2,(2502人评价),作者/译者： 沧月 ,出版信息：  新世界出版社 / 2007-1 / 25.00元,https://book.douban.com/subject/2002035/
血薇:血薇漫画版,8.2,(1957人评价),作者/译者： 沧月（原著）、李堃（编绘） ,出版信息：  新世界出版社 / 2006-05 / 19.0,https://book.douban.com/subject/1776821/
大漠荒颜:全彩绘本,8.2,(821人评价),作者/译者： 沧月（著）、汤蔚青（绘） ,出版信息：  ２１世纪出版社 / 2008-02 / 25.0,https://book.douban.com/subject/2993673/
步步惊心,8.1,(54973人评价),作者/译者： 桐华 ,出版信息：  民族出版社 / 2006-6 / 25.00元,https://book.douban.com/subject/1812439/
情人,8.1,(139361人评价),作者/译者： [法] 玛格丽特·杜拉斯 / 王道乾 ,出版信息：  上海译文出版社 / 2005-7 / 20.00元,https://book.douban.com/subject/1400705/
曼珠沙华·彼岸花:曼珠沙华·彼岸花,8.1,(153人评价),作者/译者： 沧月 ,出版信息：  时代文艺出版社 / 2013-10-1 / CNY 29.80,https://book.douban.com/subject/26279485/
残酷な童話たち:由贵香织里由貴香織里,8.1,(778人评价),作者/译者： 由貴香織里 ,出版信息：  白泉社 / 1993-01 / 19.8,https://book.douban.com/subject/2074103/
碧城,8.1,(116人评价),作者/译者： 滄月 ,出版信息：  智典工作室 / 2009-1-5 / TWD 220,https://book.douban.com/subject/5503291/
长相思,8.1,(13097人评价),作者/译者： 桐华 ,出版信息：  湖南文艺出版社 / 2013-2 / 35.00元,https://book.douban.com/subject/21242062/
天涯明月刀,8.1,(2262人评价),作者/译者： 古龙 ,出版信息：  人民文学出版社 / 1988年6月 / 3.50元,https://book.douban.com/subject/3034205/
自杀,8.1,(1610人评价),作者/译者： （法）爱德华•勒维 / 王明睿 译 ,出版信息：  上海人民出版社 / 2013-1 / 22.00元,https://book.douban.com/subject/20437599/
血薇,8.1,(11621人评价),作者/译者： 沧月 ,出版信息：  新世界出版社 / 2004-01 / 19.00元,https://book.douban.com/subject/1010520/
