书名,评分,评价人数,作者,出版社,url
見證：改革開放三十年:China’sThirtyYears,9.8,(35人评价),作者/译者： 中國攝影師協會 ,出版信息：  牛津大學出版社 / 2009-11 / HK$398,https://book.douban.com/subject/4209565/
明清檔案文書,9.7,(13人评价),作者/译者： 劉錚雲 主編 ,出版信息：  國立政治大學人文中心 / 2012-9 / NT$800,https://book.douban.com/subject/20451945/
她們，和她們的希望故事,9.6,(27人评价),作者/译者： Nicholas D. Kristof、Sheryl Wudunn / 吳茵茵 ,出版信息：  馬可孛羅 / 2010年08月13日 / NTD350元,https://book.douban.com/subject/5030413/
論嘗試文,9.6,(23人评价),作者/译者： 黃錦樹 ,出版信息：  麥田 / 2016-8-9 / NT480,https://book.douban.com/subject/26834850/
康德歷史哲學論文集（增訂版）,9.6,(37人评价),作者/译者： [德] 康德 / 李明輝 ,出版信息：  聯經 / 2013-6 / NTD420,https://book.douban.com/subject/24746992/
祕密森林：原著劇本（全二冊）,9.6,(37人评价),作者/译者： 李秀妍 / 邱淑怡 ,出版信息：  時報文化出版公司 / 2019-2-1 / NTD800,https://book.douban.com/subject/30469291/
一切能作為學問而出現的未來形上學之序論,9.6,(21人评价),作者/译者： 康德 / 李明輝 ,出版信息：  聯經出版公司 / 2008-9-25 / NT$30,https://book.douban.com/subject/4003196/
他們在島嶼寫作:文學大師系列電影(12DVD/典藏版),9.5,(34人评价),作者/译者： 楊力州、陳傳興、陳懷恩、林靖傑、溫知儀 ,"出版信息：  行人文化實驗室 / 2012-3-1 / NT$2,080",https://book.douban.com/subject/25851825/
夏日踟躇,9.5,(19人评价),作者/译者： 李渝 ,出版信息：  麥田出版公司 / 2002-5-3 / NT$ 260,https://book.douban.com/subject/1367825/
說郛考,9.5,(18人评价),作者/译者： 昌彼得 / 文史哲出版社 / 1979,出版信息： 12/1 / NT$ 350,https://book.douban.com/subject/3744783/
建國以來（1949-1997）:客观深入浅出的经济政治述评,9.5,(29人评价),作者/译者： 张家敏 ,出版信息：  香港政策研究所 / 1999年01月 / HK$280,https://book.douban.com/subject/3768483/
