书名,评分,评价人数,作者,出版社,url
一个自游人的瑞士33天,10.0,(36人评价),作者/译者： ,出版信息： 张志雄 / 新华万屏出版社 / 2019-7,https://book.douban.com/subject/34784642/
去以色列读那本书,9.8,(114人评价),作者/译者： ,出版信息： 张志雄 / 2020-12,https://book.douban.com/subject/35292005/
冬日西西里（上、下）,9.8,(48人评价),作者/译者： 张志雄 ,出版信息：  新华万屏出版社 / 2017-9 / 上下两册共计120元,https://book.douban.com/subject/27609933/
黔滇道上,9.7,(21人评价),作者/译者： 李霖灿 著、【加】李在中 编 ,出版信息：  北京出版社 / 2021-3-1 / 98.00元,https://book.douban.com/subject/35278574/
重走:在公路、河流和驿道上寻找西南联大,9.6,(82人评价),作者/译者： 杨潇 ,出版信息：  上海文艺出版社 / 2021-5 / 98.00元,https://book.douban.com/subject/35436901/
大巴黎系列（全套五本）:七探卢浮宫,9.6,(23人评价),作者/译者： 张志雄 ,出版信息：  新华万屏出版社有限公司 / 2018-12 / 350元,https://book.douban.com/subject/30432804/
贺兰山：一部立着的史诗,9.6,(28人评价),作者/译者： 唐荣尧 ,出版信息：  中国地图出版社 / 2017-1-1 / 58.00,https://book.douban.com/subject/26935394/
蓝色尼罗河,9.6,(112人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 98,https://book.douban.com/subject/35220160/
京都味道,9.5,(19人评价),作者/译者： 张志雄 ,出版信息：  VALUE杂志 / 2015-3 / 50,https://book.douban.com/subject/26356040/
ProvenceSketchbook,9.5,(98人评价),作者/译者： Fabrice Moireau ,出版信息：  Editions Didier Millet / 2009-3-16 / GBP 22.50,https://book.douban.com/subject/4278250/
华夏地理:NG野生动物摄影之最,9.5,(75人评价),作者/译者： 华夏地理杂志社 ,出版信息：  华夏地理杂志社 / 2007 / 35.00,https://book.douban.com/subject/3534398/
西班牙旅行笔记,9.4,(112人评价),作者/译者： 林达 ,出版信息：  生活·读书·新知三联书店 / 2015-11 / 79.00元,https://book.douban.com/subject/26683416/
梦里禅达，印象腾冲:追访《我的团长我的团》,9.4,(99人评价),作者/译者： 小N ,出版信息：  黄山书社 / 2011-6 / 98.00元,https://book.douban.com/subject/6713976/
长歌行,9.4,(22人评价),作者/译者： 林陌 ,出版信息：  四川人民出版社 / 2021-3 / 58.00,https://book.douban.com/subject/35337870/
结，起点亦是终点:雅鲁藏布大峡谷穿越纪实,9.4,(616人评价),作者/译者： 杨柳松 ,出版信息：  凤凰出版社 / 2009-10 / 50.00元,https://book.douban.com/subject/4137276/
一座城池，一路风景,9.4,(32人评价),作者/译者： ,出版信息： 王鑫 摄影 文 / 四川大学出版社 / 58.00元,https://book.douban.com/subject/26301865/
徐霞客游记,9.4,(43人评价),作者/译者： 徐霞客 / 朱惠荣、李兴和 ,出版信息：  中华书局 / 2015-5 / 199.00,https://book.douban.com/subject/26417288/
带着老爸去巴黎-一个小学五年级女生的奇妙之旅,9.3,(18人评价),作者/译者： 崔荷艺琳 ,出版信息：  接力 / 2007-6 / 20.00元,https://book.douban.com/subject/2128706/
爱丁堡画记,9.3,(37人评价),作者/译者： 蒋彝 / 阮叔梅 ,出版信息：  外语教学与研究出版社 / 2018-1-1 / 55,https://book.douban.com/subject/27663311/
埃及的革命考古學:在埃及挖掘被埋葬的革命和歷史,9.3,(511人评价),作者/译者： 何偉(Peter Hessler) / 馮奕達 ,出版信息：  八旗文化 / 2020-1-22 / NTD 600,https://book.douban.com/subject/34920984/
撒哈拉的故事,9.3,(15161人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2009-3 / 20.00,https://book.douban.com/subject/3604517/
浪漫的逃亡:遊日非流行指南,9.3,(3972人评价),作者/译者： 阿信 ,出版信息：  B'IN MUSIC相信音樂國際股份有限公司 / 2008 / 新台币380元,https://book.douban.com/subject/2376570/
柬埔寨双子星:微笑与地雷,9.2,(152人评价),作者/译者： 张志雄 ,出版信息：  香港万里路出版社 / 2020-6 / 87,https://book.douban.com/subject/35157200/
千年一叹（余秋雨独家定稿版，作者直接授权，逐字修订！）,9.2,(11人评价),作者/译者： ,出版信息： 余秋雨 / 北京联合出版有限公司 / 52元,https://book.douban.com/subject/35051009/
一听说那岛上有猫，我就出发了：日本猫岛旅行笔记,9.2,(25人评价),作者/译者： 吴佳芳 ,出版信息：  金城出版社 / 2020-7 / 59.8,https://book.douban.com/subject/35093352/
游吟,9.2,(28人评价),作者/译者： 王以培 ,出版信息：  中国青年出版社 / 2002-1-1 / 28.00,https://book.douban.com/subject/1211113/
白帝城:长江边的古镇（壹）,9.2,(21人评价),作者/译者： ,出版信息： 王以培 / 2012-8 / 36.00元,https://book.douban.com/subject/11498026/
寻找中国之美:少年双城记（北京与南京篇）,9.2,(37人评价),作者/译者： 傅国涌 ,出版信息：  天地出版社 / 2020-4 / 48.00元,https://book.douban.com/subject/35009833/
森林、冰河与鲸,9.2,(293人评价),作者/译者： [日]星野道夫（Michio Hoshino） / 曹逸冰 ,出版信息：  广西师范大学出版社 / 2021-1 / 52.00元,https://book.douban.com/subject/35331766/
RiverTown:TwoYearsontheYangtze,9.2,(366人评价),作者/译者： Peter Hessler ,出版信息：  Harper Perennial / 2001-12-24 / 13.95美元,https://book.douban.com/subject/1419700/
孟火火的第一本书:游魂故乡,9.2,(596人评价),作者/译者： 孟火火 ,出版信息：  九州出版社 / 2015-10-1 / 56.00元,https://book.douban.com/subject/26644958/
忧郁的热带,9.2,(855人评价),作者/译者： 列维-斯特劳斯 / 王志明 ,出版信息：  生活·读书·新知三联书店 / 2003-01 / 28.00,https://book.douban.com/subject/1035165/
另一片天空下:走进历史的全球之旅,9.2,(21人评价),作者/译者： [英]诺曼·戴维斯 / 曾小楚 ,出版信息：  中信出版 / 2020-12 / 248.00元,https://book.douban.com/subject/35062252/
德尔苏·乌扎拉:德尔苏·乌扎拉（专供版）,9.2,(60人评价),作者/译者： 弗.克.阿尔谢尼耶夫 / 王士燮、沈曼丽、黄树南 ,出版信息：  哈尔滨出版社 / 2017-8 / 92.6,https://book.douban.com/subject/30138222/
旅行之木,9.1,(209人评价),作者/译者： [日]星野道夫（Michio Hoshino） / 曹逸冰 ,出版信息：  广西师范大学出版社 / 2021-1 / 42.00元,https://book.douban.com/subject/35331764/
文化苦旅,9.1,(29人评价),作者/译者： 余秋雨 ,出版信息：  北京联合出版有限公司 / 2020-3 / 52.00元,https://book.douban.com/subject/35051018/
世界尽头，不如你在心头,9.1,(40人评价),作者/译者： 林陌 ,出版信息：  四川人民出版社 / 2020-5 / 52.00,https://book.douban.com/subject/35048725/
忧郁的热带:列维－斯特劳斯文集第15卷,9.1,(2571人评价),作者/译者： [法]克洛德·列维-斯特劳斯 / 王志明 ,出版信息：  中国人民大学出版社 / 2009-09 / 45.00,https://book.douban.com/subject/4131380/
江城,9.1,(43634人评价),作者/译者： [美] 彼得·海斯勒 / 李雪顺 ,出版信息：  上海译文出版社 / 2012-1 / 36.00元,https://book.douban.com/subject/7060185/
像山一样思考:寻找梦幻步道的旅程,9.1,(21人评价),作者/译者： 徐铭谦 ,出版信息：  北京出版社 / 2016-9-30 / 68,https://book.douban.com/subject/26900623/
春满北国:美国山川风物四记（新版）,9.1,(117人评价),作者/译者： [美]艾温·威·蒂尔 (Edwin Way Teale) / 南木 ,出版信息：  译林出版社 / 2019-4 / 72.00,https://book.douban.com/subject/30242335/
南方快车,9.1,(70人评价),作者/译者： [智利] 路易斯·塞普尔维达 / 吴娴敏 ,出版信息：  人民文学出版社 / 2020-3 / 39.00元,https://book.douban.com/subject/34833854/
北方的空地,9.1,(2803人评价),作者/译者： 杨柳松 ,出版信息：  重庆出版社 / 2011-4 / 68.00元,https://book.douban.com/subject/6125543/
上海游記・江南游記,9.1,(27人评价),作者/译者： 芥川 龍之介 ,出版信息：  講談社 / 2001-10-10 / JPY 987,https://book.douban.com/subject/24845696/
三怪客泛舟记,9.1,(101人评价),作者/译者： (英) 杰罗姆·K·杰罗姆、Jerome K(lapka) Jerome / 劳陇 ,出版信息：  中国青年出版社 / 1988 / 1.75,https://book.douban.com/subject/3266374/
CountryDriving:AJourneyThroughChinafromFarmtoFactory,9.1,(1350人评价),作者/译者： Peter Hessler ,出版信息：  Harper / 2010-2-9 / USD 27.99,https://book.douban.com/subject/3830729/
ATimeofGifts:OnFoottoConstantinople:FromtheHookofHollandtotheMiddleDanube,9.0,(18人评价),作者/译者： Patrick Leigh Fermor、Jan Morris ,出版信息：  NYRB Classics / 2005-10-3 / USD 16.95,https://book.douban.com/subject/2931912/
徐霞客游记全译（三）:中国历代名著全译丛书,9.0,(22人评价),作者/译者： 徐弘祖 / 朱惠荣/等 ,出版信息：  贵州人民出版社 / 1997-04 / 106.00,https://book.douban.com/subject/1054893/
我也有一个梦想:近距离看美国之三,9.0,(13971人评价),作者/译者： 林达 ,出版信息：  生活·读书·新知三联书店 / 2004-08 / 25.00元,https://book.douban.com/subject/1014825/
