书名,评分,评价人数,作者,出版社,url
黃金神威（19）,9.9,(49人评价),作者/译者： 野田サトル / 赖思宇 ,出版信息：  尖端出版有限公司 / 2020-11 / NTD140,https://book.douban.com/subject/35283435/
守望者:完全版,9.8,(396人评价),作者/译者： [英] 阿兰·摩尔、[英] 戴夫·吉本斯 绘 / 王周凌、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2020-4 / 198.00元,https://book.douban.com/subject/34875846/
灌篮高手（全31卷）,9.8,(5426人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-10 / 232.50元,https://book.douban.com/subject/2025999/
風之谷(06),9.7,(347人评价),作者/译者： 宮崎駿 / J.T. comix ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455538/
親愛なるジーンへ1,9.7,(91人评价),作者/译者： ,出版信息： 吾妻香夜 / 心交社 / 2020-6-26,https://book.douban.com/subject/35041848/
JoJo冒險野郎Part6石之海1,9.7,(599人评价),作者/译者： 荒木飛呂彥 / 黃瑾瑜 ,出版信息：  大然文化 / 民89 / NT$80,https://book.douban.com/subject/2075840/
龙珠(全42册),9.7,(1867人评价),作者/译者： [日] 鸟山明 / 牟琳 ,出版信息：  中国少年儿童出版社 / 2005-7-1 / 367.6,https://book.douban.com/subject/3048059/
乔乔的奇妙冒险第二部·战斗潮流（全七册）,9.7,(130人评价),作者/译者： [日] 荒木飞吕彦 / 赵滢 ,出版信息：  新星出版社 / 2021-3 / 175.00元,https://book.douban.com/subject/35235874/
風之谷(04),9.7,(339人评价),作者/译者： 宮崎駿 / 黃慧璘 ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455532/
机器猫哆啦A梦（共45册）,9.7,(11147人评价),作者/译者： [日本] 藤子·F. 不二雄 / 碧日 ,出版信息：  吉林美术出版社 / 2002-9 / 180.00元,https://book.douban.com/subject/1102403/
風之谷(05),9.7,(346人评价),作者/译者： 宮崎駿 / J.T. comix ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455536/
進擊的巨人30,9.7,(548人评价),作者/译者： 諫山創 / 林志昌 ,出版信息：  東立出版社 / 2020-6-15 / NTD 100.00,https://book.douban.com/subject/35098745/
Monster:CHAPTER1.HERRDOKTORTENMA,9.6,(913人评价),作者/译者： 浦澤直樹 ,出版信息：  文化傳信有限公司 / 1999 / 38,https://book.douban.com/subject/1439687/
黃金神威（15）,9.6,(82人评价),作者/译者： 野田サトル / 賴思宇 ,出版信息：  尖端出版有限公司 / 2019-5 / 140NT,https://book.douban.com/subject/33461960/
灌篮高手1,9.6,(2089人评价),作者/译者： 邓捷 / 邹宁 ,出版信息：  长春出版社 / 2005-4 / 20.00元,https://book.douban.com/subject/1608298/
守望者（下）,9.6,(3310人评价),作者/译者： [英] 阿兰·摩尔 编剧、[英] 戴夫·吉本斯 原画 / 王周凌 翻译、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2014-9-1 / 68.00元,https://book.douban.com/subject/25907864/
新世紀福音戰士14(完):啟程,9.6,(463人评价),作者/译者： 貞本義行、カラー、GAINAX / 章澤儀 ,出版信息：  台灣角川 / 2014-11-20 / NT$120,https://book.douban.com/subject/26068098/
新世纪福音战士13:Calling,9.6,(440人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 小凡 ,出版信息：  湖南美术出版社 / 2012-11 / 15.00元,https://book.douban.com/subject/19954788/
Sunny星之子,9.6,(924人评价),作者/译者： [日] 松本大洋 / 高华鑫、烨伊 ,出版信息：  北京联合出版公司 / 2020-2 / 298.80元,https://book.douban.com/subject/34439699/
黄金神威（17）,9.6,(63人评价),作者/译者： 野田サトル / 賴思宇 ,出版信息：  尖端出版有限公司 / 2020-6 / NT140,https://book.douban.com/subject/35128281/
進擊的巨人29,9.6,(685人评价),作者/译者： 諫山創 / 林志昌 ,出版信息：  東立出版社 / 2020-1-17 / NTD100,https://book.douban.com/subject/34797741/
異獸魔都(07),9.6,(377人评价),作者/译者： 林田球 / 陳少怡 ,出版信息：  長鴻 / 2006-12-26 / 105元,https://book.douban.com/subject/3172184/
風之谷(03),9.6,(371人评价),作者/译者： 宮崎駿 / 黃慧璘 ,出版信息：  東販 / 2001-03-29 / 160元,https://book.douban.com/subject/1455531/
海街日记（全7册）,9.6,(953人评价),作者/译者： [日]吉田秋生 / 邓劼 ,出版信息：  浙江文艺出版社 / 2018-10 / 279.00元,https://book.douban.com/subject/30244560/
世界，就是繞著貓打轉,9.6,(89人评价),作者/译者： ,出版信息： Nobeko / 台灣角川書店 / 2020-8,https://book.douban.com/subject/35216774/
松风,9.6,(1695人评价),作者/译者： 早稻 ,出版信息：  中国水利水电出版社 / 2015-7-10 / 144元,https://book.douban.com/subject/26469245/
新世纪福音战士10:泪,9.6,(405人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-6 / 15.00元,https://book.douban.com/subject/10591689/
鼠族,9.6,(150人评价),作者/译者： 亞特.史畢格曼 / 宋瑛堂 ,出版信息：  臉譜 / 2020-2-6 / 560NT$,https://book.douban.com/subject/34909841/
守望者（上）,9.6,(4152人评价),作者/译者： [英] 阿兰·摩尔 编剧、[英] 戴夫·吉本斯 原画 / 王周凌 翻译、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2014-7-1 / 68.00元,https://book.douban.com/subject/25709685/
進擊的巨人25,9.6,(754人评价),作者/译者： 諫山創 / 林志昌 ,出版信息：  東立出版社 / 2018-6 / NT$100,https://book.douban.com/subject/30186468/
風之谷(07),9.6,(472人评价),作者/译者： 宮崎駿 / J.T. comix ,出版信息：  東販 / 2001-03-29 / 190元,https://book.douban.com/subject/1455540/
常乐同学令我无法告白2,9.6,(29人评价),作者/译者： 常萝、没谱破锅 ,出版信息：  湖南美术出版社 / 2021-2 / 39.8元,https://book.douban.com/subject/35406355/
