书名,评分,评价人数,作者,出版社,url
让心灵歌唱的思想,10.0,(42人评价),作者/译者： [英]萨莉·劳埃德-琼斯、[英]杰戈 / 聂海鸿 ,出版信息：  上海三联书店 / 2017-12 / 68.00元,https://book.douban.com/subject/27599638/
圣经（研用本）:和合本,10.0,(33人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/4848543/
靈性成長:與大我合一的學習之路,9.9,(89人评价),作者/译者： 珊娜雅．羅曼、Sanaya Roman / 羅孝英 ,出版信息：  生命潛能 / 2008-12-26 / NT$320,https://book.douban.com/subject/3388249/
創造金錢2013新版:吸引豐盛與人生志業的靈性教導,9.8,(17人评价),作者/译者： 珊娜雅‧羅曼、杜安‧派克、Sanaya Roman、Duane Packer / 羅孝英、Lucia ,出版信息：  生命潛能 / 2013-11-4 / NT350,https://book.douban.com/subject/25817125/
心灵的重塑,9.8,(30人评价),作者/译者： 魏乐德（Dallas Willard） / 谭晴 ,出版信息：  上海三联书店 / 2019-3 / 68,https://book.douban.com/subject/32581311/
人的景况与神的大能,9.8,(21人评价),作者/译者： 钟马田 ,出版信息：  趙中輝 / 基督教改革宗翻譯社 / 1995,https://book.douban.com/subject/4023399/
耶稣和佛陀的六世情缘:告別娑婆外傳,9.7,(35人评价),作者/译者： 葛瑞・雷納 / 謝明憲 ,出版信息：  橡實文化 / 2018-7-12 / NT380,https://book.douban.com/subject/30281736/
磐石之上:掌握救恩要义稳健属灵生命,9.7,(105人评价),作者/译者： 傅格森 / Virginia Yip（叶从容） ,出版信息：  改革宗出版社 / 2008 / TWD 330,https://book.douban.com/subject/3810394/
生命的重整,9.7,(73人评价),作者/译者： 巴刻、J.I. Packer / 文逢參 ,出版信息：  宣道出版社 / 2001年11月 / 54,https://book.douban.com/subject/3900685/
禅修次第:跟释迦牟尼禅修,9.6,(22人评价),作者/译者： ,出版信息： 艾雅·凯玛 / 2012-9 / 30.00元,https://book.douban.com/subject/18605460/
藏传佛教宁玛派【度亡经全译本】:藏传佛教经典译丛,9.6,(20人评价),作者/译者： 莲花生 / 祁正贤 ,出版信息：  青海民族出版社 / 2012-12-1 / 30.00,https://book.douban.com/subject/26841091/
讲道与讲道的人,9.6,(58人评价),作者/译者： ［英］钟马田 / 夏蔚 ,出版信息：  美国麦种传道会 / 2015-5 / NTW400.00元,https://book.douban.com/subject/26414755/
TheMeaningofMarriage:FacingtheComplexitiesofCommitmentwiththeWisdomofGod,9.6,(52人评价),作者/译者： Timothy Keller ,出版信息：  Dutton / 2011-11-1 / USD 25.95,https://book.douban.com/subject/6867651/
论做十架神学家:反思路德1518海德堡论纲,9.6,(70人评价),作者/译者： 【美】格哈德·福德 / 任传龙 / 橡树图书,出版信息： 上海三联书店 / 2017-7 / 35.00,https://book.douban.com/subject/27072605/
超個人心理治療-心理治療與靈性的整合,9.6,(15人评价),作者/译者： 布蘭特•寇 / 易之新 ,出版信息：  心靈工坊 / 2005年07月06日 / NT$ 380,https://book.douban.com/subject/1393874/
心经,9.6,(2269人评价),作者/译者： 本书编委会 ,出版信息：  宗教文化出版社 / 2006-3 / 108.00元,https://book.douban.com/subject/1840859/
属灵人,9.6,(19人评价),作者/译者： ,出版信息： 倪柝声 / 基督徒出版社 / 2000-8,https://book.douban.com/subject/6053705/
个人觉知的力量:增強心靈感知與能量運作的能力(新版),9.6,(13人评价),作者/译者： 珊娜雅．羅曼(Sanaya Roman) / 羅孝英Lucia ,出版信息：  生命潛能文化事業 / 2014-10-1 / TWD 300,https://book.douban.com/subject/26815187/
TheArtofLiving:VipassanaMeditation,9.6,(26人评价),作者/译者： William Hart ,出版信息：  HarperOne / 1987-3-11 / USD 13.99,https://book.douban.com/subject/4041341/
走向靜默如你本來:印度一代聖哲拉馬納·馬哈希對話錄,9.6,(35人评价),作者/译者： 室利·拉馬納·馬哈希 / 石宏 ,出版信息：  橡實文化 / 2015-1 / NT$ 420,https://book.douban.com/subject/26378655/
瑜伽真的有用嗎？：身心靈覺醒的旅程:當和尚遇到鑽石3,9.6,(24人评价),作者/译者： 麥可.羅區格西 / 謝佩妏 ,出版信息：  橡樹林 / 2013-11-13 / NT400,https://book.douban.com/subject/25807613/
心灵爱语:当我陷入灵命低潮的时候,9.6,(65人评价),作者/译者： 卢云神父 ,出版信息：  温伟耀、马荣德 / 香港卓越书楼 / 1997,https://book.douban.com/subject/3007789/
靈魂永生,9.5,(45人评价),作者/译者： Jane Roberts、珍．羅伯茲 / 王季慶 ,出版信息：  賽斯文化 / 2010-4-1 / NT$600,https://book.douban.com/subject/20501448/
灵魂的香槟:喜乐操练90天,9.5,(22人评价),作者/译者： [加拿大]梅麦克 / 林秀梅 ,出版信息：  团结出版社 / 2016-12 / 38.00元,https://book.douban.com/subject/26945671/
探索奇蹟:認識第四道大師葛吉夫,9.5,(53人评价),作者/译者： 鄔斯賓斯基 P. D. Ouspensky / 黃承晃、劉蘊芳、黃梅峰 ,出版信息：  方智 / 1999年07月03日 / NT$ 400,https://book.douban.com/subject/3115132/
如何明白神的引領,9.5,(28人评价),作者/译者： 劉志雄 ,出版信息：  道聲出版社 / 2005.07 / 劉志雄,https://book.douban.com/subject/3056633/
活像基督:登山寶訓釋義,9.5,(17人评价),作者/译者： ,出版信息： 鍾馬田 / 種籽出版社,https://book.douban.com/subject/3174838/
渴慕神,9.5,(160人评价),作者/译者： 陶恕（美） ,出版信息：  薛玉光 / 宣道出版社（香港） / 2003.07,https://book.douban.com/subject/2142176/
《不再一样》:进行改变生命的操练，察验并活出神的旨意,9.5,(23人评价),作者/译者： [美]亨利•布莱卡比（Henry Blackaby）、[美]理查德·布莱卡比（Richard Blackaby）、[美]克劳德·金（Claude King） / 尚维瑞、叶自菁 ,出版信息：  宗教文化社 / 2018-1 / 68.00元,https://book.douban.com/subject/30168505/
回到当下,9.5,(114人评价),作者/译者： ,出版信息： Joseph Goldstein / 法耘出版社 / 民国八十五年,https://book.douban.com/subject/4729791/
爱不曾遗忘任何人:告别娑婆3,9.5,(53人评价),作者/译者： 葛瑞 雷納（Gary R. Renard） ,出版信息：  蔡孟璇 / 橡實文化 / 2015-7-23,https://book.douban.com/subject/26681849/
告别娑婆,9.5,(32人评价),作者/译者： 葛瑞•雷纳 ,出版信息：  若水 / 河南文艺出版社; / 2017-12-1,https://book.douban.com/subject/30451722/
大天使神諭占卜卡：45張精美大天使卡＋書+雅致絲絨袋:ArchangelOracleCards：A45-CardDeckandGuidebook,9.5,(48人评价),作者/译者： 朵琳．芙秋博士 / 王愉淑Ra Sha ,出版信息：  生命潛能 / 2007年07月01日 / NT$ 680,https://book.douban.com/subject/2133617/
我是誰：找回快樂與自由的隨身練習:《不合理的快樂》隨身實踐版,9.5,(27人评价),作者/译者： 楊定一、繪者：施智騰（Simon）、編者：陳夢怡 ,出版信息：  天下生活 / 2017-7-26 / NT280,https://book.douban.com/subject/27083935/
危机四伏的呼召:教牧事奉独特而艰钜的挑战,9.5,(37人评价),作者/译者： 保罗．大卫．区普 / 吳蘇心美 ,"出版信息：  基督使者协会, 美国 / 2013 / NT$300",https://book.douban.com/subject/26431244/
人学,9.5,(17人评价),作者/译者： [奥地利]鲁道夫·斯坦纳（Rudolf Steiner) / 颜维震 ,出版信息：  洪叶事业文化有限公司 / 2010-07-01 / 250.00,https://book.douban.com/subject/5283390/
圣经（启导本）:中文圣经启导本,9.5,(341人评价),作者/译者： 启导本编辑小组 ,出版信息：  中国基督教协会（南京） / 2000.6 / 68.00,https://book.douban.com/subject/2989572/
占星学:（上）,9.5,(77人评价),作者/译者： ,出版信息： 秦瑞生,https://book.douban.com/subject/3434994/
