书名,评分,评价人数,作者,出版社,url
飘,9.7,(1827人评价),作者/译者： 玛格丽特·米切尔 / 范纯海、夏旻 ,出版信息：  长江文艺出版社 / 2011-6 / 48.00元,https://book.douban.com/subject/6435891/
鸣鸟不飞6,9.6,(189人评价),作者/译者： ヨネダコウ / 黃彥彰 ,出版信息：  尖端 / 2020-1-31 / NT150,https://book.douban.com/subject/26614784/
飘:世界文学名著典藏,9.5,(1434人评价),作者/译者： 玛格丽特·米切尔 / 范纯海 ,出版信息：  长江文艺 / 2002-10 / 50.00元,https://book.douban.com/subject/1748848/
Clannad:Pastpresent,9.5,(942人评价),作者/译者： Clannad ,出版信息：  Music Sales Corporation / 1994-04 / USD 16.45,https://book.douban.com/subject/3082082/
飘（上下）,9.5,(2254人评价),作者/译者： [美国] 玛格丽特·米切尔 / 李美华 ,出版信息：  译林出版社 / 2010-6 / 48.00元,https://book.douban.com/subject/4893870/
爱他，也要爱自己,9.5,(44人评价),作者/译者： 贝弗莉·恩格尔 / 杨淑智 ,出版信息：  重庆 / 2011-5 / 25.00元,https://book.douban.com/subject/6523709/
傲慢与偏见,9.4,(181人评价),作者/译者： 奥斯丁 / 张经浩 ,出版信息：  中国对外翻译出版公司 / 2009-6 / 18.00元,https://book.douban.com/subject/4024336/
乱世佳人:(全译本),9.4,(3022人评价),作者/译者： 玛格丽特.米切尔 / 陈良廷等 ,出版信息：  上海译文出版社 / 1990-5 / 16.10元,https://book.douban.com/subject/1996678/
乱世佳人（上、下）,9.4,(721人评价),作者/译者： [美] 玛格丽特·米切尔 / 陈良廷 ,出版信息：  上海译文出版社 / 2010-8-1 / 50.00元,https://book.douban.com/subject/5245233/
围城,9.3,(67945人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-2-1 / 39.00元,https://book.douban.com/subject/11524204/
亲密关系,9.3,(8524人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
会饮篇,9.3,(6131人评价),作者/译者： 柏拉图 / 王太庆 ,出版信息：  商务印书馆 / 2013-1 / 12.00元,https://book.douban.com/subject/21570668/
四楼的玻璃柱,9.3,(55人评价),作者/译者： ,出版信息： 张叶 / 万卷出版公司 / 2021-2,https://book.douban.com/subject/35396659/
甜蜜恋爱课：建立亲密关系的爱情指南:交个靠谱男友，谈段有效恋爱,9.3,(33人评价),作者/译者： 贝加 ,出版信息：  南海出版社 / 2020-8 / 55.00元,https://book.douban.com/subject/35139831/
要么去爱，要么孤独:法国哲学家论电影续编,9.3,(34人评价),作者/译者： [法] 阿兰·巴迪欧 等 ,出版信息：  李洋 / 河南大学出版社 / 2018-11-1,https://book.douban.com/subject/27001190/
米德尔马契,9.3,(650人评价),作者/译者： [英] 乔治·爱略特 / 项星耀 ,出版信息：  人民文学出版社 / 2018-9 / 78.00元,https://book.douban.com/subject/26986888/
陆犯焉识,9.2,(3248人评价),作者/译者： [美]严歌苓 ,出版信息：  作家出版社 / 2016-8 / 33.0,https://book.douban.com/subject/27065388/
白痴,9.2,(917人评价),作者/译者： [俄] 陀思妥耶夫斯基 / 荣如德 ,出版信息：  上海译文出版社 / 2014-3-1 / CNY 50.00,https://book.douban.com/subject/25773651/
周恩来邓颖超通信选集,9.2,(216人评价),作者/译者： 周恩来邓颖超 ,出版信息：  中央文献出版社 / 2014-4 / 20,https://book.douban.com/subject/26312056/
我等你到三十五岁,9.2,(1249人评价),作者/译者： ,出版信息： 南康白起 / 39.8元,https://book.douban.com/subject/35099889/
PrideandPrejudice,9.2,(4653人评价),作者/译者： Jane Austen ,出版信息：  Bantam Classics / 1983-12-1 / USD 5.95,https://book.douban.com/subject/1455812/
撒哈拉的故事,9.2,(8942人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2017-3-1 / CNY 35.00,https://book.douban.com/subject/26997048/
平如美棠:我俩的故事（第三版）,9.2,(1623人评价),作者/译者： 饶平如 ,出版信息：  广西师范大学出版社 / 2017-10 / 49.80元,https://book.douban.com/subject/27116287/
廊桥遗梦,9.2,(123人评价),作者/译者： [美] 罗伯特·詹姆斯·沃勒 / 资中筠 ,出版信息：  译林出版社 / 2020-8 / 59.00元,https://book.douban.com/subject/35043916/
边城,9.2,(695人评价),作者/译者： 沈从文 ,出版信息：  中国青年出版社 / 2014-1 / 48,https://book.douban.com/subject/25843216/
安娜·卡列尼娜,9.2,(16401人评价),作者/译者： [俄] 列夫·托尔斯泰 / 草婴 ,出版信息：  上海文艺出版社 / 2007-8 / 37.00元,https://book.douban.com/subject/2253380/
英国病人,9.2,(1042人评价),作者/译者： [加拿大] 迈克尔·翁达杰 / 丁骏 ,出版信息：  人民文学出版社 / 2019-8 / 59.00元,https://book.douban.com/subject/30297180/
务虚笔记,9.2,(1298人评价),作者/译者： 史铁生 ,出版信息：  人民文学出版社 / 2011-4-1 / 30.00元,https://book.douban.com/subject/6425901/
男人要有责任感女人才有安全感,9.2,(25人评价),作者/译者： [加]埃利奥特•卡茨 / 唐明秋 ,出版信息：  汕头大学出版社 / 2010-12 / 25.00元,https://book.douban.com/subject/5360866/
双城记,9.2,(4069人评价),作者/译者： [英] 查尔斯·狄更斯 / 宋兆霖 ,出版信息：  作家出版社 / 2015-8 / 25.00元,https://book.douban.com/subject/26915894/
荷西我爱你:台湾三毛作品精选,9.2,(2682人评价),作者/译者： 三毛 ,出版信息：  中国妇女出版社 / 1986 / 1.95元,https://book.douban.com/subject/3054373/
霸王别姬,9.1,(16770人评价),作者/译者： 李碧华 ,出版信息：  人民文学出版社 / 1999-1 / 10.20元,https://book.douban.com/subject/1088711/
聶魯達一百首愛的十四行詩,9.1,(304人评价),作者/译者： ,出版信息： 聶魯達 / 陳黎、張芬齡 / 九歌出版社,https://book.douban.com/subject/1818384/
怦然心动,9.1,(4543人评价),作者/译者： 文德琳·范·德拉安南 / 陈常歌 ,出版信息：  百花洲文艺出版社 / 2016-12-1 / 42.80,https://book.douban.com/subject/26879324/
神雕侠侣（全四册）,9.1,(6080人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 86.00元,https://book.douban.com/subject/1212908/
谁可以这样爱我,9.1,(781人评价),作者/译者： (美)弗兰辛•瑞福尔 / 王汉川、杨倩 ,出版信息：  新世界出版社 / 2011-1-10 / 32.00元,https://book.douban.com/subject/5954613/
大鼻子情圣:《西哈诺·德·贝热拉克》,9.1,(490人评价),作者/译者： 埃德蒙·罗斯丹 / 王文融 ,出版信息：  人民文学出版社 / 2009-6 / 11.00元,https://book.douban.com/subject/3851791/
不能承受的生命之轻,9.1,(5457人评价),作者/译者： [捷克] 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2014-6 / 46.00元,https://book.douban.com/subject/25900384/
倾城之恋:张爱玲全集01,9.1,(3146人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2019-3 / 49.50元,https://book.douban.com/subject/30294357/
蝉女画集·心生：随书附赠角色书签三枚，快看漫画APP,9.1,(153人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/34859266/
牡丹亭,9.1,(2770人评价),作者/译者： （明）汤显祖 著；徐朔方，杨笑杨 校注 ,出版信息：  人民文学出版社 / 2005-5-1 / 20.00元,https://book.douban.com/subject/1317857/
Fingersmith,9.1,(1122人评价),作者/译者： Sarah Waters ,出版信息：  Virago / 2003 / GBP 8.99,https://book.douban.com/subject/1394285/
革命之路,9.1,(1828人评价),作者/译者： [美] 理查德·耶茨 / 侯小翊 ,出版信息：  上海译文出版社 / 2014-3 / 36.00,https://book.douban.com/subject/25754589/
傲慢与偏见:英汉对照世界文学丛书,9.1,(2369人评价),作者/译者： 简·奥斯丁、伊·艾特伍德 / 亦玲 ,出版信息：  上海译文出版社 / 1986 / 11.80,https://book.douban.com/subject/1873723/
白夜行,9.1,(342073人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2013-1-1 / 39.50元,https://book.douban.com/subject/10554308/
半生缘:张爱玲全集04,9.1,(1708人评价),作者/译者： 张爱玲 ,出版信息：  北京十月文艺出版社 / 2019-3 / 55.00元,https://book.douban.com/subject/30294355/
Flipped,9.1,(5266人评价),作者/译者： Wendelin Van Draanen ,出版信息：  Knopf Books for Young Readers / 2001-10-9 / USD 16.99,https://book.douban.com/subject/2669319/
