书名,评分,评价人数,作者,出版社,url
白銀時代:NeoReading,9.6,(17人评价),作者/译者： 王小波 ,出版信息：  自由之丘 / 2013-1 / NTD 350,https://book.douban.com/subject/20458383/
王小波全集,9.6,(98人评价),作者/译者： 王小波 ,出版信息：  北京联合出版公司 / 2014-5-1 / 311.00元,https://book.douban.com/subject/26351750/
我的精神家园,9.5,(134人评价),作者/译者： 王小波 ,出版信息：  作家出版社 / 2016-11-1 / CNY 32.00,https://book.douban.com/subject/27058278/
立新街甲一号与昆仑奴摸鱼儿:《收获》60周年纪念文存珍藏版,9.4,(63人评价),作者/译者： 王小波、刘庆邦、等 ,出版信息：  人民文学出版社 / 2017-9 / 99.00,https://book.douban.com/subject/27132395/
一只特立独行的猪,9.4,(113人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2021-1-1 / 59.00,https://book.douban.com/subject/34950797/
王小波经典著作:沉默的大多数+我的精神家园+一只特立独行的猪,9.4,(46人评价),作者/译者： 王小波 ,出版信息：  北京工业大学出版社 / 2012-10-1 / CNY 75.00,https://book.douban.com/subject/26855489/
活着,9.4,(593866人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-8-1 / 20.00元,https://book.douban.com/subject/4913064/
我们的祖先,9.4,(3928人评价),作者/译者： [意大利] 伊塔洛·卡尔维诺 / 吴正仪 ,出版信息：  译林出版社 / 2008-2 / 35.00元,https://book.douban.com/subject/3025618/
1984,9.4,(6740人评价),作者/译者： George Orwell ,出版信息：  New American Library / 1961-1-1 / USD 9.99,https://book.douban.com/subject/1424314/
1984:动物农场,9.4,(20990人评价),作者/译者： [英] 乔治·奥威尔 / 董乐山、傅惟慈 ,出版信息：  万卷出版公司 / 2010-10 / 25.00元,https://book.douban.com/subject/5299764/
黄金时代（珍藏版）,9.4,(164人评价),作者/译者： 王小波 ,出版信息：  译林出版社 / 2017-2 / 38.80元,https://book.douban.com/subject/27037152/
沉默的大多数(特供版)/王小波全集,9.3,(27人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/27051912/
雾海孤帆（布脊精装插图本）,9.3,(40人评价),作者/译者： 卡达耶夫、В.Катаев / 朱明 ,出版信息：  中国青年出版社 / 1956-07 / 1.6元,https://book.douban.com/subject/3223057/
百年孤独,9.3,(334165人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 范晔 ,出版信息：  南海出版公司 / 2011-6 / 39.50元,https://book.douban.com/subject/6082808/
黃金時代,9.3,(41人评价),作者/译者： 王小波 ,出版信息：  自由之丘 / 2012-11-10 / NT349,https://book.douban.com/subject/20275820/
一九八四·动物农场,9.3,(35289人评价),作者/译者： [英] 乔治·奥威尔 / 董乐山、傅惟慈 ,出版信息：  上海译文出版社 / 2003-4 / 23.00元,https://book.douban.com/subject/1082387/
卡尔维诺文集（第三卷）:我们的祖先,9.3,(4357人评价),作者/译者： [意大利] 卡尔维诺 / 吴正仪 ,出版信息：  译林出版社 / 2001-9 / 21.00元,https://book.douban.com/subject/1066165/
青铜时代,9.3,(76人评价),作者/译者： 王小波 ,出版信息：  上海三联书店 / 2013-1 / 43.80元,https://book.douban.com/subject/20453392/
一九八四,9.3,(3119人评价),作者/译者： [英] 奥威尔 / 孙仲旭 ,出版信息：  上海三联书店 / 2009-1 / 29.80元,https://book.douban.com/subject/4099464/
15至18世纪的物质文明、经济和资本主义（全三卷）,9.3,(338人评价),作者/译者： [法] 费尔南·布罗代尔 / 顾良、施康强 ,出版信息：  生活·读书·新知三联书店 / 2002-5 / 90.00元,https://book.douban.com/subject/1038279/
王小波作品集（杂文卷）,9.3,(98人评价),作者/译者： 王小波 ,出版信息：  现代出版社 / 2016-3 / 45,https://book.douban.com/subject/26802400/
教父,9.3,(2775人评价),作者/译者： 馬里歐·普佐 / 許綬南 ,出版信息：  麥田 / 2002-10-5 / 新台币390元,https://book.douban.com/subject/1818426/
沉默的大多数,9.3,(282人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2021-1 / 59.00,https://book.douban.com/subject/34974501/
王小波全集（全十卷）,9.3,(54人评价),作者/译者： 王小波 ,出版信息：  译林出版社 / 2012-1-1 / 275.60元,https://book.douban.com/subject/19899783/
王小波文集:典藏小波【五册】—黄金时代白银时代青铜时代黑铁时代理想国与哲,9.3,(515人评价),作者/译者： 王小波 ,出版信息：  陕西师大 / 2004-1 / 100.00元,https://book.douban.com/subject/1753077/
七个被绞死的人,9.3,(107人评价),作者/译者： 列·安德列耶夫 / 陆义年、张业民 ,出版信息：  漓江出版社 / 1981 / 1.26,https://book.douban.com/subject/1859073/
王小波文集(4卷),9.3,(551人评价),作者/译者： 王小波 ,出版信息：  中国青年出版社 / 1999 / 138.00,https://book.douban.com/subject/1438928/
王小波全集（第六卷中篇小说）:黄金时代三十而立似水流年革命时期的爱情我的阴阳两界,9.2,(1285人评价),作者/译者： 王小波 ,出版信息：  北京理工大学出版社 / 2009-9 / 24.00元,https://book.douban.com/subject/4039903/
黄金时代:王小波全集（第四卷中篇小说）,9.2,(61人评价),作者/译者： 王小波 ,出版信息：  译林出版社 / 2015-8 / 68.00元,https://book.douban.com/subject/26812957/
新千年文学备忘录,9.2,(2707人评价),作者/译者： (意)伊塔洛·卡尔维诺 / 黄灿然 ,出版信息：  译林出版社 / 2009-3 / 15.00元,https://book.douban.com/subject/3643270/
我的精神家园（珍藏版）,9.2,(128人评价),作者/译者： 王小波 ,出版信息：  译林出版社 / 2017-2 / 31.80,https://book.douban.com/subject/27037151/
銀河情人:王小波短篇小說選,9.2,(25人评价),作者/译者： 王小波 ,出版信息：  自由之丘文創 / 2014-7 / 330台币,https://book.douban.com/subject/25901212/
迪伦马特小说集,9.2,(306人评价),作者/译者： （瑞士）迪伦马特 / 张佩芬 ,出版信息：  上海译文出版社 / 1985-5 / 2.15元,https://book.douban.com/subject/1940642/
美国讲稿,9.2,(1921人评价),作者/译者： [意] 伊塔洛·卡尔维诺 / 萧天佑 ,出版信息：  译林出版社 / 2012-4 / 25.00元,https://book.douban.com/subject/10555538/
陀思妥耶夫斯基中篇小说选,9.2,(205人评价),作者/译者： 陀思妥耶夫斯基 / 陈琳 ,出版信息：  作家出版社 / 2006 / 30.00,https://book.douban.com/subject/1950146/
王小波思想小品,9.2,(231人评价),作者/译者： 王小波 ,出版信息：  中国青年出版社 / 2015-6-1 / 48.00元,https://book.douban.com/subject/26416508/
青铜骑士,9.2,(472人评价),作者/译者： (俄)普希金 / 查良铮 ,出版信息：  新文艺出版社 / 1957 / 0.32,https://book.douban.com/subject/2093212/
沉默的大多数:王小波杂文随笔全编,9.1,(117612人评价),作者/译者： 王小波 ,出版信息：  中国青年出版社 / 1997-10 / 27.00元,https://book.douban.com/subject/1054685/
怀疑三部曲,9.1,(858人评价),作者/译者： 王小波 ,出版信息：  文化艺术出版社 / 2002-2 / 28.00元,https://book.douban.com/subject/1082193/
我与地坛:史铁生代表作,9.1,(72186人评价),作者/译者： 史铁生 ,出版信息：  春风文艺出版社 / 2002-5 / 25.00元,https://book.douban.com/subject/1209899/
