书名,评分,评价人数,作者,出版社,url
投资者养成指南（一）,9.8,(129人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 87,https://book.douban.com/subject/35220162/
史瓦格期貨基本分析:SchwageronFutures:FundamentalAnalysis,9.6,(36人评价),作者/译者： Jack D. Schwager / 寰宇財務顧問公司 ,出版信息：  John Wiley ＆ Sons / 1998年7月 / 480元,https://book.douban.com/subject/1370755/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3495人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
"TheEssaysofWarrenBuffett:LessonsforCorporateAmerica,ThirdEdition",9.6,(26人评价),作者/译者： Warren E. Buffett、Lawrence A. Cunningham ,出版信息：  Carolina Academic Press / 2013-3-15 / USD 29.95,https://book.douban.com/subject/25731167/
投资者文摘:内部刊物,9.6,(29人评价),作者/译者： 张志雄、《Value》杂志社编辑 ,出版信息：  《Value》杂志社 / 2006-1-1 / 50,https://book.douban.com/subject/11520648/
智慧型股票投资人,9.5,(59人评价),作者/译者： 班杰明·葛拉漢 (Benjamin Graham) / 俞濟群 ,出版信息：  寰宇出版 / 1996-12 / 500元,https://book.douban.com/subject/3272812/
公司理财精要,9.4,(40人评价),作者/译者： 罗斯、韦斯特菲尔德、乔丹 / 张建平 ,出版信息：  人民邮电 / 2006-5 / 59.00元,https://book.douban.com/subject/1792206/
公司理财,9.4,(1002人评价),作者/译者： [美] 斯蒂芬 A. 罗斯、[美] 伦道夫 W. 威斯特菲尔德、[美] 杰弗利 F. 杰富 / 吴世农、沈艺峰、王志强 等 ,出版信息：  机械工业出版社 / 2012-1 / 88.00元,https://book.douban.com/subject/10441759/
TheAlmanackofNavalRavikant:AGuidetoWealthandHappiness,9.4,(20人评价),作者/译者： ,出版信息： Eric Jorgenson,https://book.douban.com/subject/35219944/
经济学原理:微观经济学分册,9.4,(10888人评价),作者/译者： [美] N.格里高利·曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2009-4-1 / 54.00元,https://book.douban.com/subject/3719533/
笑傲牛熊,9.3,(204人评价),作者/译者： 【美】史丹·温斯坦 / 亦明 ,出版信息：  中国人民大学出版社 / 2015-9 / 49.00元,https://book.douban.com/subject/26605747/
QualityofEarnings:TheInvestor'sGuidetoHowMuchMoneyaCompanyisReallyMaking,9.3,(17人评价),作者/译者： Thornton L. O'glove ,出版信息：  Free Press / 1998-10-1 / USD 16.95,https://book.douban.com/subject/2778011/
分析与思考:黄奇帆的复旦经济课,9.3,(1325人评价),作者/译者： 黄奇帆 ,出版信息：  上海人民出版社 / 2020-7 / 98.00元,https://book.douban.com/subject/35149551/
人、经济与国家,9.2,(170人评价),作者/译者： [美] 穆雷·N. 罗斯巴德 / 董子云、李松、杨震 ,出版信息：  浙江大学出版社 / 2015-7-1 / 118,https://book.douban.com/subject/26358478/
选择、价值与决策,9.2,(46人评价),作者/译者： [美] 丹尼尔·卡尼曼（Daniel Kahneman）、阿莫斯·特沃斯基（Amos Tversky） / 郑磊 ,出版信息：  机械工业出版社 / 2018-3 / 259.00,https://book.douban.com/subject/30172741/
"JapaneseCandlestickChartingTechniques,SecondEdition",9.2,(17人评价),作者/译者： Steve Nison ,出版信息：  Prentice Hall Press / 2001-10-1 / USD 100.00,https://book.douban.com/subject/2124790/
五大关键数字力:不懂财报，也能轻松选出赚钱绩优股,9.2,(110人评价),作者/译者： 林明樟 ,出版信息：  商周出版 / 2017-1-17 / 420,https://book.douban.com/subject/27004526/
錢教我的真理:日本繳稅排名第一的大戶告訴你，關於錢和人生所有你該知道的事,9.2,(14人评价),作者/译者： 齋藤一人 / 章蓓蕾 ,出版信息：  如果出版 / 2017-9 / NT$260,https://book.douban.com/subject/30316672/
TheIntelligentInvestor:TheDefinitiveBookonValueInvesting.ABookofPracticalCounsel,9.2,(578人评价),作者/译者： Benjamin Graham、Jason Zweig ,出版信息：  HarperBusiness / 2006-2-21 / USD 22.99,https://book.douban.com/subject/1467393/
股票作手回忆录,9.2,(137人评价),作者/译者： 【美】埃德温·李费佛 / 何君 ,出版信息：  地震出版社 / 2012-7-1 / 20.00元,https://book.douban.com/subject/11500071/
投资者的未来（典藏版）,9.2,(183人评价),作者/译者： [美]杰里米 J.西格尔 ,出版信息：  机械工业出版社 / 2018-9 / 80,https://book.douban.com/subject/30313572/
