书名,评分,评价人数,作者,出版社,url
活着,9.4,(593994人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-8-1 / 20.00元,https://book.douban.com/subject/4913064/
云边有个小卖部,7.5,(46668人评价),作者/译者： 张嘉佳 ,出版信息：  湖南文艺出版社 / 2018-7 / 42.00元,https://book.douban.com/subject/30254298/
许三观卖血记,9.0,(73515人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-9 / 24.00元,https://book.douban.com/subject/4760224/
我们仨,8.7,(263626人评价),作者/译者： 杨绛 ,出版信息：  生活·读书·新知三联书店 / 2003-7 / 18.80元,https://book.douban.com/subject/1023045/
山茶文具店,8.3,(29080人评价),作者/译者： [日] 小川糸 / 王蕴洁 ,出版信息：  湖南文艺出版社 / 2018-3 / 49.80,https://book.douban.com/subject/28656614/
我们为什么要睡觉？,8.5,(642人评价),作者/译者： [英] 马修·沃克 / 田盈春 ,出版信息：  后浪丨北京联合出版公司 / 2021-3 / 60.00元,https://book.douban.com/subject/35332778/
许三观卖血记,8.8,(208539人评价),作者/译者： 余华 ,出版信息：  南海出版公司 / 1998-9 / 16.80元,https://book.douban.com/subject/1029791/
你想过怎样的一生？:从0到100岁，该学会的人生大事，都在这些生活的小事里了,8.5,(3217人评价),作者/译者： [德] 海克·法勒  文、[意] 瓦莱里奥·维达里  图 / 俞洁琼 ,出版信息：  后浪｜北京联合出版公司 / 2020-11 / 118.00元,https://book.douban.com/subject/35217952/
人间草木,9.1,(20644人评价),作者/译者： 汪曾祺 ,出版信息：  江苏文艺出版社 / 2005-01 / 20.00元,https://book.douban.com/subject/1253310/
断舍离,7.4,(36990人评价),作者/译者： 山下英子 / 吴倩 ,出版信息：  广西科学技术出版社 / 2013-7-30 / CNY 32.00,https://book.douban.com/subject/24749465/
无声告白,8.2,(124907人评价),作者/译者： [美] 伍绮诗 / 孙璐 ,出版信息：  江苏凤凰文艺出版社 / 2015-7 / 35.00元,https://book.douban.com/subject/26382433/
人间值得,8.1,(12780人评价),作者/译者： [日]中村恒子、[日]奥田弘美 / 范宏涛 ,出版信息：  北京日报出版社 / 2019-8 / 49.90元,https://book.douban.com/subject/34797578/
原则,8.3,(26926人评价),作者/译者： [美] 瑞·达利欧 / 刘波、綦相 ,出版信息：  中信出版社 / 2018-1 / CNY 98.00,https://book.douban.com/subject/27608239/
当我谈跑步时我谈些什么,8.2,(84315人评价),作者/译者： [日] 村上春树 / 施小炜 ,出版信息：  南海出版公司 / 2009-1 / 25.00,https://book.douban.com/subject/3369600/
生活蒙太奇,9.0,(4038人评价),作者/译者： 天然 ,出版信息：  湖南文艺出版社 / 2020-7 / 128.00元,https://book.douban.com/subject/35088492/
