书名,评分,评价人数,作者,出版社,url
ThisIsServiceDesignDoing:ApplyingServiceDesignandDesignThinkingintheRealWorld,9.4,(30人评价),作者/译者： Marc Stickdorn、Markus Edgar Hormess、Adam Lawrence、Jakob Schneider ,出版信息：  O'Reilly Media / 2016-11-25 / USD 39.99,https://book.douban.com/subject/26840634/
iOSHumanInterfaceGuidelines:UserExperience,9.3,(121人评价),作者/译者： ,出版信息： Apple / free,https://book.douban.com/subject/10465946/
问卷统计分析实务:SPSS操作与应用,9.2,(168人评价),作者/译者： 吴明隆 ,出版信息：  重庆大学出版社 / 2010-5-1 / 69.00元,https://book.douban.com/subject/4886012/
設計的法則:100個影響認知、增加美感，讓設計更好的關鍵法則,9.2,(69人评价),作者/译者： 威廉‧立德威（William Lidwell）、克汀娜‧荷登（Kritina Holden）、吉兒‧巴特勒（Jill Butler） / 呂亨英 ,出版信息：  原點出版社 / 2008-07-25 / 新台幣600元,https://book.douban.com/subject/3154020/
TheElementsofUserExperience:User-CenteredDesignfortheWebandBeyond,9.2,(39人评价),作者/译者： Jesse James Garrett ,出版信息：  New Riders / 2010-12-26 / USD 44.99,https://book.douban.com/subject/4287111/
"TheElementsofStyle,FourthEdition",9.2,(2643人评价),作者/译者： William Strunk Jr.、E. B. White ,出版信息：  Longman / 1999-8-2 / USD 9.95,https://book.douban.com/subject/1433835/
HTMLandCSS:DesignandBuildWebsites,9.1,(207人评价),作者/译者： Jon Duckett ,出版信息：  Wiley / 2011-11-8 / USD 29.99,https://book.douban.com/subject/6585090/
设计中的设计|全本,9.1,(8402人评价),作者/译者： [日] 原研哉 / 纪江红、朱锷 ,出版信息：  广西师范大学出版社 / 2010-09 / 98.00元,https://book.douban.com/subject/4230237/
社会性动物,9.1,(10608人评价),作者/译者： 埃利奥特·阿伦森Elliot Aronson / 邢占军 ,出版信息：  华东师范大学出版社 / 2007-12 / 45.00元,https://book.douban.com/subject/2328458/
JavaScript语言精粹,9.1,(1902人评价),作者/译者： Douglas Crockford / 赵泽欣、鄢学鹍 ,出版信息：  电子工业出版社 / 2009-4 / 35.00元,https://book.douban.com/subject/3590768/
交互设计：原理与方法,9.1,(53人评价),作者/译者： 顾振宇 ,出版信息：  清华大学出版社 / 2016-11-1 / 88,https://book.douban.com/subject/26978939/
"ThisIsServiceDesignThinking:Basics,Tools,Cases",9.1,(61人评价),作者/译者： Marc Stickdorn ,出版信息：  Wiley / 2012-1-11 / 253.00元,https://book.douban.com/subject/6915786/
游戏设计艺术（第2版）,9.1,(564人评价),作者/译者： 【美】 Jesse Schell（杰西•谢尔） / 刘嘉俊 等 ,出版信息：  电子工业出版社 / 2016-4-1 / 168.00元,https://book.douban.com/subject/26791007/
社会心理学,9.1,(503人评价),作者/译者： E. Aronson / 侯玉波 ,出版信息：  中国轻工业出版社 / 2007-1 / 58.00元,https://book.douban.com/subject/1930235/
营销管理,9.0,(2099人评价),作者/译者： [美] 菲利普·科特勒、[美] 凯文·莱恩·凯勒 / 梅清豪 ,出版信息：  上海人民出版社 / 2006-9 / 78.00元,https://book.douban.com/subject/1894695/
UniversalPrinciplesofDesign,9.0,(75人评价),作者/译者： William Lidwell、Kritina Holden、Jill Butler ,出版信息：  Rockport Publishers / 2003-10-01 / USD 40.00,https://book.douban.com/subject/1920714/
DesigningInteractions,9.0,(508人评价),作者/译者： Bill Moggridge ,出版信息：  MIT Press / 2006-11-24 / GBP 30.95,https://book.douban.com/subject/1894206/
"HandbookofUsabilityTesting:HowtoPlan,Design,andConductEffectiveTests",9.0,(65人评价),作者/译者： Jeffrey Rubin、Dana Chisnell ,出版信息：  Wiley / 2008-5-12 / USD 60.00,https://book.douban.com/subject/3990626/
