书名,评分,评价人数,作者,出版社,url
Mondo电影海报艺术典藏,9.5,(1658人评价),作者/译者： [美]Mondo公司 / 江 汇、孙宝库 ,出版信息：  后浪丨四川美术出版社 / 2019-12 / 398.00元,https://book.douban.com/subject/34922269/
看电影，学历史,7.0,(144人评价),作者/译者： 蒋竹山 ,出版信息：  上海人民出版社 / 2021-3 / 49,https://book.douban.com/subject/35343243/
故事:材质、结构、风格和银幕剧作的原理,9.2,(13109人评价),作者/译者： [美] 罗伯特·麦基 / 周铁东 ,出版信息：  天津人民出版社 / 2014-9-1 / 68.00元,https://book.douban.com/subject/25976544/
认识电影:插图第11版,8.9,(15443人评价),作者/译者： [美] 路易斯·贾内梯、[瑞典] 英格玛·伯格曼 [日] 黑泽明 等供图 / 焦雄屏 ,出版信息：  世界图书出版公司 / 2007-11 / 68.00元,https://book.douban.com/subject/2326403/
雕刻时光,9.5,(4816人评价),作者/译者： [苏] 安德烈·塔可夫斯基 / 张晓东 ,出版信息：  南海出版公司 / 2016-5 / 45.00元,https://book.douban.com/subject/26435510/
王家卫的电影世界,8.3,(214人评价),作者/译者： [马来]张建德 / 苏涛 ,出版信息：  北京大学出版社 / 2021-3 / 60.00,https://book.douban.com/subject/34954799/
认识电影,9.2,(3378人评价),作者/译者： [美] 路易斯·贾内梯 / 焦雄屏 ,出版信息：  北京联合出版公司 / 2016-9 / 280.00元,https://book.douban.com/subject/26848740/
贾想I:贾樟柯电影手记1996—2008,9.0,(8093人评价),作者/译者： 贾樟柯、万佳欢 编 ,出版信息：  理想国|台海出版社 / 2017-6-1 / 49.00元,https://book.douban.com/subject/27062726/
电影的口音:贾樟柯谈贾樟柯,8.3,(99人评价),作者/译者： [美] 白睿文 编 ,出版信息：  广西师范大学出版社 / 2021-4-1 / 78.00,https://book.douban.com/subject/35152149/
拍电影时我在想的事,8.9,(5282人评价),作者/译者： [日]是枝裕和 / 褚方叶 ,出版信息：  南海出版公司 / 2018-11 / 88.00,https://book.douban.com/subject/30304849/
绿眼睛:杜拉斯与电影,8.5,(168人评价),作者/译者： [法] 玛格丽特·杜拉斯 / 陆一琛 ,出版信息：  后浪丨民主与建设出版社 / 2021-1 / 111.00元,https://book.douban.com/subject/35239380/
布达佩斯大饭店:韦斯·安德森作品典藏,9.8,(130人评价),作者/译者： [德] 马特·佐勒·塞茨、Matt Zoller Seitz / 邹艾旸 ,出版信息：  后浪丨九州出版社 / 2021-5 / 198.00元,https://book.douban.com/subject/35148941/
北野武的小酒馆,8.0,(29611人评价),作者/译者： [日] 北野武 / 姜向明 / 雅众文化,出版信息： 新星出版社 / 2017-12 / 45.00,https://book.douban.com/subject/27174130/
十年一觉电影梦:李安传,8.7,(5890人评价),作者/译者： 张靓蓓 ,出版信息：  中信出版社 / 2013-4 / 49.80元,https://book.douban.com/subject/21361157/
用电影燃尽欲望,8.8,(1329人评价),作者/译者： [日] 园子温 / 余梦娇 ,出版信息：  北京联合出版公司 / 2020-10 / 55.00,https://book.douban.com/subject/35083657/
烧纸,8.6,(7136人评价),作者/译者： [韩] 李沧东 / 金冉 ,出版信息：  武汉大学出版社 / 2020-5 / 58.00,https://book.douban.com/subject/30441551/
贾樟柯的世界,7.9,(295人评价),作者/译者： [法] 让-米歇尔·付东（Jean-Michel Frodon） / 孔潜 ,出版信息：  广西师范大学出版社 / 2021-1 / 68.00,https://book.douban.com/subject/35231518/
世界电影史（第二版）,9.4,(2402人评价),作者/译者： [美]大卫·波德维尔、克里斯汀·汤普森 / 范倍 ,出版信息：  北京大学出版社 / 2014-2-1 / 198.00元,https://book.douban.com/subject/25712811/
故事:材质、结构、风格和银幕剧作的原理,9.3,(3403人评价),作者/译者： 罗伯特・麦基 / 周铁东 ,出版信息：  天津人民出版社 / 2016-1 / 49.00元,https://book.douban.com/subject/26717137/
情书,8.6,(93522人评价),作者/译者： [日] 岩井俊二 / 穆晓芳 ,出版信息：  天津人民出版社 / 2004-7 / 18.00元,https://book.douban.com/subject/1080370/
电影的秘密:形式与意义（插图第6版）,9.0,(883人评价),作者/译者： [美] 斯蒂芬·普林斯 / 王彤 ,出版信息：  文化发展出版社 / 2018-11 / 110.00元,https://book.douban.com/subject/30301599/
贾想II:贾樟柯电影手记2008—2016,8.4,(5704人评价),作者/译者： 贾樟柯、万佳欢 编 ,出版信息：  理想国 | 台海出版社 / 2018-1 / 49.00,https://book.douban.com/subject/27600198/
电影海报艺术史,8.7,(58人评价),作者/译者： 伊恩·海顿·史密斯、Ian Haydn Smith / 杜盈 ,出版信息：  中国画报出版社 / 2020-12 / 198.00元,https://book.douban.com/subject/35239668/
樱桃的滋味:阿巴斯谈电影,9.3,(1979人评价),作者/译者： [伊朗] 阿巴斯·基阿鲁斯达米 / btr ,出版信息：  中信出版集团 / 2017-9 / 48.00元,https://book.douban.com/subject/27091427/
眨眼之间:电影剪辑的奥秘（第2版）,8.1,(2695人评价),作者/译者： [美] 沃尔特·默奇 / 夏彤 ,出版信息：  北京联合出版公司 / 2012-8 / 26.00元,https://book.douban.com/subject/11601218/
救猫咪:电影编剧宝典,7.8,(3423人评价),作者/译者： [美] 布莱克·斯奈德 / 王旭锋 ,出版信息：  浙江大学出版社 / 2011-1 / 32.00元,https://book.douban.com/subject/6012933/
少年凯歌,9.2,(6736人评价),作者/译者： 陈凯歌 ,出版信息：  人民文学出版社 / 2001-6 / 10.00元,https://book.douban.com/subject/1091203/
电影艺术（插图第8版）:形式与风格,8.9,(3202人评价),作者/译者： [美] 大卫·波德维尔、克里斯汀·汤普森 / 曾伟祯 ,出版信息：  世界图书出版公司 / 2008-10 / 78.00元,https://book.douban.com/subject/3227478/
解忧电影院:那些电影教我的事,7.7,(54人评价),作者/译者： 水尢、水某 / 水某 ,出版信息：  有风丨中国友谊出版公司 / 2021-2 / 49.80元,https://book.douban.com/subject/35324907/
