书名,评分,评价人数,作者,出版社,url
欲望之狮:美国的白领犯罪与掠夺,9.8,(147人评价),作者/译者： ,出版信息： [美] 斯蒂芬·罗塞夫 等 / 廖斌 等 / 中国政法大学出版社,https://book.douban.com/subject/30270220/
卡拉马佐夫兄弟,9.7,(7845人评价),作者/译者： 陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 ,出版信息：  上海译文出版社 / 2015-2-1 / CNY 78.00,https://book.douban.com/subject/25887924/
字游上海,9.7,(32人评价),作者/译者： 姜庆共、刘瑞樱 ,出版信息：  上海人民美术出版社 / 2021-4 / 108,https://book.douban.com/subject/35408305/
红楼梦,9.6,(333535人评价),作者/译者： [清] 曹雪芹 著、高鹗 续 ,出版信息：  人民文学出版社 / 1996-12 / 59.70元,https://book.douban.com/subject/1007305/
艺术通史:修订升级版,9.6,(165人评价),作者/译者： [英] 史蒂芬·法辛 / 杨凌峰 ,出版信息：  未读·艺术家·北京联合出版公司 / 2019-12 / 268.00元,https://book.douban.com/subject/34443586/
一间自己的房间,9.6,(90人评价),作者/译者： [英]弗吉尼亚•吴尔夫 / 贾辉丰 ,出版信息：  商务印书馆 / 2019-4 / 28.00,https://book.douban.com/subject/30477653/
当代中国经济改革教程,9.6,(178人评价),作者/译者： 吴敬琏 ,出版信息：  上海远东出版社 / 2016-1 / 78,https://book.douban.com/subject/26729910/
四风街:一条老街的百年变迁史,9.6,(26人评价),作者/译者： [法] 杰西·马格纳、[法] 马加利·阿蒂奥格比 / 法小珂 ,出版信息：  未读·浙江教育出版社 / 2021-4-1 / 88,https://book.douban.com/subject/35418465/
规训与惩罚:监狱的诞生,9.6,(577人评价),作者/译者： [法] 米歇尔·福柯 / 刘北成、杨远婴 ,出版信息：  生活·读书·新知三联书店 / 2019-10 / 48.00元,https://book.douban.com/subject/33455183/
在峡江的转弯处:陈行甲人生笔记,9.5,(697人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
发现社会:西方社会学思想述评,9.5,(1214人评价),作者/译者： [美]兰德尔·柯林斯、[美]迈克尔·马科夫斯基 / 李霞 ,出版信息：  商务印书馆 / 2014-5 / 39.00,https://book.douban.com/subject/25924609/
跨越边界的社区（修订版）:北京“浙江村”的生活史,9.5,(4317人评价),作者/译者： 项飙 ,出版信息：  生活·读书·新知三联书店 / 2018-3 / 68.00元,https://book.douban.com/subject/30116399/
家庭、私有制和国家的起源,9.5,(280人评价),作者/译者： [德] 弗里德里希·恩格斯 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-12 / 30.00,https://book.douban.com/subject/27194805/
史学理论手册:TheSAGEHandbookofHistoricalTheory,9.5,(119人评价),作者/译者： [加] 南希·帕特纳（Nancy Partner）、[英]萨拉·富特（Sarah Foot） / 余伟、何立民 ,出版信息：  格致出版社 / 2017-7-1 / 118,https://book.douban.com/subject/27034240/
TheBuried:AnArchaeologyoftheEgyptianRevolution,9.5,(548人评价),作者/译者： Peter Hessler ,出版信息：  Penguin Press / 2019-5-7 / GBP 21.53,https://book.douban.com/subject/30347299/
社会学的基本概念・经济行动与社会团体,9.5,(147人评价),作者/译者： 马克斯•韦伯 (Max Weber) / 康乐、简惠美 ,出版信息：  广西师范大学出版社 / 2011-3-1 / 42.00元,https://book.douban.com/subject/6521435/
呐喊:呐喊,9.5,(2287人评价),作者/译者： 鲁迅 ,出版信息：  译林出版社 / 2013-11-1 / 10.8,https://book.douban.com/subject/25745773/
南京大屠杀:第二次世界大战中被遗忘的大浩劫,9.5,(5606人评价),作者/译者： [美] 张纯如 / 谭春霞、焦国林 ,出版信息：  中信出版社 / 2013-1 / 49.00元,https://book.douban.com/subject/20440053/
社会与政治运动讲义（第二版）,9.5,(933人评价),作者/译者： 赵鼎新 ,出版信息：  社会科学文献出版社 / 2012-1 / 45.00元,https://book.douban.com/subject/10456130/
1987,9.5,(427人评价),作者/译者： ,出版信息： [韓]河昌秀 / Ho Meroseu / 2013,https://book.douban.com/subject/25661345/
药,9.5,(929人评价),作者/译者： ,出版信息： 鲁迅原著 / 1979-12,https://book.douban.com/subject/26881522/
终结一切战争:忠诚、反叛与世界大战1914-1918,9.5,(29人评价),作者/译者： [美]亚当·霍赫希尔德 / 林春野 ,出版信息：  社会科学文献出版社 / 2021-4 / 102.00,https://book.douban.com/subject/35063204/
一九八四（纪念版）,9.5,(1265人评价),作者/译者： （英国）乔治·奥威尔 / 孙仲旭 ,出版信息：  译林出版社 / 2016-9 / 35.00元,https://book.douban.com/subject/26877597/
田园诗与狂想曲:关中模式与前近代社会的再认识,9.5,(247人评价),作者/译者： 秦晖、金雁 ,出版信息：  江苏凤凰文艺出版社 / 2019-1 / 78.00,https://book.douban.com/subject/30422816/
世界的苦难:布尔迪厄的社会调查,9.4,(625人评价),作者/译者： [法] 皮埃尔·布尔迪厄 / 张祖建 ,出版信息：  中国人民大学出版社 / 2017-1 / 138.00,https://book.douban.com/subject/26943381/
中国社会史,9.4,(223人评价),作者/译者： 梁庚尧 ,出版信息：  东方出版中心 / 2016-5-1 / 58.00元,https://book.douban.com/subject/26776858/
漫长的诉讼:环境污染、白血病儿童和对司法公正的追求,9.4,(163人评价),作者/译者： 乔纳森.哈尔 / 李文远、于洋 ,出版信息：  新世界出版社 / 2018-5 / 59.80元,https://book.douban.com/subject/30222743/
熔炉:十周年纪念版,9.4,(1527人评价),作者/译者： [韩] 孔枝泳 / 张琪惠 ,出版信息：  北京联合出版公司 / 2020-6 / 52.8,https://book.douban.com/subject/34970373/
现实的社会建构:知识社会学论纲,9.4,(1016人评价),作者/译者： [美] 彼得·伯格、[美] 托马斯·卢克曼 / 吴肃然 ,出版信息：  北京大学出版社 / 2019-3 / 38.00元,https://book.douban.com/subject/30421672/
变形记,9.4,(218人评价),作者/译者： [奥地利] 弗朗茨·卡夫卡 / 彤雅立 ,出版信息：  未读·北京燕山出版社 / 2020-1-1 / 45.00,https://book.douban.com/subject/35218475/
历史深处的忧虑:近距离看美国之一,9.4,(581人评价),作者/译者： 林达 ,出版信息：  生活·读书新知三联书店 / 2015-11 / 43.00元,https://book.douban.com/subject/26696539/
双重时间:与西方文学的对话,9.4,(23人评价),作者/译者： 柏琳 ,出版信息：  四川人民出版社 / 2021-4 / 68,https://book.douban.com/subject/35413860/
动物农场,9.4,(807人评价),作者/译者： 乔治·奥威尔 / 姜希颖 ,出版信息：  时代文艺出版社 / 2018-1 / 24.00元,https://book.douban.com/subject/30214916/
大染坊,9.4,(34人评价),作者/译者： 陈杰 / 万卷出版公司,出版信息： 万榕书业 / 2016-9 / 39.5元,https://book.douban.com/subject/26878560/
传统十论:本土社会的制度、文化及其变革,9.4,(579人评价),作者/译者： 秦晖 ,出版信息：  山西人民出版社 / 2019-10 / 88.00元,https://book.douban.com/subject/34788663/
双城记,9.4,(121人评价),作者/译者： [英] 查尔斯·狄更斯 / 宋兆霖 ,出版信息：  译林出版社 / 2020-6 / 45.00元,https://book.douban.com/subject/35014816/
悲惨世界（上下）,9.4,(1130人评价),作者/译者： （法）雨果 / 潘丽珍 ,出版信息：  译林出版社 / 2010-11 / 68.00元,https://book.douban.com/subject/5407295/
东京梦华录:全彩插图版,9.4,(26人评价),作者/译者： 【宋】孟元老 / 侯印国 ,出版信息：  三秦出版社 / 2021-5-6 / 88,https://book.douban.com/subject/35436867/
领悟方法:社会科学研究中的方法误用及解决之道,9.4,(71人评价),作者/译者： [美]约翰·李维·马丁 / 高勇 ,出版信息：  重庆大学出版社 / 2020-10-1 / 55,https://book.douban.com/subject/35233343/
1984,9.4,(6741人评价),作者/译者： George Orwell ,出版信息：  New American Library / 1961-1-1 / USD 9.99,https://book.douban.com/subject/1424314/
乡土中国,9.4,(311人评价),作者/译者： 费孝通 ,出版信息：  北京出版社 / 2016-10-1 / 21.00元,https://book.douban.com/subject/27010599/
活着,9.4,(593991人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2012-8-1 / 20.00元,https://book.douban.com/subject/4913064/
第三帝国的到来:第三帝国三部曲01,9.4,(1766人评价),作者/译者： [英] 理查德·J. 埃文斯 / 赖丽薇 ,出版信息：  九州出版社 / 2020-2 / 145.00元,https://book.douban.com/subject/34928222/
乡土中国生育制度乡土重建,9.4,(662人评价),作者/译者： 费孝通 ,出版信息：  商务印书馆 / 2011-12 / 50.00元,https://book.douban.com/subject/10532835/
动物庄园,9.3,(30639人评价),作者/译者： 乔治•奥威尔 (George Orwell) / 隗静秋 ,出版信息：  上海三联书店 / 2009-6-1 / 16.00元,https://book.douban.com/subject/3808982/
十三邀3：“我们都在给大问题做注脚”,9.3,(301人评价),作者/译者： 许知远 ,出版信息：  一頁folio | 广西师范大学出版社 / 2020-12-1 / 58.00,https://book.douban.com/subject/35253765/
知晓我姓名,9.3,(2687人评价),作者/译者： [美]香奈儿·米勒 / 陈毓飞 / 世纪文景,出版信息： 上海人民出版社 / 2020-8 / 59.00元,https://book.douban.com/subject/35093999/
符号学原理与推演:原理与推演,9.3,(276人评价),作者/译者： 赵毅衡 ,出版信息：  南京大学出版社 / 2011-3 / 55.00元,https://book.douban.com/subject/6042298/
成功的反思:混亂世局中，我們必須重新學習的一堂課,9.3,(23人评价),作者/译者： 邁可．桑德爾（Michael J. Sandel） ,出版信息：  賴盈滿 / 先覺 / 2021-2,https://book.douban.com/subject/35335482/
昨日之我与今日之我:当代史学的反思与阐释,9.3,(21人评价),作者/译者： 杨念群 ,出版信息：  四川人民出版社 / 2020-11-15 / 86.00元,https://book.douban.com/subject/35128161/
