书名,评分,评价人数,作者,出版社,url
规训革命:加尔文主义与近代早期欧洲国家的兴起,9.9,(27人评价),作者/译者： [美]菲利普·S. 戈尔斯基 / 李钧鹏、李腾 ,出版信息：  北京师范大学出版社 / 2021-2-15 / 79.00元,https://book.douban.com/subject/35256019/
在国家与社会之间:明清广东地区里甲赋役制度与乡村社会（增订版）,9.9,(34人评价),作者/译者： 刘志伟 ,出版信息：  北京师范大学出版社 / 2021-1-1 / 98.00元,https://book.douban.com/subject/35237281/
资本论:马克思诞辰200周年纪念版,9.8,(686人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-5 / 240.00,https://book.douban.com/subject/30316487/
中国茶图鉴,9.8,(56人评价),作者/译者： 李韬 ,出版信息：  江苏凤凰科学技术出版社 / 2021-2 / 138.00元,https://book.douban.com/subject/35374620/
中国社会各阶级的分析,9.8,(97人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.05元,https://book.douban.com/subject/35039831/
第二性:第二性第一卷/第二卷上/第二卷下,9.7,(94人评价),作者/译者： 西蒙.德.波娃(Simone de Beauvoir) / 邱瑞鑾 ,出版信息：  貓頭鷹出版社 / 2013-10-8 / NT$1500,https://book.douban.com/subject/25712807/
女性面對的戰爭:及那些敢於抵抗的勇者,9.7,(84人评价),作者/译者： 蘇‧勞伊德•羅伯茨（Sue Lloyd-Roberts） / 謝濱安 ,出版信息：  自由之丘 / 2018-1-10 / NT$ 400.00,https://book.douban.com/subject/27665046/
实践与理论:中国社会、经济与法律的历史与现实研究,9.6,(51人评价),作者/译者： 黄宗智 ,出版信息：  法律出版社 / 2015-9-1 / CNY 110.00,https://book.douban.com/subject/26657828/
规训与惩罚:监狱的诞生,9.6,(577人评价),作者/译者： [法] 米歇尔·福柯 / 刘北成、杨远婴 ,出版信息：  生活·读书·新知三联书店 / 2019-10 / 48.00元,https://book.douban.com/subject/33455183/
反思社会学导引,9.6,(284人评价),作者/译者： [法] 布尔迪厄、[美] 华康德 / 李猛、李康 ,出版信息：  商务印书馆 / 2015-12 / 39.00,https://book.douban.com/subject/26647780/
人类动物园:“裸猿三部曲”之二,9.6,(11人评价),作者/译者： [英] 德斯蒙德·莫利斯 / 何道宽 ,出版信息：  上海译文出版社 / 2021-3 / 48,https://book.douban.com/subject/35365679/
支配社会学,9.6,(276人评价),作者/译者： 马克斯·韦伯 / 康乐、简惠美 ,出版信息：  广西师范大学出版社 / 2010-11 / 48.00元,https://book.douban.com/subject/6436044/
一九八四（纪念版）,9.5,(1265人评价),作者/译者： （英国）乔治·奥威尔 / 孙仲旭 ,出版信息：  译林出版社 / 2016-9 / 35.00元,https://book.douban.com/subject/26877597/
社会与政治运动讲义（第二版）,9.5,(933人评价),作者/译者： 赵鼎新 ,出版信息：  社会科学文献出版社 / 2012-1 / 45.00元,https://book.douban.com/subject/10456130/
规训与惩罚(修订译本)(第4版),9.5,(1488人评价),作者/译者： [法] 米歇尔·福柯 / 刘北成、杨远婴 ,出版信息：  生活·读书·新知三联书店 / 2012-9 / 38.00元,https://book.douban.com/subject/20258505/
发现社会:西方社会学思想述评,9.5,(1214人评价),作者/译者： [美]兰德尔·柯林斯、[美]迈克尔·马科夫斯基 / 李霞 ,出版信息：  商务印书馆 / 2014-5 / 39.00,https://book.douban.com/subject/25924609/
田园诗与狂想曲:关中模式与前近代社会的再认识,9.5,(247人评价),作者/译者： 秦晖、金雁 ,出版信息：  江苏凤凰文艺出版社 / 2019-1 / 78.00,https://book.douban.com/subject/30422816/
科学作为天职:韦伯与我们时代的命运,9.5,(571人评价),作者/译者： 李猛 编 ,出版信息：  生活·读书·新知三联书店 / 2018-8 / 45.00元,https://book.douban.com/subject/30233984/
清代地方政府,9.5,(379人评价),作者/译者： 瞿同祖 / 范忠信、何鹏、晏锋 ,出版信息：  法律出版社 / 2011-5 / 34.00元,https://book.douban.com/subject/6440640/
跨越边界的社区（修订版）:北京“浙江村”的生活史,9.5,(4317人评价),作者/译者： 项飙 ,出版信息：  生活·读书·新知三联书店 / 2018-3 / 68.00元,https://book.douban.com/subject/30116399/
终结一切战争:忠诚、反叛与世界大战1914-1918,9.5,(29人评价),作者/译者： [美]亚当·霍赫希尔德 / 林春野 ,出版信息：  社会科学文献出版社 / 2021-4 / 102.00,https://book.douban.com/subject/35063204/
论持久战,9.5,(318人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1975-12 / 0.18,https://book.douban.com/subject/30315038/
行动科学:探究与介入的概念方法与技能,9.5,(66人评价),作者/译者： [美] 克里斯·阿吉里斯、罗伯特·帕特南、戴安娜·麦克莱恩·史密斯 / 夏林清 ,出版信息：  教育科学出版社 / 2012-8 / 56.00元,https://book.douban.com/subject/11583939/
教育思想的演进,9.4,(174人评价),作者/译者： 涂尔干 / 李康 ,出版信息：  商务印书馆 / 2016-3 / CNY 39.00,https://book.douban.com/subject/26665640/
行為:暴力、競爭、利他，人類行為背後的生物學,9.4,(128人评价),作者/译者： Robert M. Sapolsky 羅伯．薩波斯基 / 吳芠 ,出版信息：  八旗文化 / 2019-4-3 / TWD 1200,https://book.douban.com/subject/33384512/
毛泽东农村调查文集,9.4,(201人评价),作者/译者： 毛泽东 ,出版信息：  人民出版社 / 1982-12 / 0.77,https://book.douban.com/subject/2296371/
现实的社会建构:知识社会学论纲,9.4,(1016人评价),作者/译者： [美] 彼得·伯格、[美] 托马斯·卢克曼 / 吴肃然 ,出版信息：  北京大学出版社 / 2019-3 / 38.00元,https://book.douban.com/subject/30421672/
世界的苦难:布尔迪厄的社会调查,9.4,(625人评价),作者/译者： [法] 皮埃尔·布尔迪厄 / 张祖建 ,出版信息：  中国人民大学出版社 / 2017-1 / 138.00,https://book.douban.com/subject/26943381/
社会心理学,9.4,(3307人评价),作者/译者： [美] 戴维·迈尔斯 / 侯玉波、乐国安、张志勇 ,出版信息：  人民邮电出版社 / 2014-10-1 / 368.00元,https://book.douban.com/subject/25982198/
十五至十八世纪的物质文明、经济和资本主义:第一卷日常生活的结构：可能和不可能,9.4,(301人评价),作者/译者： [法] 费尔南·布罗代尔 / 顾良、施康强 ,出版信息：  商务印书馆 / 2017-7 / 115.00,https://book.douban.com/subject/27001534/
经济与社会（第一卷）,9.4,(82人评价),作者/译者： [德]马克斯·韦伯 / 阎克文 ,出版信息：  上海人民出版社 / 2019-10 / 98.00元,https://book.douban.com/subject/34781254/
乡土中国生育制度乡土重建,9.4,(662人评价),作者/译者： 费孝通 ,出版信息：  商务印书馆 / 2011-12 / 50.00元,https://book.douban.com/subject/10532835/
明清福建家族组织与社会变迁（增订版）,9.4,(75人评价),作者/译者： 郑振满 ,出版信息：  北京师范大学出版社 / 2020-6 / 89.80元,https://book.douban.com/subject/34918473/
农民进城防骗手册,9.4,(1580人评价),作者/译者： 蔡建文、马文胜 ,出版信息：  湖南人民出版社 / 2006-8 / 13.00元,https://book.douban.com/subject/1929825/
中国乡村:19世纪的帝国控制,9.4,(261人评价),作者/译者： 萧公权 / 张皓、张升 ,出版信息：  九州出版社 / 2018-2 / 158.00,https://book.douban.com/subject/30170661/
大转型:我们时代的政治与经济起源,9.4,(134人评价),作者/译者： [英] 卡尔·波兰尼 / 冯钢、刘阳 ,出版信息：  当代世界出版社 / 2020-1 / 79.00元,https://book.douban.com/subject/34840593/
社会心理学（第11版，平装版）,9.4,(927人评价),作者/译者： 戴维·迈尔斯 (David G.Myers) / 侯玉波、乐国安、张智勇 ,出版信息：  人民邮电出版社 / 2016-1 / 128.00元,https://book.douban.com/subject/26701760/
第三帝国的到来:第三帝国三部曲01,9.4,(1766人评价),作者/译者： [英] 理查德·J. 埃文斯 / 赖丽薇 ,出版信息：  九州出版社 / 2020-2 / 145.00元,https://book.douban.com/subject/34928222/
权力的文化逻辑:布迪厄的社会学诗学,9.4,(106人评价),作者/译者： 朱国华 ,出版信息：  上海人民出版社 / 2017-1 / 85.00元,https://book.douban.com/subject/26670596/
传统十论:本土社会的制度、文化及其变革,9.4,(579人评价),作者/译者： 秦晖 ,出版信息：  山西人民出版社 / 2019-10 / 88.00元,https://book.douban.com/subject/34788663/
英国工人阶级状况,9.4,(289人评价),作者/译者： 恩格斯 ,出版信息：  人民出版社 / 1956 / 1.30 元,https://book.douban.com/subject/2253718/
历史学与社会理论（第2版）,9.4,(641人评价),作者/译者： [英] 彼得·伯克 / 李康 ,出版信息：  上海人民出版社 / 2019-11 / 52.00元,https://book.douban.com/subject/34842935/
领悟方法:社会科学研究中的方法误用及解决之道,9.4,(71人评价),作者/译者： [美]约翰·李维·马丁 / 高勇 ,出版信息：  重庆大学出版社 / 2020-10-1 / 55,https://book.douban.com/subject/35233343/
马列主义经典作家文库·著作单行本:1844年经济学哲学手稿,9.4,(587人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2014-12-1 / CNY 48.00,https://book.douban.com/subject/26323176/
茶室交易,9.4,(30人评价),作者/译者： 洛德.韓菲瑞斯(Laud Humphreys) / 高穎超 ,出版信息：  群學 / 2016-8-30 / NT$420,https://book.douban.com/subject/26841123/
政治与历史:从马基雅维利到马克思（1955-1972年高等师范学校讲义）,9.3,(141人评价),作者/译者： [法] 路易·阿尔都塞 / 吴子枫 ,出版信息：  西北大学出版社 / 2018-1 / 116.00元,https://book.douban.com/subject/27119176/
埃及的革命考古學:在埃及挖掘被埋葬的革命和歷史,9.3,(511人评价),作者/译者： 何偉(Peter Hessler) / 馮奕達 ,出版信息：  八旗文化 / 2020-1-22 / NTD 600,https://book.douban.com/subject/34920984/
乡土中国,9.3,(7963人评价),作者/译者： 费孝通 ,出版信息：  人民出版社 / 2008-10 / 16.00元,https://book.douban.com/subject/3283983/
货币哲学,9.3,(100人评价),作者/译者： 齐美尔 / 许泽民 ,出版信息：  贵州人民出版社 / 2009-9 / 59.00元,https://book.douban.com/subject/3798518/
单向度的人:发达工业社会意识形态研究,9.3,(52人评价),作者/译者： [美] 赫伯特·马尔库塞 / 刘继 ,出版信息：  重庆出版社 上海译文出版社 / 2016-12 / 46.00元,https://book.douban.com/subject/26935185/
乡土中国生育制度,9.3,(4233人评价),作者/译者： 费孝通 ,出版信息：  北京大学出版社 / 1998-5-1 / 26.00元,https://book.douban.com/subject/1310228/
量化社会科学导论,9.3,(21人评价),作者/译者： 今井耕介 / 祖梓文、徐轶青 ,出版信息：  上海财经大学出版社 / 2020-10-1 / 128,https://book.douban.com/subject/35239825/
生育制度,9.3,(508人评价),作者/译者： 费孝通 ,出版信息：  北京联合出版公司 / 2018-6 / 59,https://book.douban.com/subject/30258045/
城市发展史:起源、演变和前景,9.3,(1009人评价),作者/译者： 芒福德 / 宋俊岭、倪文彦 ,出版信息：  中国建筑工业出版社 / 2005-1 / 98.00元,https://book.douban.com/subject/1444252/
自我技术:福柯文选III,9.3,(649人评价),作者/译者： [法] 米歇尔·福柯、汪民安 编 / 汪民安 编 ,出版信息：  北京大学出版社 / 2015-11-1 / CNY 45.00,https://book.douban.com/subject/26609146/
会饮篇,9.3,(6131人评价),作者/译者： 柏拉图 / 王太庆 ,出版信息：  商务印书馆 / 2013-1 / 12.00元,https://book.douban.com/subject/21570668/
家庭、私有制和国家的起源,9.3,(837人评价),作者/译者： [德] 弗里德里希·恩格斯 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-4-1 / 36.00,https://book.douban.com/subject/30115763/
社会学基本概念,9.3,(710人评价),作者/译者： [英]安东尼·吉登斯、[英]菲利普·萨顿 / 王修晓 ,出版信息：  北京大学出版社 / 2019-1-7 / 50.00元,https://book.douban.com/subject/30391626/
跨越边界的社区:北京“浙江村”的生活史,9.3,(851人评价),作者/译者： 项飚 ,出版信息：  生活·读书·新知三联书店 / 2000-08 / 28.00元,https://book.douban.com/subject/1051928/
转型中的地方政府（第二版）:官员激励与治理（第二版）,9.3,(944人评价),作者/译者： 周黎安 ,出版信息：  上海世纪出版股份有限公司 / 2017-8 / 78.00元,https://book.douban.com/subject/27120243/
亲密关系,9.3,(8522人评价),作者/译者： [美] 罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 ,出版信息：  人民邮电出版社 / 2015-6 / 138.00元,https://book.douban.com/subject/26585065/
象征交换与死亡,9.3,(240人评价),作者/译者： [法] 让·波德里亚、Jean Baudrillard / 车槿山 ,出版信息：  译林出版社 / 2012-6 / 45.00元,https://book.douban.com/subject/10575163/
后现代性下的生命与多重时间,9.3,(207人评价),作者/译者： [英]基思·特斯特 / 李康 / 梯 ,出版信息：  上海文艺出版社 / 2020-6 / 66.00,https://book.douban.com/subject/35051217/
发现社会之旅:西方社会学思想述评,9.3,(490人评价),作者/译者： 兰德尔·科林斯、迈克尔·马科夫斯基 / 李霞 ,出版信息：  中华书局 / 2006 / 32.00,https://book.douban.com/subject/1782312/
学术与政治,9.3,(741人评价),作者/译者： [德]马克斯·韦伯 / 钱永祥 等 ,出版信息：  上海三联书店 / 2019-4 / 62.00元,https://book.douban.com/subject/30309618/
亚当·斯密传:现代经济学之父的思想,9.3,(55人评价),作者/译者： [英] 杰西·诺曼 / 李烨 ,出版信息：  中信出版集团 / 2021-1 / 88,https://book.douban.com/subject/35324429/
沉默的大多数,9.3,(284人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2021-1 / 59.00,https://book.douban.com/subject/34974501/
成功的反思:混亂世局中，我們必須重新學習的一堂課,9.3,(22人评价),作者/译者： 邁可．桑德爾（Michael J. Sandel） ,出版信息：  賴盈滿 / 先覺 / 2021-2,https://book.douban.com/subject/35335482/
论方法:社会学调查的本土实践与升华,9.3,(203人评价),作者/译者： 潘绥铭、黄盈盈、王东 ,出版信息：  中国人民大学出版社 / 2011-9-30 / 75.00元,https://book.douban.com/subject/6896089/
中国法律与中国社会,9.3,(749人评价),作者/译者： 瞿同祖 ,出版信息：  商务印书馆 / 2010-12-1 / 39.00元,https://book.douban.com/subject/6004646/
惊呆了！原来这就是社会学,9.3,(97人评价),作者/译者： ［日］田中正人、［日］香月孝史 / 刘晓晓 ,出版信息：  南海出版公司 / 2021-5-1 / 59.00元,https://book.douban.com/subject/35434553/
对空言说:传播的观念史,9.3,(1085人评价),作者/译者： [美] 约翰·杜翰姆·彼得斯 / 邓建国 ,出版信息：  上海译文出版社 / 2017-1-1 / 68,https://book.douban.com/subject/26810561/
变化社会中的政治秩序,9.3,(2507人评价),作者/译者： （美）塞缪尔·P·亨廷顿 / 王冠华、刘为 ,出版信息：  上海人民出版社 / 2008-7 / 42.00元,https://book.douban.com/subject/3163104/
