书名,评分,评价人数,作者,出版社,url
神经网络与深度学习,9.3,(308人评价),作者/译者： 邱锡鹏 ,出版信息：  机械工业出版社 / 2020-4-10 / 149.00元,https://book.douban.com/subject/35044046/
Python神经网络编程,9.1,(544人评价),作者/译者： [英]塔里克·拉希德（Tariq Rashid） / 林赐 ,出版信息：  人民邮电出版社 / 2018-4 / 69.00元,https://book.douban.com/subject/30192800/
Python深度学习,9.6,(783人评价),作者/译者： [美] 弗朗索瓦•肖莱 / 张亮 ,出版信息：  人民邮电出版社 / 2018-8 / 119.00元,https://book.douban.com/subject/30293801/
机器学习实战（原书第2版）:基于Scikit-Learn、Keras和TensorFlow,9.7,(79人评价),作者/译者： [法] Aurélien Géron / 宋能辉、李娴 ,出版信息：  机械工业出版社 / 2020-10-1 / 149.00元,https://book.douban.com/subject/35218199/
深度学习入门:基于Python的理论与实现,9.4,(717人评价),作者/译者： [ 日］  斋藤康毅 / 陆宇杰 ,出版信息：  人民邮电出版社 / 2018-7 / 59.00元,https://book.douban.com/subject/30270959/
连接组：造就独一无二的你,8.5,(326人评价),作者/译者： [美] 承现峻 / 孙天齐 ,出版信息：  清华大学出版社 / 2016-1 / 45,https://book.douban.com/subject/26666358/
深度学习的数学,8.5,(228人评价),作者/译者： [日]涌井良幸、[日]涌井贞美 / 杨瑞龙 ,出版信息：  人民邮电出版社 / 2019-4 / 69.00元,https://book.douban.com/subject/33414479/
智慧的疆界:从图灵机到人工智能,9.2,(65人评价),作者/译者： 周志明 ,出版信息：  机械工业出版社 / 2018-1-1 / 56.9,https://book.douban.com/subject/30379536/
神经网络与机器学习（原书第3版）,8.1,(132人评价),作者/译者： [加] Simon Haykin / 申富饶、徐烨、郑俊、晁静 ,出版信息：  机械工业出版社 / 2011-3 / 79.00元,https://book.douban.com/subject/5952531/
NeuralNetworksandDeepLearning,9.5,(217人评价),作者/译者： ,出版信息： Michael Nielsen / 2016-1,https://book.douban.com/subject/26727997/
