书名,评分,评价人数,作者,出版社,url
时间的秩序,8.9,(14375人评价),作者/译者： [意] 卡洛·罗韦利 / 杨光 ,出版信息：  湖南科学技术出版社 / 2019-6 / 56.00元,https://book.douban.com/subject/33424487/
哥德尔、艾舍尔、巴赫:集异璧之大成,9.4,(6971人评价),作者/译者： [美] 侯世达 / 严勇、刘皓明、莫大伟 ,出版信息：  商务印书馆 / 1997-5 / 88.00元,https://book.douban.com/subject/1291204/
上帝掷骰子吗:量子物理史话,9.2,(26973人评价),作者/译者： 曹天元 ,出版信息：  辽宁教育出版社 / 2006-1 / 32.00元,https://book.douban.com/subject/1467022/
时间简史:插图本,8.8,(52332人评价),作者/译者： [英] 史蒂芬·霍金 / 许明贤、吴忠超 ,出版信息：  湖南科学技术出版社 / 2010-4 / 45.00元,https://book.douban.com/subject/1034282/
从一到无穷大:科学中的事实和臆测,9.1,(11302人评价),作者/译者： [美] G. 伽莫夫 / 暴永宁 译、吴伯泽 校 ,出版信息：  科学出版社 / 2002-11 / 29.00元,https://book.douban.com/subject/1102715/
这才是心理学(第11版):看穿伪科学的批判性思维,9.2,(736人评价),作者/译者： [加] 基思·斯坦诺维奇 / 窦东徽、刘肖岑 ,出版信息：  人民邮电出版社 / 2020-4 / 78.00元,https://book.douban.com/subject/35023259/
众病之王:癌症传,9.1,(9892人评价),作者/译者： [美] 悉达多·穆克吉 / 李虎 ,出版信息：  中信出版社 / 2013-2-4 / 42.00元,https://book.douban.com/subject/20507206/
科学革命的结构,9.0,(1983人评价),作者/译者： [美]托马斯·库恩、[美]伊安·哈金 (导读) / 金吾伦、胡新和 ,出版信息：  北京大学出版社 / 2012-11 / 29.00元,https://book.douban.com/subject/20376550/
技术与文明:我们的时代和未来,8.0,(167人评价),作者/译者： 张笑宇 ,出版信息：  一頁丨广西师范大学出版社 / 2021-3 / 88,https://book.douban.com/subject/35230119/
仿制药的真相,8.7,(1951人评价),作者/译者： [美] 凯瑟琳·埃班 / 高天羽 ,出版信息：  民主与建设出版社 / 2020-10 / 58,https://book.douban.com/subject/35219823/
科学：无尽的前沿,7.9,(28人评价),作者/译者： 范内瓦·布什、拉什·D.霍尔特 ,出版信息：  崔传刚 / 中信出版集团股份有限公司 / 2021-5-1,https://book.douban.com/subject/35453096/
数学之美,8.7,(11573人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2012-5-1 / 45.00元,https://book.douban.com/subject/10750155/
考试脑科学:脑科学中的高效记忆法,8.1,(372人评价),作者/译者： [日]池谷裕二 / 高宇涵 ,出版信息：  图灵｜人民邮电出版社 / 2019-7 / 59.80元,https://book.douban.com/subject/33944838/
上帝掷骰子吗？:量子物理史话,9.0,(3178人评价),作者/译者： 曹天元 ,出版信息：  北京联合出版公司 / 2019-6-1 / 59.80元,https://book.douban.com/subject/33477229/
别闹了，费曼先生:科学顽童的故事,8.9,(9601人评价),作者/译者： [美] 理查德·费曼 / 吴程远 ,出版信息：  生活·读书·新知三联书店 / 1997-12 / 22.00,https://book.douban.com/subject/1037602/
生命是什么:生命是什么,8.7,(3631人评价),作者/译者： 埃尔温•薛定谔 / 罗来欧、罗辽复 ,出版信息：  湖南科学技术出版社 / 2007-4-1 / 19.00元,https://book.douban.com/subject/1317485/
极简宇宙史,9.1,(7292人评价),作者/译者： [法] 克里斯托弗·加尔法德 / 童文煦 ,出版信息：  上海三联书店 / 2016-3 / 49.50元,https://book.douban.com/subject/26697350/
改变心理学的40项研究,9.2,(4021人评价),作者/译者： 罗杰•霍克 (Roger R. Hock) / 白学军 ,出版信息：  人民邮电出版社 / 2010-8-1 / 28.00元,https://book.douban.com/subject/5248516/
什么是数学:对思想和方法的基本研究,9.3,(1143人评价),作者/译者： R•柯朗、H•罗宾、I·斯图尔特 / 左平、张饴慈 ,出版信息：  复旦大学出版社 / 2012-1-1 / 43.00元,https://book.douban.com/subject/10455982/
费马大定理:一个困惑了世间智者358年的谜,9.2,(2698人评价),作者/译者： 西蒙·辛格 / 薛密 ,出版信息：  广西师范大学出版社 / 2013-1 / 39.80元,https://book.douban.com/subject/20494401/
像火箭科学家一样思考:将不可能变为可能,7.6,(450人评价),作者/译者： 【美】奥赞·瓦罗尔 / 李文远 ,出版信息：  北京联合出版公司 / 2020-10 / 65,https://book.douban.com/subject/35228079/
规模:复杂世界的简单法则,8.0,(1932人评价),作者/译者： 杰弗里·韦斯特 (Geoffrey West) / 张培 ,出版信息：  中信出版社 / 2018-6-1 / CNY 98.00,https://book.douban.com/subject/30244461/
哲学·科学·常识,8.7,(2901人评价),作者/译者： 陈嘉映 ,出版信息：  中信出版社·新思文化 / 2018-3 / 58,https://book.douban.com/subject/27139938/
万物发明指南:时间旅行者生存手册,8.7,(1011人评价),作者/译者： [加] 瑞安·诺思 / 王乔琦 ,出版信息：  中信出版社 / 2019-9-20 / 78.00,https://book.douban.com/subject/34464674/
超越时空:通过平行宇宙、时间卷曲和第十维度的科学之旅,9.0,(4109人评价),"作者/译者： [美] 加来道雄（Kaku, M） / 刘玉玺、曹志良 ",出版信息：  上海科技教育出版社 / 2009-6 / 36.00元,https://book.douban.com/subject/3930318/
复杂,9.0,(2559人评价),作者/译者： 梅拉妮·米歇尔 / 唐璐 ,出版信息：  湖南科学技术出版社 / 2011-8-1 / 38.00元,https://book.douban.com/subject/6749832/
编码:隐匿在计算机软硬件背后的语言,9.3,(3853人评价),作者/译者： [美] Charles Petzold / 左飞、薛佟佟 ,出版信息：  电子工业出版社 / 2010 / 55.00元,https://book.douban.com/subject/4822685/
形式的起源,7.7,(25人评价),作者/译者： [美] 克里斯托弗·威廉斯、Christopher Williams / 王业瑾 ,出版信息：  后浪丨浙江教育出版社 / 2021-4 / 90.00元,https://book.douban.com/subject/35406227/
对伪心理学说不,9.1,(5151人评价),作者/译者： 基思•斯坦诺维奇 / 窦东徽、刘肖岑 ,出版信息：  人民邮电出版社 / 2012-1-1 / 28.00元,https://book.douban.com/subject/6952036/
从一到无穷大,8.9,(1199人评价),作者/译者： [美] 乔治·伽莫夫 / 阳曦 ,出版信息：  天津人民出版社 / 2019-9 / 58.00元,https://book.douban.com/subject/34782541/
为什么你看不懂抽象画？:先锋艺术的脑科学原理,8.7,(28人评价),作者/译者： [美] 埃里克·坎德尔 / 喻柏雅 ,出版信息：  后浪丨天津科学技术出版社 / 2021-4 / 88.00元,https://book.douban.com/subject/35374636/
世界观(原书第2版):现代人必须要懂的科学哲学和科学史,8.9,(2733人评价),作者/译者： [美]理查德·德威特 / 孙天 ,出版信息：  机械工业出版社 / 2018-11-15 / 99.00元,https://book.douban.com/subject/30379527/
控制论与科学方法论,9.1,(1807人评价),作者/译者： 金观涛、华国凡 ,出版信息：  新星出版社 / 2005-05 / 16.00,https://book.douban.com/subject/1322336/
现实不似你所见:量子引力之旅,9.2,(3646人评价),作者/译者： [意] 卡洛·罗韦利 / 杨光 ,出版信息：  湖南科学技术出版社 / 2017-11 / 49.00,https://book.douban.com/subject/27156306/
十问:霍金沉思录,8.5,(1754人评价),作者/译者： [英]史蒂芬·霍金 / 吴忠超 ,出版信息：  湖南科学技术出版社 / 2019-3 / 68,https://book.douban.com/subject/30459652/
howto:如何不切实际地解决实际问题,8.3,(841人评价),作者/译者： [美]兰道尔·门罗 / Ent ,出版信息：  天津科学技术出版社 / 2020-4-1 / 48,https://book.douban.com/subject/35048568/
七堂极简物理课,8.3,(11308人评价),作者/译者： [意] 卡洛·罗韦利 / 文铮、陶慧慧 ,出版信息：  博集天卷 | 湖南科学技术出版社 / 2016-5 / 39.00元,https://book.douban.com/subject/26772731/
大图景:论生命的起源、意义和宇宙本身,8.8,(487人评价),作者/译者： [美]肖恩·卡罗尔 / 方弦、ENT审校 ,出版信息：  湖南科学技术出版社 / 2019-12 / 89元,https://book.douban.com/subject/34908495/
进化心理学:心理的新科学（第二版）,8.8,(4006人评价),作者/译者： David M.Buss / 熊哲宏 ,出版信息：  华东师范大学出版社 / 2007-6 / 49.80元,https://book.douban.com/subject/2143904/
睡眠革命:如何让你的睡眠更高效,7.4,(6851人评价),作者/译者： [英] 尼克·利特尔黑尔斯 / 王敏 ,出版信息：  北京联合出版公司 / 2017-6 / 49.80元,https://book.douban.com/subject/27023900/
一想到还有95%的问题留给人类，我就放心了,8.5,(1362人评价),作者/译者： [巴拿马] 豪尔赫•陈、[美] 丹尼尔·怀特森 / 苟利军、张晓佳、郝小楠 ,出版信息：  北京联合出版公司 / 2018-12 / 68.00元,https://book.douban.com/subject/30404521/
世界观（原书第3版）:现代人必须要懂的科学哲学和科学史,9.1,(119人评价),作者/译者： [美] 理查德·德威特（Richard DeWitt） / 孙天 ,出版信息：  机械工业出版社 / 2020-8-20 / 109.00元,https://book.douban.com/subject/35181762/
那些古怪又让人忧心的问题:WhatIf,8.2,(2365人评价),作者/译者： 兰道尔·门罗 (Randall Munroe) / 朱君玺 ,出版信息：  北京联合出版公司 / 2016-6-1 / CNY 68.00,https://book.douban.com/subject/26826089/
上帝掷骰子吗:量子物理史话,9.3,(4803人评价),作者/译者： 曹天元 ,出版信息：  辽宁教育出版社 / 2008-9 / 35.00元,https://book.douban.com/subject/3228668/
迷人的材料:10种改变世界的神奇物质和它们背后的科学故事,8.3,(4286人评价),作者/译者： 马克·米奥多尼克 / 赖盈满 ,出版信息：  未读·探索家·北京联合出版公司 / 2015-9 / 49.80元,https://book.douban.com/subject/26593084/
病毒星球,8.2,(5131人评价),作者/译者： [美]卡尔·齐默 / 刘旸 ,出版信息：  广西师范大学出版社 / 2019-4 / 48.00元,https://book.douban.com/subject/33408247/
癌症·真相:医生也在读,8.9,(4015人评价),作者/译者： 菠萝 ,出版信息：  清华大学出版社 / 2015-9-1 / 39.00元,https://book.douban.com/subject/26592648/
数学之美（第三版）,9.1,(378人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2020-4 / 69.00元,https://book.douban.com/subject/35033507/
什么是数学:对思想和方法的基本研究,9.1,(3758人评价),作者/译者： [美] R·柯朗 H·罗宾 著、I·斯图尔特 修订 / 左平、张饴慈 ,出版信息：  复旦大学出版社 / 2005-5 / 37.00元,https://book.douban.com/subject/1320282/
全球科技通史,8.4,(1705人评价),作者/译者： [美] 吴军 ,出版信息：  中信出版集团 / 2019-4 / 88,https://book.douban.com/subject/33385217/
控制论:或关于在动物和机器中控制和通信的科学,9.0,(282人评价),作者/译者： [美] 维纳 / 郝季仁 ,出版信息：  北京大学出版社 / 2007-12 / 34.00元,https://book.douban.com/subject/2356843/
