书名,评分,评价人数,作者,出版社,url
塞西亚式逃亡,10.0,(54人评价),作者/译者： 斯捷潘·格列巴托夫 / 于大卫 ,出版信息：  解放军文艺出版社 / 2011-1 / 40.00元,https://book.douban.com/subject/5974239/
火人,9.9,(16人评价),作者/译者： [美] 乔·希尔 / 金凯 ,出版信息：  文化发展出版社 / 2021-4-1 / 79.80,https://book.douban.com/subject/35362278/
银河边缘007：免疫,9.9,(23人评价),作者/译者： 杨枫、[美]迈克·雷斯尼克 主编、[美]克里斯汀·凯瑟琳·露什、刘维佳、[美]大卫·布林、[美]蒂娜·高尔、[英]查尔斯·谢菲尔德、[意]吉奥·克莱瓦尔、[美]罗伯特·西尔弗伯格、宝树、白贲、久念、陈茜、钛艺、[美]格里高利·本福德、[美]杰夫·卡尔霍恩、[美]乔伊·沃德、[美]L.斯普拉格·德·坎普 / 华龙、罗妍莉、刘为民、吴垠、程静、孙梦天、乔丽、刘文元、刘博洋、陶凌寅、许卓然、刘皖竹、张羿 ,出版信息：  人民文学出版社 / 2020-11-1 / 49.00元,https://book.douban.com/subject/35250819/
阿瑟·克拉克科幻短篇全集1:岗哨,9.9,(52人评价),作者/译者： [英国] 阿瑟·克拉克 / 秦鹏、邹运旗、张芸慎、丁将 ,出版信息：  文汇出版社 / 2021-3-31 / 66,https://book.douban.com/subject/35374659/
三体:图文版,9.8,(71人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2020-7 / 50.00,https://book.douban.com/subject/35110161/
大师的盛宴,9.8,(16人评价),作者/译者： [美] 奥森·斯科特·卡德 / 姚向辉 ,出版信息：  新星出版社 / 2020-10 / 49.00元,https://book.douban.com/subject/34978639/
机器人大师,9.7,(41人评价),作者/译者： [波兰] 斯塔尼斯瓦夫·莱姆 / 毛蕊 ,出版信息：  浙江文艺出版社 / 2021-4 / 98.00元,https://book.douban.com/subject/35397446/
ProjectHailMary,9.7,(17人评价),作者/译者： ,出版信息： Andy Weir / Penguin Random House / 2021-5-4,https://book.douban.com/subject/35171006/
少年科幻小说大奖书系（套装4册）,9.6,(83人评价),作者/译者： （英）H.G.威尔斯、（法）儒勒·凡尔纳、（美）詹姆斯·埃德温·冈恩 / 穆童、李凤阳、何锐 ,出版信息：  化学工业出版社 / 2019-6-1 / 180,https://book.douban.com/subject/34334959/
新世纪福音战士10:泪,9.6,(405人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-6 / 15.00元,https://book.douban.com/subject/10591689/
新世紀福音戰士14(完):啟程,9.6,(463人评价),作者/译者： 貞本義行、カラー、GAINAX / 章澤儀 ,出版信息：  台灣角川 / 2014-11-20 / NT$120,https://book.douban.com/subject/26068098/
新世纪福音战士12:父与子,9.6,(350人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-8 / 15.00元,https://book.douban.com/subject/10791516/
新世纪福音战士13:Calling,9.6,(440人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 小凡 ,出版信息：  湖南美术出版社 / 2012-11 / 15.00元,https://book.douban.com/subject/19954788/
大黑暗,9.6,(122人评价),作者/译者： ,出版信息： 林田球,https://book.douban.com/subject/34451212/
風之谷(07),9.6,(472人评价),作者/译者： 宮崎駿 / J.T. comix ,出版信息：  東販 / 2001-03-29 / 190元,https://book.douban.com/subject/1455540/
守望者（下）,9.6,(3310人评价),作者/译者： [英] 阿兰·摩尔 编剧、[英] 戴夫·吉本斯 原画 / 王周凌 翻译、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2014-9-1 / 68.00元,https://book.douban.com/subject/25907864/
守望者（上）,9.6,(4152人评价),作者/译者： [英] 阿兰·摩尔 编剧、[英] 戴夫·吉本斯 原画 / 王周凌 翻译、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2014-7-1 / 68.00元,https://book.douban.com/subject/25709685/
阿瑟·克拉克科幻短篇全集2:星,9.6,(17人评价),作者/译者： [英国] 阿瑟·克拉克 / 秦鹏、顾备、邹运旗、张芸慎、丁将 ,出版信息：  文汇出版社 / 2021-3-31 / 66,https://book.douban.com/subject/35374660/
银河帝国：机器人五部曲,9.6,(1823人评价),作者/译者： [美] 艾萨克·阿西莫夫 / 叶李华 ,出版信息：  江苏凤凰文艺出版社 / 2015-10-1 / 218.00元,https://book.douban.com/subject/26389897/
三体:十周年纪念版,9.6,(1567人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2017-8 / 288.00元,https://book.douban.com/subject/27077612/
進擊的巨人21,9.5,(647人评价),作者/译者： 諫山 創 / 林志昌 ,出版信息：  台湾东立 / 2017-1-23 / NT100元,https://book.douban.com/subject/26997392/
異色短篇集1-牛面人的大餐,9.5,(969人评价),作者/译者： ,出版信息： 藤子.F.不二雄 / 大然 / 75元,https://book.douban.com/subject/3150093/
新世纪福音战士05:墓碑,9.5,(646人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 艾涩 ,出版信息：  湖南美术出版社 / 2012-1 / 15.00元,https://book.douban.com/subject/6991332/
新世纪福音战士08:母亲,9.5,(408人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-4 / 15.00元,https://book.douban.com/subject/10529092/
新世纪福音战士11:掌中的记忆,9.5,(370人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-7 / 15.00元,https://book.douban.com/subject/10741279/
新世纪福音战士09:第五适任者,9.5,(417人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-5 / 15.00元,https://book.douban.com/subject/10529093/
新世纪福音战士03:白色伤痕,9.5,(554人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 艾涩 ,出版信息：  湖南美术出版社 / 2011-11 / 15.00元,https://book.douban.com/subject/6902139/
新世纪福音战士07:男人的战斗,9.5,(416人评价),作者/译者： [日] 贞本义行 编绘、[日] khara·GAINAX 原著 / 章泽仪 ,出版信息：  湖南美术出版社 / 2012-3 / 15.00元,https://book.douban.com/subject/10454446/
BeyondtheAquilaRift:TheBestofAlastairReynolds:TheBestofAlastairReynolds,9.5,(35人评价),作者/译者： Alastair Reynolds ,出版信息：  Gollancz / 2017-6-15 / USD 17.69,https://book.douban.com/subject/32847699/
