书名,评分,评价人数,作者,出版社,url
银河边缘007：免疫,9.9,(23人评价),作者/译者： 杨枫、[美]迈克·雷斯尼克 主编、[美]克里斯汀·凯瑟琳·露什、刘维佳、[美]大卫·布林、[美]蒂娜·高尔、[英]查尔斯·谢菲尔德、[意]吉奥·克莱瓦尔、[美]罗伯特·西尔弗伯格、宝树、白贲、久念、陈茜、钛艺、[美]格里高利·本福德、[美]杰夫·卡尔霍恩、[美]乔伊·沃德、[美]L.斯普拉格·德·坎普 / 华龙、罗妍莉、刘为民、吴垠、程静、孙梦天、乔丽、刘文元、刘博洋、陶凌寅、许卓然、刘皖竹、张羿 ,出版信息：  人民文学出版社 / 2020-11-1 / 49.00元,https://book.douban.com/subject/35250819/
阿瑟·克拉克科幻短篇全集1:岗哨,9.9,(52人评价),作者/译者： [英国] 阿瑟·克拉克 / 秦鹏、邹运旗、张芸慎、丁将 ,出版信息：  文汇出版社 / 2021-3-31 / 66,https://book.douban.com/subject/35374659/
我亲爱的偏执狂,9.8,(48人评价),作者/译者： 姚一十 ,出版信息：  广东人民出版社 / 2019-6-1 / 48,https://book.douban.com/subject/33456952/
守望者:完全版,9.8,(396人评价),作者/译者： [英] 阿兰·摩尔、[英] 戴夫·吉本斯 绘 / 王周凌、PatientPatient 校译 ,出版信息：  世界图书出版公司 / 2020-4 / 198.00元,https://book.douban.com/subject/34875846/
三体:图文版,9.8,(71人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2020-7 / 50.00,https://book.douban.com/subject/35110161/
高老头+欧也妮·葛朗台,9.7,(148人评价),作者/译者： [法]巴尔扎克 / 傅雷 ,出版信息：  华东师范大学出版社 / 2018-7 / 45.00元,https://book.douban.com/subject/30267655/
新世界より（上）,9.7,(38人评价),作者/译者： 貴志祐介 ,出版信息：  講談社 / 2011-1-14 /  760,https://book.douban.com/subject/5958814/
哈利·波特与死亡圣器,9.7,(265人评价),作者/译者： [英] J·K·罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2018-10 / 75.00元,https://book.douban.com/subject/30294370/
机器人大师,9.7,(41人评价),作者/译者： [波兰] 斯塔尼斯瓦夫·莱姆 / 毛蕊 ,出版信息：  浙江文艺出版社 / 2021-4 / 98.00元,https://book.douban.com/subject/35397446/
文艺常识名校手册:广播影视类高考文艺常识名校红宝书,9.7,(159人评价),作者/译者： 张衍 ,出版信息：  中国广播影视出版社 / 2018-11-20 / 67.50元,https://book.douban.com/subject/30413380/
阿瑟·克拉克科幻短篇全集2:星,9.6,(17人评价),作者/译者： [英国] 阿瑟·克拉克 / 秦鹏、顾备、邹运旗、张芸慎、丁将 ,出版信息：  文汇出版社 / 2021-3-31 / 66,https://book.douban.com/subject/35374660/
少年科幻小说大奖书系（套装4册）,9.6,(83人评价),作者/译者： （英）H.G.威尔斯、（法）儒勒·凡尔纳、（美）詹姆斯·埃德温·冈恩 / 穆童、李凤阳、何锐 ,出版信息：  化学工业出版社 / 2019-6-1 / 180,https://book.douban.com/subject/34334959/
诱骗:世界科幻名著文库,9.6,(41人评价),作者/译者： (日)星新一 / 李有宽等 ,出版信息：  安徽少年儿童出版社 / 1992 / 3.00,https://book.douban.com/subject/3077647/
银河帝国：机器人五部曲,9.6,(1823人评价),作者/译者： [美] 艾萨克·阿西莫夫 / 叶李华 ,出版信息：  江苏凤凰文艺出版社 / 2015-10-1 / 218.00元,https://book.douban.com/subject/26389897/
三体:十周年纪念版,9.6,(1567人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2017-8 / 288.00元,https://book.douban.com/subject/27077612/
小不点儿莫里安（套装8册）,9.6,(13人评价),作者/译者： 朱慧芳、谷米 ,出版信息：  中信出版集团 / 2021-3 / 196,https://book.douban.com/subject/35294252/
梦鱼：空之谜境:空之谜境,9.5,(131人评价),作者/译者： 梦海聆 ,出版信息：  北京联合出版公司 / 2018-5 / 39.80元,https://book.douban.com/subject/30207675/
BeyondtheAquilaRift:TheBestofAlastairReynolds:TheBestofAlastairReynolds,9.5,(35人评价),作者/译者： Alastair Reynolds ,出版信息：  Gollancz / 2017-6-15 / USD 17.69,https://book.douban.com/subject/32847699/
冰与火之歌·卷二·列王的纷争（全三册）,9.5,(6486人评价),作者/译者： [美] 乔治·R. R. 马丁、George R.R. Martin / 屈畅、谭光磊、胡绍晏 ,"出版信息：  重庆出版集团,重庆出版社 / 2012-4-1 / 120.00元",https://book.douban.com/subject/10488620/
拟人算法:2019中国科幻年选,9.5,(25人评价),作者/译者： 吴岩、三丰 编 ,出版信息：  北京理工大学出版社 / 2020-10 / 48.80,https://book.douban.com/subject/35218601/
银河帝国：基地七部曲:百万册纪念版,9.5,(8153人评价),作者/译者： [美] 艾萨克·阿西莫夫 / 叶李华 ,出版信息：  江苏凤凰文艺出版社 / 2015-10-1 / 328.00元,https://book.douban.com/subject/26389895/
家畜人鴉俘Ⅰ,9.4,(113人评价),作者/译者： 沼正三 / 陳苑瑜 ,出版信息：  新雨 / 2016-2-26 / NT$ 360,https://book.douban.com/subject/26708684/
三体全集,9.4,(2215人评价),作者/译者： ,出版信息： 刘慈欣 / 读客文化 / 2018-11-26,https://book.douban.com/subject/33420947/
三体全集:地球往事三部曲,9.4,(92405人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2012-1-1 / 168.00元,https://book.douban.com/subject/6518605/
最後的問題:西方短篇科幻小說精選,9.4,(1344人评价),作者/译者： 阿西莫夫 ,出版信息：  李偉才 / 山邊社 / 1987,https://book.douban.com/subject/4834737/
TrueNames:AndtheOpeningoftheCyberspaceFrontier,9.4,(60人评价),作者/译者： Vernor Vinge ,出版信息：  Tor Books / 2001-12 / USD 25.99,https://book.douban.com/subject/2363565/
银河帝国3：第二基地,9.4,(1345人评价),作者/译者： [美] 艾萨克·阿西莫夫 / 叶李华 ,出版信息：  江苏凤凰文艺出版社 / 2015-10 / 35.00元,https://book.douban.com/subject/26389894/
时间捕手:神秘博士时空探险系列,9.4,(35人评价),作者/译者： [英] 娜奥米·A.阿尔德曼 / 朱琳 ,出版信息：  新星出版社 / 2021-2 / 42.00元,https://book.douban.com/subject/35271452/
一九八四,9.4,(20676人评价),作者/译者： [英]乔治·奥威尔 / 董乐山 ,出版信息：  上海译文出版社 / 2009-7 / 29.00元,https://book.douban.com/subject/3815131/
冰与火之歌·卷一·权力的游戏（全三册）,9.4,(7541人评价),作者/译者： [美]乔治·R.R.马丁 / 屈畅、谭光磊 ,出版信息：  重庆出版社 / 2012-1-1 / 120.00元,https://book.douban.com/subject/6964050/
我的世界·史蒂夫冒险故事（套装）,9.4,(37人评价),作者/译者： [美]温特•摩根 ,出版信息：  安徽科学技术出版社 / 2018-4 / 114,https://book.douban.com/subject/30173751/
