书名,评分,评价人数,作者,出版社,url
宇宙、地球和大气,10.0,(40人评价),作者/译者： I.阿西摩夫 / 王涛、黔冬、等 ,出版信息：  科学出版社 / 1976 / 0.65,https://book.douban.com/subject/5375796/
解码世界科学,9.6,(30人评价),作者/译者： ［法］伊万·基利奥夫、［法］莱亚·米尔桑 / 胡莲、张绚 ,出版信息：  上海交通大学出版社 / 2020-8 / 168.00元,https://book.douban.com/subject/35152243/
计算机程序设计艺术・卷1:基本算法（第3版）,9.5,(42人评价),作者/译者： Donald E. Knuth / 李伯民、范明、蒋爱军 ,出版信息：  人民邮电出版社 / 2016-1-1 / 198,https://book.douban.com/subject/26681685/
基因的分子生物学（第七版）,9.5,(49人评价),作者/译者： J.D.沃森、T.A.贝克、S.P.贝尔、A.甘恩 / 杨焕明 ,出版信息：  科学出版社 / 2015-3-1 / 238.00元,https://book.douban.com/subject/26384150/
科学革命的编史学研究,9.5,(92人评价),作者/译者： [荷] H·弗洛里斯·科恩 / 张卜天 ,出版信息：  湖南科学技术出版社 / 2012-10-1 / 89.00元,https://book.douban.com/subject/20282961/
信号与系统,9.5,(130人评价),作者/译者： (美)奥本海姆 ,出版信息：  电子工业出版社 / 2012-12 / 69.00元,https://book.douban.com/subject/3759690/
机器学习理论导引,9.5,(43人评价),作者/译者： 周志华、王魏、高尉、张利军 ,出版信息：  机械工业出版社 / 2020-6-3 / 79.00元,https://book.douban.com/subject/35074844/
探寻魔弹（医学大神12）:埃尔利希与现代药物研发,9.4,(132人评价),作者/译者： 朱石生 ,出版信息：  新星出版社 / 2020-1 / 28.00,https://book.douban.com/subject/34865700/
图解密码技术（第3版）,9.3,(305人评价),作者/译者： [日] 结城浩 / 周自恒 ,出版信息：  人民邮电出版社 / 2016-6 / 89.00元,https://book.douban.com/subject/26822106/
算法导论（原书第2版）,9.3,(5116人评价),作者/译者： [美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 ,出版信息：  机械工业出版社 / 2006-9 / 85.00元,https://book.douban.com/subject/1885170/
未来志:TheFutureThen,9.3,(18人评价),作者/译者： 美国《大众科学》 / 陶凌寅 ,出版信息：  新星出版社 / 2020-6 / 168.00元,https://book.douban.com/subject/34974722/
