书名,评分,评价人数,作者,出版社,url
细胞生物学精要,9.9,(114人评价),作者/译者： Bruce Alberts、Dennis Bray、Karen Hopkin、Alexander Johnson、Julian Lewis、Martin Raff、Keith Roberts、Peter Walter / 丁小燕、陈跃磊 ,出版信息：  科学出版社 / 2012-3 / 220.00元,https://book.douban.com/subject/10602325/
万物比比看：认识我们的世界,9.9,(14人评价),作者/译者： [英] 克莱夫·吉福德 著、[葡] 安娜·塞沙斯 绘 / 王达威 ,出版信息：  后浪丨漓江出版社 / 2021-4 / 68.00元,https://book.douban.com/subject/35373454/
空间站简史:前往下一颗星球的前哨,9.9,(15人评价),作者/译者： [美] 罗恩·米勒、[美] 加里·基特马赫、[美] 罗伯特·珀尔曼 / 罗妍莉 ,出版信息：  未读·四川科学技术出版社 / 2021-4-1 / 199.00,https://book.douban.com/subject/35425673/
生命的色彩:我们为什么没有绿色的头发,9.8,(22人评价),作者/译者： 史钧 ,出版信息：  重庆出版社 / 2021-1 / 45.00元,https://book.douban.com/subject/35303082/
费曼物理学讲义:第1卷,9.8,(47人评价),作者/译者： [美] 理查德·费曼 / 郑永令等 ,出版信息：  上海科学技术出版社 / 2020-4-1 / 118.00元,https://book.douban.com/subject/34984198/
中国茶图鉴,9.8,(56人评价),作者/译者： 李韬 ,出版信息：  江苏凤凰科学技术出版社 / 2021-2 / 138.00元,https://book.douban.com/subject/35374620/
到里面来！:探索大脑的内部世界,9.8,(31人评价),作者/译者： [葡] 伊莎贝尔·米尼奥丝·马丁斯、[葡] 玛利亚·曼努埃尔·佩德罗萨、[葡] 玛德莲娜·玛多索 ,出版信息：  马赛 / 后浪丨浙江教育出版社 / 99.80,https://book.douban.com/subject/35218661/
天工开物:给孩子的中国古代科技百科全书,9.7,(29人评价),作者/译者： 龙逸、傅舫 ,出版信息：  童趣出版有限公司、人民邮电出版社 / 2020-8 / 128,https://book.douban.com/subject/35197234/
阶梯新世纪百科全书,9.7,(455人评价),作者/译者： ,出版信息： 中国友谊出版公司 / 1994-05 / 350.00元,https://book.douban.com/subject/1051226/
人体（第二版）:人体结构、功能与疾病图解,9.7,(52人评价),作者/译者： [英] Steve Parker / 左焕琛 ,出版信息：  上海科学技术出版社 / 2014-1-1 / 198.00元,https://book.douban.com/subject/25819561/
第一推动丛书（珍藏版套书）,9.7,(76人评价),作者/译者： 史蒂芬·霍金 ,出版信息：  湖南科学技术出版社 / 2012-6 / 2000.00元,https://book.douban.com/subject/10571608/
野鸟形态图鉴:鳥の形態図鑑,9.7,(139人评价),作者/译者： [日]赤勘兵卫 / 赵天 ,出版信息：  浙江教育出版社 / 2019-5 / 138.00元,https://book.douban.com/subject/33377950/
认识活体筋膜:细胞与细胞外基质之间的构成性世界,9.7,(45人评价),作者/译者： [法] 让-克劳德·甘博图、[英] 科林·阿姆斯特朗 / 李哲 ,出版信息：  后浪丨科学技术文献出版社 / 2018-10 / 108.00元,https://book.douban.com/subject/30322216/
神经科学:探索脑,9.7,(417人评价),作者/译者： Mark F. Bear、Barry W. Connors、Michael A. Paradiso / 王建军 ,出版信息：  高等教育出版社 / 2004-7 / 220.00元,https://book.douban.com/subject/1509898/
奈特人体解剖彩色图谱:第3版,9.7,(315人评价),作者/译者： Frank H.Netter / 王怀经 ,出版信息：  人民卫生出版社 / 2005-10 / 212,https://book.douban.com/subject/1448343/
艺术的故事,9.7,(1226人评价),作者/译者： [英]E.H.贡布里希 / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2015-7 / 320.00元,https://book.douban.com/subject/26423502/
DK宇宙大百科,9.7,(247人评价),作者/译者： 马丁·里斯 / 余恒、张博、王靓、王燕平 ,出版信息：  电子工业出版社 / 2014-11-1 / 298.00元,https://book.douban.com/subject/26259174/
大地的窗口,9.6,(145人评价),作者/译者： [英]珍·古道尔 / 杨淑智 ,出版信息：  北京大学出版社 / 2017-9 / 58.00元,https://book.douban.com/subject/27182058/
数学家讲解小学数学,9.6,(127人评价),作者/译者： [美] 伍鸿熙 / 赵洁、林开亮 ,出版信息：  北京大学出版社 / 2016-4 / 78.00元,https://book.douban.com/subject/26788824/
自然哲学的数学原理,9.6,(80人评价),作者/译者： 艾萨克·牛顿 / 任海洋 ,"出版信息：  重庆出版社,重庆出版集团 / 2015-9-1 / CNY 58.00",https://book.douban.com/subject/26776903/
交响乐团：走进音乐的世界,9.6,(28人评价),作者/译者： [美] 阿瓦隆•诺沃 著、[英] 大卫•多兰 绘 / 高建 ,出版信息：  后浪丨花山文艺出版社 / 2020-12 / 99.80元,https://book.douban.com/subject/35279771/
了不起的“脏”东西:你不知道的生态百科和垃圾趣史,9.6,(16人评价),作者/译者： [奥地利] 梅拉尼·莱博尔、[奥地利] 莉莉·雷西特 / 张寒笑 ,出版信息：  未读·未小读·海豚出版社 / 2021-3 / 88.00元,https://book.douban.com/subject/35408762/
“医学大神”文库本系列,9.6,(238人评价),作者/译者： 朱石生 ,出版信息：  新星出版社 / 2020-1 / 392,https://book.douban.com/subject/34935089/
普林斯顿微积分读本(修订版),9.6,(650人评价),作者/译者： [美]阿德里安·班纳 / 杨爽、赵晓婷、高璞 ,出版信息：  人民邮电出版社 / 2016-10 / 99.00元,https://book.douban.com/subject/26899701/
DK博物大百科:自然界的视觉盛宴,9.6,(483人评价),作者/译者： 英国DK公司 [编著] / 王敏洁、朱坤、吴海峰、何长欢、张兴春、张劲硕、林然、郑浩然、姜景一 ,出版信息：  科学普及出版社 / 2018-9 / 458.00元,https://book.douban.com/subject/30384279/
元古宙（46亿年的奇迹：地球简史）,9.6,(18人评价),作者/译者： [日]朝日新闻出版 / 李波、丁丁虫 ,出版信息：  人民文学出版社 / 2020-9-1 / 88.00元,https://book.douban.com/subject/35183187/
英国皇家园艺学会植物分类指南:75科常见植物的鉴赏与栽培,9.6,(34人评价),作者/译者： [美] 罗斯·贝顿、[英] 西蒙·莫恩 / 刘夙 ,出版信息：  外语教学与研究出版社 / 2020-2-29 / 128.00元,https://book.douban.com/subject/35002663/
宇宙的结构,9.5,(113人评价),作者/译者： [美] 布赖恩·格林 / 刘茗引 ,出版信息：  湖南科学技术出版社 / 2018-1 / 89.00,https://book.douban.com/subject/30171307/
