书名,评分,评价人数,作者,出版社,url
计算机程序设计艺术（第3卷）:排序与查找,9.9,(48人评价),作者/译者： Donald E.Knuth / 苏运霖 ,出版信息：  国防工业出版社 / 2002-9 / 98.00元,https://book.douban.com/subject/1241037/
TheCProgrammingLanguage:-,9.6,(1329人评价),作者/译者： Brian W. Kernighan、Dennis M. Ritchie ,出版信息：  Prentice Hall / 1988-4-1 / USD 67.00,https://book.douban.com/subject/1236999/
C程序设计语言:(英文版·第2版),9.6,(587人评价),作者/译者： Brian W. Kernighan、Dennis M. Ritchie ,出版信息：  机械工业出版社 / 2006-8-1 / 35.00元,https://book.douban.com/subject/1882483/
具体数学（英文版第2版）:计算机科学基础,9.5,(846人评价),作者/译者： [美] Ronald L. Graham、Donald E. Knuth、Oren Patashnik ,出版信息：  机械工业出版社 / 2002-8 / 49.00元,https://book.douban.com/subject/1231910/
计算机程序设计艺术（第1卷）:基本算法,9.5,(176人评价),作者/译者： [美] 唐纳德·E. 克努特 / 苏运霖 ,出版信息：  国防工业出版社 / 2002-9 / 98.00元,https://book.douban.com/subject/1231933/
深入理解计算机系统,9.5,(2806人评价),作者/译者： Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 ,出版信息：  中国电力出版社 / 2004-5-1 / 85.00元,https://book.douban.com/subject/1230413/
算法导论,9.5,(927人评价),作者/译者： [美] Thomas H. Cormen、Charles E. Leiserson、Ronald L. Rivest、Clifford Stein ,出版信息：  高等教育出版社 / 2002-5 / 68.00元,https://book.douban.com/subject/1152912/
哥德尔、艾舍尔、巴赫:集异璧之大成,9.4,(6971人评价),作者/译者： [美] 侯世达 / 严勇、刘皓明、莫大伟 ,出版信息：  商务印书馆 / 1997-5 / 88.00元,https://book.douban.com/subject/1291204/
"TheElementsofProgrammingStyle,2ndEdition",9.4,(45人评价),作者/译者： Brian W. Kernighan、P. J. Plauger ,出版信息：  McGraw-Hill / 1978-1-1 / USD 50.93,https://book.douban.com/subject/1470267/
TheLittleSchemer-4thEdition,9.3,(552人评价),作者/译者： Daniel P. Friedman、Matthias Felleisen ,出版信息：  The MIT Press / 1995-12-21 / USD 40.00,https://book.douban.com/subject/1632977/
算法导论（原书第2版）,9.3,(5117人评价),作者/译者： [美] Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 潘金贵 等 ,出版信息：  机械工业出版社 / 2006-9 / 85.00元,https://book.douban.com/subject/1885170/
Hacker'sDelight,9.3,(62人评价),作者/译者： Henry S. Warren Jr. ,出版信息：  Addison-Wesley / 2002-7-27 / USD 59.99,https://book.douban.com/subject/1784887/
代码大全:(第2版)(英文版),9.3,(384人评价),作者/译者： （美）Steve McConnell ,出版信息：  电子工业出版社 / 2008-1 / 148.00元,https://book.douban.com/subject/1951158/
ProgrammingFromTheGroundUp,9.3,(76人评价),作者/译者： Jonathan Bartlett ,出版信息：  Bartlett Publishing / 2004-07-31 / USD 34.95,https://book.douban.com/subject/1787855/
JavaScript高级程序设计（第3版）,9.3,(2509人评价),作者/译者： [美] Nicholas C. Zakas / 李松峰、曹力 ,出版信息：  人民邮电出版社 / 2012-3-29 / 99.00元,https://book.douban.com/subject/10546125/
编程珠玑,9.2,(407人评价),作者/译者： Jon Bentley ,出版信息：  人民邮电出版社 / 2006-11 / 28.0,https://book.douban.com/subject/1910326/
HeadFirst设计模式（中文版）,9.2,(3261人评价),作者/译者： 弗里曼 / O'Reilly Taiwan公司 ,出版信息：  中国电力出版社 / 2007-9 / 98.00元,https://book.douban.com/subject/2243615/
HeadFirstDesignPatterns—深入淺出設計模式,9.2,(55人评价),作者/译者： ,出版信息： 天瓏,https://book.douban.com/subject/1761621/
C++Primer中文版（第4版）,9.2,(4324人评价),作者/译者： Stanley B.Lippman、Josée LaJoie、Barbara E.Moo / 李师贤、蒋爱军、梅晓勇、林瑛 ,出版信息：  人民邮电出版社 / 2006 / 99.00元,https://book.douban.com/subject/1767741/
TheLittleSchemer:递归与函数式的奥妙,9.2,(110人评价),作者/译者： [美] Daniel P. Friedman、[美] Matthias Felleisen / 卢俊祥 ,出版信息：  电子工业出版社 / 2017-7 / 65.00,https://book.douban.com/subject/27080946/
HowtoDesignPrograms:AnIntroductiontoProgrammingandComputing,9.1,(148人评价),作者/译者： Matthias Felleisen、Robert Bruce Findler、Matthew Flatt、Shriram Krishnamurthi ,出版信息：  The MIT Press / 2001-2-12 / 71.00美元,https://book.douban.com/subject/1787103/
设计模式:可复用面向对象软件的基础,9.1,(3030人评价),作者/译者： [美] Erich Gamma、Richard Helm、Ralph Johnson、John Vlissides / 李英军、马晓星、蔡敏、刘建中 等 ,出版信息：  机械工业出版社 / 2000-9 / 35.00元,https://book.douban.com/subject/1052241/
CPrimerPlus:（第五版）,9.1,(1898人评价),作者/译者： Stephen Prata、云巅工作室 / 云巅工作室 ,出版信息：  人民邮电出版社 / 2005-2-1 / 60.00元,https://book.douban.com/subject/1240002/
ProGit,9.1,(1125人评价),作者/译者： Scott Chacon ,出版信息：  Apress / 2009-8-27 / USD 34.99,https://book.douban.com/subject/3420144/
程序设计实践,9.1,(486人评价),作者/译者： [美] Brian W. Kernighan、Rob Pike / 裘宗燕 ,出版信息：  机械工业出版社 / 2000-8 / 20.00元,https://book.douban.com/subject/1173548/
C专家编程,9.1,(480人评价),作者/译者： [美] Peter Vander Linde / 徐波 ,出版信息：  人民邮电出版社 / 2002-12 / 40.00元,https://book.douban.com/subject/1232029/
Java编程思想（第4版）,9.1,(3980人评价),作者/译者： [美] Bruce Eckel / 陈昊鹏 ,出版信息：  机械工业出版社 / 2007-6 / 108.00元,https://book.douban.com/subject/2130190/
操作系统设计与实现（上册）,9.1,(233人评价),作者/译者： Andrew S. Tanenbaum、Albert S. Woodhull / 陈渝、谌卫军 ,出版信息：  电子工业出版社 / 2007-3 / 49.80元,https://book.douban.com/subject/2044818/
"JavaScript:TheDefinitiveGuide,5thEdition:TheDefinitiveGuide",9.1,(117人评价),作者/译者： David Flanagan ,出版信息：  O'Reilly Media / 2006-08-01 / USD 49.99,https://book.douban.com/subject/1775608/
Effectivejava中文版（第2版）,9.1,(1700人评价),作者/译者： Joshua Bloch / 俞黎敏 ,出版信息：  机械工业出版社 / 2009-1-1 / 52.00元,https://book.douban.com/subject/3360807/
TheSeasonedSchemer:SeasonedSchemer,9.0,(73人评价),作者/译者： Daniel P. Friedman、Matthias Felleisen ,出版信息：  The MIT Press / 1995-12-21 / USD 38.00,https://book.douban.com/subject/1726083/
敏捷软件开发:原则、模式与实践,9.0,(1462人评价),作者/译者： Robert C. Martin / 邓辉 ,出版信息：  清华大学出版社 / 2003-09-01 / 59.00元,https://book.douban.com/subject/1140457/
集体智慧编程,9.0,(1498人评价),作者/译者： TOBY SEGARAN / 莫映、王开福 ,出版信息：  电子工业出版社 / 2009-1 / 59.80元,https://book.douban.com/subject/3288908/
UNIX编程艺术,9.0,(2157人评价),作者/译者： Eric S. Raymond / 姜宏、何源、蔡晓俊 ,出版信息：  电子工业出版社 / 2006-2 / 59.00元,https://book.douban.com/subject/1467587/
重构:改善既有代码的设计,9.0,(2036人评价),作者/译者： Martin Fowler / 熊节 ,出版信息：  人民邮电出版社 / 2010 / 69.00元,https://book.douban.com/subject/4262627/
LinuxDeviceDrivers:3rdEdition,9.0,(122人评价),作者/译者： Jonathan Corbet、Alessandro Rubini、Greg Kroah-Hartman ,出版信息：  O'Reilly Media / 2005-2-17 / USD 39.95,https://book.douban.com/subject/1493443/
