书名,评分,评价人数,作者,出版社,url
六朝燕歌行,9.6,(25人评价),作者/译者： ,出版信息： 紫狂、罗森,https://book.douban.com/subject/30175951/
晚明,9.6,(74人评价),作者/译者： ,出版信息： 柯山梦 / 2012-8,https://book.douban.com/subject/35383720/
霄漢（上）,9.4,(25人评价),作者/译者： 衣冉 ,出版信息：  麥田 / 2011-7-25 / NTD 260.00,https://book.douban.com/subject/10757339/
结，起点亦是终点:雅鲁藏布大峡谷穿越纪实,9.4,(616人评价),作者/译者： 杨柳松 ,出版信息：  凤凰出版社 / 2009-10 / 50.00元,https://book.douban.com/subject/4137276/
1938:Hitler'sGamble,9.4,(114人评价),作者/译者： Giles MacDonogh ,出版信息：  Basic Books / 2011-5-10 / USD 16.99,https://book.douban.com/subject/10447495/
黄金岁月,9.3,(83人评价),作者/译者： ,出版信息： 高尾滋 / 台湾出版社： 长鸿 / 15,https://book.douban.com/subject/3272430/
临高启明,9.2,(354人评价),作者/译者： ,出版信息： 吹牛者 / 布衣书局.帝国出版社,https://book.douban.com/subject/31086991/
仁醫(Vol.12),9.2,(57人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2009-1-2 / 港幣35,https://book.douban.com/subject/5441790/
临高启明第一卷,9.2,(255人评价),作者/译者： 肖峰 ,出版信息：  中国广播影视出版社 / 2017-10 / 98.00元,https://book.douban.com/subject/27194610/
仁醫(3),9.1,(80人评价),作者/译者： ,出版信息： 村上紀香 / 正文社,https://book.douban.com/subject/6894982/
夏日重现,9.1,(616人评价),作者/译者： 田中靖規 / 林志昌 ,出版信息：  東立出版社 / 2018-11 / NT$130,https://book.douban.com/subject/30313283/
遙遠的小鎮（下）,9.1,(436人评价),作者/译者： 谷口治郎 / 章澤儀 ,出版信息：  東販 / 2004-06-28 / 180元,https://book.douban.com/subject/3142383/
仁醫(Vol.17),9.1,(50人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2010-4-16 / 港币35,https://book.douban.com/subject/6349053/
北方的空地,9.1,(2802人评价),作者/译者： 杨柳松 ,出版信息：  重庆出版社 / 2011-4 / 68.00元,https://book.douban.com/subject/6125543/
仁醫(Vol.18),9.1,(43人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2010-7-30 / 港币35,https://book.douban.com/subject/6349167/
仁醫(Vol.14),9.1,(52人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2009-9-25 / 港幣35,https://book.douban.com/subject/5441850/
仁醫(Vol.11),9.1,(58人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2008-9-8 / 港幣35,https://book.douban.com/subject/5441783/
遙遠的小鎮（上）,9.0,(602人评价),作者/译者： 谷口治郎 / 章澤儀 ,出版信息：  東販出版 / 2004-06-28 / 180元,https://book.douban.com/subject/1932095/
仁医(5),9.0,(69人评价),作者/译者： ,出版信息： 村上紀香 / 正文社,https://book.douban.com/subject/6963826/
仁醫(Vol.13),8.9,(53人评价),作者/译者： 村上紀香 ,出版信息：  正文社 / 2009-3-9 / 港幣35,https://book.douban.com/subject/5441833/
花非花01-02,8.9,(181人评价),作者/译者： 夏小卷 ,出版信息：  新世纪出版社 / 2011-9 / 24.00元,https://book.douban.com/subject/6760181/
凤逆苍穹3:魂兮归来,8.9,(103人评价),作者/译者： 路非 ,出版信息：  江苏文艺出版社 / 2014-4 / 55.00,https://book.douban.com/subject/25846281/
''AllYouZombies--'':FiveClassicStories,8.9,(116人评价),作者/译者： Robert A. Heinlein ,出版信息：  Blackstone Audio / 2014-1-1 / USD 19.95,https://book.douban.com/subject/26257216/
魔幻游戏:漫画书,8.9,(141人评价),作者/译者： 渡濑悠宇 ,出版信息：  中国藏学出版社 / 1994-10 / 7,https://book.douban.com/subject/4116060/
新宋·1（大结局珍藏版）,8.9,(167人评价),作者/译者： 阿越 ,出版信息：  中国致公出版社 / 2018-7 / 45.00 元,https://book.douban.com/subject/30253574/
