书名,评分,评价人数,作者,出版社,url
小王子,9.0,(635512人评价),作者/译者： [法] 圣埃克苏佩里 / 马振聘 ,出版信息：  人民文学出版社 / 2003-8 / 22.00元,https://book.douban.com/subject/1084336/
嘿，小家伙,7.0,(1199人评价),作者/译者： 温酒 ,出版信息：  湖南文艺出版社 / 2017-12 / 42.00元,https://book.douban.com/subject/27187949/
安徒生童话故事集,9.2,(102384人评价),作者/译者： （丹麦）安徒生 / 叶君健 ,出版信息：  人民文学出版社 / 1997-08 / 25.00元,https://book.douban.com/subject/1046209/
牧羊少年奇幻之旅,8.5,(135658人评价),作者/译者： [巴西] 保罗·柯艾略 / 丁文林 ,出版信息：  南海出版公司 / 2009-3-1 / 25.00元,https://book.douban.com/subject/3608208/
格林童话全集,9.0,(77983人评价),作者/译者： [德国]格林兄弟 / 魏以新 ,出版信息：  人民文学出版社 / 1994-11 / 21.45元,https://book.douban.com/subject/1043008/
小王子,7.7,(32102人评价),作者/译者： 安托万•德•圣埃克苏佩里 / 李继宏 ,出版信息：  天津人民出版社 / 2013-1 / 32.00,https://book.douban.com/subject/20443559/
海的女儿:安徒生童话全集之一,9.1,(13801人评价),作者/译者： 安徒生 / 叶君健 ,出版信息：  上海译文出版社 / 1978年6月 / 0.43,https://book.douban.com/subject/1765512/
小王子,9.4,(13891人评价),作者/译者： [法]圣埃克絮佩里 / 周克希 ,出版信息：  上海译文出版社 / 2009-4 / 29.00元,https://book.douban.com/subject/3693974/
夏洛的网,8.6,(57753人评价),作者/译者： [美] E.B.怀特 / 任溶溶 ,出版信息：  上海译文出版社 / 2004-5 / 17.00元,https://book.douban.com/subject/1036274/
一千零一夜,8.7,(49748人评价),作者/译者： 纳训 ,出版信息：  人民文学出版社 / 2003-01 / 22.00,https://book.douban.com/subject/1035848/
王尔德童话,9.1,(18576人评价),作者/译者： [英] 王尔德 / 王林 ,出版信息：  译林出版社 / 2003-6 / 6.00元,https://book.douban.com/subject/1119839/
天是真的,9.5,(224人评价),作者/译者： 陈雨吟 ,出版信息：  百花洲文艺出版社 / 2021-3 / 68.00元,https://book.douban.com/subject/35402337/
夜莺与玫瑰,8.9,(9282人评价),作者/译者： [英] 奥斯卡·王尔德 / 谈瀛洲 ,出版信息：  浙江文艺出版社 / 2015-4 / 32,https://book.douban.com/subject/26344078/
柳林风声,8.9,(2460人评价),作者/译者： [英] 肯尼斯·格雷厄姆、[澳] 罗伯特·英潘 绘 / 任溶溶 ,出版信息：  中国城市出版社 / 2012-7 / 98.00元,https://book.douban.com/subject/10794550/
快乐王子,9.2,(11144人评价),作者/译者： [英] 王尔德 / 巴金 ,出版信息：  上海译文出版社 / 2007-7 / 10.00元,https://book.douban.com/subject/2160226/
