书名,评分,评价人数,作者,出版社,url
传神文案:文案写对，营销才能做对,8.4,(270人评价),作者/译者： 空手 ,出版信息：  机械工业出版社 / 2021-2 / 79,https://book.douban.com/subject/35368439/
疯传:让你的产品、思想、行为像病毒一样入侵,7.2,(2598人评价),作者/译者： 乔纳·伯杰 (Jonah Berger) / 刘生敏、廖建桥 ,出版信息：  电子工业出版社 / 2014-1-1 / CNY 48.00,https://book.douban.com/subject/25804890/
你的顾客需要一个好故事,7.2,(162人评价),作者/译者： [美]唐纳德.米勒 / 修佳明 ,出版信息：  中国人民大学出版社 / 2018-6-18 / 68,https://book.douban.com/subject/30242424/
流量池,7.5,(3779人评价),作者/译者： 杨飞 ,出版信息：  中信出版集团 / 2018-4 / 68.00,https://book.douban.com/subject/30191451/
活动策划完全手册,7.2,(455人评价),作者/译者： 朱迪•艾伦 (Judy Allen) ,出版信息：  旅游教育出版社 / 2006-6-1 / 28.00元,https://book.douban.com/subject/1852664/
冲突,6.8,(477人评价),作者/译者： 叶茂中 ,出版信息：  机械工业出版社 / 2017-7 / 108,https://book.douban.com/subject/27084153/
文案发烧:20座ONESHOW奖杯得主的广告心得,8.1,(1089人评价),作者/译者： [美] 路克·苏立文 / 徐凤兰 ,出版信息：  中国财政经济出版社 / 2004-8-1 / 39.80元,https://book.douban.com/subject/1083444/
广告文案:文案人的自我修炼手册,7.5,(347人评价),作者/译者： 乐剑峰 ,出版信息：  中信出版社 / 2016-11 / 58,https://book.douban.com/subject/26915654/
创意:广告学教父的巅峰之作，所有生产创意的人的枕边书,8.2,(623人评价),作者/译者： [美] 詹姆斯·韦伯·扬 / 李旭大 ,出版信息：  中国海关出版社 / 2004-10 / 24.00元,https://book.douban.com/subject/1193831/
转身看策划,8.0,(42人评价),作者/译者： ,出版信息： 叶茂中 / 中华工商联合出版社 / 36.00,https://book.douban.com/subject/1018654/
蔚蓝诡计:颠覆市场的广告创意智库,8.2,(837人评价),作者/译者： （美）乔治·路易斯（George Lois）、（美）比尔·匹兹（Bill Pitts） / 刘家驯 ,出版信息：  海南出版社 / 1996-11-01 / 15.80元,https://book.douban.com/subject/1011617/
选题策划,7.5,(35人评价),作者/译者： 杰夫·赫曼 ,出版信息：  河北教育出版社 / 2005年07月 / 28.00元,https://book.douban.com/subject/1443788/
编辑力:从创意、策划到人际关系,7.6,(391人评价),作者/译者： （日）鹫尾贤也 / 陈宝莲 ,出版信息：  中国人民大学出版社 / 2007-1-1 / 35,https://book.douban.com/subject/1917628/
创意笔记本4:企划书源于你的一张手写稿,8.6,(61人评价),作者/译者： 高桥宣行 / 曹逸冰 ,出版信息：  中信出版股份有限公司 / 2014-5-1 / CNY 32.00,https://book.douban.com/subject/25917524/
创意之道:全球32位顶尖广告文案的写作之道,8.6,(344人评价),作者/译者： ,出版信息： 特约编辑：Alastair Crompton、编辑：Lan White / 英国设计与艺术指导协会 / 198元,https://book.douban.com/subject/2008542/
广告与营销策划,7.9,(27人评价),作者/译者： [美]威廉·阿伦斯、[美]迈克尔·维戈尔德、[美]克里斯蒂安·阿伦斯 / 丁俊杰、程坪、陈志娟 ,出版信息：  人民邮电出版社 / 2013-1 / 88.00元,https://book.douban.com/subject/20509187/
深度粉销：高转化、高复购的用户运营黄金法则,5.8,(135人评价),作者/译者： 丁丁 ,出版信息：  人民邮电出版社 / 2018-10 / 59.80,https://book.douban.com/subject/30359753/
重整河山:王志纲工作室战略策划实录,8.1,(61人评价),作者/译者： 王志纲工作室、吴鹏/执笔 ,出版信息：  北京大学出版社 / 2010-1 / 39.00元,https://book.douban.com/subject/4238915/
国际4A广告公司媒介策划基础,7.4,(101人评价),作者/译者： 朱海松 ,出版信息：  广东经济出版社 / 2005-5 / 25.00元,https://book.douban.com/subject/1319369/
活动策划全攻略,7.2,(46人评价),作者/译者： 朱迪·艾伦 / 卢涤非 ,出版信息：  旅游教育 / 2010-7 / 38.00元,https://book.douban.com/subject/4988236/
营销策划漫画读本,8.3,(31人评价),作者/译者： 彼得・莫里斯、马尔科姆・麦克唐纳、许冬 / 许冬 ,出版信息：  华夏出版社 / 2004-9 / 28.00元,https://book.douban.com/subject/1189213/
游戏之巅:游戏背后的创业风云,8.0,(77人评价),作者/译者： [美] Morgan Ramsay / 张玳 ,出版信息：  人民邮电出版社 / 2013-6 / 59.00元,https://book.douban.com/subject/24533745/
广告策划与策划书撰写,7.1,(28人评价),作者/译者： 陈培爱 ,出版信息：  厦门大学出版社 / 2001-5-1 / 32.00元,https://book.douban.com/subject/1096579/
秋元康的企划脑,7.5,(78人评价),作者/译者： ,出版信息： 2019-3 / 45.00元,https://book.douban.com/subject/30996104/
建筑策划与前期管理,8.5,(19人评价),作者/译者： 赫什伯格 ,出版信息：  建筑工业 / 2005-1 / 66.00元,https://book.douban.com/subject/1624331/
营销策划技能案例训练手册,7.6,(28人评价),作者/译者： 郑方华 ,出版信息：  机械工业出版社 / 2006-1 / 29.80元,https://book.douban.com/subject/1490242/
媒体策划与营销:媒体策划与营销,6.8,(11人评价),作者/译者： 蒙南生 ,出版信息：  北京广播学院出版社 / 2007-1 / 26.80元,https://book.douban.com/subject/1951682/
图书宣传,7.7,(27人评价),作者/译者： 乔迪·布兰科 / 张志强 ,出版信息：  河北教育出版社 / 2005-7 / 28.0,https://book.douban.com/subject/1443787/
