书名,评分,评价人数,作者,出版社,url
计算机程序设计艺术（第3卷）:排序与查找,9.9,(48人评价),作者/译者： Donald E.Knuth / 苏运霖 ,出版信息：  国防工业出版社 / 2002-9 / 98.00元,https://book.douban.com/subject/1241037/
ConcreteMathematics:AFoundationforComputerScience,9.8,(140人评价),作者/译者： Ronald L. Graham、Donald E. Knuth、Oren Patashnik ,出版信息：  Addison-Wesley Professional / 1994-3-10 / USD 89.99,https://book.douban.com/subject/1390010/
TheGarbageCollectionHandbook:TheArtofAutomaticMemoryManagement,9.8,(26人评价),作者/译者： Richard Jones、Antony Hosking、Eliot Moss / Chapman and Hall,出版信息： CRC / 2011-8-17 / USD 79.95,https://book.douban.com/subject/6809987/
程序员面试金典（第6版）,9.8,(51人评价),作者/译者： Gayle Laakmann McDowell / 刘博楠、赵鹏飞、李琳骁、漆犇 ,出版信息：  人民邮电出版社 / 2019-9-18 / 149.00元,https://book.douban.com/subject/34813624/
计算机程序设计艺术,9.8,(26人评价),作者/译者： （美 ,出版信息：  机械工业出版社 / 2006-7 / 45.00元,https://book.douban.com/subject/1852976/
TheProbabilisticMethod,9.8,(31人评价),作者/译者： Noga Alon、Joel H. Spencer ,出版信息：  Wiley-Interscience / 2008-8-11 / USD 137.00,https://book.douban.com/subject/3177211/
傅立叶分析导论,9.8,(44人评价),作者/译者： 斯坦恩 (Elias M. Stein)、Rami Shakarchi ,出版信息：  世界图书出版公司北京公司 / 2013-1-1 / 59.00元,https://book.douban.com/subject/20435906/
"DesigningData-IntensiveApplications:TheBigIdeasBehindReliable,Scalable,andMaintainableSystems",9.7,(835人评价),作者/译者： Martin Kleppmann ,出版信息：  O'Reilly Media / 2017-4-2 / USD 44.99,https://book.douban.com/subject/26197294/
算法笔记上机训练实战指南,9.7,(68人评价),作者/译者： 胡凡、曾磊 ,出版信息：  机械工业出版社 / 2016-7 / 57,https://book.douban.com/subject/30162908/
ComputersandIntractability:AGuidetotheTheoryofNP-completeness,9.6,(38人评价),作者/译者： M R Garey、D S Johnson ,出版信息：  W. H. Freeman / 1979-4-26 / GBP 53.99,https://book.douban.com/subject/2330824/
