书名,评分,评价人数,作者,出版社,url
不拘一格:网飞的自由与责任工作法,8.2,(1653人评价),"作者/译者： [美]里德·哈斯廷斯, [美]艾琳·迈耶 / 杨占 ",出版信息：  中信出版社 / 2021-1-1 / 69.00,https://book.douban.com/subject/35102294/
原则,8.3,(26928人评价),作者/译者： [美] 瑞·达利欧 / 刘波、綦相 ,出版信息：  中信出版社 / 2018-1 / CNY 98.00,https://book.douban.com/subject/27608239/
价值共生:数字化时代的组织管理,8.6,(292人评价),作者/译者： 陈春花 ,出版信息：  人民邮电出版社 / 2021-5 / 78.00元,https://book.douban.com/subject/35407520/
富爸爸，穷爸爸,8.3,(65752人评价),作者/译者： （美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 ,出版信息：  世界图书出版公司 / 2000-09 / 18.80,https://book.douban.com/subject/1033778/
卓有成效的管理者,8.7,(14779人评价),作者/译者： [美] 彼得·德鲁克 / 许是祥 ,出版信息：  机械工业出版社 / 2005-6 / 28.00元,https://book.douban.com/subject/1322025/
高效能人士的七个习惯:30周年纪念版,8.4,(14279人评价),作者/译者： [美] 史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 ,出版信息：  中国青年出版社 / 2018-5-1 / 49.00元,https://book.douban.com/subject/5325618/
奈飞文化手册,8.0,(5515人评价),作者/译者： [美] 帕蒂·麦考德 / 范珂 ,出版信息：  浙江教育出版社 / 2018-10 / 69,https://book.douban.com/subject/30356081/
影响力,8.6,(43727人评价),作者/译者： [美] 罗伯特·西奥迪尼 / 陈叙 ,出版信息：  中国人民大学出版社 / 2006-5 / 45.00元,https://book.douban.com/subject/1786387/
把自己当回事儿,7.0,(738人评价),作者/译者： 杨天真 ,出版信息：  北京联合出版公司 / 2021-4-1 / 56,https://book.douban.com/subject/35407140/
浪潮之巅,9.0,(29120人评价),作者/译者： 吴军 ,出版信息：  电子工业出版社 / 2011-8 / 55.00元,https://book.douban.com/subject/6709783/
激荡三十年:中国企业1978-2008（珍藏图文版）,8.6,(13693人评价),作者/译者： 吴晓波 ,出版信息：  中信出版社 / 2008-7-1 / 32.00元,https://book.douban.com/subject/3151575/
苏世民：我的经验与教训:我的经验与教训,8.2,(4360人评价),作者/译者： [美] 苏世民 / 赵灿 ,出版信息：  中信出版社 / 2020-1 / 98.00元,https://book.douban.com/subject/34952676/
活法,8.1,(11518人评价),作者/译者： （日）稻盛和夫 / 周庆玲 ,出版信息：  东方出版社 / 2005-03 / 24.00元,https://book.douban.com/subject/1269900/
掌控习惯:如何养成好习惯并戒除坏习惯,8.6,(4851人评价),作者/译者： 【美】詹姆斯·克利尔（James Clear） / 迩东晨 ,出版信息：  北京联合出版公司 / 2019-7 / 56.00,https://book.douban.com/subject/34326931/
从0到1:开启商业与未来的秘密,7.5,(26390人评价),作者/译者： 彼得·蒂尔、布莱克·马斯特斯 / 高玉芳 ,出版信息：  中信出版社 / 2015-1-1 / CNY 45.00,https://book.douban.com/subject/26297606/
巴菲特致股东的信:投资者和公司高管教程（原书第4版）,9.0,(1696人评价),作者/译者： [美]沃伦·巴菲特 / 杨天南 ,出版信息：  机械工业出版社 / 2018-3 / 99.00元,https://book.douban.com/subject/30164963/
OKR工作法:谷歌、领英等公司的高绩效秘籍,7.4,(5013人评价),作者/译者： 克里斯蒂娜•沃特克 (Christina Wodtke) / 明道团队 ,出版信息：  中信出版社 / 2017-9-1 / CNY 42.00,https://book.douban.com/subject/27132072/
斗魂:稻盛和夫的成功热情,0.0,(18人评价),作者/译者： [日]稻盛和夫 / 曹岫云、曹寓刚  校 ,出版信息：  人民邮电出版社 / 2021-6 / 59.00,https://book.douban.com/subject/35447940/
分析与思考:黄奇帆的复旦经济课,9.3,(1325人评价),作者/译者： 黄奇帆 ,出版信息：  上海人民出版社 / 2020-7 / 98.00元,https://book.douban.com/subject/35149551/
零售的哲学:7-Eleven便利店创始人自述,8.1,(7317人评价),作者/译者： [日] 铃木敏文 / 顾晓琳 ,出版信息：  江苏文艺出版社 / 2014-12-1 / 36,https://book.douban.com/subject/26270679/
创新者的窘境,8.5,(3235人评价),作者/译者： 克莱顿•克里斯坦森( Clayton M. Christensen ) / 胡建桥 ,出版信息：  中信出版社 / 2010-6 / 38.00元,https://book.douban.com/subject/4243770/
怦然心动的人生整理魔法,8.0,(16647人评价),作者/译者： 〔日本〕近藤麻理惠 / 徐明中 ,出版信息：  译林出版社 / 2012-5 / 28.00元,https://book.douban.com/subject/10747883/
干法,7.5,(3143人评价),作者/译者： [日] 稻盛和夫 / 曹岫云 ,出版信息：  机械工业出版社 / 2015-5 / 39.00元,https://book.douban.com/subject/26648884/
