书名,评分,评价人数,作者,出版社,url
不朽,9.5,(27人评价),作者/译者： 米兰.昆德拉 / 安丽娜 ,出版信息：  青海人民出版社 / 1998-9 / 15.80元,https://book.douban.com/subject/3395715/
小说的艺术,9.3,(475人评价),作者/译者： 米兰·昆德拉 / 董强 ,出版信息：  上海译文出版社 / 2014-6 / 33.00,https://book.douban.com/subject/25900366/
TheArtoftheNovel:ArtoftheNovel,9.3,(45人评价),作者/译者： Milan Kundera ,出版信息：  Harper Perennial / 2003-3-1 / GBP 10.03,https://book.douban.com/subject/1455720/
百年孤独,9.3,(334176人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 范晔 ,出版信息：  南海出版公司 / 2011-6 / 39.50元,https://book.douban.com/subject/6082808/
TheUnbearableLightnessofBeing,9.1,(190人评价),作者/译者： ,出版信息： 1984 / £18,https://book.douban.com/subject/4169399/
ComplexityandContradictioninArchitecture,9.1,(112人评价),作者/译者： Robert Venturi ,出版信息：  Museum of Modern Art / 1977 / USD 14.95,https://book.douban.com/subject/1752262/
杀死一只反舌鸟,9.1,(4149人评价),作者/译者： [美]哈珀·李 / 高红梅 ,出版信息：  译林出版社 / 2009-2-1 / 25.00,https://book.douban.com/subject/3597031/
我与地坛:史铁生代表作,9.1,(72190人评价),作者/译者： 史铁生 ,出版信息：  春风文艺出版社 / 2002-5 / 25.00元,https://book.douban.com/subject/1209899/
被背叛的遗嘱,9.1,(54人评价),作者/译者： [法 ]米兰·昆德拉 / 余中先 ,出版信息：  上海译文出版社 / 2013-7 / 36.00,https://book.douban.com/subject/24845897/
不能承受的生命之轻,9.1,(5455人评价),作者/译者： [捷克] 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2014-6 / 46.00元,https://book.douban.com/subject/25900384/
沉重的肉身:现代性伦理的叙事纬语,9.0,(377人评价),作者/译者： 刘小枫 ,出版信息：  上海人民出版社 / 1999-01-01 / 18.00元,https://book.douban.com/subject/1054704/
TheBookofLaughterandForgetting,9.0,(77人评价),作者/译者： Milan Kundera / Aaron Asher ,出版信息：  Faber and Faber / 1996-5-20 / £7.99,https://book.douban.com/subject/1871205/
雅克和他的主人,9.0,(136人评价),作者/译者： [法] 米兰·昆德拉 / 尉迟秀 ,出版信息：  上海译文出版社 / 2015-1 / 35.00元,https://book.douban.com/subject/25919831/
霍乱时期的爱情,9.0,(213255人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 杨玲 ,出版信息：  南海出版公司 / 2012-9-1 / 39.50元,https://book.douban.com/subject/10594787/
LifelikeDrawinginColoredPencilwithLeeHammond,9.0,(70人评价),作者/译者： Lee Hammond ,出版信息：  North Light Books / 2008-10-15 / USD 22.99,https://book.douban.com/subject/4412721/
帷幕,9.0,(131人评价),作者/译者： 米兰·昆德拉 / 董强 ,出版信息：  上海译文出版社 / 2014-8 / 37.00,https://book.douban.com/subject/25900368/
笑忘录,9.0,(577人评价),作者/译者： [法]米兰·昆德拉 / 王东亮 ,出版信息：  上海译文出版社 / 2019-2 / 55.00,https://book.douban.com/subject/30355939/
告别圆舞曲,8.9,(659人评价),作者/译者： [捷克] 米兰·昆德拉 / 余中先 ,出版信息：  上海译文出版社 / 2014-6 / 40.00,https://book.douban.com/subject/25900973/
人类的群星闪耀时（增订版）:十四篇历史特写,8.9,(7560人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2009-6 / 25.80元,https://book.douban.com/subject/3757732/
傲慢与偏见,8.9,(202552人评价),作者/译者： [英] 奥斯丁 / 张玲、张扬 ,出版信息：  人民文学出版社 / 1993-7 / 13.00元,https://book.douban.com/subject/1083428/
小说的艺术:作家参考丛书,8.8,(59人评价),作者/译者： (捷)昆德拉 / 唐晓渡 ,出版信息：  作家出版社 / 1992.2 / 3.10,https://book.douban.com/subject/2267407/
生命中不能承受之輕,8.8,(212人评价),作者/译者： 米蘭‧昆德拉 (Milan Kundera) / 韓少功 / 韓剛 ,出版信息：  時報文化 / 1995 / NT$240,https://book.douban.com/subject/1390027/
从卡夫卡到昆德拉:20世纪的小说和小说家,8.8,(3254人评价),作者/译者： 吴晓东 ,出版信息：  生活·读书·新知三联书店 / 2003-8-1 / 39.60,https://book.douban.com/subject/1064707/
巴黎，19世纪的首都,8.8,(625人评价),作者/译者： [德]瓦尔特·本雅明 / 刘北成 ,出版信息：  上海人民出版社 / 2006-5 / 24.00元,https://book.douban.com/subject/1794666/
不能承受的生命之轻:中文全译本百万纪念版,8.8,(38384人评价),作者/译者： 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2010-8 / 29.00元,https://book.douban.com/subject/4920007/
玩笑,8.8,(1915人评价),作者/译者： 米兰·昆德拉 / 蔡若明 ,出版信息：  上海译文出版社 / 2011-1 / 32.00元,https://book.douban.com/subject/5918057/
过于喧嚣的孤独,8.8,(12523人评价),作者/译者： (捷克) 赫拉巴尔 / 杨乐云 ,出版信息：  北京十月文艺出版社 / 2011-10 / 22.00元,https://book.douban.com/subject/6781794/
生命中不能承受之轻,8.7,(11033人评价),作者/译者： [捷] 米兰·昆德拉 / 韩少功、韩刚 ,出版信息：  作家出版社 / 1987-9 / 2.20元,https://book.douban.com/subject/1433377/
影响力:经典版,8.7,(9618人评价),作者/译者： [美] 罗伯特·B·西奥迪尼 / 闾佳 ,出版信息：  万卷出版公司 / 2010-9-20 / 45.00元,https://book.douban.com/subject/5287474/
被背叛的遺囑,8.7,(42人评价),作者/译者： 米蘭·昆德拉 / 孟湄 ,出版信息：  牛津大學出版社 / 1994 / 95.00,https://book.douban.com/subject/1438929/
如果在冬夜，一个旅人,8.7,(9177人评价),作者/译者： [意大利] 伊塔洛·卡尔维诺 / 萧天佑 ,出版信息：  译林出版社 / 2007-6 / 25.00元,https://book.douban.com/subject/2136484/
生活在他方:大師名作坊015,8.7,(143人评价),作者/译者： 米蘭．昆德拉、milan kundera / 景凱旋、景黎明 ,出版信息：  時報 / 1992-10-15 / NT250,https://book.douban.com/subject/1360866/
好笑的爱,8.7,(1916人评价),作者/译者： 米兰·昆德拉 (Kundera M.) / 余中先、郭昌京 ,出版信息：  上海译文出版社 / 2011-1 / 29.00元,https://book.douban.com/subject/5918007/
无知,8.7,(585人评价),作者/译者： [捷克] 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2014-6 / 32.00,https://book.douban.com/subject/25900374/
相遇,8.7,(27人评价),作者/译者： [法] 米兰·昆德拉 / 尉迟秀 ,出版信息：  上海译文出版社 / 2013-7 / 32.00,https://book.douban.com/subject/24845901/
日瓦戈医生,8.7,(299人评价),作者/译者： [苏] 帕斯特尔纳克 / 力冈、冀刚 ,出版信息：  漓江出版社 / 1986-12 / 4.20元（平） 6.20元（精）,https://book.douban.com/subject/1856464/
一个陌生女人的来信,8.7,(119243人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 张玉书 ,出版信息：  上海译文出版社 / 2007-7 / 20.00元,https://book.douban.com/subject/2154960/
追忆似水年华Ⅰ:在斯万家那边,8.7,(9412人评价),作者/译者： [法] M·普鲁斯特 / 李恒基、徐继曾 ,出版信息：  译林出版社 / 1989-6 / 5.80元,https://book.douban.com/subject/1082584/
红拂夜奔,8.7,(29454人评价),作者/译者： 王小波 ,出版信息：  江苏文艺出版社 / 2005-1 / 28.00元,https://book.douban.com/subject/1418686/
沉重的肉身:现代性伦理的叙事纬语（第三版修订本）,8.7,(3449人评价),作者/译者： 刘小枫 ,出版信息：  华夏出版社 / 2004-1-1 / 29.00,https://book.douban.com/subject/1059537/
人生中不可不想的事,8.7,(5773人评价),作者/译者： 克里希那穆提 / 叶文可 ,出版信息：  群言出版社 / 2004-10 / 28.00元,https://book.douban.com/subject/1045716/
可笑的爱情,8.6,(84人评价),作者/译者： 米兰・昆德拉 ,出版信息：  安徽文艺出版社 / 1992-09 / 4.80,https://book.douban.com/subject/1055157/
米兰·昆德拉：一种作家人生,8.6,(109人评价),作者/译者： [法]让–多米尼克•布里埃 / 刘云虹、许钧 ,出版信息：  雅众文化 | 南京大学出版社 / 2021-2 / 68.00元,https://book.douban.com/subject/35285924/
