书名,评分,评价人数,作者,出版社,url
战争与和平,9.9,(78人评价),作者/译者： (俄罗斯) 列夫·托尔斯泰 / 草婴 ,出版信息：  人民文学出版社 / 2020-9 / 288.0元,https://book.douban.com/subject/34882670/
助张继科成就大满贯,9.9,(2729人评价),作者/译者： ,出版信息： 肖战、黄文文 / 北京体育大学出版社 / 2017-7-1,https://book.douban.com/subject/27154246/
名利场（作家榜经典文库）,9.8,(19人评价),作者/译者： [英国] 萨克雷 / 杨必 ,出版信息：  中信出版社 / 2021-2 / 118.00元,https://book.douban.com/subject/35249796/
资治通鉴,9.8,(1294人评价),作者/译者： 司马光 ,出版信息：  中华书局 / 2011-8 / 498.00元,https://book.douban.com/subject/6790302/
红楼梦脂评汇校本,9.8,(1485人评价),作者/译者： 曹雪芹、吴铭恩 汇校、脂砚斋 ,出版信息：  北方联合出版传媒集团 万卷出版公司 / 2013-10 / 180.00元,https://book.douban.com/subject/25757313/
费曼物理学讲义:第1卷,9.8,(47人评价),作者/译者： [美] 理查德·费曼 / 郑永令等 ,出版信息：  上海科学技术出版社 / 2020-4-1 / 118.00元,https://book.douban.com/subject/34984198/
脂砚斋评石头记（上下）,9.8,(1235人评价),作者/译者： [清] 曹雪芹 著、脂砚斋 评 ,出版信息：  上海三联书店 / 2011-5-1 / 88.00元,https://book.douban.com/subject/6712512/
深入理解计算机系统（原书第3版）,9.8,(1430人评价),作者/译者： Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 ,出版信息：  机械工业出版社 / 2016-11 / 139.00元,https://book.douban.com/subject/26912767/
灌篮高手（全31卷）,9.8,(5425人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-10 / 232.50元,https://book.douban.com/subject/2025999/
四书章句集注,9.8,(497人评价),作者/译者： 朱熹 ,出版信息：  中华书局 / 2012-2 / 39.00元,https://book.douban.com/subject/10582727/
法律的概念:第三版,9.8,(151人评价),作者/译者： [英]哈特 ,出版信息：  许家馨、李冠宜 / 法律出版社 / 2018-7-1,https://book.douban.com/subject/30247377/
红楼梦,9.8,(7363人评价),作者/译者： 曹雪芹 ,出版信息：  人民文学出版社 / 2018-1-1 / CNY 260.00,https://book.douban.com/subject/30137806/
宪法学导论:原理与应用,9.7,(938人评价),作者/译者： 张千帆 ,出版信息：  法律出版社 / 2014-4-1 / 59.00元,https://book.douban.com/subject/25918941/
鲁迅全集,9.7,(2133人评价),作者/译者： 鲁迅 ,出版信息：  同心出版社 / 2014-5-1 / 388.00元,https://book.douban.com/subject/25898626/
第二性:第二性第一卷/第二卷上/第二卷下,9.7,(92人评价),作者/译者： 西蒙.德.波娃(Simone de Beauvoir) / 邱瑞鑾 ,出版信息：  貓頭鷹出版社 / 2013-10-8 / NT$1500,https://book.douban.com/subject/25712807/
飘,9.7,(1827人评价),作者/译者： 玛格丽特·米切尔 / 范纯海、夏旻 ,出版信息：  长江文艺出版社 / 2011-6 / 48.00元,https://book.douban.com/subject/6435891/
红楼梦:脂本汇校套装全二册,9.7,(3608人评价),作者/译者： 曹雪芹 ,出版信息：  三秦出版社 / 2016-11-1 / 88.00元,https://book.douban.com/subject/27053166/
乔乔的奇妙冒险第二部·战斗潮流（全七册）,9.7,(130人评价),作者/译者： [日] 荒木飞吕彦 / 赵滢 ,出版信息：  新星出版社 / 2021-3 / 175.00元,https://book.douban.com/subject/35235874/
民法总则,9.7,(600人评价),作者/译者： 王泽鉴 ,出版信息：  北京大学出版社 / 2009-12 / 49.00元,https://book.douban.com/subject/4201009/
资治通鉴:传世经典文白对照,9.7,(683人评价),作者/译者： 司马光 / 沈志华、张宏儒 ,出版信息：  中华书局 / 2013-1 / 788.00元,https://book.douban.com/subject/3746915/
哈利·波特,9.7,(47410人评价),作者/译者： J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 ,出版信息：  人民文学出版社 / 2008-12-1 / 498.00元,https://book.douban.com/subject/24531956/
卡拉马佐夫兄弟,9.7,(7844人评价),作者/译者： 陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 ,出版信息：  上海译文出版社 / 2015-2-1 / CNY 78.00,https://book.douban.com/subject/25887924/
龙珠(全42册),9.7,(1867人评价),作者/译者： [日] 鸟山明 / 牟琳 ,出版信息：  中国少年儿童出版社 / 2005-7-1 / 367.6,https://book.douban.com/subject/3048059/
悲惨世界,9.7,(278人评价),作者/译者： 维克多·雨果 / 李玉民 ,出版信息：  中央编译 / 2010-11 / 66.00元,https://book.douban.com/subject/5958654/
机器猫哆啦A梦（共45册）,9.7,(11147人评价),作者/译者： [日本] 藤子·F. 不二雄 / 碧日 ,出版信息：  吉林美术出版社 / 2002-9 / 180.00元,https://book.douban.com/subject/1102403/
数学物理方法,9.6,(178人评价),作者/译者： 顾樵 ,出版信息：  科学出版社 / 2012-1 / 69.00元,https://book.douban.com/subject/10517521/
圣经:中英对照圣经（中文和合本/ESV英文标准版）,9.6,(678人评价),作者/译者： ,出版信息： 中国基督教两会 / 2009-11 / 50.00,https://book.douban.com/subject/10530396/
自然哲学的数学原理,9.6,(80人评价),作者/译者： 艾萨克·牛顿 / 任海洋 ,"出版信息：  重庆出版社,重庆出版集团 / 2015-9-1 / CNY 58.00",https://book.douban.com/subject/26776903/
三体:十周年纪念版,9.6,(1567人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2017-8 / 288.00元,https://book.douban.com/subject/27077612/
四世同堂,9.6,(2169人评价),作者/译者： 老舍 / 赵武平 译补 ,出版信息：  东方出版中心 / 2017-9-1 / 89.00,https://book.douban.com/subject/27140237/
梵高:化世间痛苦为激情洋溢的美,9.6,(272人评价),作者/译者： [法] 扬·布朗 / 李祎 ,出版信息：  华中科技大学出版社 / 2018-9 / 398元,https://book.douban.com/subject/30318678/
马克思恩格斯选集,9.6,(187人评价),作者/译者： 马克思、恩格斯 / 中央编译局 ,出版信息：  人民出版社 / 2012-9-17 / 330.00元,https://book.douban.com/subject/19952165/
史记（点校本二十四史修订本）,9.6,(499人评价),作者/译者： 司马迁 著、裴骃 集解、司马贞 索隐、张守节 正义 / 点校本《史记》修订组 ,出版信息：  中华书局 / 2013-8 / 590.00元,https://book.douban.com/subject/25660928/
春秋左传注（全四册）:春秋左传注,9.6,(1288人评价),作者/译者： 杨伯峻 ,出版信息：  中华书局 / 2009-10 / 178.00元,https://book.douban.com/subject/4146127/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3493人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
金庸全集,9.6,(3677人评价),作者/译者： ,出版信息： 金庸 / 生活·读书·新知三联书店 / 1994-5,https://book.douban.com/subject/3532347/
坟,9.6,(6328人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
艺术的故事,9.6,(18477人评价),作者/译者： [英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2008-04 / 280.00,https://book.douban.com/subject/3162991/
孔乙己,9.6,(2074人评价),作者/译者： 鲁迅 原著 程十髮 繪畫 ,出版信息：  連環畫出版社 / 2011-8 / 38元,https://book.douban.com/subject/6872620/
心经,9.6,(2269人评价),作者/译者： 本书编委会 ,出版信息：  宗教文化出版社 / 2006-3 / 108.00元,https://book.douban.com/subject/1840859/
堂吉诃德,9.6,(391人评价),作者/译者： [西] 塞万提斯·萨维德拉 / 唐民权 ,出版信息：  理想国 | 广西师范大学出版社 / 2020-1 / 128.00元,https://book.douban.com/subject/34908576/
新世紀福音戰士14(完):啟程,9.6,(463人评价),作者/译者： 貞本義行、カラー、GAINAX / 章澤儀 ,出版信息：  台灣角川 / 2014-11-20 / NT$120,https://book.douban.com/subject/26068098/
量子力学:朗道理论物理学教程第三卷,9.6,(240人评价),作者/译者： Л.Д.朗道、E.A.栗弗席兹 / 严肃、喀兴林 ,出版信息：  高等教育出版社 / 2008-10 / 85.00元,https://book.douban.com/subject/3269798/
道德经:道德经,9.5,(199人评价),作者/译者： ,出版信息： 老子 / 2009-3 / 50.00元,https://book.douban.com/subject/3853475/
深入理解Java虚拟机（第3版）:JVM高级特性与最佳实践,9.5,(392人评价),作者/译者： 周志明 ,出版信息：  机械工业出版社 / 2019-12 / 129.00元,https://book.douban.com/subject/34907497/
魔戒,9.5,(5762人评价),作者/译者： [英] J.R.R.托尔金 / 邓嘉宛、石中歌、杜蕴慈 ,出版信息：  上海人民出版社 / 2013-9 / 169.00元,https://book.douban.com/subject/21979017/
几何原本,9.5,(365人评价),作者/译者： (古希腊)欧几里得 / 兰纪正、朱恩宽 ,出版信息：  译林出版社 / 2011-11 / 46.80元,https://book.douban.com/subject/6784981/
伯罗奔尼撒战争史,9.5,(189人评价),作者/译者： (古希腊)修昔底德 / 何元国 ,出版信息：  中国社会科学出版社 / 2017-12-31 / CNY 128.00,https://book.douban.com/subject/27197930/
计算机科学导论:原书第3版,9.5,(240人评价),作者/译者： [美]贝赫鲁兹·佛罗赞 / 刘艺、刘哲雨 ,出版信息：  机械工业出版社 / 2015-8-1 / 69.00元,https://book.douban.com/subject/26726452/
EffectiveJava中文版（第3版）,9.5,(202人评价),作者/译者： [美] Joshua Bloch / 俞黎敏 ,出版信息：  机械工业出版社 / 2018-12-11 / 119元,https://book.douban.com/subject/30412517/
存在主义心理治疗,9.5,(2685人评价),作者/译者： (美) 亚隆 / 黄峥、张怡玲、沈东郁 ,出版信息：  商务印书馆 / 2015-5 / 79.00,https://book.douban.com/subject/26304954/
三国演义,9.5,(14792人评价),作者/译者： 罗贯中 ,出版信息：  岳麓书社 / 1986-6-1 / 13.0,https://book.douban.com/subject/1483894/
理想国,9.5,(210人评价),作者/译者： 柏拉图 / 郭斌和、张竹明 ,出版信息：  商务印书馆 / 2018-10 / 56,https://book.douban.com/subject/30353287/
费恩曼物理学讲义（第1卷）:(第1卷),9.5,(1775人评价),作者/译者： Richard P. Feynman、Robert B. Leighton、Matthew Sands / 王子辅、李洪芳、钟万蘅 ,出版信息：  上海科学技术出版社 / 2005-06 / 85.00元,https://book.douban.com/subject/1437852/
魔戒（插图珍藏版）,9.5,(1210人评价),作者/译者： (英)J.R.R.托尔金 / 朱学恒 ,出版信息：  译林出版社 / 2011-12-18 / 189.00元,https://book.douban.com/subject/6903227/
