书名,评分,评价人数,作者,出版社,url
ACourseinEconometrics,10.0,(35人评价),作者/译者： Arthur S. Goldberger ,出版信息：  Harvard University Press / 1991-04-15 / USD 73.00,https://book.douban.com/subject/2779499/
健康经济学（斯坦福卫生经济学教材）,9.9,(19人评价),作者/译者： [美]杰伊·巴塔查里亚（Jay Bhattacharya）、[美]蒂莫西·海德、[美]彼得·杜 / 曹乾 ,出版信息：  广西师范大学出版社 / 2019-12-21 / 129.00元,https://book.douban.com/subject/34910576/
八次危機:中國式經濟危機和應對,9.8,(40人评价),作者/译者： 溫鐵軍 ,出版信息：  中華書局(香港)有限公司 / 2014-3 / HK$108.00,https://book.douban.com/subject/26207204/
中国经济:适应与增长(第2版),9.8,(51人评价),作者/译者： [美]巴里·诺顿 / 安佳 ,出版信息：  上海人民出版社 / 2019-12-1 / 158元,https://book.douban.com/subject/34919491/
资本论:马克思诞辰200周年纪念版,9.8,(688人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-5 / 240.00,https://book.douban.com/subject/30316487/
投资者养成指南（一）,9.8,(129人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 87,https://book.douban.com/subject/35220162/
经济学原理（第7版）（典藏版）,9.7,(137人评价),作者/译者： 曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2017-9 / 298.00,https://book.douban.com/subject/27163861/
经济分析基础,9.6,(50人评价),作者/译者： （美）保罗·A.萨缪尔森 / 何耀、傅征、刘生龙、陈宏卫、王兴林 ,出版信息：  东北财大 / 2006-12 / 48.00元,https://book.douban.com/subject/2012517/
现代经济增长导论,9.6,(22人评价),作者/译者： [美] 达龙·阿西莫格鲁 / 唐志军、徐浩庆、谌莹 ,出版信息：  中信出版社 / 2019-9-1 / 198.00元,https://book.douban.com/subject/33398700/
蒙代尔经济学文集(1-6),9.6,(17人评价),作者/译者： 蒙代尔 ,出版信息：  中国金融出版社 / 2003-1 / 280.0,https://book.douban.com/subject/1137665/
经济学原理:微观经济学分册(第6版),9.6,(1986人评价),作者/译者： N.格里高利•曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2012-7-1 / 64.00元,https://book.douban.com/subject/11530078/
中级微观经济学：直觉思维与数理方法,9.6,(16人评价),作者/译者： [美] 托马斯·J·内契巴 ,出版信息：  中国人民大学出版社 / 2016-10-1 / 128.00元,https://book.douban.com/subject/26996470/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3495人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
当代中国经济改革教程,9.6,(178人评价),作者/译者： 吴敬琏 ,出版信息：  上海远东出版社 / 2016-1 / 78,https://book.douban.com/subject/26729910/
经济学原理（第7版）:微观经济学分册,9.6,(1387人评价),作者/译者： [美] 格里高里·曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5 / CNY 72.00,https://book.douban.com/subject/26388289/
宏观经济学（第九版）,9.6,(333人评价),作者/译者： [美] N·格里高利·曼昆 / 卢远瞩 ,出版信息：  中国人民大学出版社 / 2016-8-1 / 79.00元,https://book.douban.com/subject/26887927/
现代宏观经济学:起源、发展和现状,9.5,(167人评价),作者/译者： [英] 布莱恩·斯诺登、[英] 霍华德·R. 文 / 佘江涛 ,出版信息：  江苏人民出版社 / 2009-3 / 45.00元,https://book.douban.com/subject/3518436/
真正的投资者读什么,9.5,(118人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 65,https://book.douban.com/subject/35220161/
经济学（微观部分）,9.5,(37人评价),作者/译者： 达龙·阿西莫格鲁、戴维·莱布森、约翰·A·李斯特 / 卢远瞩、尹训东 ,出版信息：  中国人民大学出版社 / 2016-1-1 / 59.00元,https://book.douban.com/subject/26666681/
智慧型股票投资人,9.5,(59人评价),作者/译者： 班杰明·葛拉漢 (Benjamin Graham) / 俞濟群 ,出版信息：  寰宇出版 / 1996-12 / 500元,https://book.douban.com/subject/3272812/
把握变革,9.5,(56人评价),作者/译者： [美] 伊查克·爱迪思 / 赵斌、陈甦 ,出版信息：  华夏出版社 / 2004-1 / 25.00元,https://book.douban.com/subject/1084651/
经济学入门50讲：普通人也能读懂的经济学:普通人也能读懂的经济学,9.5,(63人评价),作者/译者： 张是之 ,出版信息：  中信出版社 / 2020-12-1 / 58,https://book.douban.com/subject/35269253/
经济增长理论史:从大卫·休谟至今,9.5,(78人评价),作者/译者： [美]罗斯托 ,出版信息：  陈春良、茹玉骢、王长刚、郑恒 / 浙江大学出版社 / 2016-3,https://book.douban.com/subject/26733967/
中国经济发展新阶段的机遇,9.5,(31人评价),作者/译者： 白重恩、蔡昉、樊纲、江小涓、隆国强、杨伟民、易纲 ,出版信息：  中信出版集团 / 2020-2 / 88.00元,https://book.douban.com/subject/34978086/
经济学:教材版,9.5,(281人评价),作者/译者： [美] 保罗·萨缪尔森、[美] 威廉·诺德豪斯 / 萧琛 主译 ,出版信息：  商务印书馆 / 2013-1 / 88.00元,https://book.douban.com/subject/20502310/
哈耶克文选,9.5,(97人评价),作者/译者： [英] 弗里德里希·冯·哈耶克 / 冯克利 ,出版信息：  河南大学出版社 / 2015-4-1 / 78.00元,https://book.douban.com/subject/26310888/
经济学原理（第8版）:宏观经济学分册,9.4,(58人评价),作者/译者： (美) N.格里高利·曼昆 (N. Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2020-5 / 89.00元,https://book.douban.com/subject/35005113/
中国货币史,9.4,(66人评价),作者/译者： 彭信威 ,出版信息：  上海人民出版社 / 2015-4 / 208.00元,https://book.douban.com/subject/26373664/
金融经济学二十五讲,9.4,(268人评价),作者/译者： 徐高 ,出版信息：  中国人民大学出版社有限公司 / 2018-7-1 / 52,https://book.douban.com/subject/30296163/
宏观经济学史:从凯恩斯到卢卡斯及其后,9.4,(25人评价),作者/译者： [比]米歇尔·德弗洛埃 / 房誉、李雨纱、等 ,出版信息：  北京大学出版社 / 2019-10 / 98.00元,https://book.douban.com/subject/34880471/
国民经济学原理:世纪人文系列丛书,9.4,(452人评价),作者/译者： （奥）卡尔・门格尔 / 刘絜敖 ,出版信息：  上海人民出版社 / 2005-05 / 25.00,https://book.douban.com/subject/1315186/
成與敗:亞洲國家的經濟運作之道,9.4,(41人评价),作者/译者： 喬埃.斯塔威爾(Joe Studwell) / 楊濤斌、蔣文豪、楊雋 ,出版信息：  八旗 / 2014 / NTD 420,https://book.douban.com/subject/25789490/
大转型:我们时代的政治与经济起源,9.4,(134人评价),作者/译者： [英] 卡尔·波兰尼 / 冯钢、刘阳 ,出版信息：  当代世界出版社 / 2020-1 / 79.00元,https://book.douban.com/subject/34840593/
