书名,评分,评价人数,作者,出版社,url
ACourseinEconometrics,10.0,(35人评价),作者/译者： Arthur S. Goldberger ,出版信息：  Harvard University Press / 1991-04-15 / USD 73.00,https://book.douban.com/subject/2779499/
健康经济学（斯坦福卫生经济学教材）,9.9,(19人评价),作者/译者： [美]杰伊·巴塔查里亚（Jay Bhattacharya）、[美]蒂莫西·海德、[美]彼得·杜 / 曹乾 ,出版信息：  广西师范大学出版社 / 2019-12-21 / 129.00元,https://book.douban.com/subject/34910576/
"ExchangeandProduction:Competition,Coordination,andControl",9.8,(29人评价),作者/译者： Armen A. Alchian、William R. Allen ,出版信息：  Wadsworth Pub Co / 1983-6 / USD 47.95,https://book.douban.com/subject/1771588/
中国经济:适应与增长(第2版),9.8,(51人评价),作者/译者： [美]巴里·诺顿 / 安佳 ,出版信息：  上海人民出版社 / 2019-12-1 / 158元,https://book.douban.com/subject/34919491/
ミクロ経済学の力,9.8,(46人评价),作者/译者： 神取道宏 ,出版信息：  日本評論社 / 2014-9-25 / 3456元,https://book.douban.com/subject/26646502/
资本论:马克思诞辰200周年纪念版,9.8,(688人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-5 / 240.00,https://book.douban.com/subject/30316487/
八次危機:中國式經濟危機和應對,9.8,(40人评价),作者/译者： 溫鐵軍 ,出版信息：  中華書局(香港)有限公司 / 2014-3 / HK$108.00,https://book.douban.com/subject/26207204/
六朝的城市与社会,9.7,(30人评价),作者/译者： 刘淑芬 ,出版信息：  南京大学出版社 / 2021-1 / 98.00,https://book.douban.com/subject/35063747/
天下货币—美元霸权的突破与终结,9.6,(110人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/35396045/
蒙代尔经济学文集(1-6),9.6,(17人评价),作者/译者： 蒙代尔 ,出版信息：  中国金融出版社 / 2003-1 / 280.0,https://book.douban.com/subject/1137665/
经济分析基础,9.6,(50人评价),作者/译者： （美）保罗·A.萨缪尔森 / 何耀、傅征、刘生龙、陈宏卫、王兴林 ,出版信息：  东北财大 / 2006-12 / 48.00元,https://book.douban.com/subject/2012517/
经济学（第19版·中文本·典藏版）,9.6,(63人评价),作者/译者： [美]保罗·萨缪尔森、[美]威廉·诺德豪斯 / 萧琛 ,出版信息：  商务印书馆 / 2014-6 / 268.00元,https://book.douban.com/subject/25922243/
中国历代户口、田地、田赋统计,9.6,(96人评价),作者/译者： 梁方仲 ,出版信息：  中华书局 / 2008-11 / 68.00元,https://book.douban.com/subject/3295358/
中级微观经济学：直觉思维与数理方法,9.6,(16人评价),作者/译者： [美] 托马斯·J·内契巴 ,出版信息：  中国人民大学出版社 / 2016-10-1 / 128.00元,https://book.douban.com/subject/26996470/
会计学原理,9.6,(46人评价),作者/译者： (美)韦安特 / 袁淳 ,出版信息：  中信出版社 / 2011-4-1 / 248.00元,https://book.douban.com/subject/5350206/
现代经济增长导论,9.6,(22人评价),作者/译者： [美] 达龙·阿西莫格鲁 / 唐志军、徐浩庆、谌莹 ,出版信息：  中信出版社 / 2019-9-1 / 198.00元,https://book.douban.com/subject/33398700/
经济学原理（第7版）:微观经济学分册,9.6,(1387人评价),作者/译者： [美] 格里高里·曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5 / CNY 72.00,https://book.douban.com/subject/26388289/
宏观经济学（第九版）,9.6,(333人评价),作者/译者： [美] N·格里高利·曼昆 / 卢远瞩 ,出版信息：  中国人民大学出版社 / 2016-8-1 / 79.00元,https://book.douban.com/subject/26887927/
当代中国经济改革教程,9.6,(178人评价),作者/译者： 吴敬琏 ,出版信息：  上海远东出版社 / 2016-1 / 78,https://book.douban.com/subject/26729910/
经济学原理:微观经济学分册(第6版),9.6,(1986人评价),作者/译者： N.格里高利•曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2012-7-1 / 64.00元,https://book.douban.com/subject/11530078/
经济学原理:宏观经济学分册（第6版）,9.6,(989人评价),作者/译者： [美] 曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2012-7 / 52.00元,https://book.douban.com/subject/11530079/
经济情操论：亚当·斯密、孔多塞与启蒙运动:亚当·斯密、孔多塞与启蒙运动,9.6,(50人评价),作者/译者： [英]艾玛•罗斯柴尔德（Emma Rothschild） / 赵劲松、别曼 ,出版信息：  社会科学文献出版社 / 2019-4 / 68.00元,https://book.douban.com/subject/30487608/
高级计量经济学及Stata应用:第二版,9.6,(316人评价),作者/译者： 陈强 ,出版信息：  高等教育出版社 / 2014-4-1 / 59,https://book.douban.com/subject/25930690/
全球分裂:美国统治世界的经济战略,9.6,(37人评价),作者/译者： (美) 赫德森 / 杨成果、林小芳 ,出版信息：  中央编译出版社 / 2010年6月 / 38.00元,https://book.douban.com/subject/4832498/
经济学原理(第7版):微观经济学分册+宏观经济学分册,9.6,(3495人评价),作者/译者： 曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5-1 / 128,https://book.douban.com/subject/26435630/
现代宏观经济学:起源、发展和现状,9.5,(167人评价),作者/译者： [英] 布莱恩·斯诺登、[英] 霍华德·R. 文 / 佘江涛 ,出版信息：  江苏人民出版社 / 2009-3 / 45.00元,https://book.douban.com/subject/3518436/
经济学:教材版,9.5,(281人评价),作者/译者： [美] 保罗·萨缪尔森、[美] 威廉·诺德豪斯 / 萧琛 主译 ,出版信息：  商务印书馆 / 2013-1 / 88.00元,https://book.douban.com/subject/20502310/
哈耶克文选,9.5,(97人评价),作者/译者： [英] 弗里德里希·冯·哈耶克 / 冯克利 ,出版信息：  河南大学出版社 / 2015-4-1 / 78.00元,https://book.douban.com/subject/26310888/
经济学入门50讲：普通人也能读懂的经济学:普通人也能读懂的经济学,9.5,(63人评价),作者/译者： 张是之 ,出版信息：  中信出版社 / 2020-12-1 / 58,https://book.douban.com/subject/35269253/
经济增长理论史:从大卫·休谟至今,9.5,(78人评价),作者/译者： [美]罗斯托 ,出版信息：  陈春良、茹玉骢、王长刚、郑恒 / 浙江大学出版社 / 2016-3,https://book.douban.com/subject/26733967/
RBC之ABC:动态宏观经济模型入门,9.5,(36人评价),作者/译者： 乔治•麦坎得利斯(George McCandless) / 段鹏飞 ,出版信息：  东北财经大学出版社 / 2011-12-1 / 42.00元,https://book.douban.com/subject/10578247/
经济学（微观部分）,9.5,(37人评价),作者/译者： 达龙·阿西莫格鲁、戴维·莱布森、约翰·A·李斯特 / 卢远瞩、尹训东 ,出版信息：  中国人民大学出版社 / 2016-1-1 / 59.00元,https://book.douban.com/subject/26666681/
社会学的基本概念・经济行动与社会团体,9.5,(147人评价),作者/译者： 马克斯•韦伯 (Max Weber) / 康乐、简惠美 ,出版信息：  广西师范大学出版社 / 2011-3-1 / 42.00元,https://book.douban.com/subject/6521435/
