书名,评分,评价人数,作者,出版社,url
趣味透视学,9.9,(30人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/33950169/
Monet:WaterLilies:TheCompleteSeries,9.8,(35人评价),作者/译者： Jean-Dominique REY、Denis Rouart ,出版信息：  Flammarion / 2008-9 / 361.00元,https://book.douban.com/subject/3521384/
色铅笔之萌宠爱犬,9.8,(16人评价),作者/译者： Ringco ,出版信息：  化学工业出版社 / 2014-1-1 / 35.00,https://book.douban.com/subject/25797962/
红果汁的漫画CG技巧:红果汁的漫画CG技巧,9.8,(77人评价),作者/译者： 红果汁 / 赵焜 ,出版信息：  辽宁科学技术出版社 / 2012-9 / 48.00元,https://book.douban.com/subject/11533547/
透视画法入门,9.7,(45人评价),作者/译者： [美]约瑟夫·德·阿梅利奥 / 赵颖 ,出版信息：  上海人民美术出版社 / 2019-1-1 / 58.00元,https://book.douban.com/subject/30396222/
FramedInk:DrawingandCompositionforVisualStorytellers,9.7,(413人评价),作者/译者： Marcos Mateu-Mestre ,出版信息：  Design Studio Press / 2010-8-31 / USD 24.95,https://book.douban.com/subject/5399602/
蜜沙的漫画CG技巧:蜜沙的漫画CG技巧,9.7,(45人评价),作者/译者： 蜜沙 / 李盛 ,出版信息：  辽宁科学技术出版社 / 2012-9 / 48.00元,https://book.douban.com/subject/11622316/
FramedPerspectiveVol.1:TechnicalPerspectiveandVisualStorytelling,9.7,(16人评价),作者/译者： Marcos Mateu-Mestre ,出版信息：  Design Studio Press / 2016-11-30 / USD 39.95,https://book.douban.com/subject/27104937/
巴尔格素描教程,9.7,(166人评价),作者/译者： 查尔斯·巴尔格 (Charles Bargue)、让·莱昂·杰罗姆 (Jean-Léon Gérôme ) / 刘偲熙 ,出版信息：  上海人民美术出版社 / 2017-6-1 / 141.71,https://book.douban.com/subject/27041265/
AlphonseMucha,9.7,(85人评价),作者/译者： Agnes Husslein-Arco ,出版信息：  Prestel USA / 2009-07-01 / USD 65.00,https://book.douban.com/subject/4761068/
克里姆特·肖像,9.6,(24人评价),作者/译者： 丛才 编 ,出版信息：  广西美术出版社 / 2010-11 / 39.00元,https://book.douban.com/subject/5922930/
萌·超可爱水彩手绘儿童插画专业教程,9.6,(40人评价),作者/译者： 钟小朋友 ,出版信息：  人民邮电出版社 / 2019-1 / 89.00元,https://book.douban.com/subject/30432183/
林风眠画集,9.6,(37人评价),作者/译者： 林风眠 ,出版信息：  北京工艺美术出版社 / 2005-9 / 380.00元,https://book.douban.com/subject/3582288/
艺用表情结构,9.6,(27人评价),作者/译者： 乌迪斯·扎林斯 / 黄朝贵 ,出版信息：  电子工业出版社 / 2019-10 / 198.00元,https://book.douban.com/subject/34778318/
松风,9.6,(1695人评价),作者/译者： 早稻 ,出版信息：  中国水利水电出版社 / 2015-7-10 / 144元,https://book.douban.com/subject/26469245/
"TheBookofKells:AnIllustratedIntroductiontotheManuscriptinTrinityCollege,Dublin",9.6,(44人评价),作者/译者： Bernard Meehan ,出版信息：  Thames & Hudson / 1995-2-17 / USD 19.95,https://book.douban.com/subject/1480758/
艺用人体结构,9.6,(288人评价),作者/译者： Uldis Zarins、Sandis Kondrats / 黄朝贵 ,出版信息：  电子工业出版社 / 2018-11 / 198,https://book.douban.com/subject/30393386/
漫画技法终极向导2,9.6,(36人评价),作者/译者： 伊藤和磨 ,出版信息：  辽宁科学技术出版社 / 2007-1 / 19.80元,https://book.douban.com/subject/2108350/
艺用解剖学笔记,9.6,(85人评价),作者/译者： 【韩】石政贤 / 高莹、韩晓 ,出版信息：  北京科学技术出版社 / 2020-6 / 259,https://book.douban.com/subject/35088476/
艺术的故事,9.6,(18485人评价),作者/译者： [英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2008-04 / 280.00,https://book.douban.com/subject/3162991/
漫画基础：新手避坑指南,9.6,(19人评价),作者/译者： [日]建尚登 [日]贰藤洁 / 胡长炜 ,出版信息：  中国青年出版社 / 2020-4 / 69.9,https://book.douban.com/subject/35066718/
梵高:化世间痛苦为激情洋溢的美,9.6,(272人评价),作者/译者： [法] 扬·布朗 / 李祎 ,出版信息：  华中科技大学出版社 / 2018-9 / 398元,https://book.douban.com/subject/30318678/
石头记人物画,9.6,(62人评价),作者/译者： 刘旦宅、周汝昌 ,出版信息：  人民美术出版社 / 1979年5月 / 2.3,https://book.douban.com/subject/1950021/
中国书画家印鉴款识（上下）,9.6,(41人评价),作者/译者： 上海博物馆 编 ,出版信息：  文物出版社 / 1987-12 / 200.00元,https://book.douban.com/subject/1585269/
意境:简忠威水彩艺术,9.6,(92人评价),作者/译者： 简忠威 ,出版信息：  金城出版社 / 2019-3-1 / 220.00元,https://book.douban.com/subject/32485594/
ParisSketchbook,9.6,(76人评价),作者/译者： Mary Kelly、Fabrice Moireau ,"出版信息：  Didier Millet,Csi / 2012-11-16 / USD 30.00",https://book.douban.com/subject/3876718/
Monet:莫奈画册,9.6,(40人评价),作者/译者： Monet ,出版信息：  STARELEGANCE / 2018-1 / 298,https://book.douban.com/subject/30291578/
VeniceSketchbook,9.6,(45人评价),作者/译者： Fabrice Moireau ,出版信息：  St. Martin's Press / 2004-11-11 / USD 32.95,https://book.douban.com/subject/2828764/
四风街:一条老街的百年变迁史,9.6,(26人评价),作者/译者： [法] 杰西·马格纳、[法] 马加利·阿蒂奥格比 / 法小珂 ,出版信息：  未读·浙江教育出版社 / 2021-4-1 / 88,https://book.douban.com/subject/35418465/
原动画基础教程:动画人的生存手册,9.6,(1763人评价),作者/译者： 理查德·威廉姆斯 / 邓晓娥 ,出版信息：  中国青年出版社 / 2006-1 / 128.00元,https://book.douban.com/subject/1485731/
CG造型基础与创作·进阶篇,9.6,(68人评价),作者/译者： ,出版信息： Victor cloux陈威 / 文化艺术出版社 / 2020-2,https://book.douban.com/subject/35052596/
路米斯经典美术课:创意插画,9.5,(69人评价),作者/译者： [美]安德鲁·路米斯 / 孙苏宁、马振晗、胡娟、刘蕊 ,出版信息：  上海人民美术出版社 / 2018-7-1 / 88.00元,https://book.douban.com/subject/30304733/
理解人体形态:巴黎国立高等美术学院实用素描解剖书,9.5,(537人评价),作者/译者： [法] 米歇尔·洛里切拉 / 操傲文 ,出版信息：  后浪丨湖南美术出版社 / 2018-1 / 78.00元,https://book.douban.com/subject/27182216/
素描的诀窍:（20周年白金畅销版）,9.5,(12人评价),作者/译者： [美] 伯特·多德森 / 蔡强 ,出版信息：  上海人民美术出版社 / 2019-1-1 / 45.20,https://book.douban.com/subject/30545322/
GustavKlimt:ArtNouveauVisionary,9.5,(54人评价),作者/译者： Eva di Stefano ,出版信息：  Sterling / 2008-10-7 / USD 21.95,https://book.douban.com/subject/3539767/
嘉卉:百年中国植物科学画,9.5,(35人评价),作者/译者： 张寿洲（主编）、马平（主编）、刘启新（副主编）、杨建昆（副主编） ,出版信息：  江苏凤凰科学技术出版社 / 2020-1 / 698.00元,https://book.douban.com/subject/35019300/
吴冠中全集,9.5,(26人评价),作者/译者： 吴冠中、编著/水天中 汪华 ,出版信息：  湖南美术出版社 / 2007 / 800.00元,https://book.douban.com/subject/2287015/
FigureDrawing:DesignandInvention,9.5,(277人评价),作者/译者： Michael Hampton ,出版信息：  Michael Hampton / 2009-8-31 / USD 35.00,https://book.douban.com/subject/4721058/
热爱生活——大卫·霍克尼作品集,9.5,(95人评价),作者/译者： [ 英] 大卫·霍克尼 / 周渝、庄婉仪 ,出版信息：  浙江人民美术出版社 / 2018-6-1 / 220,https://book.douban.com/subject/30245144/
DrawingDynamicHands(PracticalArtBooks),9.5,(17人评价),作者/译者： Burne Hogarth ,出版信息：  Watson-Guptill / 1988-04-01 / USD 21.95,https://book.douban.com/subject/2354055/
宋画全集,9.5,(193人评价),作者/译者： 宋画全集编辑委员会 ,出版信息：  浙江大学出版社 / 2008年12月 / 30000,https://book.douban.com/subject/4154939/
漫画密技:漫画企划讲座3,9.5,(33人评价),作者/译者： 菅野博之 ,出版信息：  亚里 / 枫书坊 / nt 350,https://book.douban.com/subject/6817035/
梵高手稿（典藏修订版）:梵高书信、画作、珍贵手稿,9.5,(334人评价),作者/译者： [荷] 文森特·梵高 著、[美] H. 安娜•苏 / 57°N艺术小组 ,出版信息：  北京联合出版公司 / 2018-4-1 / 128,https://book.douban.com/subject/30137430/
罗恩·哈斯本德动态速写宝典:世界绘画经典教程,9.5,(33人评价),作者/译者： 罗恩·哈斯本德 ,出版信息：  人民邮电出版社 / 2016-4-1 / 88.00,https://book.douban.com/subject/26875837/
海底的秘密,9.5,(1241人评价),作者/译者： 大卫·威斯纳 ,出版信息：  河北教育出版社 / 2008-12 / 32.80元,https://book.douban.com/subject/3332517/
ColorandLight:AGuidefortheRealistPainter,9.5,(202人评价),作者/译者： James Gurney ,出版信息：  Andrews McMeel Publishing / 2010-11-30 / CAD 28.99,https://book.douban.com/subject/5413067/
抵岸,9.5,(880人评价),作者/译者： 陈志勇 ,出版信息：  连环画出版社 / 2011-12 / 108.00元,https://book.douban.com/subject/6973840/
看见音乐:西方经典绘画中的音乐主题,9.5,(25人评价),作者/译者： [法]弗洛朗斯·热特罗 / 李祎 ,出版信息：  华中科技大学出版社 / 2019-10 / 398元,https://book.douban.com/subject/34855899/
名家大手笔:来自故宫的诗书画,9.5,(73人评价),作者/译者： 商务印书馆（香港）编辑出版部 ,出版信息：  后浪丨四川美术出版社 / 2019-11 / 398.00元,https://book.douban.com/subject/34857305/
漫画达人!漫画人物的绘画技法与描红,9.5,(45人评价),作者/译者： 碧风羽 / 张亭然 ,出版信息：  辽宁科技 / 2010-5 / 36.00元,https://book.douban.com/subject/4846595/
米食乐,9.5,(28人评价),作者/译者： 郝广才 著、(意) 多明尼可尼 绘 ,出版信息：  新星出版社 / 2019-6 / 42.00元,https://book.douban.com/subject/33423234/
西游漫记,9.4,(189人评价),作者/译者： 张光宇 ,出版信息：  人民美术出版社 / 2012-4 / 79.00元,https://book.douban.com/subject/10563612/
理解漫画:世界动漫经典教程,9.4,(224人评价),作者/译者： [美]麦克劳德 / 万旻 ,出版信息：  人民邮电出版社 / 2012-5 / 49.00元,https://book.douban.com/subject/10593499/
超人气动画角色设计攻略:羽山淳一的现场绘画解说课,9.4,(26人评价),作者/译者： [日]羽山淳一 / 优莱柏 ,出版信息：  中国青年出版社 / 2016-9-1 / 69.90,https://book.douban.com/subject/26865358/
葛饰北斋:超越巨浪,9.4,(132人评价),作者/译者： (英) 提摩西·克拉克  (timothy clark) 编著 / 李凝 ,出版信息：  华中科技大学出版社 / 2018-9-1 / 268.00元,https://book.douban.com/subject/30238151/
TheSkillfulHuntsman:VisualDevelopmentofaGrimmTaleatArtCenterCollegeofDesign,9.4,(74人评价),作者/译者： Khang Le、Mike Yamada、Felix Yoon ,出版信息：  Design Studio Press / 2005-05-01 / USD 29.95,https://book.douban.com/subject/2048967/
Home,9.4,(32人评价),作者/译者： Carson Ellis ,出版信息：  Candlewick / 2015-2-24 / USD 16.99,https://book.douban.com/subject/26303763/
幻想的艺术,9.4,(74人评价),作者/译者： 詹姆斯·格尔尼 / 宋 婕 ,出版信息：  上海人民美术出版社 / 2013-1 / 68.00元,https://book.douban.com/subject/20382261/
席勒（中文版-BASIC),9.4,(948人评价),作者/译者： 萊哈特‧史坦納、班納迪克‧塔森 ,出版信息：  TASCHEN / 1999-3 / NT$ 350,https://book.douban.com/subject/1370944/
向大师学插画,9.4,(48人评价),作者/译者： （美）安德鲁·路米斯 / 孙苏宁 ,出版信息：  上海人民美术出版社 / 2016-6 / 68,https://book.douban.com/subject/26848170/
比亚兹莱插画集,9.4,(514人评价),作者/译者： 比亚兹莱、韦君琳（编）、张宏宇（校补） ,出版信息：  海燕出版社 / 2005-6 / 38.00元,https://book.douban.com/subject/1450035/
"LeonoraCarrington:Surrealism,AlchemyAndArt",9.4,(18人评价),作者/译者： Susan Aberth ,出版信息：  Lund Humphries Publishers / 2004-10-15 / USD 60.00,https://book.douban.com/subject/2828890/
理解漫画,9.4,(867人评价),作者/译者： [美] 麦克劳德 / 万旻 ,出版信息：  人民邮电出版社 / 2010-4 / 49.00元,https://book.douban.com/subject/4727293/
浮世绘大观,9.4,(55人评价),作者/译者： 金墨 主编 ,出版信息：  安徽美术出版社 / 2018-6 / 280.00元,https://book.douban.com/subject/30304950/
RooftopsofParis,9.4,(59人评价),作者/译者： Fabrice Moireau、Carl Morac ,出版信息：  Didier Millett / 2010-9 / 275元,https://book.douban.com/subject/5977659/
看示范·学水彩:水彩画法关键必学,9.4,(168人评价),作者/译者： 简忠威 ,出版信息：  雄狮图书股份有限公司 / 2018-12 / 480,https://book.douban.com/subject/2205654/
创世：梵蒂冈博物馆全品珍藏（修订升级版）:梵蒂冈博物馆全品珍藏（修订升级版）,9.4,(80人评价),作者/译者： [德] 安雅·格雷贝 / 郑柯 ,出版信息：  未读·艺术家 北京联合出版公司 / 2018-12 / 699.00,https://book.douban.com/subject/30412794/
吴冠中画作诞生记,9.4,(371人评价),作者/译者： 吴冠中 ,出版信息：  人民美术出版社 / 2008-12 / 98.00元,https://book.douban.com/subject/3581389/
