书名,评分,评价人数,作者,出版社,url
C++Templates(第2版英文版),10.0,(14人评价),作者/译者： [美] David Vandevoorde、[德] Nicolai M.Josuttis、[美] Douglas Gregor ,出版信息：  人民邮电出版社 / 2018-5 / 158.00元,https://book.douban.com/subject/30226708/
SoftwareFoundations,10.0,(65人评价),作者/译者： ,出版信息： Benjamin C. Pierce / 2019-1-9,https://book.douban.com/subject/25712292/
TheGarbageCollectionHandbook:TheArtofAutomaticMemoryManagement,9.8,(26人评价),作者/译者： Richard Jones、Antony Hosking、Eliot Moss / Chapman and Hall,出版信息： CRC / 2011-8-17 / USD 79.95,https://book.douban.com/subject/6809987/
Python编程快速上手（第2版）:让繁琐工作自动化,9.8,(47人评价),作者/译者： [美] Al Sweigart / 王海鹏 ,出版信息：  人民邮电出版社 / 2021-3-1 / 89.00元,https://book.douban.com/subject/35387685/
深度学习进阶:自然语言处理,9.8,(52人评价),作者/译者： [ 日］ 斋藤康毅 / 陆宇杰 ,出版信息：  人民邮电出版社 / 2020-10-14 / 99.00元,https://book.douban.com/subject/35225413/
程序员面试金典（第6版）,9.8,(51人评价),作者/译者： Gayle Laakmann McDowell / 刘博楠、赵鹏飞、李琳骁、漆犇 ,出版信息：  人民邮电出版社 / 2019-9-18 / 149.00元,https://book.douban.com/subject/34813624/
深入理解计算机系统（原书第3版）,9.8,(1430人评价),作者/译者： Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 ,出版信息：  机械工业出版社 / 2016-11 / 139.00元,https://book.douban.com/subject/26912767/
CPrimerPlus:英文版（第六版）,9.8,(17人评价),作者/译者： 普拉达 (Stephen Prata) ,出版信息：  人民邮电出版社 / 2016-3-1 / CNY 118.00,https://book.douban.com/subject/26784651/
"DesigningData-IntensiveApplications:TheBigIdeasBehindReliable,Scalable,andMaintainableSystems",9.7,(835人评价),作者/译者： Martin Kleppmann ,出版信息：  O'Reilly Media / 2017-4-2 / USD 44.99,https://book.douban.com/subject/26197294/
深入理解计算机系统（原书第2版）,9.7,(2792人评价),作者/译者： （美）Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 ,出版信息：  机械工业出版社 / 2011-1-1 / 99.00元,https://book.douban.com/subject/5333562/
CLRviaC#:3rdEdition,9.7,(86人评价),作者/译者： Jeffrey Richter ,出版信息：  Microsoft Press / 2010-2-20 / USD 59.99,https://book.douban.com/subject/4112979/
算法笔记上机训练实战指南,9.7,(68人评价),作者/译者： 胡凡、曾磊 ,出版信息：  机械工业出版社 / 2016-7 / 57,https://book.douban.com/subject/30162908/
机器学习实战（原书第2版）:基于Scikit-Learn、Keras和TensorFlow,9.7,(79人评价),作者/译者： [法] Aurélien Géron / 宋能辉、李娴 ,出版信息：  机械工业出版社 / 2020-10-1 / 149.00元,https://book.douban.com/subject/35218199/
AdvancedProgrammingintheUNIX(R)Environment(2ndEdition),9.7,(117人评价),作者/译者： W. Richard Stevens、Stephen A. Rago ,出版信息：  Addison-Wesley Professional / 2005-06-17 / USD 74.99,https://book.douban.com/subject/1439495/
EffectiveJava:3rdEdition,9.7,(155人评价),作者/译者： Joshua Bloch ,出版信息：  Addison-Wesley Professional / 2018-1-6 / USD 54.99,https://book.douban.com/subject/27047716/
ComputerSystems:AProgrammer'sPerspective(3rdEdition),9.7,(178人评价),作者/译者： Randal E. Bryant、David R. O'Hallaron ,出版信息：  Pearson / 2015-3-12 / USD 157.00,https://book.douban.com/subject/26344642/
数据密集型应用系统设计,9.7,(748人评价),作者/译者： Martin Kleppmann / 赵军平、李三平、吕云松、耿煜 ,出版信息：  中国电力出版社 / 2018-9-1 / 128,https://book.douban.com/subject/30329536/
OperatingSystems:ThreeEasyPieces,9.7,(375人评价),作者/译者： Remzi Arpaci-Dusseau、Andrea Arpaci-Dusseau ,出版信息：  Arpaci-Dusseau Books / 2018-8-29 / USD 21.00,https://book.douban.com/subject/19973015/
"Hands-onMachineLearningwithScikit-Learn,Keras,andTensorFlow,2ndEdition:Concepts,Tools,andTechniquestoBuildIntelligentSystems",9.7,(148人评价),作者/译者： Aurelien Geron ,出版信息：  O′Reilly / 2019-10-11 / GBP 55.99,https://book.douban.com/subject/30310982/
