书名,评分,评价人数,作者,出版社,url
晚明,9.6,(74人评价),作者/译者： ,出版信息： 柯山梦 / 2012-8,https://book.douban.com/subject/35383720/
乱世铜炉,9.3,(218人评价),作者/译者： ,出版信息： 又是十三 / 2006-10 / 22.00元,https://book.douban.com/subject/1932401/
麒麟之与子同袍:与子同袍,9.3,(4578人评价),作者/译者： 桔子樹 ,出版信息：  宇河文化 / 2011-6-10 / NT280,https://book.douban.com/subject/6531656/
全职高手19:永恒荣耀,9.3,(359人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2018-5 / 48.00元,https://book.douban.com/subject/30180684/
小张和小丽,9.2,(411人评价),作者/译者： 开开五五零 ,出版信息：  贰叁玖出版社 / 2015-6-18 / 18.00元,https://book.douban.com/subject/26430424/
我等你到三十五岁,9.2,(1245人评价),作者/译者： ,出版信息： 南康白起 / 39.8元,https://book.douban.com/subject/35099889/
孺子帝.大结局,9.2,(37人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/30376408/
惡魔狂想曲之明日驕陽（伍）,9.1,(223人评价),作者/译者： 胡鱈 ,出版信息：  小說頻道 / 2005-4 / TWD 160,https://book.douban.com/subject/3011281/
入戲(下),9.1,(82人评价),作者/译者： 童子、木言 ,出版信息：  威向 / 2017-6-7 / NT 300,https://book.douban.com/subject/27092752/
明朝那些事儿（1-9）:限量版,9.1,(113852人评价),作者/译者： 当年明月 ,出版信息：  中国海关出版社 / 2009-4 / 358.20元,https://book.douban.com/subject/3674537/
全职高手15:三十七连胜,9.0,(339人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2017-11 / 45.00元,https://book.douban.com/subject/27100527/
我在黑社会卧底的日子:小说版无间道，真实卧底的亲历叙述,9.0,(68人评价),作者/译者： 颓少 ,出版信息：  云南人民出版社 / 2010-7 / 32.00元,https://book.douban.com/subject/4864227/
少年韦帅望之天地悠悠,9.0,(248人评价),作者/译者： 睛川 ,出版信息：  东方出版社 / 2010-5 / 37.00元,https://book.douban.com/subject/4907410/
全职高手14:兴欣的强袭,9.0,(336人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2017-9 / 45.00元,https://book.douban.com/subject/27091321/
全职高手1:被驱逐的高手,9.0,(1553人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2016-7 / 38.00元,https://book.douban.com/subject/26818902/
全职高手15·决战嘉世,9.0,(1477人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2014-10 / 25.00元,https://book.douban.com/subject/26177190/
明朝那些事儿（贰）:万国来朝,8.9,(54146人评价),作者/译者： 当年明月 ,出版信息：  中国友谊出版公司 / 2007-1 / 24.80,https://book.douban.com/subject/1949338/
韦帅望的江湖:童年结束了,8.9,(1370人评价),作者/译者： 晴川 ,出版信息：  崇文书局 / 2008-10 / 24.00元,https://book.douban.com/subject/3236155/
新宋·1（大结局珍藏版）,8.9,(167人评价),作者/译者： 阿越 ,出版信息：  中国致公出版社 / 2018-7 / 45.00 元,https://book.douban.com/subject/30253574/
全职高手18:巅峰对决,8.9,(323人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2018-3 / 48.00元,https://book.douban.com/subject/30155907/
全职高手6·神之领域,8.9,(2137人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2013-1 / 25.00元,https://book.douban.com/subject/20927775/
全职高手24·荣耀之巅:大结局,8.9,(1594人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2016-7 / 25.00员,https://book.douban.com/subject/26844940/
逍遙小散仙01,8.9,(106人评价),作者/译者： ,出版信息： 迷男 / 河圖文化 / 2006-8-3,https://book.douban.com/subject/10862890/
全职高手17:挺进四强,8.9,(319人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2018-3 / 48.00元,https://book.douban.com/subject/27100528/
全职高手5·王牌对决,8.9,(2209人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2012-10 / 25.00元,https://book.douban.com/subject/20268144/
九州·缥缈录V·一生之盟,8.9,(8126人评价),作者/译者： 江南 ,出版信息：  新世界出版社 / 2009-7 / 25.00,https://book.douban.com/subject/3851790/
全职高手9·草根战队,8.9,(1813人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2013-8 / 25.00元,https://book.douban.com/subject/25704608/
狼群1,8.9,(1615人评价),作者/译者： 刺血 ,出版信息：  朝华出版社 / 2005-9 / 23.80元,https://book.douban.com/subject/1430597/
全职高手16:新军逆袭,8.9,(338人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2018-1 / 45.00元,https://book.douban.com/subject/27100529/
间客,8.9,(1423人评价),作者/译者： ,出版信息： 猫腻 / 起点出版社 / 2011-9,https://book.douban.com/subject/34448849/
全职高手16·第十赛季,8.8,(1400人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2014-11 / 25.00元,https://book.douban.com/subject/26275008/
网游之近战法师2·神兵天降,8.8,(320人评价),作者/译者： 蝴蝶蓝 ,出版信息：  新世界出版社 / 2012-3 / 25.00元,https://book.douban.com/subject/10576314/
全职高手18·十年荣耀,8.8,(1541人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2015-1 / 25.00元,https://book.douban.com/subject/26315121/
全职高手8:草根齐聚,8.8,(387人评价),作者/译者： 蝴蝶蓝 ,出版信息：  羊城晚报出版社 / 2017-3 / 38.00元,https://book.douban.com/subject/26961592/
设计师,8.8,(653人评价),作者/译者： ,出版信息： 常叁思,https://book.douban.com/subject/27174246/
网游之近战法师3·风云决战,8.8,(307人评价),作者/译者： 蝴蝶蓝 ,出版信息：  新世界出版社 / 2012-3 / 25.00元,https://book.douban.com/subject/10575727/
全职高手12·步步惊心,8.8,(1555人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2014-6 / 25.00元,https://book.douban.com/subject/25910906/
全职高手14·线下风云,8.8,(1506人评价),作者/译者： 蝴蝶蓝 ,出版信息：  长江少年儿童出版社 / 2014-8 / 25.00元,https://book.douban.com/subject/25955820/
撒野3:撒野完结篇,8.8,(1999人评价),作者/译者： 巫哲 ,出版信息：  江苏凤凰文艺出版社 / 2020-5-7 / 49.80元,https://book.douban.com/subject/35058847/
史上第一混乱·第三季·武林大会,8.8,(1836人评价),作者/译者： 张小花 ,出版信息：  黄山书社 / 2009-4 / 26.80元,https://book.douban.com/subject/3664145/
花近江國,8.8,(1111人评价),作者/译者： 孔恰 ,出版信息：  留守番 / 2018-8-13 / NTD 1650,https://book.douban.com/subject/30283545/
全职高手8·赏金猎人,8.8,(1942人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2013-6-1 / 25.00,https://book.douban.com/subject/24749379/
全职高手7·毁人不倦,8.8,(2028人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2013-4 / 25.00元,https://book.douban.com/subject/23860394/
全职高手4·满城追杀,8.8,(2220人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2012-8 / 25.00元,https://book.douban.com/subject/11540063/
有匪1:少年游,8.8,(10621人评价),作者/译者： Priest ,出版信息：  湖南文艺出版社 / 2016-11 / 35.00元,https://book.douban.com/subject/26886310/
高手寂寞,8.8,(292人评价),作者/译者： 兰帝魅晨 ,出版信息：  漓江出版社 / 2015-4 / 35,https://book.douban.com/subject/26381143/
全职高手10·四会联盟,8.8,(1738人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少儿出版社 / 2013-12 / 25.00元,https://book.douban.com/subject/25797068/
悟空传:今何在文集　悟空传,8.8,(3846人评价),作者/译者： 今何在 ,出版信息：  二十一世纪出版社 / 2008-01 / 25元,https://book.douban.com/subject/2981573/
全职高手11·门票战争,8.8,(1622人评价),作者/译者： 蝴蝶蓝 ,出版信息：  湖北少年儿童出版社 / 2014-5 / 25.00元,https://book.douban.com/subject/25879588/
