书名,评分,评价人数,作者,出版社,url
画家之眼,8.7,(748人评价),作者/译者： [美]安德鲁·路米斯 / 陈琇玲 ,出版信息：  北京联合出版公司 / 2016-12-1 / 39.80元,https://book.douban.com/subject/26975767/
写给大家的西方美术史,8.1,(10425人评价),作者/译者： 蒋勋 ,出版信息：  湖南美术出版社 / 2015-7-1 / CNY 68.00,https://book.douban.com/subject/26417490/
日本文化图典,8.6,(193人评价),作者/译者： 日本平凡社 / 胡毓华 ,出版信息：  后浪丨四川人民出版社 / 2021-1 / 68.00元,https://book.douban.com/subject/35318211/
中国传统色：色彩通识100讲,8.1,(48人评价),作者/译者： 郭浩 ,出版信息：  中信出版集团 / 2021-4 / 98,https://book.douban.com/subject/35390845/
梵高传,9.2,(2067人评价),作者/译者： [美] 史蒂芬·奈菲、[美] 格雷高里·怀特·史密斯 / 沈语冰、宋倩、何卫华、匡骁 ,出版信息：  译林出版社 / 2015-11 / 128.00,https://book.douban.com/subject/26354318/
如何看懂印象派,9.0,(1336人评价),作者/译者： 丰子恺 ,出版信息：  新星出版社 / 2015-9 / 49.50元,https://book.douban.com/subject/26390189/
纳闷集,9.1,(4390人评价),作者/译者： 匡扶 ,出版信息：  雅众文化 | 湖南文艺出版社 / 2020-6 / 78元,https://book.douban.com/subject/35041581/
众神的样子:希腊神话与西方艺术,9.0,(495人评价),作者/译者： 江逐浪 ,出版信息：  化学工业出版社 / 2020-1 / 78,https://book.douban.com/subject/34923012/
局部：我的大学,8.9,(206人评价),作者/译者： 陈丹青 ,出版信息：  理想国 | 北京日报出版社 / 2020-12 / 118.00,https://book.douban.com/subject/35216531/
局部：伟大的工匠,9.3,(249人评价),作者/译者： 陈丹青 ,出版信息：  理想国 | 北京日报出版社 / 2020-12 / 138.00,https://book.douban.com/subject/35216533/
理解人体形态:巴黎国立高等美术学院实用素描解剖书,9.5,(537人评价),作者/译者： [法] 米歇尔·洛里切拉 / 操傲文 ,出版信息：  后浪丨湖南美术出版社 / 2018-1 / 78.00元,https://book.douban.com/subject/27182216/
色彩与光线,9.1,(446人评价),作者/译者： 詹姆斯·格尔尼（James Gurney） / 解晓宁 ,出版信息：  人民邮电出版社 / 2013-1 / 88.00元,https://book.douban.com/subject/20513213/
世界花纹与图案大典,9.4,(60人评价),作者/译者： [ 英 ] 伊丽莎白 · 威尔海德、Elizabeth Wilhide / 张心童 ,出版信息：  中国画报出版社 / 2020-8 / 298.00元,https://book.douban.com/subject/35128137/
素描的诀窍,8.7,(2756人评价),作者/译者： 伯特·多德森 / 蔡强 ,出版信息：  上海人民美术出版社 / 2005-3 / 28.00元,https://book.douban.com/subject/1154707/
美术史十议,8.8,(1457人评价),作者/译者： 巫鸿 ,出版信息：  生活·读书·新知三联书店 / 2008-6 / 26.00元,https://book.douban.com/subject/3175195/
看名画的眼睛I,9.0,(75人评价),作者/译者： （日）高阶秀尔 / 范钟鸣 ,出版信息：  北京联合出版公司 / 2020-2 / 58,https://book.douban.com/subject/34981245/
寂寞大师:世界艺术名家十五讲,8.4,(51人评价),作者/译者： 吴涛 ,出版信息：  北京联合出版有限公司 / 2021-1-1 / 138.00元,https://book.douban.com/subject/35290829/
巴尔格素描教程,9.7,(166人评价),作者/译者： 查尔斯·巴尔格 (Charles Bargue)、让·莱昂·杰罗姆 (Jean-Léon Gérôme ) / 刘偲熙 ,出版信息：  上海人民美术出版社 / 2017-6-1 / 141.71,https://book.douban.com/subject/27041265/
伯里曼人体结构绘画教学,8.9,(5580人评价),作者/译者： [美] 乔治·伯里曼 / 晓鸥 等 ,出版信息：  广西美术出版社 / 2002-2 / 65.00元,https://book.douban.com/subject/1441853/
构图的艺术,8.6,(286人评价),作者/译者： [美] 伊恩•罗伯茨 / 孙惠卿  刘宏波 ,出版信息：  上海人民美术出版社 / 2012-1 / 58.00元,https://book.douban.com/subject/6982049/
认识绘画：丰子恺绘画十六讲,8.8,(541人评价),作者/译者： 丰子恺 ,出版信息：  北京日报出版社丨阳光博客 / 2017-11 / 75.00元,https://book.douban.com/subject/27069094/
素描的原点,9.3,(125人评价),作者/译者： [美] 安德鲁·路米斯 / 徐盛 ,出版信息：  上海人民美术出版社 / 2011-7 / 32.00元,https://book.douban.com/subject/6773763/
美术馆里聊怪咖,8.0,(3582人评价),作者/译者： [日] 山田五郎、[日] 古山淳子 / 汪婷 ,出版信息：  湖南美术出版社 / 2017-12 / 68.00元,https://book.douban.com/subject/27156515/
新艺术运动:艺术与观念03,9.2,(167人评价),作者/译者： [英] 斯蒂芬·埃斯克里特 / 刘慧宁 ,出版信息：  后浪丨湖南美术出版社 / 2019-7 / 128.00元,https://book.douban.com/subject/33455069/
30天学会绘画,8.6,(920人评价),作者/译者： 马克•凯斯特勒 (Mark Kistler) ,出版信息：  上海人民美术出版社 / 2013-1-1 / 45.00元,https://book.douban.com/subject/20387173/
世界美术名作二十讲,8.5,(2222人评价),作者/译者： 傅雷 ,出版信息：  江苏凤凰文艺出版社 / 2017-4-1 / CNY 68.00,https://book.douban.com/subject/27000443/
HowtoDrawDrawingandSketchingObjectsandEnvironmentsfromYourImagination,9.4,(226人评价),"作者/译者： Robertson, Scott、Thomas Bertling ",出版信息：  Design Studio Press / 2013-11-1 / 276.33,https://book.douban.com/subject/22163122/
