书名,评分,评价人数,作者,出版社,url
黃金神威（19）,9.9,(49人评价),作者/译者： 野田サトル / 赖思宇 ,出版信息：  尖端出版有限公司 / 2020-11 / NTD140,https://book.douban.com/subject/35283435/
现代主义烹调:烹调艺术与科学,9.8,(104人评价),作者/译者： 内森•梅尔沃德、克里斯•杨、马克西姆•比莱 / 现代主义烹调翻译小组 ,出版信息：  北京美术摄影出版社 / 2016-10-1 / 3980,https://book.douban.com/subject/26869172/
迷宮飯(09),9.7,(14人评价),作者/译者： 九井諒子 / 謝孝薇 ,出版信息：  青文 / 2021-1 / NT$ 140,https://book.douban.com/subject/35294104/
TheFoodLab:BetterHomeCookingThroughScience,9.7,(60人评价),作者/译者： J. Kenji López-Alt ,出版信息：  W. W. Norton & Company / 2015-9-21 / USD 49.95,https://book.douban.com/subject/26641486/
深夜食堂18,9.7,(18人评价),作者/译者： 安倍夜郎 ,出版信息：  小学館 / 2017-5-30 / JPY 823,https://book.douban.com/subject/27001357/
黄金神威（17）,9.6,(63人评价),作者/译者： 野田サトル / 賴思宇 ,出版信息：  尖端出版有限公司 / 2020-6 / NT140,https://book.douban.com/subject/35128281/
"第三餐盤:人類退場,讓大自然接手!繼從產地到餐桌後,下一波飲食新潮流",9.6,(10人评价),作者/译者： 丹．巴柏 Dan Barber / 郭寶蓮 ,出版信息：  商周出版 / 2016-11-12 / NT$490,https://book.douban.com/subject/26945177/
42天经典月子餐：视频版（汉竹）,9.6,(25人评价),作者/译者： 李红萍 ,出版信息：  江苏凤凰科学技术出版社 / 2020-7 / 49.80元,https://book.douban.com/subject/35151038/
《花样饮品：视频版》,9.6,(32人评价),作者/译者： 鱼菲著 ,出版信息：  江苏凤凰科学技术出版社 / 2020-11-1 / 58.00,https://book.douban.com/subject/35238427/
"TheUltimateBarBook:TheComprehensiveGuidetoOver1,000Cocktails",9.5,(17人评价),作者/译者： Mittie Hellmich ,出版信息：  Chronicle Books / 2006-6-23 / USD 19.95,https://book.douban.com/subject/2664883/
Noma:TimeandPlaceinNordicCuisine,9.5,(36人评价),作者/译者： Rene Redzepi ,出版信息：  Phaidon Press / 2010-09-29 / USD 49.95,https://book.douban.com/subject/4908516/
大自然中的美食:探索发现趣味食物儿童科普知识百科认知启蒙,9.5,(115人评价),作者/译者： [日]中山章子 等主编 / 浪花朵朵童书 编译 ,出版信息：  北京联合出版公司·后浪出版公司 / 2016-2 / 78.00元（全5册）,https://book.douban.com/subject/26707638/
黃金神威（8）,9.5,(128人评价),作者/译者： 野田サトル / 赖思宇 ,出版信息：  台湾尖端出版有限公司 / 2017-1-18 / 140NT,https://book.douban.com/subject/26954911/
深夜食堂16,9.5,(62人评价),作者/译者： [日]安倍夜郎 / 伍楚 ,出版信息：  浦睿文化· 湖南文艺出版社 / 2020-5 / 25.00元,https://book.douban.com/subject/35040480/
用科學方式瞭解糕點的為什麼?,9.5,(65人评价),作者/译者： 中山弘典、木村万紀子 / 大境文化事業有限公司 / 2010,出版信息： 08/02 / NT$460,https://book.douban.com/subject/5299316/
寻常滋味，欢喜人间,9.5,(47人评价),作者/译者： 汪曾祺 ,出版信息：  北方文艺出版社 / 2019-6-30 / 49.80,https://book.douban.com/subject/34444368/
黃金神威（13）,9.5,(100人评价),作者/译者： 野田サトル / 賴思宇 ,出版信息：  尖端出版有限公司 / 2018-7-6 / 140NT,https://book.douban.com/subject/30224793/
深夜食堂15,9.4,(87人评价),作者/译者： [日] 安倍夜郎 / 张逸雯 ,出版信息：  浦睿文化·湖南文艺出版社 / 2020-4 / 25,https://book.douban.com/subject/34908364/
迷宮飯(02),9.4,(427人评价),作者/译者： 九井諒子 / 李妮瑄 ,出版信息：  青文出版社 / 2015-12-30 / NT$140,https://book.douban.com/subject/26641315/
MasteringtheArtofFrenchCooking:Volumes1and2,9.4,(136人评价),作者/译者： Julia Child、Louisette Bertholle、Simone Beck ,出版信息：  Knopf / 2009-12 / GBP 54.59,https://book.douban.com/subject/4156058/
天婦羅,9.4,(32人评价),作者/译者： 近藤文夫 / 陳孟平 ,出版信息：  麥浩斯 / 2014-2-27 / 499台币,https://book.douban.com/subject/25945805/
钟鸣鼎食丛书⑤：煎炸,9.4,(15人评价),作者/译者： 江献珠 ,出版信息：  广东教育出版社 / 2010-9 / 38.00元,https://book.douban.com/subject/5284823/
水晶月光川味笔记:最强川菜学习笔记，真正破解川菜诱惑的神奇密码!,9.4,(27人评价),作者/译者： 水晶月光 ,出版信息：  浙江科学技术出版社 / 2014-3-1 / 48.00元,https://book.douban.com/subject/25872912/
铸铁锅就该这样用：超浓郁的肉类料理,9.4,(22人评价),作者/译者： ,出版信息： 大桥由香 / 中信出版集团 / 49.00元,https://book.douban.com/subject/35114107/
黃金神威（6）,9.4,(125人评价),作者/译者： 野田サトル / 賴思宇 ,出版信息：  尖端出版有限公司 / 2016-9-12 / 140NT,https://book.douban.com/subject/26871630/
健身营养全书:关于力量与肌肉的营养策略,9.4,(621人评价),作者/译者： 克里斯蒂安·冯·勒费尔霍尔茨 / 庄仲华 ,出版信息：  北京科学技术出版社 / 2018-4-1 / 98.00元,https://book.douban.com/subject/30157798/
