书名,评分,评价人数,作者,出版社,url
魏晋南北朝唐宋考古文稿辑丛,9.9,(20人评价),作者/译者： 宿白 ,出版信息：  生活·读书·新知三联书店 / 2020-6 / 158.00元,https://book.douban.com/subject/33427094/
古史的考古学探索,9.8,(22人评价),作者/译者： 俞伟超 ,出版信息：  文物出版社 / 2002-7 / 100.00元,https://book.douban.com/subject/1495116/
晋国青铜艺术图鉴,9.8,(30人评价),作者/译者： 李夏廷 ,出版信息：  文物出版社 / 2009-4 / 120.00元,https://book.douban.com/subject/3769654/
中国古文字学概论,9.8,(28人评价),作者/译者： 冯时 ,出版信息：  中国社会科学出版社 / 2016-3-1 / 150.00元,https://book.douban.com/subject/26842187/
长沙马王堆汉墓简帛集成（全７册）,9.7,(55人评价),作者/译者： 裘锡圭 主编、湖南省博物馆、复旦大学出土文献与古文字研究中心 编纂 ,出版信息：  中华书局 / 2014-6 / 9900,https://book.douban.com/subject/25968511/
藏传佛教寺院考古:ArchaeologicalStudiesonMonasteriesoftheTibetanBuddhism,9.7,(76人评价),作者/译者： 宿白 ,出版信息：  文物出版社 / 1996-10 / 60.00元,https://book.douban.com/subject/1585313/
白沙宋墓,9.7,(270人评价),作者/译者： 宿白 ,出版信息：  生活·读书·新知三联书店 / 2017-10 / 98.00,https://book.douban.com/subject/27593327/
"PerformingtheVisual:ThePracticeofBuddhistWallPaintinginChinaandCentralAsia,618-960",9.7,(15人评价),作者/译者： 胡素馨 Sarah Fraser ,出版信息：  Stanford University Press / 2003-11-18 / USD 70.00,https://book.douban.com/subject/1455963/
中国石窟:敦煌莫高窟第二卷,9.6,(20人评价),作者/译者： 敦煌文物研究所 ,出版信息：  文物 / 2011-7-1 / 360.00元,https://book.douban.com/subject/6838282/
古代中国考古学,9.6,(124人评价),作者/译者： 张光直 / 印群 ,出版信息：  生活·读书·新知三联书店 / 2013-11 / 65.00,https://book.douban.com/subject/21323611/
涅槃和弥勒的图像学:从印度到中亚,9.6,(67人评价),作者/译者： 宫治昭 ,出版信息：  文物出版社 / 2009-8 / 198.00元,https://book.douban.com/subject/4059731/
花舞大唐春:何家村遗宝精粹,9.6,(410人评价),作者/译者： 齐东方、申秦雁 ,出版信息：  文物出版社 / 2003-5 / 300,https://book.douban.com/subject/1585474/
古文字学简论,9.6,(363人评价),作者/译者： 林沄 ,出版信息：  中华书局 / 2012-4 / 15.00元,https://book.douban.com/subject/10743575/
中国文物地图集:北京分册（上、下册）,9.6,(17人评价),作者/译者： 国家文物局 ,出版信息：  文物出版社 / 2008-7 / 728.00元,https://book.douban.com/subject/3184829/
商周青銅器銘文選三:商、西周青銅器銘文釋文及注釋,9.6,(15人评价),作者/译者： ,出版信息： 文物出版社 / 1988-4,https://book.douban.com/subject/6845686/
天山·古道·东西风:新疆丝绸之路文物特辑,9.6,(12人评价),作者/译者： 中国历史博物馆、新疆维吾尔自治区文物局 编辑 ,出版信息：  中国社会科学出版社 / 2002 / 280.00元,https://book.douban.com/subject/2976987/
"周秦汉唐文明:TheCivilizationofZhou,Qin,HanandTangDynasities",9.6,(17人评价),作者/译者： 陕西省文物局、上海博物馆 ,出版信息：  上海书画出版社 / 2004-12 / 150,https://book.douban.com/subject/6804983/
中国圣火:中国古文物与东西文化交流中的若干问题,9.6,(84人评价),作者/译者： 孙机 ,出版信息：  辽宁教育出版社 / 1996-1 / 20.00元,https://book.douban.com/subject/1891848/
佛教美术丛考续编,9.6,(16人评价),作者/译者： 金申 ,出版信息：  华龄 / 2010-1 / 49.80元,https://book.douban.com/subject/4188990/
鏡花水月:中国古代美术考古与佛教艺术的探讨,9.6,(12人评价),作者/译者： 顏娟英 ,出版信息：  石頭出版股份有限公司 / 2016-9 / NT1350.00,https://book.douban.com/subject/26856149/
汉代物质文化资料图说:中国国家博物馆学术丛书,9.6,(282人评价),作者/译者： 孙机 ,出版信息：  上海古籍出版社 / 2008-05 / 148.00,https://book.douban.com/subject/3075271/
百年来甲骨文天文历法研究,9.6,(45人评价),作者/译者： 冯时 ,出版信息：  中国社会科学出版社 / 2011-12 / 48.00元,https://book.douban.com/subject/10678723/
中国石窟寺研究,9.6,(160人评价),作者/译者： 宿白 ,出版信息：  生活·读书·新知三联书店 / 2019-1 / 165.00元,https://book.douban.com/subject/28553398/
东亚窑业技术发展与交流史研究,9.6,(17人评价),作者/译者： 熊海堂 ,出版信息：  南京大学出版社 / 1995-1-1 / 35,https://book.douban.com/subject/6425752/
西周青铜器铭文分代史征,9.6,(30人评价),作者/译者： 唐兰 ,出版信息：  中华书局 / 1986 / 10,https://book.douban.com/subject/2245723/
吐峪沟石窟壁画与禅观,9.5,(26人评价),作者/译者： [日]宫治昭 / 贺小萍 ,出版信息：  上海古籍出版社 / 2009-10 / 45.00元,https://book.douban.com/subject/4121263/
殷虚卜辞综述,9.5,(141人评价),作者/译者： 陈梦家 ,出版信息：  中华书局 / 2004 / 198.0,https://book.douban.com/subject/1172089/
斯飞日历2017:不容错过的全国重点文物保护单位,9.5,(136人评价),作者/译者： 斯飞小组 ,出版信息：  华东师范大学出版社 / 2016-12-1 / 108,https://book.douban.com/subject/26926193/
突厥汗国与隋唐关系史研究,9.5,(93人评价),作者/译者： 吴玉贵 ,出版信息：  商务印书馆 / 2017-11 / 116,https://book.douban.com/subject/27141123/
唐代长安与西域文明,9.5,(60人评价),作者/译者： 向达 ,出版信息：  商务印书馆 / 2015-12 / CNY 75.00,https://book.douban.com/subject/26735949/
中国古建筑调查报告（上下）,9.5,(104人评价),作者/译者： 梁思成 ,出版信息：  生活·读书·新知三联书店 / 2012-8 / 160.00元,https://book.douban.com/subject/4818176/
考古发现与中西文化交流,9.5,(109人评价),作者/译者： 宿白 ,出版信息：  文物出版社 / 2012-2 / 36.00元,https://book.douban.com/subject/10725785/
文物丛谈,9.5,(29人评价),作者/译者： 孙机、杨泓 ,出版信息：  文物出版社 / 1991 / 12.00,https://book.douban.com/subject/3003135/
汉代物质文化资料图说,9.5,(53人评价),作者/译者： 孙机 ,出版信息：  上海古籍出版社 / 2011-8-1 / 128.00元,https://book.douban.com/subject/6807746/
"EarlyChineseReligion:ShangThroughHan(1250BC-220AD)(HandbookofOrientalStudies,SectionFour,China)",9.5,(23人评价),作者/译者： John Lagerwey、Marc Kalinowski ,出版信息：  Brill Academic Publishers / 2009-02-28 / USD 369.00,https://book.douban.com/subject/4697527/
中国青铜器综论（全三册）,9.5,(98人评价),作者/译者： 朱凤瀚 ,出版信息：  上海古籍出版社 / 2009-12 / 480.00元,https://book.douban.com/subject/4230109/
丝路探险:1902-1914年德国考察队吐鲁番行记,9.5,(16人评价),作者/译者： [德] 卡恩•德雷尔 / 陈婷婷 ,出版信息：  上海古籍出版社 / 2020-8 / 168,https://book.douban.com/subject/35050697/
先史考古学方法论,9.5,(35人评价),作者/译者： [瑞典]蒙德留斯 / 滕固 ,出版信息：  商务印书馆 / 2019-1 / 38.00元,https://book.douban.com/subject/27596221/
中国考古学·新石器时代卷,9.4,(81人评价),作者/译者： 任式楠//吴耀利 ,出版信息：  中国社会科学出版社 / 2010-7 / 280.00元,https://book.douban.com/subject/5280661/
唐宋时期的雕版印刷,9.4,(79人评价),作者/译者： 宿白 ,出版信息：  生活·读书·新知三联书店 / 2020-1 / 128.00元,https://book.douban.com/subject/34840698/
云冈石窟的营造工程,9.4,(33人评价),作者/译者： 彭明浩 ,出版信息：  文物出版社 / 2017-5 / 80.00,https://book.douban.com/subject/27075575/
商文明,9.4,(243人评价),作者/译者： [美]张光直 / 张良仁、岳红彬、丁晓雷、陈星灿 校 ,出版信息：  生活·读书·新知三联书店 / 2019-1-1 / 82,https://book.douban.com/subject/30302913/
中国陶瓷史,9.4,(224人评价),作者/译者： 叶喆民 ,出版信息：  生活·读书·新知三联书店 / 2011-3 / 380.00元,https://book.douban.com/subject/4582324/
中国古舆服论丛,9.4,(94人评价),作者/译者： 孙机 ,出版信息：  上海古籍出版社 / 2013-11-1 / 128元,https://book.douban.com/subject/25730396/
中国古代服饰史,9.4,(64人评价),作者/译者： 周锡保 ,出版信息：  中央编译出版社 / 2011-1 / 498.00元,https://book.douban.com/subject/5951254/
中国青铜时代,9.4,(531人评价),作者/译者： 张光直 ,出版信息：  生活·读书·新知三联书店 / 2013-3 / 58.00元,https://book.douban.com/subject/20516442/
三星堆出土文物全记录（套装共3册）,9.4,(46人评价),作者/译者： ,出版信息： 天地出版社 / 2009-9-1 / 2960.00元,https://book.douban.com/subject/4085221/
金文编,9.4,(90人评价),作者/译者： 容 庚 ,出版信息：  中华书局 / 1985-7 / 160.00,https://book.douban.com/subject/1050451/
商周彝器通考,9.4,(70人评价),作者/译者： 容庚 ,出版信息：  上海人民出版社 / 2008-08 / 180.00元,https://book.douban.com/subject/3183713/
中國古代金飾,9.4,(14人评价),作者/译者： ,出版信息： 關善明、孫機 / （香港）沐文堂美術出版社有限公司 / 2003年9月,https://book.douban.com/subject/4706373/
阅读过去:考古学阐释的当代取向,9.4,(16人评价),作者/译者： 伊恩·霍德（Ian Hodder）、斯科特·赫特森（Scott Hutson） / 徐坚 ,出版信息：  北京大学出版社 / 2020-3 / 58,https://book.douban.com/subject/34933398/
定陵:中国田野考古报告集考古学专刊丁种第三十六号,9.4,(48人评价),作者/译者： 中国社会科学院考古研究所、定陵博物馆、北京市文物工作队 ,出版信息：  文物出版社 / 1990 / CNY200.00(2册),https://book.douban.com/subject/2567280/
考古学（第六版）:理论、方法与实践,9.4,(163人评价),作者/译者： [英]科林·伦福儒、[英]保罗·巴恩 / 陈淳 ,出版信息：  上海古籍出版社 / 2015-7 / 268.00元,https://book.douban.com/subject/26442143/
敦煌石窟全集第1卷:莫高窟第266-275窟考古报告,9.4,(22人评价),作者/译者： 敦煌研究院 编 ,出版信息：  文物出版社 / 2011-11 / 2280元,https://book.douban.com/subject/7007408/
图说敦煌二五四窟,9.4,(1629人评价),作者/译者： 陈海涛、陈琦 ,出版信息：  生活·读书·新知三联书店 / 2017-11 / 96.00元,https://book.douban.com/subject/27608078/
博物馆与古希腊文明,9.3,(62人评价),作者/译者： 上海博物馆 编 ,出版信息：  北京大学出版社 / 2016-3 / 398.00,https://book.douban.com/subject/26717281/
考古学专题六讲,9.3,(192人评价),作者/译者： 张光直 ,出版信息：  生活·读书·新知三联书店 / 2013-1 / 42.00元,https://book.douban.com/subject/23065661/
大圣遗音:中国古代最美的艺术品,9.3,(33人评价),作者/译者： ,出版信息： 2006-1 / 580.00元,https://book.douban.com/subject/1979559/
早期中國社會和文化史概論,9.3,(38人评价),作者/译者： 李峰 / 劉曉霞 ,出版信息：  國立臺灣大學出版中心 / 2020-1 / NT$650,https://book.douban.com/subject/34941979/
包山楚墓,9.3,(18人评价),作者/译者： 湖北省荊沙鐵路考古隊 ,出版信息：  文物出版社 / 1991-10 / 100.00,https://book.douban.com/subject/5923448/
宫殿考古通论,9.3,(49人评价),作者/译者： 杨鸿勋 ,出版信息：  紫禁城出版社 / 2009-10 / 95.00元,https://book.douban.com/subject/1602900/
西周的灭亡:中国早期国家的地理和政治危机,9.3,(460人评价),作者/译者： 李峰 / 徐峰 ,出版信息：  上海古籍出版社 / 2016-11 / 68.00元,https://book.douban.com/subject/26907985/
历史的重建:考古材料的阐释,9.3,(14人评价),作者/译者： 戈登·柴尔德 ,出版信息：  上海三联书店 / 2012-6 / 33.00元,https://book.douban.com/subject/11530695/
权力与信仰:良渚遗址群考古特展,9.3,(19人评价),作者/译者： 浙江省文物考古研究所 ,出版信息：  文物出版社 / 2015-4 / 460.00元,https://book.douban.com/subject/26390452/
区段与组合:龟兹石窟寺院遗址的考古学探索,9.3,(15人评价),作者/译者： 魏正中 ,出版信息：  上海古籍出版社 / 2013-3-1 / 68.00元,https://book.douban.com/subject/24324083/
考古学思想史,9.3,(110人评价),作者/译者： [加] 布鲁斯•特里格 / 陈淳 ,出版信息：  中国人民大学出版社 / 2011-1 / 79.80元,https://book.douban.com/subject/5922129/
先秦秦汉出土文献与《诗经》文本的校勘和解读,9.3,(41人评价),作者/译者： 蒋文 著 ,出版信息：  中西书局 / 2019-8 / 58,https://book.douban.com/subject/34669023/
关中胜迹图志,9.2,(15人评价),作者/译者： 毕沅 ,出版信息：  三秦出版社 / 2004-12 / 158.00元,https://book.douban.com/subject/1628546/
聚落与历史重建:秘鲁维鲁河谷的史前聚落形态,9.2,(32人评价),作者/译者： [美] 戈登·威利 / 谢银玲、曹小燕、黄家豪、李雅淳 ,出版信息：  上海古籍出版社 / 2018-3 / 128,https://book.douban.com/subject/27167311/
黄土上下:美术考古文萃,9.2,(26人评价),作者/译者： 张朋川 ,出版信息：  山东画报出版社 / 2006-7 / 32.00元,https://book.douban.com/subject/1853694/
古典新义,9.2,(34人评价),作者/译者： 闻一多 ,出版信息：  商务印书馆 / 2011-12 / 56.00元,https://book.douban.com/subject/6847793/
汉代考古学概说:考古学专刊甲种第16号,9.2,(46人评价),作者/译者： 王仲殊 ,出版信息：  中华书局 / 1984 / 2.05,https://book.douban.com/subject/3032509/
胡汉之间:“丝绸之路”与西北历史考古,9.2,(32人评价),作者/译者： 罗丰 ,出版信息：  文物出版社 / 2004-9-1 / 180.00元,https://book.douban.com/subject/1190771/
古代墓葬美术研究:第四辑,9.2,(14人评价),作者/译者： [美] 巫鸿 主编 ,出版信息：  湖南美术出版社 / 2017-6-1 / CNY 85.00,https://book.douban.com/subject/27086098/
中国古代机械复原研究,9.2,(13人评价),作者/译者： 陆敬严 ,出版信息：  上海科学技术出版社 / 2019-6 / 198.00,https://book.douban.com/subject/34779382/
中国古代星占学,9.2,(53人评价),作者/译者： 卢央 ,出版信息：  中国科学技术出版社 / 2007-9-1 / 45.00元,https://book.douban.com/subject/3115470/
河洛古国:原初中国的文明图景,9.2,(30人评价),作者/译者： ,出版信息： 齐岸青 / 大象出版社 / 2021-3,https://book.douban.com/subject/35414925/
中国出土壁画全集,9.2,(93人评价),作者/译者： 徐光冀、汤池、秦大树、郑岩 ,出版信息：  科学出版社 / 2012-1-20 / 3980.00元,https://book.douban.com/subject/10465940/
美术考古半世纪:中国美术考古发现史,9.2,(53人评价),作者/译者： 杨泓 ,出版信息：  人民美术出版社 / 2015-6 / 153元,https://book.douban.com/subject/26462379/
国宝一百件,9.2,(221人评价),作者/译者： 朱家溍 主编 ,出版信息：  生活·读书·新知三联书店 / 2006-1-1 / 78.00元,https://book.douban.com/subject/1491063/
中国古代金银首饰,9.2,(162人评价),作者/译者： 扬之水 ,出版信息：  故宫出版社 / 2014-9 / 296.00元,https://book.douban.com/subject/26247864/
陶瓷手记:陶瓷史思索和操作的轨迹,9.2,(25人评价),作者/译者： 谢明良 著 ,出版信息：  上海古籍出版社 / 2013-8 / 300,https://book.douban.com/subject/24841279/
特洛伊的秘密,9.2,(49人评价),作者/译者： [德]沃尔夫冈·科恩、[德]克劳斯·恩西卡特 / 黄霄翎 ,出版信息：  新星出版社 / 2016-7 / 48.00元,https://book.douban.com/subject/26849291/
中国古史的传说时代,9.2,(202人评价),作者/译者： 徐旭生 ,出版信息：  广西师范大学出版社 / 2003-10 / 24.80元,https://book.douban.com/subject/1069473/
夏鼐日记:夏鼐考古笔记（共十册）,9.2,(105人评价),作者/译者： 夏鼐 ,出版信息：  华东师范大学出版社 / 2011-7 / 580.00元,https://book.douban.com/subject/6432346/
古埃及圣书字导读,9.2,(176人评价),作者/译者： [英] 马克·科利尔、[英] 比尔·曼利 / 陈永生 ,出版信息：  商务印书馆 / 2015-5-1 / CNY 78.00,https://book.douban.com/subject/24739620/
先秦两汉考古学论集,9.2,(39人评价),作者/译者： ,出版信息： 俞伟超 / 文物出版社 / 1984,https://book.douban.com/subject/2133158/
中国天文考古学,9.2,(238人评价),作者/译者： 冯时 ,出版信息：  中国社会科学出版社 / 2011-11 / 66.00元,https://book.douban.com/subject/2054584/
殷墟青铜器研究,9.2,(41人评价),作者/译者： 李济 ,出版信息：  上海人民出版社 / 2008-04-01 / 56.00元,https://book.douban.com/subject/3100418/
仰韶文化研究,9.2,(38人评价),作者/译者： 严文明 ,出版信息：  文物出版社 / 2009-9 / 160.00元,https://book.douban.com/subject/4221267/
