书名,评分,评价人数,作者,出版社,url
親愛なるジーンへ1,9.7,(91人评价),作者/译者： ,出版信息： 吾妻香夜 / 心交社 / 2020-6-26,https://book.douban.com/subject/35041848/
彷彿清新氣息SIDE:A,9.7,(133人评价),作者/译者： 永井三郎 ,出版信息：  東立 / 2018-11-1 / NTD 130,https://book.douban.com/subject/30262017/
卒業生春,9.6,(487人评价),作者/译者： 中村明日美子 / 尤楷茵 ,出版信息：  尖端出版社 / 2011-3-14 / NT120,https://book.douban.com/subject/10429205/
鸣鸟不飞6,9.6,(188人评价),作者/译者： ヨネダコウ / 黃彥彰 ,出版信息：  尖端 / 2020-1-31 / NT150,https://book.douban.com/subject/26614784/
卒業生冬,9.6,(383人评价),作者/译者： 中村明日美子 / 尤楷茵 ,出版信息：  尖端出版社 / 2011-3-14 / NT120,https://book.douban.com/subject/20398440/
殺破狼壹雁落京華,9.5,(55人评价),作者/译者： Priest ,出版信息：  威向有限公司 / 2019-11 / TWD 380,https://book.douban.com/subject/35060652/
卒業生−春−ＥＤＧＥＣＯＭＩＸ,9.5,(2945人评价),作者/译者： 中村明日美子 / 茜新社 ,出版信息：  2010/1 / ¥650 （本体 ： ¥619）,https://book.douban.com/subject/4186113/
鳴鳥不飛(05),9.5,(597人评价),作者/译者： ヨネダコウ ,出版信息：  尖端 / 2018-6-15 / NTD 150,https://book.douban.com/subject/30197691/
同級生:Firstseason,9.5,(851人评价),作者/译者： 中村明日美子 / 陳家慧 ,出版信息：  尖端 / 2010-01 / NT120,https://book.douban.com/subject/4711400/
鳴鳥不飛(04),9.5,(649人评价),作者/译者： ヨネダコウ / 藤崎スグル ,出版信息：  尖端 / 2017-2-3 / NT 150,https://book.douban.com/subject/26957532/
相見歡五,9.5,(37人评价),作者/译者： 非天夜翔、阿嘎 ,出版信息：  平心工作室 / 2017-7-24 / NT 300,https://book.douban.com/subject/27075478/
킬링스토킹1,9.5,(33人评价),作者/译者： 쿠기 ,"出版信息：  레진코믹스 / 2019-6-5 / KRW 13,000",https://book.douban.com/subject/33595624/
卒業生−冬−ＥＤＧＥＣＯＭＩＸ,9.5,(2734人评价),作者/译者： 中村明日美子 ,出版信息：  茜新社 / ２０１０．１ / ¥650 （本体：¥619）,https://book.douban.com/subject/4186109/
麒麟之兵天血地,9.5,(2050人评价),作者/译者： 桔子树 ,出版信息：  宇河文化 / 2011-9-10 / 280台币,https://book.douban.com/subject/6896252/
憂鬱な朝8,9.5,(155人评价),作者/译者： 日高ショーコ ,出版信息：  徳間書店 / 2018-10-25 / JPY 778,https://book.douban.com/subject/30302240/
麒麟·戰爭之王·浴血南珈,9.4,(1151人评价),作者/译者： 桔子樹 ,出版信息：  宇河文化 / 2013-2-1 / NTD 360,https://book.douban.com/subject/20499504/
麒麟之生死與共:生死與共,9.4,(2666人评价),作者/译者： 桔子樹 ,出版信息：  宇河文化出版有限公司 / 2011-7-5 / NT$ 238,https://book.douban.com/subject/6730371/
