书名,评分,评价人数,作者,出版社,url
深入理解计算机系统（原书第3版）,9.8,(1430人评价),作者/译者： Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 ,出版信息：  机械工业出版社 / 2016-11 / 139.00元,https://book.douban.com/subject/26912767/
极简沟通:让沟通化繁为简的学问,9.7,(47人评价),作者/译者： 张零 ,出版信息：  中国纺织出版社 / 2020-5 / 48,https://book.douban.com/subject/35060953/
从总账到总监：CFO的私房财务笔记,9.6,(67人评价),作者/译者： 钱自严 ,出版信息：  中国轻工业出版社 / 2019-4-1 / 52,https://book.douban.com/subject/34450173/
TheManager'sPath:AGuideforTechLeadersNavigatingGrowthandChange,9.5,(153人评价),作者/译者： Camille Fournier ,出版信息：  O′Reilly / 2017-3-24 / GBP 27.99,https://book.douban.com/subject/26997855/
商务英语写作实例精解,9.5,(36人评价),作者/译者： Shirley Taylor ,出版信息：  张卫平 / 2007-9 / 44.90元,https://book.douban.com/subject/2275770/
曼昆《经济学原理》,9.4,(105人评价),作者/译者： 圣才学习网 编 ,出版信息：  中国石化 / 2010-1 / 60.00元,https://book.douban.com/subject/4236415/
无界成长,9.4,(194人评价),作者/译者： 谢胜子 ,出版信息：  文汇出版社 / 2020-5 / 48.00元,https://book.douban.com/subject/35065701/
飞刀:我在小城当医生,9.4,(20人评价),作者/译者： 刘三叔 ,出版信息：  重庆出版社 / 2021-3 / 42.00,https://book.douban.com/subject/35370546/
商业模式创新实践:如何将知识转化为价值,9.4,(27人评价),作者/译者： [日] 野中郁次郎、[日] 德冈晃一郎 / 姚博文 ,出版信息：  人民邮电出版社 / 2021-3-1 / 79.8元,https://book.douban.com/subject/35383313/
精通Excel2007数据分析与业务建模,9.4,(49人评价),作者/译者： 温斯顿 / 许达生 ,出版信息：  清华大学出版社 / 2008-8-1 / 69.00元,https://book.douban.com/subject/3184872/
DifficultConversations:HowtoDiscussWhatMattersMost,9.3,(93人评价),作者/译者： Douglas Stone、Bruce Patton、Sheila Heen ,出版信息：  Penguin (Non-Classics) / 2010-11-2 / USD 16.00,https://book.douban.com/subject/5355842/
麦肯锡晋升法则：47个小原则创造大改变,9.3,(69人评价),作者/译者： [英]服部周作（Shu Hattori） / 韦玮 ,出版信息：  机械工业出版社 / 2020-10 / 59.00,https://book.douban.com/subject/35219806/
江小涓学术自传,9.3,(64人评价),作者/译者： 江小涓 ,出版信息：  广东经济出版社有限公司 / 2020-3-16 / 78,https://book.douban.com/subject/35018268/
《长短经》:全注全译本,9.3,(336人评价),"作者/译者： 赵蕤  ,李孝国 / 李孝国 ",出版信息：  中国书店出版社 / 2013-1-1 / 98.00元,https://book.douban.com/subject/20495024/
CaseInterviewSecrets:AFormerMcKinseyInterviewerRevealsHowtoGetMultipleJobOffersinConsulting,9.2,(347人评价),作者/译者： Victor Cheng ,出版信息：  Innovation Press / 2012-4-20 / USD 34.95,https://book.douban.com/subject/10789833/
竞逐:2010年最值得阅读的跨文体职场力作！职场新人必备的职场攻略书！,9.2,(30人评价),作者/译者： ,出版信息： 红线 / 2010-5 / 32.00元,https://book.douban.com/subject/4867750/
