书名,评分,评价人数,作者,出版社,url
股票作手杰西。李佛摩尔操盘术:HowTotradeinStocks,9.8,(31人评价),作者/译者： Jesse L. Livermore / 陳文慶 ,出版信息：  McGraw-Hill / 1997年10月 / 180元,https://book.douban.com/subject/3193646/
投资者养成指南（一）,9.8,(129人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 87,https://book.douban.com/subject/35220162/
MomentumMasters:ARoundtableInterviewwithSuperTraders,9.7,(25人评价),作者/译者： ,出版信息： Mark Minervini / 2015,https://book.douban.com/subject/26702581/
智慧型股票投资人,9.5,(59人评价),作者/译者： 班杰明·葛拉漢 (Benjamin Graham) / 俞濟群 ,出版信息：  寰宇出版 / 1996-12 / 500元,https://book.douban.com/subject/3272812/
真正的投资者读什么,9.5,(118人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 65,https://book.douban.com/subject/35220161/
投资学:工商管理优秀教材译丛·金融学系列,9.4,(17人评价),作者/译者： （美）剌利，（美）诺顿 / 李月平 ,出版信息：  清华大学出版社 / 2009-5 / 83.00元,https://book.douban.com/subject/3797002/
投资分析与组合管理,9.4,(31人评价),作者/译者： 弗兰克·K·赖利、基思·C·布朗 / 李伟平 ,出版信息：  中国人民大学出版社 / 2011-3 / 168.00元,https://book.douban.com/subject/6391789/
TradeLikeaStockMarketWizard:HowtoAchieveSuperPerformanceinStocksinAnyMarket,9.4,(29人评价),作者/译者： Mark Minervini ,出版信息：  McGraw-Hill Education / 2013-5-16 / GBP 22.99,https://book.douban.com/subject/20004021/
超級績效：金融怪傑交易之道,9.4,(25人评价),作者/译者： Mark Minervini / 黃嘉斌 ,出版信息：  寰宇 / 2015-5-5 / 405元新台币,https://book.douban.com/subject/26959421/
分析与思考:黄奇帆的复旦经济课,9.3,(1325人评价),作者/译者： 黄奇帆 ,出版信息：  上海人民出版社 / 2020-7 / 98.00元,https://book.douban.com/subject/35149551/
投资者养成指南（二）,9.3,(125人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 76,https://book.douban.com/subject/35220163/
笑傲牛熊,9.3,(204人评价),作者/译者： 【美】史丹·温斯坦 / 亦明 ,出版信息：  中国人民大学出版社 / 2015-9 / 49.00元,https://book.douban.com/subject/26605747/
系统性财务造假揭秘与审计攻略,9.3,(50人评价),作者/译者： 洞炎 ,出版信息：  上海财经大学出版社 / 2018-10 / 78.00元,https://book.douban.com/subject/30455227/
投资学基础:估值与管理（第3版）,9.3,(107人评价),作者/译者： (澳)科拉多等 / 白雪、胡波 ,出版信息：  北京大学出版社 / 2007-5 / 76.00元,https://book.douban.com/subject/2171619/
股票作手回憶錄（完整版）:ReminiscencesofaStockOperator(IllustratedEdition),9.3,(46人评价),作者/译者： Edwin Lef’evre / 魯樂中 ,出版信息：  寰宇出版 / 2006年3月 / 650元,https://book.douban.com/subject/2238680/
股價趨勢技術分析(典藏版上冊):TechnicalAnalysisofStockTrends(9thEdition),9.3,(25人评价),作者/译者： John Magee、W.H.C. Bassetti、Robert D.Edwards / 黃嘉斌 ,出版信息：  ANACOM / 2007年10月 / 600元,https://book.douban.com/subject/4120507/
QualityofEarnings:TheInvestor'sGuidetoHowMuchMoneyaCompanyisReallyMaking,9.3,(17人评价),作者/译者： Thornton L. O'glove ,出版信息：  Free Press / 1998-10-1 / USD 16.95,https://book.douban.com/subject/2778011/
InvestingAgainsttheTide:LessonsFromaLifeRunningMoney,9.3,(20人评价),作者/译者： Anthony Bolton / Financial Times,出版信息：  Prentice Hall / 2009-3-26 / GBP 19.99,https://book.douban.com/subject/3779939/
ReminiscencesofaStockOperator,9.3,(108人评价),作者/译者： Edwin  Lefèvre ,出版信息：  Wiley / 2006-1-17 / USD 22.95,https://book.douban.com/subject/2192832/
DearChairman:BoardroomBattlesandtheRiseofShareholderActivism,9.2,(18人评价),作者/译者： Jeff Gramm ,出版信息：  HarperBusiness / 2016-2-23 / USD 29.99,https://book.douban.com/subject/26766567/
权力结构、政治激励和经济增长:基于浙江民营经济发展经验的政治经济学分析,9.2,(795人评价),作者/译者： 章奇、刘明兴 ,出版信息：  格致出版社 / 2016-3 / 59.00,https://book.douban.com/subject/26762440/
"JapaneseCandlestickChartingTechniques,SecondEdition",9.2,(17人评价),作者/译者： Steve Nison ,出版信息：  Prentice Hall Press / 2001-10-1 / USD 100.00,https://book.douban.com/subject/2124790/
反市場：JG股市操作原理,9.2,(28人评价),作者/译者： JG ,出版信息：  商周出版 / 2019-12-12 / 新台币 420 元,https://book.douban.com/subject/34939695/
专业投机原理（典藏版）,9.2,(70人评价),作者/译者： 维克托·斯波朗迪 ,出版信息：  机械工业出版社 / 2018-10 / 99,https://book.douban.com/subject/30347305/
股惑:百年中国股史的九个瞬间1872-1998,9.2,(50人评价),作者/译者： 孙骁骥 ,出版信息：  东方出版社 / 2020-5-30 / 68,https://book.douban.com/subject/35026465/
