书名,评分,评价人数,作者,出版社,url
有声记忆（1级部分）,9.3,(20人评价),作者/译者： 宫力 ,出版信息：  清华大学 / 2010-5 / 35.00元,https://book.douban.com/subject/2154839/
资治通鉴-(柏杨白话版)(全九辑三十六册)(双盒装),9.1,(643人评价),作者/译者： 司马光 / 柏杨 ,出版信息：  北岳文艺 / 2007-03-01 / 882.0,https://book.douban.com/subject/2191536/
LonelyPlanetGermany,9.0,(75人评价),作者/译者： Andrea Schulte-Peevers、Sarah Johnstone、Jeanne Oliver、Tom Parkinson、Nicola Williams ,出版信息：  Lonely Planet / 2007-3 / EUR 24.41,https://book.douban.com/subject/2075774/
柏林,8.9,(71人评价),作者/译者： TimeOut城市指南丛书 / 郭泽、李杨、施家靖、俞敏、周玉峰 ,出版信息：  上海译文出版社 / 2010年8月 / 58.00元,https://book.douban.com/subject/4915825/
完全自游土耳其,8.9,(17人评价),作者/译者： 墨刻编辑部 ,出版信息：  科学 / 2011-2 / 43.80元,https://book.douban.com/subject/5405142/
走遍全球:柬埔寨和吴哥寺,8.9,(142人评价),作者/译者： 日本大宝石出版社 / 张军伟 ,出版信息：  中国旅游出版社 / 2012-10-20 / 68.00元,https://book.douban.com/subject/20273449/
我的阿勒泰,8.8,(20738人评价),作者/译者： 李娟 ,出版信息：  云南人民出版社 / 2010-7 / 22.00元,https://book.douban.com/subject/4884218/
怀斯曼生存手册,8.8,(1743人评价),作者/译者： [英] 约翰·怀斯曼 / 张万伟、于靖蓉 ,出版信息：  北方文艺出版社 / 2009-7 / 35.00元,https://book.douban.com/subject/2161983/
OnceWhileTravelling:TheLonelyPlanetStory,8.7,(23人评价),作者/译者： Maureen Wheeler、Tony Wheeler ,出版信息：  Viking Australia / 2005-09-30 / GBP 13.99,https://book.douban.com/subject/1885160/
一个陌生女人的来信,8.7,(119262人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 张玉书 ,出版信息：  上海译文出版社 / 2007-7 / 20.00元,https://book.douban.com/subject/2154960/
老挝、泰国自驾游,8.7,(27人评价),作者/译者： ,出版信息： 咏歌闪闪 / 2010-2 / 29.80元,https://book.douban.com/subject/4709261/
四川和重庆,8.7,(960人评价),作者/译者： 澳大利亚Lonely Planet公司 编 ,出版信息：  生活·读书·新知三联书店 / 2010-12 / 58.00元,https://book.douban.com/subject/4822437/
"生命的一天:你我,宇宙和万物的故事",8.7,(21人评价),作者/译者： 易书科技 米莱童书 ,出版信息：  北京理工大学出版社 / 2019-1 / 48,https://book.douban.com/subject/30434931/
印度七城行记:时光中的吉檀迦利,8.6,(40人评价),作者/译者： 孙佳 ,出版信息：  重庆大学出版社 / 2014-3 / 36,https://book.douban.com/subject/25854543/
澳大利亚,8.6,(71人评价),作者/译者： （澳大利亚）Lonely Planet公司 / 戴风华 ,出版信息：  生活·读书·新知三联书店 / 2008-12 / 96.00元,https://book.douban.com/subject/3414690/
维也纳,8.6,(33人评价),作者/译者： TimeOut城市指南丛书编写组 / 夏平 ,出版信息：  上海译文出版社 / 2008-6 / 48.00元,https://book.douban.com/subject/3115690/
