书名,评分,评价人数,作者,出版社,url
TheConstitutionofLiberty:TheDefinitiveEdition,9.6,(11人评价),作者/译者： F. A. Hayek ,出版信息：  University Of Chicago Press / 2011-4-1 / USD 25.00,https://book.douban.com/subject/6010421/
动情的理性:政治哲学作为道德实践,9.6,(50人评价),作者/译者： 钱永祥 ,出版信息：  南京大学出版社 / 2020-9 / 68.0,https://book.douban.com/subject/35169174/
DemocracyinAmericaandTwoEssaysonAmerica,9.6,(50人评价),作者/译者： Alexis de Tocqueville / Gerald Bevan ,出版信息：  Penguin Classics / 2003-7-1 / USD 15.00,https://book.douban.com/subject/1898049/
"Man,Economy,andState:WithPowerandMarket-Scholar'sEdition",9.6,(13人评价),作者/译者： Murray N. Rothbard ,出版信息：  Ludwig von Mises Institute / 2009-3-10 / USD 35.00,https://book.douban.com/subject/4125584/
顾准文稿,9.5,(119人评价),作者/译者： 顾准 ,出版信息：  中国青年出版社 / 2002-01 / 32.00,https://book.douban.com/subject/1016301/
陈独秀著作选编,9.5,(58人评价),作者/译者： 陈独秀 著、任建树 编 ,出版信息：  上海人民出版社 / 2009-1 / 298.00元,https://book.douban.com/subject/3404325/
LiberalismAncientandModern,9.5,(22人评价),作者/译者： Leo Strauss / 暂缺 ,出版信息：  University of Chicago Press / 1995-12-1 / USD 34.00,https://book.douban.com/subject/1419407/
胡适论争集（全三册）,9.5,(15人评价),作者/译者： ,出版信息： 1998-9 / 698.00元,https://book.douban.com/subject/1324713/
RussianThinkers,9.5,(35人评价),作者/译者： Isaiah Berlin ,出版信息：  Penguin Classics / 2008-3-25 / USD 17.00,https://book.douban.com/subject/3297520/
PersonalKnowledge:TowardsaPost-CriticalPhilosophy,9.5,(15人评价),作者/译者： Michael Polanyi ,出版信息：  University Of Chicago Press / 1974-8-15 / USD 22.50,https://book.douban.com/subject/1451381/
HumanAction:ATreatiseonEconomics,9.5,(44人评价),作者/译者： Ludwig von Mises ,出版信息：  Fox & Wilkes / 1996-07 / USD 24.95,https://book.douban.com/subject/1479806/
OrdinaryVices,9.5,(19人评价),作者/译者： Judith N. Shklar ,出版信息：  Belknap Press / 1985-7-1 / USD 34.00,https://book.douban.com/subject/1927033/
自由四論,9.4,(88人评价),作者/译者： ISAIAH BERLIN、伯林 / 陳曉林 ,出版信息：  联经 / 1986 / 16,https://book.douban.com/subject/4170225/
数学、科学和认识论,9.4,(70人评价),作者/译者： [匈] 拉卡托斯 / 林夏水、薛迪群、范建年 ,出版信息：  商务印书馆 / 2010-12 / 32.00元,https://book.douban.com/subject/4859891/
米塞斯大传,9.4,(163人评价),作者/译者： 【德】约尔格·吉多·许尔斯曼 / 黄华侨等 ,出版信息：  上海社会科学院出版社 / 2016-8 / 145.00元,https://book.douban.com/subject/26857930/
英国进步主义思想:社会改革的兴起,9.4,(162人评价),作者/译者： [英]迈克尔·弗里登 / 曾一璇 译、张新刚 校 ,出版信息：  商务印书馆 / 2018-5 / 68.00元,https://book.douban.com/subject/30177153/
浪漫主义的根源（新编版）,9.4,(417人评价),作者/译者： [英] 以赛亚·伯林 / 吕梁、洪丽娟、孙易 ,出版信息：  译林出版社 / 2011-1 / 28.00元,https://book.douban.com/subject/5996560/
