书名,评分,评价人数,作者,出版社,url
VanGogh:TheCompletePaintings,10.0,(59人评价),作者/译者： ,出版信息： Rainer Metzger、Ingo F. Walther / Taschen GmbH / 2015-6-26,https://book.douban.com/subject/26784619/
书之极:THECODICESOFTHEMASTERS,10.0,(53人评价),作者/译者： 王骥 ,出版信息：  江苏凤凰美术出版社 / 2020-10-1 / 1280,https://book.douban.com/subject/35251618/
多莱尔的希腊神话书:双语珍藏版,10.0,(29人评价),作者/译者： [美] 英格丽·多莱尔 / [美] 爱德加·帕林·多莱尔 / 熊裕 ,出版信息：  全本书店|北京联合出版有限公司 / 2021-1-15 / 150,https://book.douban.com/subject/35153803/
布达佩斯大饭店:韦斯·安德森作品典藏,9.8,(130人评价),作者/译者： [德] 马特·佐勒·塞茨、Matt Zoller Seitz / 邹艾旸 ,出版信息：  后浪丨九州出版社 / 2021-5 / 198.00元,https://book.douban.com/subject/35148941/
非主流艺术史,9.8,(92人评价),作者/译者： ,出版信息： 安争鸣 / 2021-2 / 68.00,https://book.douban.com/subject/35396459/
贝聿铭全集,9.7,(45人评价),作者/译者： [美] 菲利普.朱迪狄欧（Philip Jodidio）、[美] 珍妮特.亚当斯.斯特朗（Janet Adams Strong） / 李佳洁、郑小东 ,出版信息：  电子工业出版社 / 2015-4 / 99.00元,https://book.douban.com/subject/26435054/
敦煌:丝绸之路明珠佛教文化宝藏,9.7,(238人评价),作者/译者： 樊锦诗主编、吴健摄影 ,出版信息：  中国旅游出版社 / 2014-9 / 358,https://book.douban.com/subject/26736837/
巴尔格素描教程,9.7,(166人评价),作者/译者： 查尔斯·巴尔格 (Charles Bargue)、让·莱昂·杰罗姆 (Jean-Léon Gérôme ) / 刘偲熙 ,出版信息：  上海人民美术出版社 / 2017-6-1 / 141.71,https://book.douban.com/subject/27041265/
梁思成《图像中国建筑史》手绘图:（初次依原件翻拍再版）,9.7,(401人评价),作者/译者： 梁思成 ,出版信息：  新星出版社 / 2017-6 / 98.00元,https://book.douban.com/subject/27204485/
手写西文书法圣典,9.7,(19人评价),作者/译者： [法]朱利安·查泽尔 / Koala ,出版信息：  湖北美术出版社 / 2020-10-30 / 128.00,https://book.douban.com/subject/35221137/
FramedInk:DrawingandCompositionforVisualStorytellers,9.7,(413人评价),作者/译者： Marcos Mateu-Mestre ,出版信息：  Design Studio Press / 2010-8-31 / USD 24.95,https://book.douban.com/subject/5399602/
徐冰:思想与方法,9.7,(27人评价),作者/译者： 徐冰 ,出版信息：  湖南美术出版社 / 2021-1 / 98.00,https://book.douban.com/subject/35349491/
