书名,评分,评价人数,作者,出版社,url
VanGogh:TheCompletePaintings,10.0,(59人评价),作者/译者： ,出版信息： Rainer Metzger、Ingo F. Walther / Taschen GmbH / 2015-6-26,https://book.douban.com/subject/26784619/
宫室楼阁之美:界画特展,9.9,(26人评价),作者/译者： 林莉娜 / 蒲思棠 ,出版信息：  國立故宮博物院 / 2000 / 280.00元,https://book.douban.com/subject/3648612/
ArtSince1900:Modernism·Antimodernism·Postmodernism,9.8,(20人评价),作者/译者： Rosalind Krauss Hal Foster、Benjamin H. D. Buchloh and David Joselit Yve-Alain Bois ,出版信息：  Thames and Hudson Ltd / 2012-1-9 / GBP 48.00,https://book.douban.com/subject/6934597/
艺术博物馆,9.8,(75人评价),作者/译者： 王燕飞 ,出版信息：  四川美术出版社 / 2012-11-1 / 1500.00元,https://book.douban.com/subject/20375073/
故宫陶瓷馆,9.8,(29人评价),作者/译者： 故宫博物院 编 ,出版信息：  紫禁城出版社 / 2008-5-1 / 480.00元,https://book.douban.com/subject/3159873/
人文传统(二):文艺复兴—启蒙运动(全彩插图本),9.8,(83人评价),作者/译者： （美）GLORIA K. FIERO、孙有中 ,出版信息：  外语教学与研究出版社 / 2014-1-1 / 108,https://book.douban.com/subject/25806782/
非主流艺术史,9.8,(92人评价),作者/译者： ,出版信息： 安争鸣 / 2021-2 / 68.00,https://book.douban.com/subject/35396459/
TheStoryofArt,9.7,(689人评价),作者/译者： E.H. Gombrich ,出版信息：  Phaidon Press / 1995-9-30 / USD 39.95,https://book.douban.com/subject/1400833/
TheStoryofArt:PocketEdition,9.7,(321人评价),作者/译者： E. H. Gombrich ,出版信息：  Phaidon / 2006-10-7 / USD 25.90,https://book.douban.com/subject/2057624/
黔滇道上,9.7,(21人评价),作者/译者： 李霖灿 著、【加】李在中 编 ,出版信息：  北京出版社 / 2021-3-1 / 98.00元,https://book.douban.com/subject/35278574/
艺术的故事,9.7,(1226人评价),作者/译者： [英]E.H.贡布里希 / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2015-7 / 320.00元,https://book.douban.com/subject/26423502/
中国雕塑史,9.7,(24人评价),作者/译者： [日] 大村西崖 / 范建明 ,出版信息：  中国画报出版社 / 2020-7 / 298.00 元,https://book.douban.com/subject/35182610/
"PerformingtheVisual:ThePracticeofBuddhistWallPaintinginChinaandCentralAsia,618-960",9.7,(15人评价),作者/译者： 胡素馨 Sarah Fraser ,出版信息：  Stanford University Press / 2003-11-18 / USD 70.00,https://book.douban.com/subject/1455963/
南薰殿歷代帝后圖像（上）,9.7,(24人评价),作者/译者： 林莉娜、許文美 ,出版信息：  國立故宮博物院 / 2020-12 / NT$ 1700,https://book.douban.com/subject/35303112/
PaintingandExperienceinFifteenth-CenturyItaly:APrimerintheSocialHistoryofPictorialStyle,9.6,(107人评价),作者/译者： Michael Baxandall ,出版信息：  Oxford Paperbacks / 1988-5-19 / GBP 9.99,https://book.douban.com/subject/2030638/
跨文化美术史年鉴1：一个故事的两种讲法,9.6,(16人评价),作者/译者： 李军 ,出版信息：  山东美术出版社 / 2019-10 / 128元,https://book.douban.com/subject/34909639/
人文传统（三）:十九世纪以来（全彩插图本）,9.6,(47人评价),作者/译者： GLORIA K. FIERO、孙有中 ,出版信息：  外语教学与研究出版社 / 2014-1-1 / 108,https://book.douban.com/subject/25815511/
