书名,评分,评价人数,作者,出版社,url
布达佩斯大饭店:韦斯·安德森作品典藏,9.8,(129人评价),作者/译者： [德] 马特·佐勒·塞茨、Matt Zoller Seitz / 邹艾旸 ,出版信息：  后浪丨九州出版社 / 2021-5 / 198.00元,https://book.douban.com/subject/35148941/
昨日世界:一個歐洲人的回憶,9.7,(14人评价),作者/译者： 史蒂芬·茨威格 ,出版信息：  史行果 / 漫遊者文化事業股份有限公司 / NT399,https://book.douban.com/subject/26956223/
DieWeltvonGestern:ErinnerungeneinesEuropäers,9.7,(32人评价),作者/译者： Stefan Zweig ,出版信息：  S. Fischer Verlag GmbH / 2006 / 14 €,https://book.douban.com/subject/2348312/
TheWorldofYesterday,9.7,(31人评价),作者/译者： Stefan Zweig / Anthea Bell ,出版信息：  University of Nebraska Press / 2013-5-1 / USD 24.95,https://book.douban.com/subject/20545453/
茨威格文集:2017年1月第1版,9.6,(128人评价),作者/译者： 茨威格 / 张玉书 ,出版信息：  中央编译出版社 / 2017-1-1 / CNY 98.00,https://book.douban.com/subject/26937231/
昨日的世界:一个欧洲人的回忆,9.6,(318人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2018-6 / 68.00元,https://book.douban.com/subject/27912251/
人类的群星闪耀时:十四篇历史特写,9.5,(78人评价),作者/译者： (奥) 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2019-9 / 35.00元,https://book.douban.com/subject/34802708/
昨日世界:一个欧洲人的回忆,9.4,(675人评价),作者/译者： [奥地利]斯蒂芬·茨威格 / 史行果 ,出版信息：  作家出版社 / 2017-7-1 / 49.00元,https://book.douban.com/subject/27067973/
昨日的世界,9.4,(43人评价),作者/译者： [奥] 茨威格 ,出版信息：  舒昌善 / 生活·读书·新知三联书店 / 2014-4,https://book.douban.com/subject/25844511/
象棋的故事(文学小丛书),9.4,(93人评价),作者/译者： 奥)斯.茨威格著 ,出版信息：  张玉书等 / 人民文学出版社 / 1985,https://book.douban.com/subject/3099173/
斯·茨威格中短篇小说选,9.4,(451人评价),作者/译者： 斯·茨威格 (Stefan Zweig) / 张玉书 ,出版信息：  人民文学出版社 / 2016-6-1 / CNY 36.00,https://book.douban.com/subject/26787222/
TheWorldofYesterday:AnAutobiography,9.3,(61人评价),作者/译者： Stefan Zweig ,出版信息：  University of Nebraska Press / 1964-6-1 / GBP 13.99,https://book.douban.com/subject/1424708/
茨威格：一个政客的画像,9.3,(44人评价),作者/译者： （奥）茨威格 / 周正安 ,出版信息：  湖南文艺 / 2008-1 / 22.00元,https://book.douban.com/subject/3027515/
一个女人一生中的二十四小时:世界中篇名著文库4,9.3,(32人评价),作者/译者： (奥)斯蒂芬·茨威格、（日）川端康成、（日）小林多喜二、（哥）马尔克斯、（英）托马斯.曼、（英）戈尔丁、纪光  编 / 张纯青、叶渭渠 ,出版信息：  贵州人民出版社 / 1994 / 9.60元,https://book.douban.com/subject/3090667/
心灵的焦灼,9.3,(34人评价),作者/译者： 斯台芬·茨威格 / 张玉书 ,出版信息：  人民文学出版社 / 1993年4月 / 7.30,https://book.douban.com/subject/4743480/
茨威格文集,9.3,(772人评价),作者/译者： [奥] 茨威格 / 张玉书 ,出版信息：  中央编译出版社 / 2015-6 / 188.00,https://book.douban.com/subject/26352569/
茨威格作品精选,9.3,(81人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 叶廷芳、史行果 ,出版信息：  长江文艺 / 2008-5 / 17.00元,https://book.douban.com/subject/3100746/
世界十大中短篇小说家：茨威格,9.3,(65人评价),作者/译者： ,出版信息： [奥] 茨威格 / 张玉书 / 人民文学出版社,https://book.douban.com/subject/25866060/
象棋的故事看不见的珍藏,9.3,(188人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 张玉书 ,出版信息：  北京大学出版社 / 2002-9 / 9.80元,https://book.douban.com/subject/1101910/
茨威格小说全集,9.3,(183人评价),作者/译者： 斯蒂芬·茨威格 / 高中甫、张玉书 ,出版信息：  西安出版社 / 1995 / 69.80元,https://book.douban.com/subject/1786011/
象棋的故事:世界经典中篇小说精品译丛,9.3,(115人评价),作者/译者： (奥)茨威格 / 智颖宜 等 / 北岳文艺出版社 ,出版信息：  1999/9 / 9.00元,https://book.douban.com/subject/1210503/
斯·茨威格小说选,9.3,(291人评价),作者/译者： 张玉书、纪琨、涛声、赵登荣、张荣昌 ,出版信息：  外国文学出版社 / 1982-1 / 1.35元,https://book.douban.com/subject/1963728/
良知对抗暴力:卡斯泰利奥对抗加尔文,9.3,(257人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 舒昌善 ,出版信息：  生活·读书·新知三联书店 / 2017-8 / 58.00,https://book.douban.com/subject/27039531/
Chess,9.2,(35人评价),作者/译者： Stefan Zweig / Anthea Bell ,出版信息：  Penguin Classics / 2011-2-15 / GBP 3.00,https://book.douban.com/subject/6715675/
巴尔扎克传,9.2,(40人评价),作者/译者： 司蒂芬.支魏格 / 吴小如、高名凯 ,出版信息：  上海译文出版社 / 1983-1 / 1.55元,https://book.douban.com/subject/3720574/
遭遇这些事的人是我:茨威格自传,9.2,(30人评价),作者/译者： 茨威格 / 马卓 ,"出版信息：  江苏文艺出版社,凤凰出版传媒集团 / 2015-5-1 / CNY 38.00",https://book.douban.com/subject/26318777/
LetterfromanUnknownWomanandOtherStories,9.2,(76人评价),作者/译者： ,"出版信息： Zweig, Stefan; Bell, Anthea; / Pushkin Press / 2013-8-13",https://book.douban.com/subject/20145547/
一颗心的沦亡,9.2,(164人评价),作者/译者： 斯特凡·茨威格 / 韩耀成 等 ,出版信息：  上海三联书店 / 2014-7-1 / 38.80,https://book.douban.com/subject/26118434/
大探险家:麦哲伦·哥伦布,9.2,(43人评价),作者/译者： [奥地利] 斯蒂芬·茨威格 / 黄明嘉、卫茂平 ,出版信息：  漓江出版社 / 2000-1 / 12.00元,https://book.douban.com/subject/1017465/
茨威格短篇小说精选,9.2,(47人评价),作者/译者： [奥]斯特凡·茨威格 / 韩耀成 ,出版信息：  群众出版社 / 2016-3 / 29.00,https://book.douban.com/subject/27028582/
爱与同情,9.2,(40人评价),作者/译者： 茨威格 ,出版信息：  张玉书 / 浙江文艺出版社 / 1983-06,https://book.douban.com/subject/3286784/
NotbyChanceAlone:MyLifeasaSocialPsychologist,9.1,(76人评价),作者/译者： Elliot Aronson ,出版信息：  Basic Books / 2010-8-24 / USD 27.50,https://book.douban.com/subject/4860603/
一个陌生女人的来信夜色朦胧,9.1,(237人评价),作者/译者： [奥] 斯蒂芬·茨威格 / 张玉书 ,出版信息：  北京大学出版社 / 2002-9 / 9.80元,https://book.douban.com/subject/1101911/
文豪笔下的文豪,9.1,(12人评价),作者/译者： 茨威格 / 凌曦 ,出版信息：  广东人民出版社 / 2003-1 / 8.0,https://book.douban.com/subject/1520008/
活着,9.1,(193282人评价),作者/译者： 余华 ,出版信息：  南海出版公司 / 1998-5 / 12.00元,https://book.douban.com/subject/1082154/
一个政治家的肖像,9.1,(60人评价),作者/译者： (奥)斯蒂芬·茨威格 / 侯焕闳 ,出版信息：  三联书店 / 1988 / 2.70,https://book.douban.com/subject/2286504/
