书名,评分,评价人数,作者,出版社,url
奥美的观点8赢在公关:创造品牌影响力,9.8,(63人评价),作者/译者： 奥美集团 ,出版信息：  中信出版集团股份有限公司 / 2021-4 / 68.00,https://book.douban.com/subject/35404928/
现代广告通论（第三版）,9.6,(28人评价),作者/译者： 丁俊杰、康瑾 ,出版信息：  中国传媒大学出版社 / 2013-7 / 45.00,https://book.douban.com/subject/27007866/
科特勒营销思维,9.5,(30人评价),作者/译者： 菲利普•科特勒、凯文•莱恩•凯勒 / 汪涛 ,出版信息：  中国人民大学出版社 / 2015-1-1 / 45.00元,https://book.douban.com/subject/26303773/
营销管理（第15版）,9.4,(509人评价),作者/译者： 菲利普•科特勒、凯文•莱恩•凯勒 / 何佳讯、于洪彦、牛永革、徐岚、董伊人、金钰 ,出版信息：  格致出版社 / 2016-8-1 / 118,https://book.douban.com/subject/26879263/
"Howbrandsgrowpart2:EmergingMarkets,Services,Durables,NewandLuxuryBrands",9.4,(14人评价),作者/译者： ,出版信息： Jenni Romaniuk、Byron Sharp / 2015-11-19,https://book.douban.com/subject/26880554/
广告创意与表现-方法与案例解析:方法与案例解析,9.4,(26人评价),作者/译者： 尹小龙 ,出版信息：  山东文艺出版社 / 2010 / 25,https://book.douban.com/subject/5269231/
销售与市场,9.4,(22人评价),作者/译者： ,出版信息： 《销售与市场》杂志社 / 《销售与市场》出版社 / 10,https://book.douban.com/subject/1819165/
全域营销：付费增长与流量变现实战讲义,9.3,(19人评价),作者/译者： 聂风 ,出版信息：  电子工业出版社 / 2021-3 / 69,https://book.douban.com/subject/35360354/
坠落与重生:9·11的故事,9.3,(110人评价),作者/译者： [美]米切尔·祖科夫 / 杜先菊 ,出版信息：  文汇出版社 / 2021-1 / 128,https://book.douban.com/subject/35303912/
中国企业如何定战略:兼论麦肯锡战略之误,9.3,(43人评价),作者/译者： 迈克尔.波特、杰克.特劳特 ,出版信息：  邓德隆、陈奇峰 / 2005 / 65.00元,https://book.douban.com/subject/10758677/
零售管理,9.3,(65人评价),作者/译者： [美]迈克尔·利维 / 俞利军、王欣红 ,出版信息：  人民邮电出版社 / 2004-9 / 68.00元,https://book.douban.com/subject/1187241/
