书名,评分,评价人数,作者,出版社,url
马克思恩格斯选集第一卷,10.0,(48人评价),作者/译者： 中共中央马克思恩格斯列宁斯大林著作编译局 编译 ,出版信息：  人民出版社 / 2012 / 80.00元,https://book.douban.com/subject/19952166/
理解的欲求:亚里士多德哲学导论,10.0,(33人评价),作者/译者： [英] 乔纳森·李尔 / 刘玮 ,出版信息：  北京大学出版社 / 2021-1-1 / 75.00元,https://book.douban.com/subject/35325043/
康德《纯粹理性批判》句读:全三册,9.9,(47人评价),作者/译者： 邓晓芒 ,出版信息：  人民出版社 / 2018-8-1 / 420.00元,https://book.douban.com/subject/30135662/
道德底形上學,9.9,(20人评价),作者/译者： 康德 / 李明輝 ,出版信息：  聯經出版事業公司 / 2015-3-20 / NT$700,https://book.douban.com/subject/26326647/
当代政治哲学,9.9,(234人评价),作者/译者： [加拿大] 威尔·金里卡 / 刘莘 ,出版信息：  上海译文出版社 / 2015-9-1 / 78,https://book.douban.com/subject/26389495/
论僭政:色诺芬《希耶罗》义疏,9.9,(94人评价),作者/译者： [美]施特劳斯、[法]科耶夫 / 彭磊 ,出版信息：  华夏出版社 / 2016-10 / 65.00,https://book.douban.com/subject/26916928/
黑格尔《精神现象学》句读:全十卷,9.8,(23人评价),作者/译者： 邓晓芒 ,出版信息：  人民出版社 / 2017-12 / 1150.00元,https://book.douban.com/subject/27194807/
资本论:马克思诞辰200周年纪念版,9.8,(686人评价),作者/译者： 马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 2018-5 / 240.00,https://book.douban.com/subject/30316487/
德国观念论的终结:谢林晚期哲学研究,9.8,(30人评价),作者/译者： 【德】瓦尔特·舒尔茨 / 韩隽 ,出版信息：  中国人民大学出版社 / 2019-9-11 / 98,https://book.douban.com/subject/34834130/
回到马克思:经济学语境中的哲学话语（第四版）,9.8,(21人评价),作者/译者： 张一兵 ,出版信息：  江苏人民出版社 / 2020-2 / 152.00元,https://book.douban.com/subject/30475346/
IntroductiontotheReadingofHegel:LecturesonthePhenomenologyofSpirit,9.8,(60人评价),作者/译者： Alexandre Kojève / James H. Nichols ,出版信息：  Cornell University Press / 1980-10-31 / USD 23.95,https://book.douban.com/subject/1481724/
马克思恩格斯全集（第3卷）:1842年11月-1844年8月,9.8,(44人评价),作者/译者： 中共中央马克思恩格斯列宁斯大林著作编译局 编译 / 中共中央马克思恩格斯列宁斯大林著作编译局 ,出版信息：  人民出版社 / 1998-3 / 48.00元,https://book.douban.com/subject/1524211/
康德《判断力批判》释义,9.8,(52人评价),作者/译者： 邓晓芒 ,出版信息：  生活·读书·新知三联书店 / 2018-4 / 55.00元,https://book.douban.com/subject/30178029/
林中路,9.8,(70人评价),作者/译者： 马丁•海德格尔 / 孙周兴 ,出版信息：  商务印书馆 / 2019-1 / 68,https://book.douban.com/subject/30449499/
纯粹理性批判,9.7,(259人评价),作者/译者： [德] 康德 / 邓晓芒 译、杨祖陶 校 ,出版信息：  人民出版社 / 2017-3 / 69.00,https://book.douban.com/subject/27009630/
