书名,评分,评价人数,作者,出版社,url
我亲爱的偏执狂,9.8,(48人评价),作者/译者： 姚一十 ,出版信息：  广东人民出版社 / 2019-6-1 / 48,https://book.douban.com/subject/33456952/
九重抄,9.6,(137人评价),作者/译者： 时音 ,出版信息：  浙江工商大学出版社 / 2018-1-1 / 48,https://book.douban.com/subject/30173331/
四楼的玻璃柱,9.3,(55人评价),作者/译者： ,出版信息： 张叶 / 万卷出版公司 / 2021-2,https://book.douban.com/subject/35396659/
怦然心动中英双语版:15周年典藏版,9.2,(358人评价),作者/译者： [美] 文德琳·范·德拉安南 / 陈常歌 ,出版信息：  百花洲文艺出版社 / 2018-3-18 / 59.8元,https://book.douban.com/subject/27609606/
我等你到三十五岁,9.2,(1245人评价),作者/译者： ,出版信息： 南康白起 / 39.8元,https://book.douban.com/subject/35099889/
三步上篮,9.2,(61人评价),作者/译者： 张鼎鼎 ,出版信息：  广东旅游出版社 / 2021-3 / 42.00元,https://book.douban.com/subject/35318157/
有匪1:少年遊,9.1,(154人评价),作者/译者： Priest ,出版信息：  奇幻基地 / 2018-2-1 / NTD 350,https://book.douban.com/subject/27617136/
單身宿舍連環泡03,9.1,(69人评价),作者/译者： 窪之內英策 / 陳惠文 ,出版信息：  尖端 / 1993.05.01 / 100元,https://book.douban.com/subject/3137563/
單身宿舍連環泡02,9.0,(74人评价),作者/译者： 窪之內英策 / 神奇地帶 ,出版信息：  尖端 / 1993.04.01 / 100元,https://book.douban.com/subject/3137562/
有匪2:离恨楼,9.0,(4861人评价),作者/译者： Priest ,出版信息：  湖南文艺出版社 / 2017-3 / 36.00元,https://book.douban.com/subject/26989242/
星星与猫,9.0,(35人评价),作者/译者： 刘小备 ,出版信息：  重庆出版社 / 2020-12 / 53,https://book.douban.com/subject/35264779/
單身宿舍連環泡04,9.0,(68人评价),作者/译者： 窪之內英策 / 莊湘萍 ,出版信息：  尖端 / 1993.05.01 / 100元,https://book.douban.com/subject/3137564/
奈何,8.9,(26人评价),作者/译者： 君子以泽 ,出版信息：  中国华侨出版社 / 2018-9 / 42.00元,https://book.douban.com/subject/30318464/
有匪3:多情累,8.9,(3564人评价),作者/译者： Priest ,出版信息：  湖南文艺出版社 / 2017-7 / 35.00元,https://book.douban.com/subject/27079142/
恋恋深圳,8.9,(24人评价),作者/译者： 潭影 ,出版信息：  国际文化出版公司 / 2020-6-1 / 42,https://book.douban.com/subject/35134465/
亲爱的你，如光之初,8.8,(109人评价),作者/译者： 亦落芩 ,出版信息：  江苏凤凰文艺出版社 / 2020-7-1 / 39.8,https://book.douban.com/subject/35084146/
浮图塔,8.8,(68人评价),作者/译者： 尤四姐 ,出版信息：  长江出版社 / 2020-5 / 72.00元,https://book.douban.com/subject/35063120/
这届和亲的公主不行,8.8,(18人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/34799834/
有匪1:少年游,8.8,(10621人评价),作者/译者： Priest ,出版信息：  湖南文艺出版社 / 2016-11 / 35.00元,https://book.douban.com/subject/26886310/
最好的我们,8.7,(62121人评价),作者/译者： 八月长安 ,出版信息：  湖南文艺出版社 / 2013-8-5 / 55,https://book.douban.com/subject/24754316/
