书名,评分,评价人数,作者,出版社,url
书之极:THECODICESOFTHEMASTERS,10.0,(53人评价),作者/译者： 王骥 ,出版信息：  江苏凤凰美术出版社 / 2020-10-1 / 1280,https://book.douban.com/subject/35251618/
GraphicDesigninJapan2015:2015年日本平面设计年鉴,9.8,(25人评价),作者/译者： Japan Graphic Designers Associ ,出版信息：  六耀社 / 2015-6-20 / JPY 16200,https://book.douban.com/subject/26656743/
PrintedMatter:Drukwerk,9.8,(25人评价),作者/译者： Karel Martens、Jaap van Triest、Robin Kinross ,出版信息：  Hyphen Press / 2010-12-2 / GBP 40.00,https://book.douban.com/subject/5916904/
Meggs'HistoryofGraphicDesign,9.7,(29人评价),作者/译者： Philip B. Meggs、Alston W. Purvis ,出版信息：  Wiley / 2011-11 / 614.00元,https://book.douban.com/subject/10554506/
手写西文书法圣典,9.7,(19人评价),作者/译者： [法]朱利安·查泽尔 / Koala ,出版信息：  湖北美术出版社 / 2020-10-30 / 128.00,https://book.douban.com/subject/35221137/
字游上海,9.7,(32人评价),作者/译者： 姜庆共、刘瑞樱 ,出版信息：  上海人民美术出版社 / 2021-4 / 108,https://book.douban.com/subject/35408305/
FramedInk:DrawingandCompositionforVisualStorytellers,9.7,(413人评价),作者/译者： Marcos Mateu-Mestre ,出版信息：  Design Studio Press / 2010-8-31 / USD 24.95,https://book.douban.com/subject/5399602/
印谱（第三版）:中国印刷工艺样本专业版,9.7,(88人评价),作者/译者： 胡裕达、张英福 ,出版信息：  印刷工业出版社 / 2014-4 / 398元,https://book.douban.com/subject/25952958/
CG造型基础与创作·进阶篇,9.6,(68人评价),作者/译者： ,出版信息： Victor cloux陈威 / 文化艺术出版社 / 2020-2,https://book.douban.com/subject/35052596/
艺术的故事,9.6,(18485人评价),作者/译者： [英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2008-04 / 280.00,https://book.douban.com/subject/3162991/
原动画基础教程:动画人的生存手册,9.6,(1763人评价),作者/译者： 理查德·威廉姆斯 / 邓晓娥 ,出版信息：  中国青年出版社 / 2006-1 / 128.00元,https://book.douban.com/subject/1485731/
明式家具研究,9.6,(902人评价),作者/译者： 王世襄 编著、袁荃猷 制图 ,出版信息：  生活·读书·新知三联书店 / 2008-8 / 96.00元,https://book.douban.com/subject/3204645/
印谱（第二版）:中国印刷工艺样本专业版,9.6,(492人评价),作者/译者： 刘积英 主编、胡裕达、张英福 编著 ,出版信息：  印刷工业出版社 / 2009-9 / 328.00元,https://book.douban.com/subject/4157944/
花森安治的設計書:《生活手帖》初代編集長，長達30年的工藝美學,9.6,(23人评价),作者/译者： 花森安治 ,出版信息：  何姵儀 / 悅知文化 / 2020-6,https://book.douban.com/subject/35167135/
AlexanderMcQueen:SavageBeauty,9.6,(433人评价),作者/译者： Andrew Bolton ,出版信息：  Metropolitan Museum of Art / 2011-5-31 / CAD 44.17,https://book.douban.com/subject/5397340/
设计与形态/设计丛书,9.5,(21人评价),作者/译者： 约翰尼斯・伊顿 / 朱国勤 ,出版信息：  上海人民美术出版社 / 1992-7-1 / 12.40,https://book.douban.com/subject/1285965/
