书名,评分,评价人数,作者,出版社,url
英国诗歌选集,9.9,(72人评价),作者/译者： 王佐良、金立群 选编、金立群 注释 ,出版信息：  上海译文出版社 / 2016-5 / 168.00元,https://book.douban.com/subject/26795343/
李白诗歌全集,9.9,(257人评价),作者/译者： 李白 / =\[56465645645 ,出版信息：  今日中国出版社 / 1997-11 / 48.00,https://book.douban.com/subject/1077942/
李白集校注,9.9,(18人评价),作者/译者： 瞿蜕园、朱金城 校注 ,出版信息：  上海古籍出版社 / 2016-7 / 438.00元,https://book.douban.com/subject/26836965/
GardenTime,9.8,(32人评价),作者/译者： W.S. Merwin ,出版信息：  Copper Canyon Press / 2016-9-13 / USD 24.00,https://book.douban.com/subject/26876403/
回答:中国新时期文学精品大系·诗歌,9.8,(128人评价),作者/译者： 北岛 等 / 中国文学出版社 ,出版信息：  1993/12 / 8.45元,https://book.douban.com/subject/3268035/
诗经,9.7,(272人评价),作者/译者： ,出版信息： 上海古籍出版社,https://book.douban.com/subject/3995581/
唐诗鉴赏辞典（新一版）,9.7,(529人评价),作者/译者： 俞平伯 ,出版信息：  上海辞书出版社 / 2013-8 / 98.00元,https://book.douban.com/subject/25793097/
女巫在星期二出现:女巫花椒树诗集,9.7,(32人评价),作者/译者： 女巫花椒树 ,出版信息：  藏马怪物园 / 2020-12-31 / 34,https://book.douban.com/subject/35282285/
“新诗集”与中国新诗的发生（增订本）,9.7,(81人评价),作者/译者： 姜涛 ,出版信息：  北京大学出版社 / 2019-7-1 / 78.00元,https://book.douban.com/subject/30468370/
藏地诗篇,9.6,(48人评价),作者/译者： 张子选 ,出版信息：  四川文艺出版社 / 2021-2 / 68.00,https://book.douban.com/subject/35347367/
先知·沙与沫,9.6,(50人评价),作者/译者： [黎巴嫩]纪伯伦 / 伊宏 ,出版信息：  时代文艺出版社 / 2018-7 / 35.00元,https://book.douban.com/subject/30462444/
李太白全集,9.6,(313人评价),作者/译者： （唐）李白 著、（清）王琦 注 ,出版信息：  中华书局 / 2011-3 / 98.00元,https://book.douban.com/subject/5403733/
祝你太太好,9.6,(16人评价),作者/译者： 路雅婷 ,出版信息：  果皮书店 / 2021-4-5 / 100,https://book.douban.com/subject/35431672/
新生,9.6,(52人评价),作者/译者： [意]但丁 / 石绘、李海鹏、吴功青 校 ,出版信息：  漓江出版社 / 2021-1 / 40,https://book.douban.com/subject/35280288/
宋诗选注,9.6,(57人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2017-10 / 42.00元,https://book.douban.com/subject/30137044/
ParadiseLost,9.6,(99人评价),作者/译者： John Milton ,出版信息：  W. W. Norton & Company / 2004-12-15 / USD 21.89,https://book.douban.com/subject/1465095/
新诗潮诗集（上下）:未名湖丛书,9.5,(26人评价),作者/译者： ,出版信息： 老木  编 / 内部交流 / 1985,https://book.douban.com/subject/4816007/
全唐诗:增订本,9.5,(187人评价),作者/译者： 中华书局编辑部 ,出版信息：  中华书局 / 2008-2-1 / 430.00,https://book.douban.com/subject/1000855/
变形记诗艺:杨周翰作品集02,9.5,(390人评价),作者/译者： [古罗马]奥维德、贺拉斯 / 杨周翰 / 世纪文景,出版信息： 上海人民出版社 / 2016-4 / 59.00元,https://book.douban.com/subject/26761457/
她走在美的光影里:拜伦诗歌精选-天星诗库,9.5,(43人评价),作者/译者： 拜伦 / 杨德豫、查良铮 ,出版信息：  北岳文艺出版社 / 2016-9-1 / 39.80,https://book.douban.com/subject/26927467/
古典文库二十四诗品:二十四诗品,9.5,(73人评价),作者/译者： ,出版信息： 司空图 / 浙江古籍出版社 / 16元,https://book.douban.com/subject/30827045/
辛弃疾诗词全集,9.5,(33人评价),作者/译者： （宋）辛弃疾 ,出版信息：  崇文书局 / 2016-6-1 / 68.00,https://book.douban.com/subject/26935510/
庾子山集注（全三冊）,9.5,(174人评价),作者/译者： 庾信 ,出版信息：  中华书局 / 1980-10 / 112.00元,https://book.douban.com/subject/1116207/
杜诗镜铨,9.5,(45人评价),作者/译者： [唐] 杜甫、[清]杨伦 笺注 ,出版信息：  浙江人民美术出版社 / 2020-3 / 168,https://book.douban.com/subject/27156618/
李商隱詩歌集解（全五冊）,9.5,(386人评价),作者/译者： 余恕诚、刘学锴 ,出版信息：  中华书局 / 1998-01 / 148.0,https://book.douban.com/subject/1012171/
黄昏的诉说,9.5,(245人评价),作者/译者： [圣卢西亚]德里克·沃尔科特 / 刘志刚、马绍博 ,出版信息：  广西人民出版社 / 2019-11-1 / 59.80,https://book.douban.com/subject/30367453/
贺拉斯诗全集:拉中对照详注本,9.5,(113人评价),作者/译者： [古罗马]贺拉斯 / 李永毅 ,出版信息：  中国青年出版社 / 2017-12 / 280.00元,https://book.douban.com/subject/27201060/
叶嘉莹说汉魏六朝诗,9.5,(95人评价),作者/译者： [加拿大] 叶嘉莹 ,出版信息：  中华书局 / 2018-6 / 49.00元,https://book.douban.com/subject/30337694/
唐诗百话,9.5,(453人评价),作者/译者： 施蛰存 ,出版信息：  华东师范大学出版社 / 1996-5 / 39.80元,https://book.douban.com/subject/1049464/
神曲,9.5,(16人评价),作者/译者： [意] 但丁 / 黄文捷 ,出版信息：  译林出版社 / 2021-5 / 228,https://book.douban.com/subject/35390580/
天是真的,9.5,(224人评价),作者/译者： 陈雨吟 ,出版信息：  百花洲文艺出版社 / 2021-3 / 68.00元,https://book.douban.com/subject/35402337/
人间一趟:海子诗歌精选集,9.4,(93人评价),作者/译者： 海子 ,出版信息：  江苏凤凰文艺出版社 / 2019-7-1 / 48.00,https://book.douban.com/subject/34439427/
杜甫诗选注（增补本）,9.4,(106人评价),作者/译者： 杜甫 原著、萧涤非 选注、萧光乾、萧海川 辑补 ,出版信息：  人民文学出版社 / 2018-1-1 / 52,https://book.douban.com/subject/30130024/
吉尔伽美什史诗,9.4,(123人评价),作者/译者： 拱玉书 译注 ,出版信息：  商务印书馆 / 2021-1 / 98.00元,https://book.douban.com/subject/35218215/
曼弗雷德该隐：拜伦诗剧两部,9.4,(379人评价),作者/译者： 拜伦 / 曹元勇 ,出版信息：  华夏出版社 / 2007.10.1 / 18.00元,https://book.douban.com/subject/2285465/
