书名,评分,评价人数,作者,出版社,url
人间词话,9.0,(45306人评价),作者/译者： 王国维 ,出版信息：  上海古籍出版社 / 1998-12-01 / 9.80元,https://book.douban.com/subject/1203426/
唐诗三百首,9.4,(18546人评价),作者/译者： 蘅塘退士、陈婉俊 ,出版信息：  中华书局 / 1998-1-1 / 0.65,https://book.douban.com/subject/1013267/
唐宋词十七讲,9.1,(3640人评价),作者/译者： 叶嘉莹 ,出版信息：  北京大学出版社 / 2015-5-1 / CNY 62.00,https://book.douban.com/subject/2005705/
戴老师魔性诗词课,7.6,(537人评价),作者/译者： 戴建业 ,出版信息：  北京联合出版公司 / 2020-5 / 48.00元,https://book.douban.com/subject/34996974/
半小时漫画唐诗,7.2,(5859人评价),作者/译者： 陈磊·半小时漫画团队 ,出版信息：  江苏凤凰文艺 / 2019-5-1 / 49.9,https://book.douban.com/subject/33441524/
唐诗鉴赏辞典（新一版）,9.7,(529人评价),作者/译者： 俞平伯 ,出版信息：  上海辞书出版社 / 2013-8 / 98.00元,https://book.douban.com/subject/25793097/
半小时漫画宋词,7.2,(3224人评价),作者/译者： 陈磊、半小时漫画团队 ,出版信息：  上海文艺出版社 / 2020-4 / 54.90元,https://book.douban.com/subject/35009938/
人间词话七讲,9.0,(1969人评价),作者/译者： 叶嘉莹 ,出版信息：  北京大学出版社 / 2014-5 / 39.00元,https://book.douban.com/subject/25881958/
心,9.0,(442人评价),作者/译者： [日] 夏目漱石 / 黄悦生 ,出版信息：  江苏凤凰文艺出版社 / 2021-3-30 / 45.00元,https://book.douban.com/subject/35336609/
诗词格律,8.9,(1036人评价),作者/译者： 王力 ,出版信息：  中华书局 / 2009-5-18 / 25.00元,https://book.douban.com/subject/3755149/
海子的诗,8.8,(3642人评价),作者/译者： 海子 ,出版信息：  江西人民出版社 / 2017-10 / 42.00元,https://book.douban.com/subject/27154094/
鲜衣怒马少年时-唐宋诗人的诗酒江湖,7.3,(1095人评价),作者/译者： ,出版信息： 少年怒马 著、博集天卷 出品 / 湖南文艺出版社 / 49元,https://book.douban.com/subject/34942549/
杜甫:中国最伟大的诗人,8.9,(314人评价),作者/译者： 洪业 / 曾祥波 ,出版信息：  上海古籍出版社 / 2020-5-31 / 78.00,https://book.douban.com/subject/35060214/
人间词话,9.1,(3460人评价),作者/译者： 王国维 ,出版信息：  中华书局 / 2012-7 / 19.00元,https://book.douban.com/subject/11601199/
万叶集:日本版“诗经”,8.9,(140人评价),作者/译者： 佚名、宋再新、宋方洁整理、吉田博、川濑巴水、土屋光逸、小原古邨、歌川国芳等绘 / 钱稻孙 ,出版信息：  浙江教育出版社 / 2020-12 / 98,https://book.douban.com/subject/35191815/
中国古典诗词感发,9.1,(1396人评价),作者/译者： 顾随、叶嘉莹（笔记） ,出版信息：  北京大学出版社 / 2012-6-1 / 39.00元,https://book.douban.com/subject/10796035/
六神磊磊读唐诗,7.6,(3855人评价),作者/译者： 六神磊磊 ,出版信息：  北京十月文艺出版社 / 2017-7 / 45.00元,https://book.douban.com/subject/27065497/
宋词三百首,9.4,(3087人评价),作者/译者： 武玉成，顾丛龙 注 ,出版信息：  人民文学出版社 / 2004-08 / 18.00元,https://book.douban.com/subject/1006967/
半小时漫画必背古诗词,7.1,(90人评价),作者/译者： 陈磊·半小时漫画团队 ,出版信息：  江苏凤凰文艺出版社 / 2021-3-30 / 49.9,https://book.douban.com/subject/35409610/
蒋勋说唐诗,8.2,(3462人评价),作者/译者： 蒋勋 ,出版信息：  中信出版社 / 2012-1-16 / 38.00元,https://book.douban.com/subject/10354427/
古诗词课,8.8,(449人评价),作者/译者： 叶嘉莹 ,出版信息：  生活·读书·新知三联书店 / 2018-1 / 58.00,https://book.douban.com/subject/27204933/
泰戈尔诗集,8.9,(9674人评价),作者/译者： [印] 罗宾德拉纳特·泰戈尔 / 深幻、王立 ,出版信息：  北京出版社 / 2004-7 / 25.00元,https://book.douban.com/subject/1170801/
四时之诗：蒙曼品最美唐诗,8.2,(1257人评价),作者/译者： 蒙曼 ,出版信息：  浙江文艺出版社 / 2018-4 / 45.00元,https://book.douban.com/subject/30160617/
倒卷皮,7.2,(170人评价),作者/译者： 桑格格 ,出版信息：  新星出版社 / 2021-3 / 58.00元,https://book.douban.com/subject/35368862/
唐诗鉴赏辞典,9.3,(4268人评价),作者/译者： 萧涤非、等 ,出版信息：  上海辞书出版社 / 1999-11 / 52.10元,https://book.douban.com/subject/1021990/
蒋勋说宋词（修订版）,8.2,(1896人评价),作者/译者： 蒋勋 ,出版信息：  中信出版社 / 2014-9 / 39.80元,https://book.douban.com/subject/26022052/
欧丽娟品读古诗词,8.9,(121人评价),作者/译者： 欧丽娟 ,出版信息：  北京联合出版公司 / 2020-9 / 98,https://book.douban.com/subject/35033226/
蒋勋说唐诗（修订版）,8.1,(1526人评价),作者/译者： 蒋勋 ,出版信息：  中信出版社 / 2014-9 / 39.80元,https://book.douban.com/subject/26022054/
人生若只如初见:古典诗词的美丽与哀愁,7.2,(47925人评价),作者/译者： 安意如 ,出版信息：  天津教育出版社 / 2006-8 / 23.80元,https://book.douban.com/subject/1856285/
叶嘉莹说汉魏六朝诗,9.3,(1323人评价),作者/译者： 叶嘉莹 ,出版信息：  中华书局 / 2007-1 / 49.00元,https://book.douban.com/subject/1961670/
楚辞,9.3,(1409人评价),作者/译者： 屈原 等 / 林家骊 注释 ,出版信息：  中华书局 / 2010-6 / 23.00元,https://book.douban.com/subject/4917220/
杜甫诗歌讲演录,9.2,(662人评价),作者/译者： 莫砺锋 ,出版信息：  广西师范大学出版社 / 2007-1-1 / 32.00元,https://book.douban.com/subject/2027666/
杜甫传,7.8,(829人评价),作者/译者： 冯至 ,出版信息：  人民文学出版社 / 2014-6 / 26.00元,https://book.douban.com/subject/25913916/
毛泽东诗词鉴赏,9.1,(280人评价),作者/译者： 田秉锷 编著 ,出版信息：  上海三联书店 / 2012-9 / 35.00元,https://book.douban.com/subject/11621971/
花间集:全注释彩图版,8.9,(641人评价),作者/译者： 温庭筠 韦庄等、赵崇祚【编纂】、赵佶等【插图】 ,出版信息：  三秦出版社 / 2018-7-15 / 98.00,https://book.douban.com/subject/30252866/
稼轩词编年笺注(增订本),9.4,(594人评价),作者/译者： (宋)辛弃疾 / 邓广铭 注解 ,出版信息：  上海古籍出版社 / 1993.10 / 45.00元,https://book.douban.com/subject/2226332/
程千帆古诗讲录,7.5,(27人评价),作者/译者： 张伯伟 编 ,出版信息：  人民文学出版社 / 2020-6 / 66,https://book.douban.com/subject/35080729/
浮世本来多聚散:唐诗中的21种孤独,9.0,(61人评价),作者/译者： 蔡丹君 ,出版信息：  中信出版·文艺社 / 2020-12 / 68元,https://book.douban.com/subject/35256986/
钟振振讲词,0.0,(少于10人评价),作者/译者： 钟振振 ,出版信息：  江苏凤凰文艺出版社 / 2021-4 / 58.00元,https://book.douban.com/subject/35430403/
