书名,评分,评价人数,作者,出版社,url
妹妹人生（上）,9.9,(83人评价),作者/译者： 入間人間 / 呂郁青 ,出版信息：  台灣角川 / 2017-12-20 / TWD 180,https://book.douban.com/subject/34941270/
十二國記:圖南之翼,9.7,(121人评价),作者/译者： 小野不由美 / 王蘊潔 ,出版信息：  尖端 / 2015-8-12 / NT$440,https://book.douban.com/subject/26387633/
電気サーカス,9.7,(119人评价),作者/译者： 唐辺葉介 ,出版信息：  アスキー・メディアワークス / 2013-11-21 / 1500JPY,https://book.douban.com/subject/25753309/
空の境界:theGardenofsinners(上),9.6,(83人评价),作者/译者： 奈須　きのこ ,出版信息：  講談社 / 2004 / 1000日币,https://book.douban.com/subject/2429536/
継母の連れ子が元カノだった4:ファースト・キスが布告する,9.6,(34人评价),作者/译者： ,出版信息： 紙城境介 / KADOKAWA / 2020-4-1,https://book.douban.com/subject/35032111/
重启咲良田3:机械装置的选择,9.6,(36人评价),作者/译者： 河野裕 / 张泽阳 ,出版信息：  百花洲文艺出版社 / 2018-1 / 38.00元,https://book.douban.com/subject/27662863/
聖魔之血Canon神學大全,9.6,(131人评价),作者/译者： 吉田直、THORES柴本 / 謝怡苓 ,出版信息：  台灣國際角川書店 / 2010-02-10 / NT$260,https://book.douban.com/subject/4247742/
デュラララ!!,9.5,(125人评价),作者/译者： 成田 良悟 (著)、ヤスダ スズヒト (イラスト) ,出版信息：  メディアワークス / 2004-4 / JPY 662,https://book.douban.com/subject/3683186/
妹妹人生(下),9.5,(63人评价),作者/译者： 入間人間 / 吕郁青 ,出版信息：  台灣角川 / 2018-6-7 / TWD 180,https://book.douban.com/subject/32660292/
新世界より上,9.5,(176人评价),作者/译者： 貴志祐介 ,"出版信息：  講談社 / 2008-1-24 / JPY1,995円（税込）",https://book.douban.com/subject/3001466/
凉宫春日的消失,9.4,(635人评价),作者/译者： [日] 谷川流 / 肖鹤 ,出版信息：  上海译文出版社 / 2010-12 / 16.00元,https://book.douban.com/subject/4732040/
文学少女05:绝望恸哭的信徒,9.4,(66人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25905565/
BACCANO！大騷動！03:1931特急篇TheGrandPunkRailroad,9.4,(142人评价),作者/译者： 成田良悟 ,出版信息：  台灣角川 / 2009年03月31日 / NT$180,https://book.douban.com/subject/3989206/
十二国記·東の海神·西の滄海,9.4,(330人评价),作者/译者： 小野不由美 ,出版信息：  講談社 / 1994-06 / 641円,https://book.douban.com/subject/2982624/
BLEACH死神SpiritsAreForeverWithYou2,9.3,(18人评价),作者/译者： 久保带人、成田良悟 ,出版信息：  陳顥 / 東立出版社有限公司 / NT$200,https://book.douban.com/subject/25796405/
お隣の天使様にいつの間にか駄目人間にされていた件2:关于邻家的天使大人不知不觉把我惯成了废人这档子事2,9.3,(20人评价),作者/译者： 佐伯さん、はねこと ,出版信息：  GA文库 / 2020-4-14 / 693円,https://book.douban.com/subject/35158513/
十二國記：風之萬里·黎明之空（下）,9.3,(914人评价),作者/译者： 小野不由美 / 陳惠莉 ,出版信息：  尖端出版 / 2004-08 / NT$ 320,https://book.douban.com/subject/1344966/
世界盡頭的聖騎士(01):死者之街的少年,9.3,(14人评价),作者/译者： 柳野かなた / 陳梵帆 ,出版信息：  尖端出版社 / 2017-4-20 / NT$280,https://book.douban.com/subject/34809463/
十二國記：風之萬里·黎明之空（上）,9.3,(1153人评价),作者/译者： 小野不由美 / 陳惠莉 ,出版信息：  尖端出版 / 2004-08 / NT$ 320,https://book.douban.com/subject/1344965/
空之境界（上）,9.3,(280人评价),作者/译者： 奈須磨菇 / 鄭翠婷 ,出版信息：  尖端出版 / 2010-04-16 / NT$260,https://book.douban.com/subject/4263836/
银河英雄传说-全十册,9.3,(1686人评价),作者/译者： [日]田中芳树 / 蔡美娟 ,出版信息：  北京十月文艺出版社 / 2009-11-1 / 248.00元,https://book.douban.com/subject/4737478/
重启咲良田2:魔女、回忆和红眼睛的女孩,9.3,(41人评价),作者/译者： 河野裕 / 张泽阳 ,出版信息：  百花洲文艺出版社 / 2017-9 / 35.00元,https://book.douban.com/subject/27113576/
我的青春恋爱喜剧果然有问题09,9.3,(292人评价),作者/译者： [日] 渡航 著、[日] ponkan⑧ 绘 / 青青 ,出版信息：  安徽少年儿童出版社 / 2015-1 / 22.00,https://book.douban.com/subject/26276936/
纨裤子弟第二部1,9.3,(135人评价),作者/译者： ,出版信息： 狐狸 / 威向 / 2009-01-08,https://book.douban.com/subject/3388806/
安達與島村08,9.3,(45人评价),作者/译者： 入間人間 / 蒼貓 ,出版信息：  台灣角川 / 2020-6-4 / NT$200,https://book.douban.com/subject/35221010/
特殊傳說vol.2大競技會的起始,9.3,(16人评价),作者/译者： 護玄 ,出版信息：  蓋亞文化 / 2012-6-13 / NT$250,https://book.douban.com/subject/10788317/
水仙花narcissu,9.3,(298人评价),作者/译者： 片岡とも、ごとP、いくたたかのん / 陸怡帆 ,出版信息：  東立出版社 / 2009-12-03 / NT$200,https://book.douban.com/subject/4152806/
文学少女03:沉陷过往的愚者,9.3,(60人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25905564/
錆喰いビスコ,9.2,(11人评价),作者/译者： 瘤久保 慎司 ,出版信息：  KADOKAWA / 2018-3-10 /  702,https://book.douban.com/subject/30301393/
我的青春恋爱喜剧果然有问题06,9.2,(355人评价),作者/译者： [日] 渡航 著、[日] ponkan⑧ 绘 / Dying ,出版信息：  安徽少年儿童出版社 / 2014-1-15 / 22.00,https://book.douban.com/subject/25769636/
聖魔之血RageAgainsttheMoonsI:FormtheEmpire,9.2,(256人评价),作者/译者： 吉田直 / 謝怡苓 / 台灣角川 / 2005,出版信息： 01/04 / NT$ 180,https://book.douban.com/subject/1370143/
十二國記·圖南之翼,9.2,(1465人评价),作者/译者： 小野不由美 / 米娜 ,出版信息：  尖端出版 / 2004-12 / NT$ 360,https://book.douban.com/subject/1370150/
未來都市NO.6#05,9.2,(348人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2009-11-6 / NT 199,https://book.douban.com/subject/6719089/
未來都市NO.6#08,9.2,(315人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2010-11-26 / NT 199,https://book.douban.com/subject/6719093/
君主·埃尔梅罗二世事件簿10:case.冠位决议（下）,9.2,(28人评价),作者/译者： [日本]三田诚、[日本]坂本峰地 （插画） / 何炀 ,出版信息：  四川美术出版社 / 2020-9 / 39.00元,https://book.douban.com/subject/35192022/
未來都市NO.6#04,9.2,(434人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2009-7-17 / NT 199,https://book.douban.com/subject/6719088/
未來都市NO.6#03,9.2,(410人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2009-3-6 / NT 199,https://book.douban.com/subject/6719083/
十二国記全集(下)(官方小説中文版),9.2,(224人评价),作者/译者： 小野不由美 ,出版信息：  内蒙人民出版社 / 2007 / 25.00元,https://book.douban.com/subject/1935767/
银河英雄传说,9.2,(5774人评价),作者/译者： [日] 田中芳树 / 蔡美娟 ,出版信息：  西藏人民出版社 / 2004-7-1 / 19.80元,https://book.douban.com/subject/1418999/
全金属狂潮,9.2,(423人评价),作者/译者： 贺东招二(原作)、馆尾洌(漫画) / 章泽仪 ,出版信息：  台湾角川 / 2002-6 / 52.00元,https://book.douban.com/subject/1811833/
未來都市NO.6#07,9.2,(319人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2010-7-6 / NT 199,https://book.douban.com/subject/6719092/
奇诺之旅IV:THEBEAUTIFULWORLD,9.2,(517人评价),作者/译者： 时雨泽惠一 / 庄湘萍 ,出版信息：  台湾角川 / 2004 / NT180,https://book.douban.com/subject/1439751/
お隣の天使様にいつの間にか駄目人間にされていた件３:关于邻家的天使大人不知不觉把我惯成了废人这档子事3,9.2,(15人评价),作者/译者： 佐伯さん、はねこと ,出版信息：  GA文库 / 2020-9-11 / 630円（税別）,https://book.douban.com/subject/35190591/
凉宫春日的直观,9.2,(212人评价),作者/译者： [日] 谷川流 著、[日] 伊东杂音 绘 / 清和月 ,出版信息：  北京工艺美术出版社 / 2020-11 / 38.00元,https://book.douban.com/subject/35229282/
お隣の天使様にいつの間にか駄目人間にされていた件:关于邻家的天使大人不知不觉把我惯成了废人这档子事,9.2,(50人评价),作者/译者： ,出版信息： 佐伯さん / GA文库 / 2019-6-15,https://book.douban.com/subject/34961703/
Fate／Zero（1）第四次聖杯戦争秘話,9.2,(119人评价),作者/译者： 虚淵 玄著、武内 崇絵 ,出版信息：  講談社 / 2011-1 / ¥714,https://book.douban.com/subject/5406925/
86-不存在的地域-,9.2,(52人评价),作者/译者： [日] 安里朝都、[日] Shirabii / 李俊增 ,出版信息：  中国致公出版社 / 2020-5 / 40.00,https://book.douban.com/subject/34989089/
文学少女08:迈向神境的作家下,9.2,(59人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25907850/
K-LostSmallWorld-,9.2,(51人评价),作者/译者： 壁井 ユカコ(GoRA)、鈴木 信吾(GoHands) ,出版信息：  講談社 / 2014-4-2 / JPY 1620,https://book.douban.com/subject/25857498/
Can'tFearYourOwnWorld1,9.2,(21人评价),作者/译者： ,出版信息： 久保帯人、成田良悟 / 集英社 / 2017-8-4,https://book.douban.com/subject/33446380/
伊里野的天空UFO的夏天4,9.2,(128人评价),作者/译者： 秋山瑞人 / 謝怡苓 ,出版信息：  台灣國際角川書店股份有限公司 / 2006-09-19 / NT $190,https://book.douban.com/subject/2981275/
果然我的青春戀愛喜劇搞錯了06,9.1,(122人评价),作者/译者： 渡航、ponkan8 / 涂祐庭 ,出版信息：  尖端出版社 / 2013-12-13 / NT$220,https://book.douban.com/subject/24933990/
Slayers!秀逗魔導士7：魔龍王的挑戰:少年魔法城35,9.1,(31人评价),作者/译者： 神坂一 著、Araizumi Rui 繪 / 蟲破斬 ,出版信息：  奇幻基地 / 2010年1月 / NTD220元,https://book.douban.com/subject/4213947/
奇诺之旅02,9.1,(81人评价),作者/译者： [日] 时雨泽惠一 著、[日] 黑星红白 绘 / 庄湘萍 ,出版信息：  湖南美术出版社 / 2012-5 / 20.00元,https://book.douban.com/subject/10574333/
驚爆危機21:永遠的Standbyme(上),9.1,(92人评价),作者/译者： 賀東招二、四季童子 / 劉彥琳 ,出版信息：  台灣國際角川書店 / 2011-2-1 / NT$180,https://book.douban.com/subject/5442302/
安達としまむら,9.1,(34人评价),作者/译者： 入間 人間 ,出版信息：  アスキー・メディアワークス / 2013-3-9 / JPY 557,https://book.douban.com/subject/21433057/
繼母的拖油瓶是我的前女友1:過去的戀情不肯結束,9.1,(44人评价),作者/译者： ,出版信息： [日] 紙城境介 / 可倫 / 2020-8-20,https://book.douban.com/subject/35217069/
十二國記：東之海神·西之滄海,9.1,(1110人评价),作者/译者： 小野不由美 / 陳惠莉 ,出版信息：  尖端出版 / 2004-07 / NT$ 300,https://book.douban.com/subject/1389027/
命运零点1:第四次圣杯战争秘话,9.1,(82人评价),作者/译者： [日] 虚渊玄 / 刘正仑 ,出版信息：  人民文学出版社 / 2018-1-1 / 35.00元,https://book.douban.com/subject/27156817/
炎の蜃気楼:炎の蜃気楼①,9.1,(116人评价),作者/译者： 桑原 水菜 ,出版信息：  集英社 / 1990-11-10 / JPY 480,https://book.douban.com/subject/2249414/
凉宫春日系列（套装共9册）,9.1,(510人评价),作者/译者： [日] 谷川流 著、[日] Noizi ITO 插图 / 何淼、叶娉、冯韵宁、肖鹤、刘琼、郑悦、小格、yoyo ,出版信息：  上海译文出版社 / 2011-1 / 180.00元,https://book.douban.com/subject/5393734/
奇諾之旅20:theBeautifulWorld,9.1,(13人评价),作者/译者： 時雨沢恵一、黒星紅白 / K.K. / 台灣角川 ,出版信息：  2017-5-18 / NT$190/HK$58,https://book.douban.com/subject/27085988/
驚爆危機01:當戰鬥的男孩遇上女孩,9.1,(277人评价),作者/译者： 賀東招二 / 台湾角川 / 2004,出版信息： 02/23 / NT200,https://book.douban.com/subject/3242917/
Slayers!秀逗魔導士8：死靈都市之王:少年魔法城37,9.1,(31人评价),作者/译者： 神坂一 著、Araizumi Rui 繪 / 蟲破斬 ,出版信息：  奇幻基地 / 2010年4月 / NTD220元,https://book.douban.com/subject/4746971/
吾命騎士:（卷1）騎士基本理論,9.1,(282人评价),作者/译者： ,出版信息： 御我 / 天使出版 / 229,https://book.douban.com/subject/3034422/
迈向神境的作家（下）:文学少女8,9.1,(1158人评价),作者/译者： [日] 野村美月 文、竹冈美穗 图 / 哈娜 ,出版信息：  人民文学出版社 / 2011-4 / 20.00元,https://book.douban.com/subject/6060476/
驚爆危機05:難以自豪的三冠王,9.1,(141人评价),作者/译者： 賀東招二 / 章澤儀 ,出版信息：  台湾角川 / 2006年08月01日 / NT190,https://book.douban.com/subject/3242926/
奇诺之旅II:THEBEAUTIFULWORLD,9.1,(778人评价),作者/译者： 时雨泽惠一 / 庄湘萍 ,出版信息：  台湾角川 / 2004 / NT180,https://book.douban.com/subject/1439746/
那年夏天，你打来的电话,9.1,(72人评价),作者/译者： [日] 三秋缒 / 邱钟仁 ,出版信息：  新星出版社 / 2019-12 / 36.00元,https://book.douban.com/subject/34886470/
未來都市NO.6#02,9.1,(456人评价),作者/译者： [作者] 淺野敦子、[插畫] SIBYL / 珂辰 ,出版信息：  皇冠文化出版有限公司 / 2008-12-12 / NT 199,https://book.douban.com/subject/6719074/
Can'tFearYourOwnWorld3,9.1,(18人评价),作者/译者： ,出版信息： 久保帯人、成田良悟 / 集英社 / 2018-12-9,https://book.douban.com/subject/33446388/
空之境界中,9.1,(449人评价),作者/译者： [日] 奈须蘑菇 / 郑翠婷 ,出版信息：  上海文艺出版社 / 2015-9-1 / 35.00,https://book.douban.com/subject/26428325/
聖魔之血RebornontheMarsI:悲嘆之星,9.1,(308人评价),作者/译者： 吉田直 / 謝怡苓 / 台灣角川 / 2004,出版信息： 11/01 / NT$ 180,https://book.douban.com/subject/1363915/
未來都市NO.6beyond,9.1,(18人评价),作者/译者： 淺野敦子 / 珂辰 ,出版信息：  皇冠 / 2016-4-11 / NT$199,https://book.douban.com/subject/26741853/
十二國記：月之影·影之海（下）,9.1,(1435人评价),作者/译者： 小野不由美 / 泰瑞爾 ,出版信息：  尖端出版 / 2004-01 / NT$ 200,https://book.douban.com/subject/1821476/
戰鬥司書与戀愛爆彈:戰鬥司書01,9.1,(171人评价),作者/译者： 山形石雄、前嶋重機 / 林廷健 ,出版信息：  青文出版社 / 2007-10-02 / NT$200,https://book.douban.com/subject/4743381/
奇诺之旅I:THEBEAUTIFULWORLD,9.0,(1495人评价),作者/译者： 时雨泽惠一 / 庄湘萍 ,出版信息：  台灣角川 / 2004 / NT180,https://book.douban.com/subject/1438738/
青春奇妙物语5,9.0,(199人评价),作者/译者： 两色风景 ,出版信息：  百花洲文艺出版社 / 2017-8-14 / 35.00元,https://book.douban.com/subject/27116113/
青の軌跡（上）Eclipseromance:青之軌跡系列No.1,9.0,(64人评价),作者/译者： 久能千明、沖麻実也 ,出版信息：  桜桃書房 / 1995-01 / 897,https://book.douban.com/subject/3163698/
TheBook―jojo’sbizarreadventure4thanotherday,9.0,(1192人评价),作者/译者： 乙一、荒木飛呂彦 ,出版信息：  集英社 / 2007-11-26 / JPY 1575,https://book.douban.com/subject/2300479/
来自新世界（上下）,9.0,(8976人评价),作者/译者： [日] 贵志祐介 / 丁丁虫 ,出版信息：  上海译文出版社 / 2014-4 / 88.00,https://book.douban.com/subject/25752955/
十二國記：月之影·影之海（上）,9.0,(1845人评价),作者/译者： 小野不由美 / 泰瑞爾 ,出版信息：  尖端出版 / 2004-02 / NT$ 200,https://book.douban.com/subject/1422079/
空之境界:未来福音,9.0,(33人评价),作者/译者： [日]奈须蘑菇 / 涂佑庭 ,出版信息：  人民文学出版社 / 2019-8 / 39.00元,https://book.douban.com/subject/30248287/
BLEACHSpiritsAreForeverWithYouⅠ,9.0,(30人评价),作者/译者： 久保 帯人、成田 良悟 ,出版信息：  集英社 / 2012-6-4 / JPY 680,https://book.douban.com/subject/10600826/
無頭騎士異聞錄DuRaRaRa!!01,9.0,(1719人评价),作者/译者： 成田良悟 / 台湾角川 / 2008,出版信息： 08/28 / NT220,https://book.douban.com/subject/3242948/
银河英雄传说VOL.1黎明篇,9.0,(3098人评价),作者/译者： [日]田中芳树 / 蔡美娟 ,出版信息：  北京十月文艺出版社 / 2006-7 / 24.80元,https://book.douban.com/subject/1812215/
文學少女（05）:絕望慟哭的信徒,9.0,(1372人评价),作者/译者： 野村美月 ,出版信息：  尖端出版社 / 2008-11-13 / NT$200,https://book.douban.com/subject/3279031/
十二國記：白銀之墟玄之月,9.0,(64人评价),作者/译者： 小野不由美 / 王蘊潔 ,出版信息：  尖端 / 2020-2-5 / NTD420.00,https://book.douban.com/subject/34909861/
文学少女02:渴求真爱的幽灵,9.0,(70人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25905555/
我的青春恋爱喜剧果然有问题08,9.0,(301人评价),作者/译者： [日] 渡航 著、[日] ponkan⑧ 绘 / 青青 ,出版信息：  安徽少年儿童出版社 / 2014-6-1 / 22.00,https://book.douban.com/subject/25889904/
文学少女07:迈向神境的作家上,9.0,(57人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25905562/
文学少女04:背负污名的天使,9.0,(62人评价),作者/译者： [日] 野村美月 ,出版信息：  哈娜 / 上海文艺出版社 / 2014-8,https://book.douban.com/subject/25905563/
離別的鋼琴奏鳴曲04,9.0,(114人评价),作者/译者： 杉井光、植田亮 / 陳書萍 ,出版信息：  台灣角川 / 2010-05-26 / NT$220,https://book.douban.com/subject/4739489/
