书名,评分,评价人数,作者,出版社,url
在国家与社会之间:明清广东地区里甲赋役制度与乡村社会（增订版）,9.9,(34人评价),作者/译者： 刘志伟 ,出版信息：  北京师范大学出版社 / 2021-1-1 / 98.00元,https://book.douban.com/subject/35237281/
风的女儿:二战德国女飞行员的交错人生,9.7,(24人评价),作者/译者： [英]克莱尔•马利（Clare Mully） / 姜洁 ,出版信息：  生活·读书·新知三联书店 / 2021-3-31 / 78,https://book.douban.com/subject/35048542/
中外旧约章汇编,9.7,(18人评价),作者/译者： ,出版信息： 王铁崖（编） / 生活·读书·新知三联书店 / 1957年9月,https://book.douban.com/subject/4105937/
筚路维艰:中国社会主义路径的五次选择,9.6,(1595人评价),作者/译者： 萧冬连 ,出版信息：  社会科学文献出版社 / 2014-10-1 / CNY 45.00,https://book.douban.com/subject/26171466/
中国近代思想家文库·杜亚泉卷:中国近代思想家文库,9.6,(18人评价),作者/译者： 周月峰、杜亚泉 ,出版信息：  中国人民大学出版社 / 2014-6 / 84.00,https://book.douban.com/subject/25921125/
实践与理论:中国社会、经济与法律的历史与现实研究,9.6,(51人评价),作者/译者： 黄宗智 ,出版信息：  法律出版社 / 2015-9-1 / CNY 110.00,https://book.douban.com/subject/26657828/
中国近世财政史研究,9.6,(25人评价),作者/译者： [日]岩井茂树 / 付勇 ,出版信息：  江苏人民出版社 / 2020-11 / 78.00,https://book.douban.com/subject/35222039/
被规训的叙事:十七年农业合作化题材小说研究,9.6,(32人评价),作者/译者： 林霆 ,出版信息：  北岳文艺出版社 / 2014-3 / 58.00元,https://book.douban.com/subject/25854524/
胡适文集:全12册,9.5,(190人评价),作者/译者： 胡适 / 欧阳哲生 编 ,出版信息：  北京大学出版社 / 2013-11-7 / 1180.00,https://book.douban.com/subject/24878449/
中国近代史:你一定爱读的极简近代史,9.5,(34人评价),作者/译者： 蒋廷黻 ,出版信息：  中国法制出版社 / 2016-7-20 / 39.80,https://book.douban.com/subject/26820888/
争夺欧洲霸权的斗争:1848-1918,9.5,(47人评价),作者/译者： [英]A.J.P.泰勒 / 沈苏儒 ,出版信息：  商务印书馆 / 2019-9-1 / 150元,https://book.douban.com/subject/34441052/
