书名,评分,评价人数,作者,出版社,url
信息简史,8.7,(2688人评价),作者/译者： [美] 詹姆斯·格雷克 / 高博 ,出版信息：  人民邮电出版社 / 2013-11-1 / 69.00元,https://book.douban.com/subject/25752043/
通信之道——从微积分到5G,8.6,(167人评价),作者/译者： 杨学志 编著 ,出版信息：  电子工业出版社 / 2016-2 / 79,https://book.douban.com/subject/26743649/
信息论基础,9.1,(184人评价),作者/译者： [美]ThomasM.Cove / 阮吉寿、张华 ,出版信息：  机械工业出版社 / 2008-1 / 58.00元,https://book.douban.com/subject/2305237/
大话通信（第2版）,8.1,(20人评价),作者/译者： 杨波、王元杰、周亚宁 ,出版信息：  人民邮电出版社 / 2019-6 / 119.00元,https://book.douban.com/subject/33477032/
PrinciplesofDigitalCommunication,9.8,(26人评价),作者/译者： Robert G. Gallager ,出版信息：  Cambridge University Press / 2008-3-24 / USD 99.99,https://book.douban.com/subject/3228144/
大话无线通信,8.3,(401人评价),作者/译者： 丁奇 ,出版信息：  人民邮电出版社 / 2010-1 / 45.00元,https://book.douban.com/subject/4199502/
深入浅出通信原理,8.4,(77人评价),作者/译者： 陈爱军 ,出版信息：  清华大学出版社 / 2017-12-22 / CNY 89.00,https://book.douban.com/subject/30208944/
实用数字信号处理:从原理到应用,9.5,(38人评价),作者/译者： [美] Steven W. Smith / 张瑞峰、詹敏晶 ,出版信息：  人民邮电出版社 / 2010-12 / 85.00元,https://book.douban.com/subject/5362028/
5GNR标准：下一代无线通信技术:下一代无线通信技术,9.1,(47人评价),作者/译者： [瑞典]埃里克•达尔曼（Erik Dahlman）、斯特凡•巴克浮（Stefan Parkvall）、约翰•舍尔德（Johan Sk?ld） / 朱怀松、王剑、刘阳 ,出版信息：  机械工业出版社 / 2019-5-1 / 119,https://book.douban.com/subject/33439392/
业余无线电通信（第四版）,8.8,(28人评价),作者/译者： 童效勇、陈方 ,出版信息：  人民邮电出版社 / 2015-6-1 / 50.00,https://book.douban.com/subject/26654413/
WirelessCommunications,8.7,(41人评价),作者/译者： Andrea Goldsmith ,出版信息：  Cambridge University Press / 2005-8-8 / USD 94.99,https://book.douban.com/subject/2878720/
通信原理（第7版）,7.0,(38人评价),作者/译者： 樊昌信、曹丽娜 ,出版信息：  国防工业出版社 / 2012-11-1 / 58.00元,https://book.douban.com/subject/25834772/
射频和无线技术入门,8.1,(65人评价),作者/译者： 韦斯曼 / 刘志华 ,出版信息：  清华大学出版社 / 2005-6 / 29.80元,https://book.douban.com/subject/1392977/
TCP/IP路由技术（第一卷）（第二版）,9.3,(132人评价),作者/译者： （美）多伊尔，（美）卡罗尔 / 葛建立、吴剑章 ,出版信息：  人民邮电出版社 / 2007-1 / 99.00元,https://book.douban.com/subject/1953827/
数字通信:基础与应用,8.7,(52人评价),作者/译者： [美]Bernard Sklar / 徐平平 ,出版信息：  电子工业出版社 / 2002-9 / 69.00元,https://book.douban.com/subject/1101949/
两地书,8.8,(56人评价),作者/译者： 鲁迅、许广平 ,出版信息：  天津人民出版社 / 2019-12 / 39.80元,https://book.douban.com/subject/34861228/
数学之美,8.7,(11573人评价),作者/译者： 吴军 ,出版信息：  人民邮电出版社 / 2012-5-1 / 45.00元,https://book.douban.com/subject/10750155/
FundamentalsofWirelessCommunication,9.2,(56人评价),作者/译者： David Tse、Pramod Viswanath ,出版信息：  Cambridge University Press / 2005-7-11 / USD 92.00,https://book.douban.com/subject/1859351/
离散时间信号处理（第3版）,9.0,(34人评价),作者/译者： Alan V.Oppenheim、Ronald W. Schafer / 黄建国、刘树棠、张国梅 ,出版信息：  电子工业出版社 / 2015-1-1 / 109.00元,https://book.douban.com/subject/26307919/
数字通信:DigitalCommunications5thEdition,9.1,(45人评价),作者/译者： 普罗科斯 ,出版信息：  电子工业出版社 / 2009-5 / 89.00元,https://book.douban.com/subject/3777361/
无线通信,8.7,(79人评价),作者/译者： 哥德史密斯 / 杨鸿文 ,出版信息：  人民邮电出版社 / 2007-6 / 69.00元,https://book.douban.com/subject/2122726/
大话通信:通信基础知识读本,7.5,(357人评价),作者/译者： 杨波、周亚宁 ,出版信息：  人民邮电出版社 / 2009-5 / 42.00元,https://book.douban.com/subject/3671502/
5G+：5G如何改变社会,6.5,(266人评价),作者/译者： 李正茂、王晓云、张同须 ,出版信息：  中信出版社 / 2019-8-1 / 69.00元,https://book.douban.com/subject/34805583/
FreeSWITCH权威指南,8.5,(16人评价),作者/译者： 杜金房、张令考 ,出版信息：  机械工业出版社华章公司 / 2014-6-1 / 129元,https://book.douban.com/subject/25902109/
3GUMTS与4GLTE核心网,0.0,(少于10人评价),作者/译者： ,出版信息： 庞韶敏 / 2011-8 / 59.00元,https://book.douban.com/subject/6787105/
移动通信系统,0.0,(少于10人评价),作者/译者： 张乃通 ,出版信息：  哈工大 / 2001-9 / 28.00元,https://book.douban.com/subject/1111077/
信号检测与估计理论:信号检测与估计理论,0.0,(18人评价),作者/译者： 赵树杰赵建勋 ,出版信息：  清华大学出版社 / 2005-11 / 46.00元,https://book.douban.com/subject/1448497/
大话移动通信网络规划,0.0,(少于10人评价),作者/译者： 马华兴、董江波 ,出版信息：  人民邮电出版社 / 2019-8-1 / 99.00元,https://book.douban.com/subject/34677812/
大话传送网,9.1,(24人评价),作者/译者： 贺春雨、易宇 ,出版信息：  人民邮电出版社 / 2016-2-1 / 49,https://book.douban.com/subject/26779704/
漫话IP:TCP/IP基础知识读本,6.4,(37人评价),作者/译者： ,出版信息： 人民邮电出版社 / 2012-10 / 49.00元,https://book.douban.com/subject/19952190/
天下:中国通信史记,7.9,(26人评价),作者/译者： ,出版信息： 年志勇 / 2008-7 / 30.00元,https://book.douban.com/subject/3185221/
4G移动通信技术权威指南:LTE与LTE-Advanced,6.4,(18人评价),作者/译者： [瑞典] Erik Dahlman / [瑞典] Stefan Parkvall、[瑞典] Johan Sk?ld ,出版信息：  人民邮电出版社 / 2012-5 / 79.00元,https://book.douban.com/subject/10602568/
5G移动通信系统:从演进到革命,0.0,(11人评价),作者/译者： 刘光毅、方敏、关皓、李云岗、孙程君 ,出版信息：  人民邮电出版社 / 2016-11 / 69.00元,https://book.douban.com/subject/26945105/
统计信号处理基础,9.5,(14人评价),作者/译者： 凯 ,出版信息：  电子工业出版社 / 2011-2 / 99.00元,https://book.douban.com/subject/6000212/
FundamentalsofLTE,0.0,(少于10人评价),作者/译者： ,"出版信息： Ghosh, Arunabha; Muhamed, Rias; Zhang, Jun / 2010-9 / 606.00元",https://book.douban.com/subject/5467222/
信号与系统,9.0,(266人评价),作者/译者： Alan V.Oppenheim、Alan S.Willsky、S.Hamid Nawab ,出版信息：  电子工业出版社 / 2002-8 / 59.00元,https://book.douban.com/subject/1101417/
信号与系统:信号与系统,9.7,(139人评价),作者/译者： Alan V. Oppenheim、Alan S. Willsky / 刘树棠 ,出版信息：  电子工业出版社 / 2013-1 / 69.00元,https://book.douban.com/subject/21359219/
数字通信(第5版),0.0,(少于10人评价),作者/译者： John G. Proakis、Masoud Salchi / 张力军、张宗橙、宋荣方、曹士坷 ,出版信息：  电子工业出版社 / 2018-12 / 168元,https://book.douban.com/subject/33245816/
"TheDatacenterasaComputer:AnIntroductiontotheDesignofWarehouse-ScaleMachines,Secondedition",0.0,(少于10人评价),作者/译者： ,出版信息： Luiz André Barroso、Jimmy Clidaras、Urs Hölzle / 2013-7,https://book.douban.com/subject/3716732/
高频电子线路,7.9,(17人评价),作者/译者： 张肃文 编 ,出版信息：  高等教育 / 2009-5 / 50.10元,https://book.douban.com/subject/3813507/
手机战争:一部关于芯片、5G通信和互联网等信息产业的商业帝国史,8.9,(45人评价),作者/译者： 余盛 ,出版信息：  华中科技大学出版社 / 2020-11-10 / 68.00元,https://book.douban.com/subject/35229316/
