书名,评分,评价人数,作者,出版社,url
艺术的故事,9.6,(18485人评价),作者/译者： [英] 贡布里希 (Sir E.H.Gombrich) / 范景中、杨成凯 ,出版信息：  广西美术出版社 / 2008-04 / 280.00,https://book.douban.com/subject/3162991/
城南旧事,9.1,(18545人评价),作者/译者： 林海音 ,出版信息：  人民文学出版社 / 2008-5 / 13.00元,https://book.douban.com/subject/3057333/
藏传佛教绘画史,9.1,(154人评价),作者/译者： 于小冬 ,出版信息：  江苏美术出版社 / 2006-1 / 68.00元,https://book.douban.com/subject/1820965/
NANA（1-13）,9.1,(17990人评价),作者/译者： [日] 矢泽爱 ,出版信息：  内蒙古人民出版社 / 2005-9 / 84.50元,https://book.douban.com/subject/1474842/
商店照明,9.1,(487人评价),作者/译者： 陆燕、姚梦明 ,出版信息：  复旦大学出版社 / 2004-11 / 17.00元,https://book.douban.com/subject/1614439/
霸王别姬,9.1,(16767人评价),作者/译者： 李碧华 ,出版信息：  人民文学出版社 / 1999-1 / 10.20元,https://book.douban.com/subject/1088711/
小王子,9.0,(635583人评价),作者/译者： [法] 圣埃克苏佩里 / 马振聘 ,出版信息：  人民文学出版社 / 2003-8 / 22.00元,https://book.douban.com/subject/1084336/
世界哲学史,9.0,(201人评价),作者/译者： (德)汉斯·约阿西姆·施杜里希 / 吕叔君 ,出版信息：  山东画报出版社 / 2006-11 / 72.00元,https://book.douban.com/subject/1956018/
霍乱时期的爱情,9.0,(213281人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 杨玲 ,出版信息：  南海出版公司 / 2012-9-1 / 39.50元,https://book.douban.com/subject/10594787/
寻路中国:从乡村到工厂的自驾之旅,9.0,(45573人评价),作者/译者： [美] 彼得·海斯勒 / 李雪顺 ,出版信息：  上海译文出版社 / 2011-1 / 33.00元,https://book.douban.com/subject/5414391/
明朝那些事儿（贰）:万国来朝,8.9,(54147人评价),作者/译者： 当年明月 ,出版信息：  中国友谊出版公司 / 2007-1 / 24.80,https://book.douban.com/subject/1949338/
内在的天空:占星学入门,8.9,(3516人评价),作者/译者： [美] 斯蒂芬‧福裡斯特（Steven Forrest） / 郭宇 ,出版信息：  云南人民出版社 / 2012-3 / 42.00元,https://book.douban.com/subject/10546850/
嫌疑人X的献身,8.9,(450175人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2008-9 / 28.00,https://book.douban.com/subject/3211779/
万历十五年,8.9,(161114人评价),作者/译者： [美] 黄仁宇 ,出版信息：  生活·读书·新知三联书店 / 1997-5 / 18.00元,https://book.douban.com/subject/1041482/
三体:“地球往事”三部曲之一,8.8,(401924人评价),作者/译者： 刘慈欣 ,出版信息：  重庆出版社 / 2008-1 / 23.00,https://book.douban.com/subject/2567698/
梦里花落知多少,8.8,(22270人评价),作者/译者： 三毛 ,出版信息：  哈尔滨出版社 / 2003-8 / 15.80元,https://book.douban.com/subject/1082398/
看见,8.8,(297164人评价),作者/译者： 柴静 ,出版信息：  广西师范大学出版社 / 2013-1-1 / 39.80元,https://book.douban.com/subject/20427187/
青铜时代:时代三部曲,8.7,(22442人评价),作者/译者： 王小波 ,出版信息：  花城出版社 / 1997-5 / 29.00元,https://book.douban.com/subject/1085883/
N.世界:五周年纪念版,8.7,(113人评价),作者/译者： 年年、郭敬明 ,出版信息：  长江文艺出版社 / 2013-5-10 / 45.00元,https://book.douban.com/subject/23860406/
下垂眼,8.7,(5093人评价),作者/译者： 王小立 ,出版信息：  长江文艺出版社 / 2010-3 / 10.00元,https://book.douban.com/subject/4324975/
圣传,8.7,(10807人评价),作者/译者： CLAMP ,出版信息：  角川書店 / 1990-2-10 / 4.20X10,https://book.douban.com/subject/2285572/
小姨多鹤,8.6,(29425人评价),作者/译者： 严歌苓 ,出版信息：  作家出版社 / 2008-4 / 28.00元,https://book.douban.com/subject/3012517/
我不是完美小孩,8.6,(2288人评价),作者/译者： 幾米 ,出版信息：  大塊文化 / 2010-7-1 / NT$280,https://book.douban.com/subject/4862350/
走向春天的下午,8.6,(5458人评价),作者/译者： 幾米 ,出版信息：  现代出版社 / 2010 / 45.00元,https://book.douban.com/subject/5243268/
風華絕色複製畫集—綰青絲,8.6,(83人评价),作者/译者： ,出版信息： 平凡、陳淑芬 / 臺灣東販 / 2001,https://book.douban.com/subject/1821283/
我的路,8.6,(27159人评价),作者/译者： 寂地 ,出版信息：  北方妇女儿童出版社 / 2004-10 / 20.00元,https://book.douban.com/subject/1431836/
学会提问:批判性思维指南,8.6,(5851人评价),作者/译者： 布朗 / 赵玉芳、向景辉 ,出版信息：  中国轻工业出版社 / 2006-1 / 18.00元,https://book.douban.com/subject/1504957/
WolfTotem,8.5,(394人评价),作者/译者： Jiang Rong / Howard Goldblatt ,出版信息：  Penguin / 2008-3 / 96.00元,https://book.douban.com/subject/3001863/
追随她的旅程,8.5,(6111人评价),作者/译者： 路内 ,出版信息：  中信出版社 / 2009-1 / 25.00,https://book.douban.com/subject/3406518/
北风后面的国家:北风后面的国家,8.5,(50人评价),作者/译者： [英]金斯莱 / 于雪桐 ,出版信息：  南海出版公司 / 1997-9 / 11.90元,https://book.douban.com/subject/1111400/
文艺风象·消夏,8.5,(1636人评价),作者/译者： ,出版信息： 落落 / 2011-7-15 / 18,https://book.douban.com/subject/6727877/
如果声音不记得,8.5,(4835人评价),作者/译者： 高长梅 主编、武卿、刘七平 编选 ,出版信息：  未来出版社 / 2010-1 / 23.30元,https://book.douban.com/subject/4289265/
伊斯坦布尔:一座城市的记忆,8.4,(10819人评价),作者/译者： [土耳其] 奥尔罕·帕慕克 / 何佩桦 ,出版信息：  上海人民出版社 / 2007-3 / 36.00元,https://book.douban.com/subject/2042063/
这些都是你给我的爱2:这些都是你给我的爱Ⅱ,8.4,(14879人评价),作者/译者： 安东尼、echo ,出版信息：  长江文艺出版社 / 2012-8-10 / 32.80元,https://book.douban.com/subject/11527101/
爸爸爱喜禾:犬子在，不远游,8.4,(6687人评价),作者/译者： 蔡春猪 ,出版信息：  新星出版社 / 2011-7-5 / 18.00元,https://book.douban.com/subject/6709834/
透明的哀伤:席慕蓉文集典藏版,8.3,(4350人评价),作者/译者： 席慕蓉 ,出版信息：  南海出版公司 / 2003-08 / 20.00,https://book.douban.com/subject/1048441/
天鹅4·永夜,8.3,(565人评价),作者/译者： 恒殊 ,出版信息：  长江文艺出版社 / 2013-8 / 29.80元,https://book.douban.com/subject/24857335/
这些都是你给我的爱,8.3,(61014人评价),作者/译者： 文：安东尼、图：echo ,出版信息：  长江文艺出版社 / 2010-3 / 24.80元,https://book.douban.com/subject/4714734/
那些生命中温暖而美好的事情,8.3,(21839人评价),作者/译者： 落落 ,出版信息：  黑龙江美术出版社 / 2005-11 / 22.80元,https://book.douban.com/subject/1440089/
陪安东尼度过漫长岁月,8.3,(64830人评价),作者/译者： 安东尼 ,出版信息：  长江文艺出版社 / 2008-3 / 18.00,https://book.douban.com/subject/3014576/
建筑，从那一天开始,8.3,(424人评价),作者/译者： [日] 伊东丰雄 / 李敏 ,出版信息：  广西师范大学出版社 / 2017-8-1 / 58.00,https://book.douban.com/subject/27069751/
文艺风象·TA和TA的猫,8.3,(1089人评价),作者/译者： 落落 ,出版信息：  长江文艺出版社 / 2011-9-15 / 18,https://book.douban.com/subject/6855851/
三四郎,8.3,(2897人评价),作者/译者： [日]夏目漱石 / 吴树文 ,出版信息：  上海译文出版社 / 2010-7 / 26.00元,https://book.douban.com/subject/4282049/
1Q84BOOK1:4月～6月,8.3,(115485人评价),作者/译者： [日] 村上春树 / 施小炜 ,出版信息：  南海出版公司 / 2010-5 / 36.00元,https://book.douban.com/subject/4742918/
橙:陪安东尼度过漫长岁月Ⅱ,8.2,(38126人评价),作者/译者： 安东尼 ,出版信息：  长江文艺出版社 / 2010-10 / 28.80元,https://book.douban.com/subject/5327697/
文艺风象·去看你的演唱会,8.2,(1496人评价),作者/译者： 落落主编 ,出版信息：  长江文艺出版社 / 2012-3-18 / 16.80元,https://book.douban.com/subject/10562386/
天亮说晚安,8.2,(87人评价),作者/译者： Liar ,出版信息：  四川文艺出版社 / 2002-5 / 14.00元,https://book.douban.com/subject/1806718/
大地之灯,8.2,(37307人评价),作者/译者： 七堇年 ,出版信息：  长江文艺出版社 / 2007-1 / 22.00元,https://book.douban.com/subject/1963310/
微光世界:微光世界,8.2,(2605人评价),作者/译者： 小皇(绘)、郭敬明 落落 笛安等(文案) ,出版信息：  长江文艺出版社 / 2010年 / 36.80元,https://book.douban.com/subject/4894562/
我不要你死于一事无成:给女儿的17封告别信,8.1,(9200人评价),作者/译者： [阿富汗] 法齐娅·库菲 / 章忠建 ,出版信息：  中信出版社 / 2012-6 / 28.00元,https://book.douban.com/subject/10598170/
文艺风象·照相机是恋人,8.1,(1272人评价),作者/译者： 落落 主编 ,出版信息：  长江文艺出版社 / 2012-1 / 16.80元,https://book.douban.com/subject/10437170/
大梦,8.1,(2345人评价),作者/译者： 猫某人 ,出版信息：  长江文艺出版社 / 2009-7 / 19.80元,https://book.douban.com/subject/3825659/
文艺风象·零嘴儿,8.1,(849人评价),作者/译者： 落落主编 ,出版信息：  长江文艺出版社 / 2012-2-1 / 16.80元,https://book.douban.com/subject/10522600/
时间旅行者的妻子,8.1,(40698人评价),作者/译者： [美] 奥德丽·尼芬格 / 夏金、安璘 ,出版信息：  人民文学出版社 / 2007-4 / 29.90元,https://book.douban.com/subject/2056749/
文艺风赏·失败者之书,8.1,(828人评价),作者/译者： 笛安 主编 ,出版信息：  长江文艺出版社 / 2011-4 / 18.00元,https://book.douban.com/subject/6067966/
天鹅·光源,8.1,(2086人评价),作者/译者： 恒殊 ,出版信息：  长江文艺出版社 / 2011-6-1 / 24.80元,https://book.douban.com/subject/6394238/
最后一只猫,8.1,(663人评价),作者/译者： 张喵喵 ,出版信息：  长江文艺出版社 / 2011-6 / 26.80元,https://book.douban.com/subject/6430234/
原谅我红尘颠倒,8.0,(9625人评价),作者/译者： 慕容雪村 ,出版信息：  珠海出版社 / 2008-10 / 25.00元,https://book.douban.com/subject/3274851/
青春白恼会4:摇滚特工队,8.0,(397人评价),作者/译者： 千魇、阿敏、爱礼丝 ,出版信息：  长江文艺出版社 / 2010-8 / 10.00元,https://book.douban.com/subject/4831219/
遇见未知的自己,8.0,(74956人评价),作者/译者： 张德芬 ,出版信息：  华夏出版社 / 2008-1 / 29.00,https://book.douban.com/subject/2340100/
妩媚航班,8.0,(6019人评价),作者/译者： 笛安 ,出版信息：  长江文艺出版社 / 2012-12-20 / 28.80元,https://book.douban.com/subject/20424609/
世间的盐,8.0,(10452人评价),作者/译者： 高军 ,出版信息：  中国华侨出版社 / 2012-5 / 32.00元,https://book.douban.com/subject/10607710/
飞蛾特快,8.0,(910人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2012-3 / 36.00元,https://book.douban.com/subject/7050981/
青春白恼会2:少年相对论,8.0,(705人评价),作者/译者： 千魇、爱礼丝、阿敏 ,出版信息：  长江文艺出版社 / 2010-3 / 10.00元,https://book.douban.com/subject/4722280/
文艺风赏.流言,7.9,(78人评价),作者/译者： 笛安 主编 ,出版信息：  长江文艺出版社 / 2012-11-15 / 16.80,https://book.douban.com/subject/20411257/
文艺风赏·英雄主义:英雄主义,7.9,(284人评价),作者/译者： 笛安、hansey ,出版信息：  长江文艺出版社 / 2011-12-18 / 18,https://book.douban.com/subject/7564402/
西决,7.9,(57035人评价),作者/译者： 笛安 ,出版信息：  长江文艺出版社 / 2009-3 / 22.80元,https://book.douban.com/subject/3598313/
年华是无效信,7.9,(10198人评价),作者/译者： 落落 ,出版信息：  长江文艺出版社 / 2010-04-18 / 24.80元,https://book.douban.com/subject/4746554/
文艺风象·毕业即胜利,7.9,(955人评价),作者/译者： 落落主编 ,出版信息：  长江文艺出版社 / 2012-6-1 / 16.80元,https://book.douban.com/subject/10774185/
最漫画·山海号,7.9,(84人评价),作者/译者： 郭敬明 主编 ,出版信息：  长江文艺出版社 / 2011-1-26 / 10.00元,https://book.douban.com/subject/5915717/
