书名,评分,评价人数,作者,出版社,url
天龙八部,9.1,(112636人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 96.00元,https://book.douban.com/subject/1255625/
笑傲江湖（全四册）,9.0,(95896人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1002299/
神雕侠侣,8.9,(86929人评价),作者/译者： 金庸 / 有1996年11月北平第4次印本 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1255624/
射雕英雄传（全四册）,9.0,(71273人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1999-04 / 47.00元,https://book.douban.com/subject/1044547/
倚天屠龙记(共四册),8.6,(53513人评价),作者/译者： 金庸 ,出版信息：  三联书店 / 1999-04 / 47.00,https://book.douban.com/subject/1070851/
天龙八部,9.5,(5136人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2011-11 / 123.00元,https://book.douban.com/subject/6969074/
鹿鼎记（全五册）,8.8,(49108人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 108.00元,https://book.douban.com/subject/1212893/
射雕英雄传,9.1,(20570人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 76.80元,https://book.douban.com/subject/1789837/
鹿鼎记,9.0,(14575人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 96.00元,https://book.douban.com/subject/1559310/
倚天屠龙记,8.8,(19181人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994年5月 / 76.80,https://book.douban.com/subject/1789841/
笑傲江湖（全四册）,9.3,(5961人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 86.00元,https://book.douban.com/subject/1212910/
笑傲江湖,9.3,(4499人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2011-11 / 98.00元,https://book.douban.com/subject/4832584/
白马啸西风,7.6,(21601人评价),作者/译者： ,出版信息： 金庸 / 海口-南海出版社 / 1993-11,https://book.douban.com/subject/1793132/
神雕侠侣（全四册）,9.1,(6079人评价),作者/译者： 金庸 ,出版信息：  广州出版社 花城出版社 / 2008-3 / 86.00元,https://book.douban.com/subject/1212908/
侠客行,7.4,(13982人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 38.00元,https://book.douban.com/subject/1789842/
连城诀,8.4,(1398人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2012-8 / 25.00元,https://book.douban.com/subject/6969096/
射雕英雄传,9.1,(3250人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2013-4 / 96.00元,https://book.douban.com/subject/10466059/
倚天屠龙记,8.9,(2511人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2012-8 / 96.00元,https://book.douban.com/subject/10466761/
碧血剑,7.4,(9680人评价),作者/译者： 金庸 ,出版信息：  生活.读书.新知三联书店 / 1994-05 / 38.0,https://book.douban.com/subject/1058956/
连城诀,7.7,(20632人评价),作者/译者： 金庸 ,出版信息：  三联书店 / 1999-04 / 12.00,https://book.douban.com/subject/1076045/
"越女剑:BeautifulRooms,InspiringStories",7.2,(4868人评价),作者/译者： 金庸 ,出版信息：  Simon & Schuster / 2008-09-09 / USD 25.00,https://book.douban.com/subject/3211103/
雪山飞狐,7.6,(20771人评价),作者/译者： 金庸 ,出版信息：  三联书店 / 1999-04 / 12.00元,https://book.douban.com/subject/1068308/
神雕侠侣,9.1,(1679人评价),作者/译者： 金庸 ,出版信息：  廣州出版社 / 2011-11 / 88.元,https://book.douban.com/subject/4116115/
书剑恩仇录:（1996年11月北京第4次印刷）,7.2,(9722人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 38.00,https://book.douban.com/subject/1442037/
雪山飞狐,8.2,(1410人评价),作者/译者： 金庸 ,出版信息：  广州出版社 / 2012-8 / 25.00元,https://book.douban.com/subject/6969097/
书剑恩仇录,7.4,(1566人评价),作者/译者： 金庸 / 2011年11月第1版  2013年4月第2版 ,出版信息：  广州出版社 / 2011-11-1 / 798.00,https://book.douban.com/subject/6969088/
飞狐外传,7.7,(14288人评价),作者/译者： 金庸 ,出版信息：  三联书店 / 1999-04 / 23.00元,https://book.douban.com/subject/1052380/
连城诀,7.9,(5336人评价),作者/译者： 金庸 ,出版信息：  生活·读书·新知三联书店 / 1994-5 / 18.60元,https://book.douban.com/subject/1442035/
