书名,评分,评价人数,作者,出版社,url
ACourseinEconometrics,10.0,(35人评价),作者/译者： Arthur S. Goldberger ,出版信息：  Harvard University Press / 1991-04-15 / USD 73.00,https://book.douban.com/subject/2779499/
应用公司财务:（第三版）,9.8,(25人评价),作者/译者： 阿斯沃思·达摩达兰 / 芮萌、张逸民 ,出版信息：  中国人民大学出版社 / 2012-7 / 88.00元,https://book.douban.com/subject/11529166/
投资者养成指南（一）,9.8,(129人评价),作者/译者： 张志雄 ,出版信息：  香港萬里路出版社 / 2020-9 / 87,https://book.douban.com/subject/35220162/
FinancialModeling,9.8,(77人评价),作者/译者： Simon Benninga ,出版信息：  The MIT Press / 2008-1-8 / USD 92.00,https://book.douban.com/subject/2793153/
TheNewLombardStreet:HowtheFedBecametheDealerofLastResort,9.7,(15人评价),作者/译者： Perry Mehrling ,出版信息：  Princeton University Press / 2010-11-8 / USD 32.50,https://book.douban.com/subject/4741440/
金融随机分析（共2册）:二叉树资产定价模型,9.7,(183人评价),作者/译者： 史蒂文 E.施里夫 / 陈启宏、陈迪华 ,出版信息：  上海财经大学出版社 / 2008-10 / 72.00元,https://book.douban.com/subject/3369848/
宏观经济学（第九版）,9.6,(333人评价),作者/译者： [美] N·格里高利·曼昆 / 卢远瞩 ,出版信息：  中国人民大学出版社 / 2016-8-1 / 79.00元,https://book.douban.com/subject/26887927/
天下货币—美元霸权的突破与终结,9.6,(110人评价),作者/译者： ,出版信息： ,https://book.douban.com/subject/35396045/
投资者文摘:内部刊物,9.6,(29人评价),作者/译者： 张志雄、《Value》杂志社编辑 ,出版信息：  《Value》杂志社 / 2006-1-1 / 50,https://book.douban.com/subject/11520648/
史瓦格期貨基本分析:SchwageronFutures:FundamentalAnalysis,9.6,(36人评价),作者/译者： Jack D. Schwager / 寰宇財務顧問公司 ,出版信息：  John Wiley ＆ Sons / 1998年7月 / 480元,https://book.douban.com/subject/1370755/
经济学原理（第7版）:微观经济学分册,9.6,(1387人评价),作者/译者： [美] 格里高里·曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2015-5 / CNY 72.00,https://book.douban.com/subject/26388289/
蒙代尔经济学文集(1-6),9.6,(17人评价),作者/译者： 蒙代尔 ,出版信息：  中国金融出版社 / 2003-1 / 280.0,https://book.douban.com/subject/1137665/
"SecurityAnalysis:SixthEdition,ForewordbyWarrenBuffett",9.5,(129人评价),作者/译者： Benjamin Graham、David Dodd ,出版信息：  McGraw-Hill / 2008-9-25 / USD 75.00,https://book.douban.com/subject/3376705/
市场的微观结构理论,9.5,(27人评价),作者/译者： 奥哈拉 / 杨之曙 ,出版信息：  中国人大 / 2007-4 / 28.00元,https://book.douban.com/subject/2077289/
公司财务的法律规制——路径探寻,9.5,(11人评价),作者/译者： 刘燕敏 ,出版信息：  北京大学出版社 / 2021-2 / 79.00元,https://book.douban.com/subject/35370202/
