书名,评分,评价人数,作者,出版社,url
围城,8.9,(398933人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 1991-2 / 19.00,https://book.douban.com/subject/1008145/
围城,9.3,(67919人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-2-1 / 39.00元,https://book.douban.com/subject/11524204/
我们仨,8.7,(263599人评价),作者/译者： 杨绛 ,出版信息：  生活·读书·新知三联书店 / 2003-7 / 18.80元,https://book.douban.com/subject/1023045/
围城,9.2,(27477人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2007-8 / 19.00元,https://book.douban.com/subject/1855364/
围城,9.2,(15724人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 2013-6 / 28.00,https://book.douban.com/subject/24745649/
围城,9.3,(6579人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2017-6 / 36.00,https://book.douban.com/subject/27070488/
我们仨,9.2,(1764人评价),作者/译者： 杨绛 ,出版信息：  生活·读书·新知三联书店 / 2018-6-1 / CNY 28.00,https://book.douban.com/subject/30216767/
人·兽·鬼,8.7,(10311人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2002-5 / 10.00元,https://book.douban.com/subject/1058679/
写在人生边上,8.8,(7137人评价),作者/译者： 钱钟书 / 辽宁人民出版社,出版信息： 辽海出版社 / 2000-5-1 / 6.90元,https://book.douban.com/subject/1061242/
钱锺书的学术人生,8.4,(159人评价),作者/译者： 王水照 ,出版信息：  中华书局 / 2020-11 / 58,https://book.douban.com/subject/35200599/
管锥编（全五册）,9.3,(1345人评价),作者/译者： 钱钟书 ,出版信息：  中华书局 / 1979-08 / 88.00,https://book.douban.com/subject/1041366/
写在人生边上人生边上的边上石语,8.9,(8404人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2002-10 / 27.00元,https://book.douban.com/subject/1073349/
谈艺录,9.2,(1077人评价),作者/译者： 钱钟书 ,出版信息：  中华书局 / 1998-04 / 39.00,https://book.douban.com/subject/1022914/
走到人生边上:自问自答,8.0,(16067人评价),作者/译者： 杨绛 ,出版信息：  商务印书馆 / 2007-8 / 16.00元,https://book.douban.com/subject/2240482/
宋诗选注,8.8,(3012人评价),作者/译者： 钱钟书 ,出版信息：  生活·读书·新知三联书店 / 2002-5 / 45.00元,https://book.douban.com/subject/1076598/
谈艺录,9.5,(750人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2007-12 / 52.00元,https://book.douban.com/subject/2988970/
管锥编,0.0,(12人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2019-10-1 / 228.00元,https://book.douban.com/subject/34846916/
围城/人·兽·鬼,9.3,(1221人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2009-11 / 29.50元,https://book.douban.com/subject/4054726/
七缀集,9.0,(2226人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2002-6 / 12.00元,https://book.douban.com/subject/1006781/
围城,9.0,(4747人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 2001-01 / 15.20,https://book.douban.com/subject/1039427/
围城,9.0,(28279人评价),作者/译者： 钱钟书 ,出版信息：  生活·读书·新知三联书店 / 2002-5 / 18.60元,https://book.douban.com/subject/1069848/
围城,9.1,(7614人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1985 / 0.78,https://book.douban.com/subject/1464989/
杨绛淡定从容，便是优雅:淡定从容，便是优雅,9.1,(43人评价),作者/译者： 刘颖 ,出版信息：  天津人民出版社 / 2020-3 / 39.8元,https://book.douban.com/subject/35058849/
人·兽·鬼,8.9,(58人评价),作者/译者： 钱锺书 ,出版信息：  三联书店 / 2019-10 / 32.00,https://book.douban.com/subject/34923562/
围城,9.2,(3779人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 2000-7 / 16.00元,https://book.douban.com/subject/1468602/
钱锺书英文文集,8.8,(192人评价),作者/译者： 钱锺书 ,出版信息：  Foreign Language Teaching and Research Press / 2005 / 43.90元,https://book.douban.com/subject/1431995/
宋诗选注,9.6,(57人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2017-10 / 42.00元,https://book.douban.com/subject/30137044/
洗澡,8.2,(16820人评价),作者/译者： 杨绛 ,出版信息：  人民文学出版社 / 2004-01 / 16.00,https://book.douban.com/subject/1078250/
围城,9.4,(823人评价),作者/译者： ,出版信息： 钱锺书 / 人民文学出版社 / 1991-3,https://book.douban.com/subject/4733014/
围城,9.1,(1296人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-02-01 / 3.55,https://book.douban.com/subject/1494940/
宋诗选注,9.0,(21人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2019-12 / 49.00元,https://book.douban.com/subject/34848930/
钱锺书琐话,0.0,(少于10人评价),作者/译者： ,出版信息： 钱之俊 / 黄山书社 / 2021-3,https://book.douban.com/subject/35366702/
钱钟书传,7.1,(359人评价),作者/译者： 孔庆茂 ,出版信息：  江苏文艺出版社 / 1992-04 / 12.00,https://book.douban.com/subject/1011762/
围城,9.2,(515人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-2 / 20.00元,https://book.douban.com/subject/3132511/
写在人生边上写在人生边上的边上石语,9.0,(2197人评价),作者/译者： 钱钟书 ,出版信息：  生活·读书·新知三联书店 / 2001-1 / 56.00元,https://book.douban.com/subject/1039079/
记钱钟书与《围城》,8.8,(91人评价),作者/译者： 杨绛 ,出版信息：  湖南人民出版社 / 1986-5 / 0.40,https://book.douban.com/subject/3229568/
钱锺书交游考,6.8,(339人评价),作者/译者： 谢泳 ,出版信息：  九州出版社 / 2019-1 / 42.00元,https://book.douban.com/subject/30406658/
小说逸语:钱锺书《围城》九段,6.1,(30人评价),作者/译者： 栾贵明 ,出版信息：  新世界出版社 / 2018-1 / 39.00元,https://book.douban.com/subject/27625793/
林纾的翻译,8.6,(143人评价),作者/译者： 郑振铎、钱鍾书、阿英、马泰来 ,出版信息：  商务印书馆 / 1981 / 0.72,https://book.douban.com/subject/2252179/
围城,9.1,(1596人评价),作者/译者： 钱钟书 ,出版信息：  人民文学出版社 / 1991-2 / 20.00元,https://book.douban.com/subject/3523063/
无锡时期的钱基博与钱钟书,7.7,(20人评价),作者/译者： 刘桂秋 ,出版信息：  上海社会科学院出版社 / 2004-03 / 19.00,https://book.douban.com/subject/1044655/
写在人生边上；人生边上的边上；石语,8.6,(28人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2019-10 / 45.00元,https://book.douban.com/subject/34848928/
围城,9.1,(43人评价),作者/译者： 钱钟书 ,出版信息：  南京大学出版社 / 2009年04月 / 13.80元,https://book.douban.com/subject/3780899/
管錐編（全四冊）,9.5,(814人评价),作者/译者： 钱锺书 ,出版信息：  生活·读书·新知三联书店 / 2007-12 / 172.00元,https://book.douban.com/subject/2988964/
晚年钱钟书,5.6,(25人评价),作者/译者： ,出版信息： 钱之俊 / 北岳文艺出版社 / 2020-4,https://book.douban.com/subject/35062703/
槐聚心史:錢鍾書的自我及其微世界,7.3,(52人评价),作者/译者： 汪榮祖 ,出版信息：  臺大出版中心 / 2014-8 / NT$350,https://book.douban.com/subject/25963061/
不能承受的生命之轻,8.5,(205747人评价),作者/译者： [捷克] 米兰·昆德拉 / 许钧 ,出版信息：  上海译文出版社 / 2003-7 / 23.00元,https://book.douban.com/subject/1017143/
围城,9.2,(215人评价),作者/译者： 钱钟书 ,出版信息：  北岳文艺出版社 / 2006年 / 16,https://book.douban.com/subject/3440702/
槐聚心史:钱锺书的自我及其微世界,7.5,(38人评价),作者/译者： 汪荣祖 ,出版信息：  中华书局 / 2020-3-1 / 58.00,https://book.douban.com/subject/34912577/
