书名,评分,评价人数,作者,出版社,url
罗杰疑案:阿加莎·克里斯蒂侦探作品集02,9.2,(29083人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 常禾 ,出版信息：  新星出版社 / 2013-3 / 28.00元,https://book.douban.com/subject/21371175/
无人生还,8.9,(114386人评价),作者/译者： [英] 阿加莎・克里斯蒂 / 祁阿红 ,出版信息：  人民文学出版社 / 2008-3 / 19.00,https://book.douban.com/subject/3006581/
无人生还:阿加莎·克里斯蒂侦探作品集10,8.6,(45082人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 夏阳 ,出版信息：  新星出版社 / 2013-7 / 28.00元,https://book.douban.com/subject/24859822/
东方快车谋杀案,9.0,(110905人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 陈尧光 ,出版信息：  人民文学出版社 / 2006-5 / 18.00元,https://book.douban.com/subject/1827374/
东方快车谋杀案:阿加莎·克里斯蒂侦探作品集04,8.9,(32953人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 郑桥 ,出版信息：  新星出版社 / 2013-4 / 26.00元,https://book.douban.com/subject/24153048/
尼罗河上的惨案:阿加莎·克里斯蒂作品11,8.6,(17922人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 张乐敏 ,出版信息：  新星出版社 / 2013-9 / 29.00元,https://book.douban.com/subject/25697546/
ABC谋杀案:阿加莎·克里斯蒂侦探作品集08,8.4,(15417人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 赵文伟 ,出版信息：  新星出版社 / 2013-6 / 28.00元,https://book.douban.com/subject/24737009/
帷幕:阿加莎·克里斯蒂侦探作品集33,9.0,(6701人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 李杨 ,出版信息：  新星出版社 / 2015-2 / 26.00,https://book.douban.com/subject/26292535/
斯泰尔斯庄园奇案:阿加莎·克里斯蒂侦探作品集01,7.8,(8968人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 郑卫明 ,出版信息：  新星出版社 / 2013-3 / 28.00元,https://book.douban.com/subject/21692860/
尼罗河上的惨案,8.7,(40197人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 宫英海 ,出版信息：  人民文学出版社 / 2006-5 / 22.00元,https://book.douban.com/subject/1818347/
五只小猪:阿加莎·克里斯蒂侦探作品集26,8.5,(7124人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 周力 ,出版信息：  新星出版社 / 2014-10 / 28.00元,https://book.douban.com/subject/25986273/
阳光下的罪恶:阿加莎·克里斯蒂侦探作品集22,8.1,(5919人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 于婉青 ,出版信息：  新星出版社 / 2014-8 / 28.00元,https://book.douban.com/subject/25929085/
无人生还,8.7,(28039人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 夏阳 ,出版信息：  新星出版社 / 2016-8 / 35.00元,https://book.douban.com/subject/26840298/
罗杰疑案,8.9,(29788人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 张江云 ,出版信息：  人民文学出版社 / 2006-5 / 21.00元,https://book.douban.com/subject/1807516/
悬崖山庄奇案:阿加莎·克里斯蒂侦探作品集06,8.2,(5160人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 程云琦 ,出版信息：  新星出版社 / 2013-5 / 28.00元,https://book.douban.com/subject/24535899/
高尔夫球场命案:阿加莎·克里斯蒂侦探作品集19,8.2,(4024人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 张乐敏 ,出版信息：  新星出版社 / 2014-7 / 28.00,https://book.douban.com/subject/25905706/
底牌:阿加莎·克里斯蒂侦探作品集09,8.0,(4368人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 辛可加 ,出版信息：  新星出版社 / 2013-7 / 28.00元,https://book.douban.com/subject/24852594/
阿加莎·克里斯蒂侦探推理“波洛”系列（全32册）,9.3,(1573人评价),作者/译者： [英] 阿加莎·克里斯蒂 ,出版信息：  人民文学出版社 / 2009-11 / 680.00元,https://book.douban.com/subject/4038615/
东方快车谋杀案,8.9,(3295人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 郑桥 ,出版信息：  新星出版社 / 2017-7 / 38.00元,https://book.douban.com/subject/27064821/
长夜:阿加莎·克里斯蒂侦探作品集14,8.0,(3595人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 陆烨华 ,出版信息：  新星出版社 / 2014-4-1 / 28.00元,https://book.douban.com/subject/25844726/
藏书室女尸之谜:阿加莎·克里斯蒂侦探作品集07,7.3,(2650人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 王乐然 ,出版信息：  新星出版社 / 2013-5 / 26.00元,https://book.douban.com/subject/24358966/
尼罗河上的惨案:精装纪念版,8.8,(1600人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 张乐敏 ,出版信息：  新星出版社 / 2018-4 / 49,https://book.douban.com/subject/30133213/
ABC谋杀案,8.0,(15429人评价),作者/译者： [英] 阿加莎.克里斯蒂 / 陈晓东 ,出版信息：  人民文学出版社 / 2006-8 / 20.00元,https://book.douban.com/subject/1903164/
阿加莎·克里斯蒂自传:阿加莎·克里斯蒂作品47,8.9,(1784人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 王霖 ,出版信息：  新星出版社 / 2017-5 / 68.00元,https://book.douban.com/subject/27024106/
波洛圣诞探案记:阿加莎·克里斯蒂侦探作品集43,8.3,(2653人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 孙蓓雯 ,出版信息：  新星出版社 / 2016-1 / 32.00元,https://book.douban.com/subject/26689987/
牙医谋杀案:阿加莎·克里斯蒂作品集52,8.0,(2184人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 赵飞 ,出版信息：  新星出版社 / 2017-3 / 32.00元,https://book.douban.com/subject/26962860/
死亡约会:阿加莎·克里斯蒂侦探作品集24,7.5,(2710人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 朱琳 ,出版信息：  新星出版社 / 2014-9 / 28.00元,https://book.douban.com/subject/25961788/
罗杰疑案:精装纪念版,9.6,(735人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 常禾 ,出版信息：  新星出版社 / 2020-4 / 52.00元,https://book.douban.com/subject/34985248/
谋杀启事:阿加莎·克里斯蒂侦探作品集23,7.8,(2986人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 周莎 ,出版信息：  新星出版社 / 2014-8 / 29.00,https://book.douban.com/subject/25928086/
三幕悲剧:阿加莎·克里斯蒂作品64,8.0,(1663人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 范祥镇 ,出版信息：  新星出版社 / 2018-11 / 39.00元,https://book.douban.com/subject/30346157/
人性记录:阿加莎·克里斯蒂侦探作品集12,7.8,(2986人评价),作者/译者： [英]阿加莎·克里斯蒂 / 简华凌 ,出版信息：  新星出版社 / 2014-1 / 28.00,https://book.douban.com/subject/25811656/
蓝色列车之谜:阿加莎·克里斯蒂侦探作品集45,7.3,(1705人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 舒金佳 ,出版信息：  新星出版社 / 2016-7 / 35.00,https://book.douban.com/subject/26824034/
阳光下的罪恶,8.2,(12639人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 刘月荣、李玉杰 ,出版信息：  人民文学出版社 / 2006-5 / 18.00元,https://book.douban.com/subject/1805514/
H庄园的午餐:阿加莎·克里斯蒂作品69,7.9,(1387人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 黄夏青 ,出版信息：  新星出版社 / 2018-1 / 39.00元,https://book.douban.com/subject/27593007/
死亡草:阿加莎·克里斯蒂作品73,8.2,(1403人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 六翼天使 ,出版信息：  新星出版社 / 2018-7 / 39.00元,https://book.douban.com/subject/30245148/
大象的证词:阿加莎·克里斯蒂作品72,6.6,(905人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 李冰伊 ,出版信息：  新星出版社 / 2017-9 / 35,https://book.douban.com/subject/27115917/
沉默的证人:阿加莎·克里斯蒂侦探作品集18,7.4,(2500人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 苏国梁 ,出版信息：  新星出版社 / 2014-6 / 30.00元,https://book.douban.com/subject/25859052/
首相绑架案:阿加莎·克里斯蒂作品81,6.5,(986人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 王占一 ,出版信息：  新星出版社 / 2018-11 / 32.00元,https://book.douban.com/subject/30381753/
古墓之谜:阿加莎·克里斯蒂侦探作品集17,7.6,(2097人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 周力 ,出版信息：  新星出版社 / 2014-6 / 28.00元,https://book.douban.com/subject/25877121/
赫尔克里·波洛的丰功伟绩:阿加莎·克里斯蒂作品57,7.5,(795人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 六翼天使 ,出版信息：  新星出版社 / 2018-4 / 42.00元,https://book.douban.com/subject/30158607/
云中命案:阿加莎·克里斯蒂侦探作品集21,7.2,(2736人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 于婉青 ,出版信息：  新星出版社 / 2014-7 / 28.00元,https://book.douban.com/subject/25919321/
斯泰尔斯庄园奇案,7.9,(10063人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 丁大刚 ,出版信息：  人民文学出版社 / 2006-11 / 17.00元,https://book.douban.com/subject/1946666/
黑麦奇案:阿加莎·克里斯蒂作品80,7.7,(1272人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 辛可加 ,出版信息：  新星出版社 / 2018-4 / 39.00,https://book.douban.com/subject/30174285/
无人生还:精装纪念新版,8.9,(401人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 夏阳 ,出版信息：  新星出版社 / 2019-5 / 49.00元,https://book.douban.com/subject/30466192/
控方证人:阿加莎·克里斯蒂作品55,7.4,(2208人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 王璐 ,出版信息：  新星出版社 / 2017-5 / 35,https://book.douban.com/subject/27021110/
清洁女工之死:阿加莎·克里斯蒂作品71,7.3,(975人评价),作者/译者： [英] 阿加莎·克里斯蒂 / 黄夏青 ,出版信息：  新星出版社 / 2018-4 / 39.00元,https://book.douban.com/subject/30179173/
